Programme music	Music
NKVD	Intelligence agencies, Soviet Union, Law enforcement agencies
Spyglass Entertainment	Movie studios
Hovercraft	Alternative propulsion, Vehicles
Duccio	1255 births, 1319 deaths, 14th century Italian painters, 13th century Italian painters
Castoridae	Rodents
IUCN Red List	International Union for the Conservation of Nature
Redruth	Towns in Cornwall, Civil parishes in Cornwall
Integrated Taxonomic Information System	Taxonomy, Science websites, Scientific organizations based in the United States, 1996 establishments in the United States, Biological databases
Yersinia pestis	Gram-negative bacteria, Plague
Leptospirosis	Diseases caused by bacteria, Animal diseases
François-Joseph Gossec	1734 births, 1829 deaths, Belgian composers, Classical era composers, Legion of Honour, People from Hainaut (province)
Josiah Wedgwood	1730 births, 1795 deaths, Potters, Smallpox survivors, Wedgwood family, Members of the Lunar Society
Tambourin	Musical forms, Percussion instruments
Thomas Wedgwood III	1685 births, 1739 deaths, Wedgwood family, Potters
Thomas Wedgwood IV	1716 births, 1773 deaths, Wedgwood family, Potters
Carl Philipp Emanuel Bach	1714 births, 1788 deaths, Bach family, Classical era composers, German composers, People from Weimar
Maria Barbara Bach	1684 births, 1720 deaths, German people, People from Thuringia, Bach family
Ligue 1	Football leagues, Football in France, 1932 establishments in Europe, 1930s establishments in France
Serie A	Football leagues, Football in Italy, 1898 establishments in Italy
Oath	Society
Jeffrey Archer	1940 births, Living people, English novelists, Former Conservative MPs (UK), Former members of the British House of Commons for English constituencies, United Kingdom Life Peers, Writers from Somerset
Return to Oz	Disney movies, 1980s fantasy movies, Cult movies, 1985 movies, English-language movies, Apocalyptic movies
Mordred	Arthurian legend
List of Miss America winners	Lists of American people, Miss America winners
Firewall (networking)	Software, Internet security
The Cask of Amontillado	19th-century American short stories, Short stories by Edgar Allan Poe
Osei Bonsu	Ghanaian people, Year of birth unknown, 1824 deaths
Uther Pendragon	Arthurian legend
Chocolate milk	Milk
Chocolate syrup	Sweeteners, Syrup
Wetsuit	Swimwear
Touch rugby	Rugby
Coven	Occult
First Geneva Convention	Medicine, War, Geneva Conventions, 19th century treaties, 1864, History of Geneva, 19th century in Europe
Second Geneva Convention	Geneva Conventions, 1906 in Europe, 20th century in Geneva, July events
Disc jockey	DJs, Entertainment occupations
Padniewko	Villages in Poland
Sierra Nevada (US)	Mountains of California, Geography of Nevada, Western United States
Flurbereinigung	Farms, Wine, German food, History of Germany
Live 8	2005 in music, Concerts
Rigveda	Vedas
Ecozone	Ecozones
Amorphous solid	Matter
Climate commitment studies	Environment, Climate
Slipknot	1995 establishments in the United States, 1990s American music groups, 2000s American music groups, 2010s American music groups, American heavy metal bands, American rap music groups, Des Moines, Iowa, Grammy Award winners, Musical groups established in 1995, Nu metal bands, Roadrunner Records, Slipknot
Archie Moore	American boxers, Sportspeople from Mississippi, 1916 births, 1998 deaths
Joe Frazier	1944 births, 2011 deaths, African-American boxers, American Olympic gold medalists, Cancer deaths in Pennsylvania, Deaths from liver cancer, Sportspeople from South Carolina
Hodgkin's lymphoma	Cancer, Diseases caused by viruses
Marvelous Marvin Hagler	1954 births, 2021 deaths, American boxers, Sportspeople from Newark, New Jersey
Sierra Nevada (Spain)	Mountains of Europe, Geography of Spain, Andalusia, National parks in Spain
Airline	Airlines
Wax	Chemical compounds
Polyethylene terephtalate	Thermoplastics
Nuclear energy	Nuclear energy
Card Sharks	Television game shows, ABC network shows, NBC network shows, CBS network shows, First run syndicated television programs, English-language television programs
Family Feud	1976 television series debuts, 1970s American television series, 1980s American television series, 1990s American television series, 2000s American television series, 2010s American television series, ABC network shows, American television game shows, CBS network shows, First run syndicated television programs, English-language television programs
Bank of America Stadium	National Football League venues, Carolina Panthers, Sports buildings in the United States, Buildings and structures in North Carolina, 1996 establishments in the United States, 1990s establishments in North Carolina
Aston Martin	British automobile companies, 1913 establishments in Europe, 1910s establishments in the United Kingdom
Sydney Opera House	Buildings and structures in Sydney, Opera houses, World Heritage Sites in Australia, 1973 establishments in Australia
Sydney Harbour Bridge	Buildings and structures in Sydney, Transport in Sydney, Bridges in Australia, Steel bridges, 1932 establishments, 1930s establishments in Australia
Sydney Cricket Ground	Buildings and structures in Sydney, Sports buildings in Australia, Sports in Sydney
Darling Harbour	Buildings and structures in Sydney, Transport in Sydney
Bondi Beach	Geography of New South Wales, Beaches, Sydney
Stadium Australia	Football stadiums, Football in Australia, Sports buildings in Australia, Buildings and structures in Sydney, 1999 establishments in Australia, Sports in Sydney
Sydney Aquarium	Aquariums, Buildings and structures in Sydney
Nigga	Pejoratives, Slang, English profanity
Germans	German people
Employment Non-Discrimination Act	:American civil rights, American civil rights
Cthulhu	Characters in written fiction
Diabetes insipidus	Diseases, Endocrinology
Caecilian	Caecilians
Bullet-proof vest	Protective clothing, Armour, Military
Dry suit	Protective clothing
Gauntlet	Protective clothing, Sports equipment
Nylon	Fibers
Forearm	Limbs and extremities
Mountain climbing	Mountain climbing
Figure of speech	Language, Writing, Figures of speech
Adobe Flash	Graphics software, Internet, Adobe software, 2002 software
Inheritance (object-oriented programming)	Computer science
Michael Jordan	1963 births, Living people, African-American baseball players, African-American basketball players, American Olympic gold medalists, Chicago Bulls players, Sportspeople from Chicago, Sportspeople from New York City, Sportspeople from North Carolina, Washington Wizards players, National Basketball Association players with retired numbers, American basketball players
Lawrence Taylor	1959 births, Living people, American football linebackers, Sportspeople from Virginia, New York Giants players
New York Giants	New York Giants, 1925 establishments in the United States, 1920s establishments in New York (state), 1920s establishments in New Jersey
Hakeem Olajuwon	1963 births, Living people, African-American basketball players, American Muslims, American Olympic gold medalists, Houston Rockets players, Nigerian sportspeople, People from Lagos, Toronto Raptors players, National Basketball Association players with retired numbers, American basketball players
Ecomuseum	Museums
Scottie Pippen	1965 births, Living people, African-American basketball players, American Olympic gold medalists, Chicago Bulls players, Houston Rockets players, Portland Trail Blazers players, Sportspeople from Chicago, Sportspeople from Arkansas, National Basketball Association players with retired numbers, American basketball players
Chicago Bulls	Chicago Bulls
Barry Bonds	1964 births, African-American baseball players, Baseball players from California, Living people, National League All-Stars, Pittsburgh Pirates players, San Francisco Giants players
Bill Russell	African-American basketball players, Boston Celtics players, Sportspeople from Louisiana, 1934 births, Living people, National Basketball Association players with retired numbers, American basketball players
Diving suit	Protective clothing
Kilt	Clothing, Scotland
Straitjacket	Psychiatry
Space suit	Protective clothing, Spaceflight
Weasel	Mustelids
Passport	Travel, Identification documents
University of Nottingham	Universities in England, Nottingham, 1798 establishments, 18th century establishments in England, 1790s establishments in Europe
Metastasis	Cancer
Dingo	Mammals of Australia, Canids
Silk Road	History of China, Trade routes, History of Asia, History of the Middle East
Isis	Egyptian gods and goddesses
Osiris	Egyptian gods and goddesses, Afterlife
Privy Council of the United Kingdom	Politics of the United Kingdom
Patrician	Roman people
W.A.S.P.	1982 establishments in California, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American hard rock bands, American heavy metal bands, Glam metal bands, Musical groups established in 1982, Musical groups from Los Angeles, California
Virginia Tech massacre	2007 in the United States, 2000s crimes in the United States, 2000s in Virginia, April events, Attacks on buildings and structures in the 2000s, Attacks on schools in the United States, Crime in Virginia, Mass murder in the 2000s, Massacres in the United States, Murder in 2007, Murder in the 21st century in the United States, Murder-suicides in the United States, Murders by firearm in the United States, School shootings in the United States, Suicides by firearm in the United States
Shakira	1977 births, Living people, Colombian singers, Dancers, Grammy Award winners, Latin Grammy Award winners, Latin singers, People from Barranquilla, South American philanthropists, Pop musicians, Shakira, Songwriters
Joe Louis	1914 births, 1981 deaths, African-American boxers, African-American military personnel, American military personnel of World War II, Burials at Arlington National Cemetery, Cardiovascular disease deaths in the United States, Deaths from myocardial infarction, Disease-related deaths in Nevada, Sportspeople from Alabama
Larry Holmes	American boxers, Sportspeople from Georgia (U.S. state), 1949 births, Living people
Skiing	Skiing, Winter Olympic sports
1966 FIFA World Cup	FIFA World Cup, 1960s in England, 1966 in sports, July events, Football in England
Princess Taiping	Chinese royalty, Princes and princesses
Horus	Egyptian gods and goddesses
Seth	Egyptian gods and goddesses
Shaka Sankofa	1963 births, 2000 deaths, African-American people, American murderers, American rapists, American robbers, Criminals from Texas, Executed American people, People executed by lethal injection
Juliusz Słowacki	1809 births, 1849 deaths, Polish poets
Mistreat	Rock Against Communism, Punk bands, Finnish musical groups
Red dwarf	Red dwarfs, Types of stars
Ali Khamenei	1939 births, Living people, Current national leaders, Heads of state, Iranian clerics, Iranian Muslims, Iranian politicians, Razavi Khorasan Province
Canon law	Types of law, Roman Catholicism
Mstislav Rostropovich	1927 births, 2007 deaths, Cellists, Russian conductors, Grammy Award winners, Azerbaijani musicians, People from Baku, Russian musicians
New Super Mario Bros.	2006 video games, Nintendo DS games, Nintendo DS-only games, Nintendo Entertainment Analysis and Development games, Mario platform games
Galina Vishnevskaya	1926 births, 2012 deaths, Russian opera singers, Russian singers, Sopranos
Voting system	Voting systems
Single transferable vote	Voting systems
Individual Savings Account	Money
Bound for Glory	American heavy metal bands, Musical groups from Minnesota, Rock Against Communism, Thrash metal bands
Neo-Nazism	Neo-Nazism
Israeli West Bank barrier	Arab–Israeli conflict, Buildings and structures in Israel, Buildings and structures in Palestine, Politics of Palestine, Walls, West Bank
Joey Maxim	1922 births, 2001 deaths, American boxers, Sportspeople from Cleveland, Ohio
Armed Islamic Group	History of Algeria, Islamic terrorism
Takfir wal-Hijra	1960s establishments, Islamic terrorism, Rebel militia groups in Africa, Religion in Egypt
Ma'at	Egyptian gods and goddesses
Sermon on the Mount	Speeches, Jesus Christ, Gospels
Irmo, South Carolina	Cities in South Carolina
Mediterranean climate	Climate, Köppen climate classifications
Hans Richter	1843 births, 1916 deaths, Austrian conductors, Hungarian conductors
Thylacine	Dasyuromorphia, Marsupials of Australia
Rock Against Communism	Rock Against Communism
List of Metro-Goldwyn-Mayer movies	Lists of movies, MGM movies
Zoo Tycoon 2	Zoo Tycoon, 2004 video games
Zoo Tycoon	Zoo Tycoon, 2001 video games
Chapel	Churches
Clandestine chemistry	Chemistry, Illegal drugs
Flask	Laboratory equipment, Glass, Containers
Franks	Germanic tribes, Belgian people, Dutch people, French people, German people, Luxembourgian people
Zebra mussel	Bivalves
San Marcos, Texas	Cities in Texas, County seats in Texas
Bar (music)	Musical terminology
Rostov	Towns in Russia
Alaskan king crab fishing	Fishing
Link (The Legend of Zelda)	The Legend of Zelda characters, Fictional characters introduced in 1986, Soulcalibur series guest characters
Solar power station in Victoria	Solar power plants, Buildings and structures in Victoria, Australia
Waldpolenz Solar Park	Buildings and structures in Saxony, Power stations in Germany, Solar power plants
Masaccio	1401 births, 1428 deaths, 15th century Italian painters, Renaissance
Wind power in Germany	Wind farms, Germany
Wind power in Denmark	Denmark, Wind energy
Don River (Russia)	Rivers of Russia
Grace Hopper	American computer scientists, American military people, Scientists from New York City, 1906 births, 1992 deaths, Burials at Arlington National Cemetery
Marin Alsop	1956 births, Living people, American conductors, Yale University alumni
Nevada Solar One	Solar power plants, Buildings and structures in Nevada
Integrated pest management	Agriculture
Serpa solar power plant	Solar power plants, Buildings and structures in Portugal, 2007 establishments in Europe, Establishments in Portugal
Indian Solar Loan Programme	India, Solar energy
Clovis I	466 births, 511 deaths, Converts to Christianity, Kings and Queens of France
Merovingian dynasty	History of Europe, Royal dynasties, History of France
Dale Earnhardt	1951 births, 2001 deaths, Deaths in sport, People from Kannapolis, North Carolina, Sportspeople from North Carolina, NASCAR drivers, American racecar drivers
Homelessness	Homelessness, Social issues
Hideshi Hino	1946 births, Living people, Japanese manga artists
Salland	Regions of the Netherlands, Overijssel
Darkthrone	Norwegian heavy metal bands, Black metal bands, Death metal bands
Minutemen (band)	1980s American music groups, American punk bands, American rock bands, Musical groups from California
Hammurabi	Mesopotamian people, 18th century BC, Kings and queens
Double Nickels on the Dime	1984 albums, Punk albums
Timbaland	African American musicians, American rap musicians from Virginia, American R&B musicians, American record producers, People from Virginia Beach, Virginia, Singers from Virginia, 1972 births, Living people
Melvins	1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American rock bands, American heavy metal bands, Grunge bands, Musical groups from Washington, Musical groups established in 1983, 1983 establishments in the United States, 1980s establishments in Washington (state)
1337	1337
Birth name	Surnames
Tom Whedon	American screenwriters, Year of birth missing (living people)
Zack Whedon	American screenwriters, Living people, 1979 births
Langnau im Emmental	Municipalities of Bern
Muri bei Bern	Cities in Switzerland, Municipalities of Bern
The Legend of Zelda (video game)	1986 video games, The Legend of Zelda games, Nintendo Entertainment System games, Virtual Console games for Wii U
Deadliest Catch	2005 television series debuts, American reality television series, English-language television programs
Garage rock	Rock music
Psychedelic rock	Rock music, Music in San Francisco
Doppelgänger	Folklore
Absurd (band)	German heavy metal bands, Black metal bands, Rock Against Communism
Nokturnal Mortum	Black metal bands, Ukrainian entertainers
Repo Man (movie)	American comedy movies, American science fiction movies, Cult movies, 1984 movies, English-language movies, American independent movies
Reggie Miller	Basketball players from California, Indiana Pacers players, 1965 births, Living people, People from Riverside, California, National Basketball Association players with retired numbers
Altarpiece	Art, Church architecture
Wood mouse	Rodents
Code of Hammurabi	Mesopotamia, Legislation
Media player	Software
19P/Borrelly	Comets
Microcontroller	Computer science
Melodrama	Theatrical forms
Skullhead	1984 establishments in the United Kingdom, 1980s British music groups, 1990s British music groups, 2000s British music groups, 2010s British music groups, English punk bands, Music groups from Newcastle upon Tyne, Musical groups established in 1984, Rock Against Communism
Landser (band)	German rock bands, Rock Against Communism
Lily Allen	1985 births, Living people, British feminists, British television talk show hosts, English pop singers, English television presenters, Singers from London, Television personalities from London
Zerah Colburn	Child prodigies, Autobiographers, 1839 deaths, 1804 births, People from Vermont, American teachers, People educated at Westminster School, London
Quedlinburg	Harz Rural District
DreamWorks	Movie studios, 1994 establishments in the United States
Universal Studios	Movie studios, Companies based in Los Angeles
Second Punic War	Punic Wars, 3rd century BC, Wars and battles of Ancient Rome
Battle of Zama	Battles of the Ancient World, 200s BC, October events
Touchstone Pictures	Disney companies, Movie studios
United States Coast Guard	United States Coast Guard, 1790 establishments in the United States
Sean Paul	Grammy Award winners, Jamaican singers, Reggae musicians, 1973 births, Living people
Bamberg (district)	Bamberg Rural District
Theo Jörgensmann	1948 births, Living people, Clarinetists, German composers, Jazz composers, Musicians from North Rhine-Westphalia
Italian Plague of 1629-1631	1620s in Europe, History of Italy, Plague pandemics, 1630s in Europe, 1629, 1630, 1631
Norwich	Norwich, County towns in England
Pir Sultan Abdal	1480 births, 1550 deaths, Poets
William Byrd	1540 births, 1623 deaths, Renaissance composers, English composers
Cuneiform	Writing systems, Mesopotamia
Menes	Pharaohs
Bast	Cats, Egyptian gods and goddesses
Ra	Egyptian gods and goddesses
Jim Morrison	American rock singers, Burials at Père Lachaise Cemetery, American musicians, Singers from Florida, 1943 births, 1971 deaths
Anchovy	Clupeiformes, Teleosts
Indigenous Australians	Indigenous peoples of Australia
Ian Thorpe	1982 births, Living people, Australian LGBT people, Australian Olympic bronze medalists, Australian Olympic gold medalists, Australian Olympic silver medalists, Australian swimmers, Gay men, LGBT Olympians, Sportspeople from Sydney
Cathy Freeman	1973 births, Living people, Australian Olympic gold medalists, Australian Olympic silver medalists, Bahá'ís, Commonwealth Games medallists, Indigenous Australian sportspeople, Order of Australia, Sportspeople from Queensland, World champions, Australian athletes
Paris Hilton	1981 births, Living people, Actors from New York City, American movie actors, American socialites, American television actors, American television producers, American R&B singers, American pop singers, American dance musicians, Participants in American reality television series, Singers from New York City
Amun	Egyptian gods and goddesses
Aten	Egyptian gods and goddesses
Clam	Bivalves, Seafood
Bes	Egyptian gods and goddesses
Hokkaido Wolf	Wolves
Hornet	Wasps
Geb	Egyptian gods and goddesses
Type O Negative	1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American heavy metal bands, Doom metal bands, Gothic metal bands, Thrash metal bands
Doom metal	Heavy metal subgenres
Candlemass	Swedish heavy metal bands, Doom metal bands
Split album	Albums
Brown dwarf	Types of stars
Dividend	Stock market, Income
Camille Dalmais	1978 births, Living people, French singers
Germanicus	Roman generals, 15 BC births, 19 deaths
PS10 solar power plant	Buildings and structures in Spain, Solar power plants, 2007 establishments in Europe, 2000s establishments in Spain
Feyenoord	Dutch football clubs, Rotterdam, 1908 establishments in Europe, 1900s establishments in the Netherlands
Headquarters	Business, Military, Administrative buildings
Estates Theatre	Opera houses, Theatres, Prague, Buildings and structures in the Czech Republic, 18th century establishments in Europe
National Theatre (Prague)	Opera houses, Theatres, Prague, Buildings and structures in the Czech Republic, 1881 establishments in Europe
Drone (music)	Musical terminology
Pedal point	Musical terminology
Euclidean geometry	Geometry
János Bolyai	1802 births, 1860 deaths, Hungarian people, Mathematicians, Deaths from disease
Diana (mythology)	Roman gods and goddesses
Thoth	Egyptian gods and goddesses
List of Germanic deities	Norse gods and goddesses, Lists of gods and goddesses
List of Egyptian gods and goddesses	Egyptian gods and goddesses, Lists of gods and goddesses
Nut (goddess)	Egyptian gods and goddesses
Dennis Kearney	1847 births, 1907 deaths, Politicians from California, People from County Cork
Cross of Gold speech	Events in the United States, Speeches, 1896, 1890s in Illinois, 19th century in Chicago
Paolo Uccello	1396 births, 1475 deaths, 15th century Italian painters
Fallen Leaves	2006 songs, Songs about drugs
Sumer Is Icumen In	Medieval music
Carmen	Compositions by Georges Bizet, Operas set in Spain
Kumquat	Citrus
Teton Mountains	Mountains of the United States, Geography of Wyoming, Geography of Idaho
Baunach	Bamberg Rural District
Burgebrach	Municipalities in Bavaria, Bamberg Rural District
Ostinato	Musical terminology
Coffee system	Cooking appliances, Coffee
1492 Pictures	Movie studios, 1995 establishments in the United States
Life in Hell	Comic strips
Iraq War	2003 in the United States, 21st century in Iraq, George W. Bush, Wars involving the United States, Wars involving the United Kingdom, Wars involving Australia
Feijoa	Myrtaceae, Trees, Fruits
Wessex	Anglo-Saxons
Barrel racing	Horse riding
Clover	Faboideae
Discus throw	Events in athletics
Eragon	2003 books, Inheritance Cycle
William Baillie	1723 births, 1810 deaths, People from the Republic of Ireland, Artists
Rusty Anderson	American guitarists, Singer-songwriters from California, American rock musicians, 1959 births, Living people
Handshake	Non-verbal communication, Messaging
Wave (gesture)	Non-verbal communication
Baseball bat	Baseball equipment
Softball	Team sports
Dietrich Buxtehude	1630s births, 1707 deaths, Baroque composers, Danish composers, German composers, German organists
Summit Entertainment	1991 establishments in California, American entertainment companies, Movie production
Harlem Renaissance	1920s in the United States, African-American history, American music history, Literature
Hollywood Pictures	Movie studios, Disney, Defunct companies
Third World	politics, economics, Country classifications
Thirty Years' War	17th century in Europe, Thirty Years' War, Wars involving England, Wars involving France
Database normalisation	Database modeling
Clipboard	Tools
Ugliness	Characteristics
Texture	Vocabulary, Sensory system
Outlook Express	Microsoft software, E-mail
Michael Spinks	American boxers, American Olympic gold medalists, Sportspeople from St. Louis, Missouri, 1956 births, Living people
Candy cane	Candy, Christmas
Leon Spinks	1953 births, 2021 deaths, Deaths from prostate cancer, American boxers, American Olympic gold medalists, Sportspeople from St. Louis, Missouri
Cruiserweight	Boxing
Botanic	Northern Ireland
Steve Jay	1951 births, Living people, Bassists
Minimum wage	Macroeconomics
Joe Manchin	1947 births, Living people, United States senators from West Virginia, Governors of West Virginia
Renaissance art	Art, Renaissance
Renaissance architecture	Architecture, Renaissance
Fiji One	Television networks, Fiji
Comet Group	Shops
Sainsbury's	Supermarkets of the United Kingdom, Shops, 1869 establishments in the United Kingdom
Venus of Willendorf	Archaeology, Statues
Acts of Supremacy	1550s in England, 1558, Protestant Reformation
Compact fluorescent lamp	Lamps
PL Kyodan	New religious movements, Japanese culture, Organisations based in Japan
Winston Smith	Characters in written fiction
Yantai	Cities in China
Qiemo	Cities in China
Fictional universe	Fictional universes, Children's literature, Fantasy movies
Ronnie James Dio	American rock singers, Bassists, Cancer deaths in the United States, Deaths from stomach cancer, People from Portsmouth, New Hampshire, Singers from New York, Singers from New Hampshire, 1942 births, 2010 deaths
Chow Yun-Fat	1955 births, Living people, Actors from Hong Kong
Anglican Communion	Anglicanism
1019	1019
Joan of Acre	English royalty, 1272 births, 1307 deaths
Jules Verne	1828 births, 1905 deaths, French writers, French politicians
Teenage Mutant Ninja Turtles	1984 establishments, American animated television series, Comic books, Fictional characters introduced in 1984, Fictional turtles, Teenage Mutant Ninja Turtles
Atze Schröder	1965 births, Living people, Fictional characters
Autonomy	Philosophy
Georg Wilhelm Friedrich Hegel	Continental philosophers, German philosophers, People from Stuttgart, 1770 births, 1831 deaths
London Borough of Croydon	London Borough of Croydon
Nicolas Sarkozy	French Roman Catholics, French lawyers, Politicians from Paris, Honorary Knights Grand Cross of the Order of the Bath, Presidents of France, Princes of Andorra, 1955 births, Living people, French Ministers of Finance
RVV Hillesluis	1932 establishments in Europe, 2012 disestablishments in Europe, Dutch football clubs, Rotterdam
Tyrant	Politics, Ancient Greece
Johann Pachelbel	1653 births, 1706 deaths, Baroque composers, Entertainers from Bavaria, German composers, German organists, People from Nuremberg
Opioid	Opioids, Analgesics
