Institution of Structural Engineers	Organisations based in London
Andoni Iraola	1982 births, Living people, Spanish footballers
Takeshi Saito	1982 births, Living people, Footballers from Hokkaidō Prefecture
Doniéber Alexander Marangon	1979 births, Living people, Brazilian association football goalkeepers
Luciano Spalletti	1959 births, Living people, Italian footballers
Yoichi Kamimaru	1984 births, Living people, Footballers from Aichi Prefecture
Ryosuke Sasagaki	1985 births, Living people, Footballers from Shizuoka Prefecture
Kengo Kawamata	1989 births, Living people, Footballers from Ehime Prefecture, Japan international footballers, J1 League players, J2 League players, Ehime FC players, Albirex Niigata players, Fagiano Okayama players, Nagoya Grampus players, Júbilo Iwata players, JEF United Chiba players
Tiko	1976 births, Living people, Spanish footballers, People from Pamplona
Daniel Aranzubia	1979 births, Living people, Spanish footballers
Daichi Matsuyama	1974 births, Living people, Footballers from Hokkaidō Prefecture
Tatsuya Asanuma	1970 births, Living people, Footballers from Saitama Prefecture
Ippei Saga	1980 births, Living people, Footballers from Hokkaidō Prefecture
Ryuhei Niwa	1986 births, Living people, Footballers from Kanagawa Prefecture
Kim Nam-il	1977 births, Living people, South Korean footballers, People from Incheon
Srečko Katanec	1963 births, Living people, Slovenian footballers, Slovenian football managers, Sportspeople from Ljubljana
Takahiro Kuniyoshi	1988 births, Living people, Footballers from Saitama Prefecture
Kim Dong-jin	1982 births, Living people, South Korean footballers
Keisuke Shimizu	1988 births, Living people, Footballers from Hyōgo Prefecture
Tatsuya Ikeda	1988 births, Living people, Footballers from Hyōgo Prefecture
Kyohei Sugiura	1989 births, Living people, Footballers from Shizuoka Prefecture
Takafumi Mikuriya	1984 births, Living people, Footballers from Nagasaki Prefecture
Webster-Hayne debate	1830 in the United States
Point Hicks	Geography of Victoria, Australia
Hobo Spider	Spiders
Fethullah Gülen	1941 births, Living people, Creationists, Turkish educators, Islamic religious leaders, Turkish writers
Thrace	Ancient history, Places of Ancient Rome, History of Europe, Regions of Europe
David Draiman	Living people, 1973 births, American Jews
Al Jackson, Jr.	African American musicians, American jazz musicians, American soul musicians, American murder victims, American drummers, Deaths by firearm, American funk musicians, Musicians from Memphis, Tennessee, 1935 births, 1975 deaths
Tatsuyuki Tomiyama	1982 births, Living people, Footballers from Chiba Prefecture
Takatoshi Matsumoto	1983 births, Living people, Footballers from Tokyo Prefecture
Junya Kuno	1988 births, Living people, Footballers from Shizuoka Prefecture
Zesh Rehman	1983 births, Living people, Pakistani people, Asian footballers
Hiroshi Ichihara	1987 births, Living people, Footballers from Kumamoto Prefecture
Kazuhiro Kawata	1982 births, Living people, Footballers from Fukuoka Prefecture
Abdoulaye Méïté	1980 births, Living people, Ivorian footballers, Sportspeople from Paris
Istanbul Park	Formula One circuits, Istanbul
Raphael Botti	1981 births, Living people, Brazilian footballers
David Jarolím	1979 births, Living people, Czech footballers
Tomoki Ikemoto	1985 births, Living people, Footballers from Fukuoka Prefecture
Noriyuki Sakemoto	1984 births, Living people, Footballers from Wakayama Prefecture
Shogo Tokihisa	1984 births, Living people, Footballers from Fukuoka Prefecture
Kota Fujimoto	1986 births, Living people, Footballers from Kumamoto Prefecture
Masaru Matsuhashi	1985 births, Living people, Footballers from Nagasaki Prefecture
Mu Kanazaki	1989 births, Living people, Footballers from Mie Prefecture, Japan international footballers, J1 League players, Oita Trinita players, Nagoya Grampus players, Kashima Antlers players, Sagan Tosu players
Human penis size	Male reproductive system, Human sexuality
Shun Nagasawa	1988 births, Living people, Footballers from Shizuoka Prefecture
Scantron	Companies based in California, Data input
Kara (South Korean group)	K-pop music groups, South Korean girl groups, 2007 establishments in South Korea
Jerry West	1938 births, Living people, American basketball players, Los Angeles Lakers players, Sportspeople from West Virginia, National Basketball Association players with retired numbers
Noida	Cities and towns in Uttar Pradesh
Akira Kajiwara	1987 births, Living people, Footballers from Oita Prefecture
Carlos Diogo	1983 births, Living people, Uruguayan footballers, Sportspeople from Montevideo
Taku Ishihara	1988 births, Living people, Footballers from Aichi Prefecture
Fumiya Yamamoto	1988 births, Living people, Footballers from Osaka Prefecture, People from Osaka
GMA Network	Philippine television networks, Quezon City, 1950s establishments in Asia
Ken Yorii	1984 births, Living people, Footballers from Hiroshima Prefecture
Tsubasa Oshima	1983 births, Living people, Footballers from Saitama Prefecture
Gai Assulin	1991 births, Living people, Israeli footballers, Jewish Israeli sportspeople
Serginho Baiano	1978 births, Living people, Brazilian footballers, People from Salvador, Bahia
Iñaki Lafuente	1976 births, Living people, Spanish association football goalkeepers
Claudio Biaggio	1967 births, Living people, Argentine footballers
Shota Kimura	1988 births, Living people, Footballers from Tokyo Prefecture
Martín Vilallonga	1970 births, Living people, Argentine footballers
Eisei Tomioka	1984 births, Living people, Footballers from Aichi Prefecture
Eduardo Bustos Montoya	1976 births, Living people, Argentine footballers
Daishiro Miyazaki	1983 births, Living people, Footballers from Kumamoto Prefecture
Patrick Müller	1976 births, Living people, Swiss footballers, People from Geneva
Ulrich Ramé	1972 births, Living people, French footballers, Association football goalkeepers, People from Nantes
David Jemmali	1974 births, Living people, Tunisian footballers, People from Tunis
Chickpea	Beans, Fabaceae
Philippe Christanval	1978 births, Living people, French footballers, Sportspeople from Paris
Hexameter	Poetry
Viktor Orbán	1963 births, Living people, Prime Ministers of Hungary, Current national leaders
Vetus Latina	Latin language, Bible versions
J. C. Bailey	1983 births, 2010 deaths, American professional wrestlers, Deaths from aneurysm, Sportspeople from Louisville, Kentucky
Historical rankings of presidents of the United States	Presidents of the United States, History of the United States
Reconstruction era	African-American history, American Civil War, 1860s in the United States, 1870s in the United States, Andrew Johnson, Rutherford B. Hayes
Lena Meyer-Landrut	1991 births, Living people, Entertainers from Lower Saxony, Eurovision Song Contest winners, German pop singers, People from Hanover
Troodontidae	Theropods
Sinovenator	Dinosaurs of Asia, Cretaceous dinosaurs, Theropods
Paraves	Coelurosaurs, Birds, Fossils
Stan (dinosaur)	Cretaceous dinosaurs
Treponema pallidum	Gram-negative bacteria
Persuasion (novel)	Books by Jane Austen, English novels, 1810s books
Praetorian Guard	Ancient Rome
Claudio Pizarro	1978 births, Living people, Peruvian footballers
Edílson José da Silva	1978 births, Living people, Brazilian footballers
Dragan Đukanović	1969 births, Living people, Serbian footballers
Petri Pasanen	1980 births, Living people, Finnish footballers, FC Red Bull Salzburg players
Tsuyoshi Yoshitake	1981 births, Living people, Footballers from Mie Prefecture
Caçapa	1978 births, Living people, Brazilian footballers
Anthony Réveillère	1979 births, Living people, French footballers
Sébastien Squillaci	1980 births, Living people, French footballers
Julien Faubert	1983 births, Living people, French footballers, People from Le Havre
Henrik Pedersen	1975 births, Living people, Danish footballers
Jonílson Clovis Nascimento Breves	1978 births, Living people, Brazilian footballers
Willian (footballer, born 1983)	1983 births, Living people, Brazilian footballers, Mato Grosso do Sul
David Kaufman (actor)	1961 births, Living people, American movie actors, American television actors, American voice actors, Actors from St. Louis, Missouri
Leonardo Augusto Vieira Moreira	1986 births, Living people, Brazilian footballers
Yasuharu Kurata	1963 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Honda FC players, Tokyo Verdy players
Yosuke Saito	1988 births, Living people, Footballers from Tokyo Prefecture
Non-penetrative sex	Contraception, Sexual acts
Masakazu Tashiro	1988 births, Living people, Footballers from Tokyo Prefecture
Ariajasuru Hasegawa	1988 births, Living people, Footballers from Saitama Prefecture
Greatest common divisor	Arithmetics
The Penguins of Madagascar	Animated television series, Nicktoons, Madagascar (franchise), English-language television programs, 2008 television series debuts, 2015 television series endings
Power of two	Mathematics
Piecewise	Mathematics
Elgin Marbles	Ancient Greece, Ancient Greek marble sculptures, British Museum, Ancient Greek and Roman statues
Mockumentary	Mockumentaries, Documentary movies
Waiting for Guffman	1997 movies, Mockumentaries, English-language movies
Abundant number	Integer sequences
Ant mill	Ants
Acanthomyops	Ants
Acanthomyops latipes	Ants
Felipe de Almeida Gomes	1988 births, Living people, Footballers from Rio de Janeiro
Leandro Teixeira Dantas	1987 births, Living people, Brazilian footballers
Enílton	1977 births, Living people, Brazilian footballers, Mato Grosso do Sul
Lady-in-waiting	Personal service occupations
Leandro Euzébio	1981 births, Living people, Brazilian footballers
Paulo Nunes	1971 births, Living people, Brazilian footballers
Shizuo Takada	1947 births, Living people, Footballers from Tokyo Prefecture
Medical microbiology	Microbiology, Medicine
Ranieli Jose Cechinato	1970 births, Living people, Brazilian footballers
Marco Aurélio Fernandes da Silva	1977 births, Living people, Brazilian footballers
Koichiro Nagatomo	1982 births, Living people, Footballers from Miyazaki Prefecture
Noritomo Harada	1984 births, Living people, Footballers from Fukuoka Prefecture
Keisuke Shuto	1984 births, Living people, Footballers from Fukuoka Prefecture
Daisuke Nitta	1980 births, Living people, Footballers from Miyazaki Prefecture
Masashi Uramoto	1981 births, Living people, Footballers from Oita Prefecture
Ismaïl Aissati	1988 births, Living people, Dutch footballers, Sportspeople from Utrecht (city)
Joe Bizera	1980 births, Living people, Uruguayan footballers
Jaroslav Plašil	1982 births, Living people, Czech footballers
Otto Rehhagel	1938 births, Living people, German footballers, German football managers, Sportspeople from Essen
Omar Bravo	1980 births, Living people, Mexican footballers
Neoclassicism	Art movements
Atsushi Kimura	1984 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Yusuke Shimada	1982 births, Living people, Footballers from Saitama Prefecture
Robert Todd Lincoln	1843 births, 1926 deaths, United States Secretaries of War, Children of Presidents of the United States, American lawyers, Ambassadors of the United States, Burials at Arlington National Cemetery, Politicians from Springfield, Illinois
Kazuki Sakurada	1982 births, Living people, Footballers from Shizuoka Prefecture
Kazuto Tsuyuki	1984 births, Living people, Footballers from Shizuoka Prefecture
Tom Starke	1981 births, Living people, German association football goalkeepers, Sportspeople from Saxony
Sejanus	Roman people
Je Ne Sais Quoi	2010 songs
Hera Björk	1972 births, Living people, People from Reykjavík, Singers
Ovo je Balkan	2010 songs
Milan Stanković	1987 births, Living people, Serbian singers
Toni Kroos	1990 births, Living people, German footballers, Association football midfielders, 2010 FIFA World Cup players, UEFA Euro 2012 players, 2014 FIFA World Cup players, UEFA Euro 2016 players, 2018 FIFA World Cup players, Sportspeople from Mecklenburg-Vorpommern
Al Jolson	1886 births, 1950 deaths, American movie actors, Singers from Washington, D.C., Actors from Washington, D.C., Jewish American actors
Holger Badstuber	1989 births, Living people, German footballers, Sportspeople from Bavaria
Zhytomyr	Cities in Ukraine, 880s establishments, Establishments in Ukraine, 9th century establishments in Europe
Doctor-patient relationship	Medicine, Relationships
Corm	Botany
Army ant	Ants
Hematuria	Medical signs, Urinary system
Bladder cancer	Cancer, Urinary system
Streptococcus mutans	Gram-positive bacteria
Commutative property	Mathematics
Irrational number	Irrational numbers
Shogo Yoshizawa	1986 births, Living people, Footballers from Gunma Prefecture
Hideya Tanaka	1986 births, Living people, Footballers from Okayama Prefecture
Ryusuke Ofuchi	1956 births, Living people, Footballers from Kumamoto Prefecture
Robert Earnshaw	1981 births, Living people, Welsh footballers
Paul Jones	1967 births, Living people, Welsh footballers, British association football goalkeepers
Júnior Maranhão	1985 births, Living people, Brazilian footballers, Maranhão
Frank Rost	1973 births, Living people, German association football goalkeepers, People from Chemnitz, Sportspeople from Saxony
Antonio Langella	1977 births, Living people, Italian footballers
Luis Diego López	1974 births, Living people, Uruguayan footballers, Sportspeople from Montevideo
Diego Pérez	1980 births, Living people, Uruguayan footballers, Sportspeople from Montevideo
Mitsunori Yamao	1973 births, Living people, Footballers from Aichi Prefecture
Lucas Bernardi	1977 births, Living people, Argentine footballers
Gonzalo Vargas	1981 births, Living people, Uruguayan footballers, Sportspeople from Montevideo
Hisanori Ogawa	1984 births, Living people, Footballers from Fukuoka Prefecture
Kentaro Yano	1981 births, Living people, Footballers from Fukuoka Prefecture
Norita Ochiai	1980 births, Living people, Footballers from Miyazaki Prefecture
Kazuhiro Ninomiya	1982 births, Living people, Footballers from Oita Prefecture
Sebastián Riep	1976 births, Living people, Argentine footballers
Marcelo Carracedo	1970 births, Living people, Argentine footballers
Shinya Shirakawa	1981 births, Living people, Footballers from Kagoshima Prefecture
Yusuke Nakamura	1986 births, Living people, Footballers from Shizuoka Prefecture
Masaki Iwamoto	1983 births, Living people, Footballers from Oita Prefecture
Luis Augusto Osorio Romao	1983 births, Living people, Brazilian footballers
Oxfordshire Ironstone Railway	Metals, Oxfordshire, Materials, Defunct railway companies of the United Kingdom, 1917 establishments in Europe, 1910s establishments in the United Kingdom, 1967 disestablishments, 1960s disestablishments in the United Kingdom
Tomasz Radzinski	1973 births, Living people, Belgian footballers, Canadian footballers, People from Poznań, Polish footballers, Sportspeople from Ontario
Zat Knight	1980 births, Living people, Black British sportspeople, English footballers, People from Solihull, Premier League players
Yuji Okuma	1969 births, Living people, Footballers from Saitama Prefecture
Motonobu Tako	1972 births, Living people, Footballers from Shizuoka Prefecture
Shoji Ikitsu	1977 births, Living people, Footballers from Fukuoka Prefecture
Danilo Gabriel de Andrade	1979 births, Living people, Brazilian footballers
Shuta Sonoda	1969 births, Living people, Footballers from Nagasaki Prefecture
Jesús Navas	1985 births, Living people, Manchester City F.C. players, Spanish footballers
Michael Thwaite	1983 births, Living people, Australian footballers, People from Brisbane, People from Cairns, Queensland, Sportspeople from Queensland
Tomoyasu Asaoka	1962 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, Japan Soccer League players, NKK SC players, Tokyo Verdy players
Lee Myung-bak	1941 births, Living people, Presidents of South Korea, Mayors of Seoul, People from Osaka
Fernando Redondo	1969 births, Living people, Argentine footballers
Eddie Johnson	1984 births, Living people, American footballers
Ryosuke Matsuoka	1984 births, Living people, Footballers from Aichi Prefecture
Toru Hasegawa	1988 births, Living people, Footballers from Aichi Prefecture
Shinta Fukushima	1989 births, Living people, Footballers from Aichi Prefecture
Thomas Müller	1989 births, Living people, 2010 FIFA World Cup players, 2014 FIFA World Cup players, German footballers, Sportspeople from Bavaria
3. Liga	Football leagues
VfL Osnabrück	German football clubs, Osnabrück, Sport in Lower Saxony
1. FC Union Berlin	German football clubs, Sport in Berlin, 1960s establishments in Germany, 1966 establishments in Europe
TuS Koblenz	German football clubs, Koblenz, Sport in Rhineland-Palatinate
1. FSV Mainz 05	1905 establishments in Europe, 1900s establishments in Germany, German football clubs, Mainz, Sport in Rhineland-Palatinate
FC Augsburg	Augsburg, German football clubs, Sport in Bavaria, 1907 establishments in Europe, 1900s establishments in Germany
Phonon	Physics
HC Dynamo Moscow	Ice hockey teams in Russia, 1946 establishments in the Soviet Union
Thunder Bay Thunder Cats	Ice hockey teams in Ontario, Thunder Bay
Parser	Computer programming
Lymington Branch Line	Railway lines of England
HQ9+	Programming languages
Quine	Computer programming
ELIZA	Software
GNU Emacs	Free software, Microsoft Windows software, Linux software
Bacillus anthracis	Gram-positive bacteria
George Bancroft	1800 births, 1891 deaths, American historians, People from Worcester, Massachusetts, American diplomats, American writers, Democrats (United States), Harvard University alumni, United States Secretaries of the Navy, Writers from Washington, D.C.
Christadelphians	Unitarianism, United Kingdom, Christianity in the United States
Quezon City	Quezon City, Cities in the Philippines
Robert Larue Stewart	Filipino people, 1917 births, 2006 deaths
Gaza flotilla raid	2010, Arab–Israeli conflict, Conflicts, Gaza Strip, 2010s in Israel, History of Palestine, Ships, May events
Far Eastern Republic	1922 disestablishments, Puppet states, 1920 establishments in Asia, 1920s disestablishments in Asia
Acanthomyops murphii	Ants
Adelomyrmex boltoni	Ants
Bryology	Botany
Internet Message Access Protocol	Internet protocols, E-mail
Yuji Sugano	1961 births, Living people, Footballers from Aichi Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Nagoya Grampus players
Nobuyo Fujishiro	1960 births, Living people, Footballers from Chiba Prefecture, Japan international footballers, Japan Soccer League players, NKK SC players, Kashima Antlers players
Kuniharu Nakamoto	1959 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, NKK SC players
Katsuhiko Sano	1988 births, Living people, Footballers from Shizuoka Prefecture
Kentaro Sakai	1975 births, Living people, Footballers from Fukuoka Prefecture
Masashi Miyamura	1969 births, Living people, Footballers from Tokyo Prefecture
Horticulture	Botany, Gardening, Agriculture
Ryujiro Ueda	1988 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Cauê Santos da Mata	1986 births, Living people, Brazilian footballers, People from Salvador, Bahia
Davi José Silva do Nascimento	1984 births, Living people, Brazilian footballers, People from Fortaleza
Shinya Chiba	1983 births, Living people, Footballers from Miyagi Prefecture
Kazunari Okayama	1978 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Hitoyoshi Satomi	1983 births, Living people, Footballers from Gunma Prefecture
Naoki Takahashi	1976 births, Living people, Footballers from Fukuoka Prefecture
Anderson Luis da Silva	1972 births, Living people, Brazilian footballers
Ryuji Sueoka	1979 births, Living people, Footballers from Yamaguchi Prefecture
Yasuhiro Tanaka	1984 births, Living people, Footballers from Niigata Prefecture
Koichi Sugiyama	1971 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Eiichiro Ozaki	1984 births, Living people, Footballers from Shizuoka Prefecture, J3 League players, Azul Claro Numazu players
Mikito Nishihara	1980 births, Living people, Footballers from Nara Prefecture
Hayato Mizuki	1984 births, Living people, Footballers from Kanagawa Prefecture
Shoji Yamada	1984 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Tatsuyuki Okuyama	1976 births, Living people, Footballers from Niigata Prefecture
Keiichiro Nakano	1976 births, Living people, Footballers from Kagawa Prefecture
Takefumi Sasaki	1978 births, Living people, Footballers from Fukuoka Prefecture
Takanobu Kondo	1978 births, Living people, Footballers from Fukuoka Prefecture
Daiji Nii	1973 births, Living people, Footballers from Shizuoka Prefecture
Bill Foulkes	1932 births, 2013 deaths, Deaths from prostate cancer, English footballers, English football managers, Sportspeople from Lancashire
Bert Patenaude	1909 births, 1974 deaths, American footballers, Sportspeople from Massachusetts
Gianpiero Combi	1902 births, 1956 deaths, Italian footballers
Pak Doo-Ik	1942 births, Living people, North Korean footballers, People from Pyongyang
Tatsuhiko Kubo	1976 births, Living people, Footballers from Fukuoka Prefecture, Japan international footballers, J1 League players, J2 League players, Sanfrecce Hiroshima players, Yokohama F. Marinos players, Yokohama FC players, Zweigen Kanazawa players, 2001 FIFA Confederations Cup players, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Varkala	Cities in India
Butch Huskey	1971 births, Living people, American baseball players, New York Mets players, Sportspeople from Oklahoma
Mesut Özil	1988 births, Living people, German footballers, People from Gelsenkirchen, Sportspeople from North Rhine-Westphalia
Queen's Gambit	Chess openings
Wheel loader	Construction
Corollary	Mathematics
Yusuke Minoguchi	1965 births, Living people, Footballers from Chiba Prefecture, J1 League players, Japan Soccer League players, JEF United Chiba players, Sagan Tosu players, Avispa Fukuoka players, Oita Trinita players, 1988 AFC Asian Cup players
Takashi Kawamura	1968 births, Living people, Footballers from Yamaguchi Prefecture
Kazutaka Okada	Year of birth missing (living people), Living people, Footballers from Shizuoka Prefecture
Kepa Blanco	1984 births, Living people, Spanish footballers
Teruo Nimura	1943 births, Living people, Footballers from Kyoto Prefecture, Japan international footballers, Japan Soccer League players, Sanfrecce Hiroshima players
Yoshinori Shigematsu	1930 births, 2018 deaths, Footballers from Hiroshima Prefecture, Japan international footballers, Sanfrecce Hiroshima players
Takuya Muro	1982 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Yuzuki Ito	1974 births, Living people, Footballers from Shizuoka Prefecture
Kensuke Kagami	1974 births, Living people, Footballers from Saitama Prefecture
Hideki Katsura	1970 births, Living people, Footballers from Tokushima Prefecture
Miguel Torres Gómez	1986 births, Living people, Spanish footballers, Sportspeople from Madrid
Takayuki Kuwata	1941 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Sanfrecce Hiroshima players
Juan Mata	1988 births, Chelsea F.C. players, Living people, Manchester United F.C. players, Spanish footballers, People from Castile and León
Ricardo Costa	1981 births, Living people, Portuguese footballers
Zdeněk Grygera	1980 births, Living people, Czech footballers
Rafael dos Santos de Oliveira	1987 births, Living people, Brazilian footballers
Kenji Koyano	1988 births, Living people, Footballers from Ibaraki Prefecture
Yasushi Endo	1988 births, Living people, Footballers from Miyagi Prefecture
Goto	Computer programming
Lisa M. Buttenheim	1954 births, Living people, American diplomats, Women diplomats
Theanine	Organic compounds
Bichon Frisé	Dog breeds
30 (number)	Integers
80 (number)	Integers
90 (number)	Integers
Yazman Tehsil	Tehsils of Punjab (Pakistan)
Birdo	Mario series characters
Tyler Fredrickson	1981 births, Living people, Football players from California, American football safeties, Seattle Seahawks players, Dallas Cowboys players, Washington Redskins players, Oakland Raiders players, People from Santa Barbara, California
Classless Inter-Domain Routing	Internet
John Doe	Law
AK-74	Assault rifles, Rifles of the Cold War
Ambient occlusion	Computer graphics
Bedbug	Hemiptera
Antonio Adán	1987 births, Living people, Spanish footballers
Yosuke Niwa	1940 births, Living people, Footballers from Hiroshima Prefecture
Simon Davies	1979 births, Living people, Welsh footballers
Takayuki Toyomitsu	1987 births, Living people, Footballers from Kagoshima Prefecture
Gabriel Donizete de Santana	1987 births, Living people, Brazilian footballers
Maya Yoshida	1988 births, Living people, Footballers from Nagasaki Prefecture, Japan international footballers, J1 League players, Nagoya Grampus players, 2014 FIFA World Cup players, 2018 FIFA World Cup players, 2013 FIFA Confederations Cup players, Footballers at the 2008 Summer Olympics, Footballers at the 2012 Summer Olympics
Oribe Niikawa	1988 births, Living people, Footballers from Gifu Prefecture
Shohei Yamamoto	1982 births, Living people, Footballers from Kyoto
Abraão Lincoln Martins	1983 births, Living people, Brazilian footballers
Cristian Brocchi	1976 births, Living people, Italian footballers
Nicklas Bendtner	1988 births, Living people, Danish footballers, People from Copenhagen
Mbo Mpenza	1976 births, Living people, Belgian footballers, People from Kinshasa
Marco Streller	1981 births, Living people, Swiss footballers, Sportspeople from Basel
Oscar B. Cintas	1887 births, 1957 deaths, Cuban people
Hyperopia	Diseases and disorders of the eye
Dispersion	Physics
Absorption spectroscopy	Spectroscopy
Kim Jung-nam	1943 births, Living people, South Korean footballers, South Korean football managers, People from Seoul
Jun Sonoda	1989 births, Living people, Footballers from Shizuoka Prefecture
Takefumi Toma	1989 births, Living people, Footballers from Okinawa Prefecture
Yuji Funayama	1985 births, Living people, Footballers from Chiba Prefecture
Kosuke Yoshii	1986 births, Living people, Footballers from Kagoshima Prefecture
Atsushi Ichimura	1984 births, Living people, Footballers from Hokkaidō Prefecture
Tadayo Fukuo	1984 births, Living people, Footballers from Hyōgo Prefecture
Snowy River National Park	National parks in Australia, Protected areas of Victoria (Australia)
Kill.switch	Shooter video games, 2003 video games, Namco video games
Croissant	Breads
So Cold	Rock songs, 2004 songs
Suguru Hino	1982 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Grizzly Rage	2007 horror movies, Television movies, Movies about bears, 2007 movies, Canadian movies, English-language movies
Trapezius muscle	Fitness, Muscles
William of Ockham	1280s births, 1347 deaths, Christian theologians, English philosophers, English Roman Catholics, English theologians, Franciscans, Writers from Surrey
Palm cockatoo	Cockatoos, Birds of Australia, Birds of Oceania
Sterling Knight	American television actors, American movie actors, Disney actors, Actors from Houston, Texas, 1989 births, Living people
Robert Kiprono Cheruiyot	Kenyan people, 1988 births, Living people, Competitors in athletics
Bellatrix Lestrange	Harry Potter characters, Fictional characters introduced in 2003
Long Wittenham	Villages in England
Hitoshi Morishita (footballer, born 1967)	1967 births, Living people, Footballers from Shizuoka Prefecture
Masahiko Kuboyama	1964 births, Living people, Footballers from Shizuoka Prefecture
Hitoshi Tomishima	1964 births, Living people, Footballers from Kumamoto Prefecture
Sun Xiang	1982 births, Living people, Chinese footballers
