Appomattox Court House	American Civil War
Chiniot District	Districts of Punjab (Pakistan), Faisalabad Division
Como La Flor (song)	1992 songs, Selena songs, Songs written by A.B. Quintanilla, Spanish-language songs
Spyware removal software	Spyware
Thul Taluka	Talukas of Sindh, Jacobabad District
Kamakura, Kanagawa	Cities in Kanagawa Prefecture, 1192 establishments, 1190s establishments in Japan
Concepción	1550 establishments, Concepción, 1550s establishments in South America, 16th-century establishments in Chile
Mass versus weight	Matter, Physics
Microsoft Security Essentials	Microsoft software, Antivirus software
Down by Law (band)	1990s American music groups, 2000s American music groups, 2010s American music groups, American punk bands, Musical groups from Los Angeles, California
Bhagat Singh	1907 births, 1931 deaths
Wisdom teeth	Teeth
Sebastián Piñera	1949 births, Living people, Chilean politicians, Current national leaders, Presidents of Chile, Chilean businesspeople, Billionaires, People from Santiago
Kamakura period	Periods in Japanese history, Samurai, 12th-century establishments in Japan, 1330s disestablishments in Japan, 1333 disestablishments, 1185 establishments
American Football Conference	National Football League
Tuned mass damper	Earthquake engineering
Nelsinho Baptista	1950 births, Living people, Brazilian footballers
Cesare Prandelli	1957 births, Living people, Italian footballers, Italian football managers
Gerhard Domagk	1895 births, 1964 deaths, German doctors, German Nobel Prize winners
Tomoyoshi Ikeya	1962 births, Living people, Footballers from Shizuoka Prefecture
Henrik Dam	1895 births, 1976 deaths, Danish scientists, Biochemists, Danish Nobel Prize winners
Josip Kuže	1952 births, 2013 deaths, Croatian footballers
Cairo International Book Fair	Cairo, 1969 establishments, 20th-century establishments in Egypt
Park Kyung-Hwan	1976 births, Living people, South Korean footballers
Alexander Alekhine	Russian chess players, 1946 deaths, 1892 births
Smoke grenade	Toys, Weapons, Law enforcement equipment
Kōan (Kamakura period)	Japanese eras, 1278 establishments, 13th-century establishments in Japan, 1288 disestablishments, 13th century disestablishments in Japan
Elevated building foundation	Earthquake engineering
Kenji (era)	Japanese eras, 1270s in Japan
Seismic load	Earthquake engineering
Henry Wadsworth Longfellow	1807 births, 1882 deaths, 19th-century American poets, Writers from Massachusetts, Writers from Maine, People from Portland, Maine, People from Cambridge, Massachusetts
Bun'ei	Japanese eras, 1260s in Japan, 1270s in Japan
Boston Police Strike	1919 in the United States, 20th century in Boston, Massachusetts, Law enforcement in the United States, Protests in the 1910s
Panama City	National capitals in North America, Cities in Central America, Settlements in Panama
Nobuyuki Uenoyama	1957 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Josep María Comadevall	1983 births, Living people, Spanish footballers
Henk ten Cate	1954 births, Living people, Dutch footballers, Dutch football managers, Sportspeople from Amsterdam, Eredivisie managers
Edson Aparecido de Souza	1962 births, Living people, Brazilian footballers
Edson Rodrigues	1967 births, Living people, Brazilian footballers
Dan Ito	1975 births, Living people, Footballers from Hokkaidō Prefecture
Noriyuki Kawamata	1967 births, Living people, Footballers from Saitama Prefecture
Takeshi Satouchi	1957 births, Living people, Footballers from Shiga Prefecture
Billy Budd (opera)	Compositions by Benjamin Britten, 1950s operas, 1951
Toru Yoshida	1965 births, Living people, Footballers from Iwate Prefecture
Matsuichi Yamada	1961 births, Living people, Footballers from Shizuoka Prefecture
Motoaki Inukai	1942 births, Living people, Footballers from Saitama Prefecture
Kōan (Muromachi period)	Japanese eras, 1361 establishments, 1360s establishments in Japan, 1362 disestablishments, 1360s disestablishments in Japan
Samarkand	World Heritage Sites in Asia, Cities in Uzbekistan
Kōchō	Japanese eras, 1261, 1262, 1263, 1264, 1260s in Japan
Arovell Verlag	Book publishing companies, 1991 establishments in Europe, 1990s establishments in Austria
Powder monkey	Childhood, War, Occupations, Sailing
Seismic analysis	Earthquake engineering, Modeling, Research
Wiener Werkstattpreis	Literary awards
Petting, Germany	Villages in Bavaria
Japanese American internment	1940s in the United States, Crimes against humanity, Franklin D. Roosevelt, Imprisonment and detention, World War II, Concentration camps
Feldkircher Lyrikpreis	Literary awards, Austrian culture, Vorarlberg
Inferno Metal Festival	Oslo, Music festivals, Festivals in Europe
Sailing ship	Ships
Weather radar	Meteorology
Hominid (novel)	2008 books, Novels
Impressment	Navy
Naïve	Human behavior
Bun'ō	Japanese eras, 1260, 1261, 1260s in Japan
Miodrag Božović	1968 births, Living people, Montenegrin footballers
Kenichi Sugano	1971 births, Living people, Footballers from Kanagawa Prefecture
Lawar	Thai food
Strength training	Fitness
Naohiko Minobe	1965 births, Living people, Footballers from Shiga Prefecture
Hitoshi Nakata	1962 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Karin Gayer	Austrian writers, 1969 births, Living people
Franzobel	1967 births, Austrian writers, Austrian poets, Living people
German National Library	Buildings and structures in Frankfurt, Buildings and structures in Saxony, Leipzig, Libraries in Germany, National libraries in Europe
Intonation (linguistics)	Linguistics
Heinz Gerstinger	1919 births, 2016 deaths, Austrian historians, Austrian playwrights, Writers from Vienna
Ingrid Reichel	1961 births, Living people, Austrian painters, Austrian writers, Essayists, People from Lower Austria
Absurdism	Philosophical movements and positions
Elpídio Silva	1975 births, Living people, Brazilian footballers
Takahiro Shimada	1965 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Ryuji Ishizue	1964 births, Living people, Footballers from Hyōgo Prefecture
Shuichi Mase	1973 births, Living people, Footballers from Mie Prefecture
Tropical Storm Grace (2009)	2009 Atlantic hurricane season, Atlantic tropical storms, October 2009 events
Amar Osim	1967 births, Living people, Bosnia and Herzegovina footballers, Bosnia and Herzegovina football managers, People from Sarajevo
Be Good to Me	2006 songs
Emperor Kameyama	Emperors of Japan, 1249 births, 1305 deaths
National Diet Library	National libraries in Asia, Buildings and structures in Japan, 1948 establishments in Asia, 1940s establishments in Japan
Weight training	Fitness
Gang	Gangs
Folk metal	Heavy metal subgenres
Ensiferum	Finnish heavy metal bands, Folk metal bands, Musical groups from Helsinki, Musical groups established in 1995, 1995 establishments in Europe, 20th century establishments in Finland
Shōgen	Japanese eras, 1259, 1260, 1250s in Japan, 1260s in Japan
Kenichiro Tokura	1971 births, Living people, Footballers from Kanagawa Prefecture
Gahkuch	Cities in Pakistan
Sicilian defence	Chess openings
King's Gambit	Chess openings
Celtic Sea	Seas of the Atlantic Ocean, Bodies of water of Europe
Réti opening	Chess openings
Barbed wire	Security, Ranching, War
Balanced budget amendment	United States Constitution
Howard Staunton	1810 births, 1874 deaths, British chess players, English writers
Syncope	Symptoms
English opening	Chess openings
Sebastián Pardo	1982 births, Living people, Chilean footballers, People from Quillota
Goran Rubil	1981 births, Living people, Croatian footballers
Carlos Alberto Dias	1967 births, Living people, Brazilian footballers, People from Brasília
Claiton Fontoura dos Santos	1978 births, Living people, Brazilian footballers, People from Porto Alegre
Reinaldo Vicente Simão	1968 births, Living people, Brazilian footballers
Ovidiu Burcă	1980 births, Living people, Romanian footballers
Jussiê Ferreira Vieira	1983 births, Living people, Brazilian footballers
Oh Jang-Eun	1985 births, Living people, South Korean footballers
Caíco	1974 births, Living people, Brazilian footballers, People from Porto Alegre
Argélico Fuchs	1974 births, Living people, Brazilian footballers, Brazilian football managers
Henrique Arlindo Etges	1966 births, Living people, Brazilian footballers
Moacir Rodrigues Santos	1970 births, Living people, Brazilian footballers
Emerson Orlando de Melo	1973 births, Living people, Brazilian footballers
Claudio Ubeda	1969 births, Living people, Argentine footballers
Christoffer Andersson	1978 births, Living people, Swedish footballers
Shōan	Japanese eras, 1299, 1300s in Japan
Kengen	Japanese eras, 1302, 1303, 1300s in Japan
Jimmy Connors	1952 births, American male tennis players, Australian Open champions, Living people, People from East St. Louis, Illinois, Sportspeople from Illinois, US Open (tennis) champions, Wimbledon champions, World No. 1 tennis players
Kagen	Japanese eras, 1303, 1304, 1305, 1306, 1300s in Japan
Westport, Connecticut	Towns in Connecticut
Wofford College	Colleges and universities in South Carolina
Tokuji	Japanese eras, 1306, 1307, 1308, 1300s in Japan
Enkyō (Kamakura period)	Japanese eras, 1308 establishments, 14th century establishments in Japan, 1311 disestablishments, 14th century disestablishments in Japan
Preparatory school	Schools, Types of educational institutions
OR gate	Logic gates
Ōchō	Japanese eras, 1311 establishments, 1310s establishments in Japan, 1312 disestablishments, 1310s disestablishments in Japan
NOR gate	Logic gates
XOR gate	Logic gates
Hollywood Undead	Hip hop bands, Musical groups from Los Angeles, California
Erik Edman	1978 births, Living people, Swedish footballers
Magnus Hedman	1973 births, Living people, Swedish footballers, Association football goalkeepers
Ludovic Magnin	1979 births, Living people, Swiss footballers, Swiss football managers, People from Lausanne
Takashi Umeda	1976 births, Living people, Footballers from Gifu Prefecture
Yohei Fukumoto	1987 births, Living people, Footballers from Oita Prefecture
Marcelo Chamusca	1966 births, Living people, Brazilian footballers, Brazilian football managers, People from Salvador, Bahia
Manabu Komatsubara	1981 births, Living people, Footballers from Gunma Prefecture
Shinichi Terada	1985 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Naruyuki Naito	1967 births, Living people, Footballers from Nara Prefecture
Július Bielik	1962 births, Living people, Slovak footballers
Tigran Petrosian	1929 births, 1984 deaths, Chess grandmasters, People from Tbilisi, Armenian people
Mikkel Kessler	Boxers, Danish sportspeople, People from Copenhagen, 1979 births, Living people
Line-item veto	Legal terms
Milton Friedman	1912 births, 2006 deaths, American agnostics, American economists, American Nobel Prize winners, Deaths from heart failure, Jewish American academics, Jewish American scientists, Jewish Nobel Prize winners, Libertarians, Republicans (United States), Scientists from San Francisco, Scientists from Chicago, Scientists from New Jersey, Scientists from New York City, Writers from San Francisco, Writers from Chicago, Writers from New Jersey, Writers from New York City
Electron configuration	Chemistry
Asuka period	Periods in Japanese history, 538 establishments, Establishments in Japan, 710s disestablishments in Japan, 6th century establishments in Asia
Marie Byrd Land	Geography of Antarctica
American Ornithologists' Union	Birds
Freedom, New Hampshire	Cities in New Hampshire
Constantinople Conference	1870s in Europe, 1876, 1877, History of Turkey
Demetri Martin	1973 births, Living people, Actors from New Jersey, Actors from New York City, Comedians from New Jersey, American movie actors, American stand-up comedians, American television actors, American television personalities, American television producers, American television writers, Comedy Central personalities, Writers from New Jersey, Writers from New York City, Comedians from New York City
Indian Removal Act	1830 in the United States, Andrew Jackson, United States federal legislation, Native American
John Wall	1990 births, American basketball players, Washington Wizards players, Sportspeople from North Carolina, Living people
Don Goodman	1966 births, Living people, English footballers, People from Leeds
Ricardo Cabanas	1979 births, Living people, Swiss footballers, Sportspeople from Zürich
Yuki Maki	1984 births, Living people, Footballers from Kumamoto Prefecture
Casting Crowns	Grammy Award winners, Christian rock bands, Musical groups from Florida, 1999 establishments in the United States, Musical groups established in 1999, 1990s establishments in Florida
Shigeyoshi Suzuki	1902 births, 1971 deaths, Footballers from Fukushima Prefecture, Japan international footballers, Japanese football managers, Japan national football team managers
Danny Blind	1961 births, Living people, Dutch football managers, Dutch footballers, Eredivisie managers, People from Vlissingen, Sportspeople from Zeeland
The Zephyr Song	2002 songs, Red Hot Chili Peppers songs
Amtrak	Amtrak
Dirk Lehmann	1971 births, Living people, German footballers, People from Aachen, Sportspeople from North Rhine-Westphalia
José Roberto de Oliveira	1980 births, Living people, Brazilian footballers
Robert Pereira da Silva	1985 births, Living people, Brazilian footballers
Atlético Clube Goianiense	Brazilian football clubs, Goiás
José Ricardo dos Santos Oliveira	1984 births, Living people, Brazilian footballers, Paraíba
Paulo Jamelli	1972 births, Living people, Brazilian footballers
Eugène Terre'Blanche	1941 births, 2010 deaths, Afrikaner people, Murder victims, People convicted of assault, People convicted of attempted murder, South African politicians
Emperor Kōshō	Emperors of Japan
Emperor Kōan	Emperors of Japan
Emperor Kōrei	Emperors of Japan
Roanoke Island	Islands of the United States, Geography of North Carolina
Transcontinental Railroad	Rail transport in the United States
Emperor Kōgen	Emperors of Japan
Gukanshō	History of Japan, 13th century books
Emperor Kaika	Emperors of Japan
Emperor Sujin	Emperors of Japan
Soda bread	Breads, Irish food
Anne of Denmark	1574 births, 1619 deaths, Kings and Queens consort of England
Henry Frederick, Prince of Wales	House of Stuart, 1594 births, 1612 deaths, Deaths from typhoid fever
Maurício Rodrigues Alves Domingues	1978 births, Living people, Brazilian footballers
Donald-Olivier Sié	1970 births, Living people, Ivorian footballers
Adriano Pimenta	Brazilian footballers, 1982 births, Living people, Goiânia
Marc Wilmots	1969 births, Living people, Belgian footballers, Belgian football managers, People from Walloon Brabant
Taro Ichiki	1976 births, Living people, Footballers from Tokyo Prefecture
Oséas	1971 births, Living people, Brazilian footballers, People from Salvador, Bahia
Hidetoki Takahashi	1916 births, 2000 deaths, Footballers from Fukushima Prefecture, Japanese football managers, Kashiwa Reysol players, Japan national football team managers
Flavio Elias Cordeiro	1975 births, Living people, Brazilian footballers
Kim Geun-Chol	1983 births, Living people, South Korean footballers
Censorship by Google	Google, Censorship
Myoglobin	Proteins, Iron compounds
Proxy marriage	Marriage
Hyperkalemia	Health problems
Sophie of Mecklenburg-Güstrow	1557 births, 1631 deaths, Kings and Queens of Denmark, Kings and Queens consort
Frederick II of Denmark	1534 births, 1588 deaths, Kings and Queens of Denmark, Kings and Queens of Norway
Emperor Suinin	Emperors of Japan
Lisa Della Casa	1919 births, 2012 deaths, European opera singers, Sopranos, Swiss singers
Samoyed (dog)	Dog breeds
Emperor Hanzei	Emperors of Japan
Title role	Performing arts
Character actor	Actors
Giulio Caccini	1551 births, 1618 deaths, Italian composers, Baroque composers, Renaissance composers
Free Soil Party	Political parties in the United States
The Jungle	English-language novels, History of Chicago, 1906 books
Emperor Keikō	Emperors of Japan
James Francis Edward Stuart	1688 births, 1766 deaths, British Roman Catholics, House of Stuart, Jacobite pretenders
Prince of Orange	House of Bourbon, House of Hohenzollern, House of Orange-Nassau, Princes and princesses, States of the Holy Roman Empire
Danny Jacobs (actor)	1968 births, Living people, American voice actors, American comedians, American movie actors, American television actors, Comedians from Michigan, Actors from Detroit, Michigan
Invitation to William	17th century in England, 1688, 1680s in Europe
Válber Costa	1977 births, Living people, Brazilian footballers
Royal house	Royalty and nobility
Andre Luis Neitzke	1986 births, Living people, Brazilian footballers
Yu Hasegawa	1987 births, Living people, Footballers from Yamanashi Prefecture
Alex Oliveira	1978 births, Living people, Brazilian footballers
Leandro Cesar de Souza	1979 births, Living people, Brazilian footballers
Hiroshi Hirakawa	1965 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Yokohama F. Marinos players, Yokohama Flügels players, Hokkaido Consadole Sapporo players
Satoshi Tezuka	1958 births, Living people, Footballers from Tochigi Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Shonan Bellmare players
Hiromitsu Horiike	1971 births, Living people, Footballers from Shizuoka Prefecture
Toshihiro Uchida	1972 births, Living people, Footballers from Nagasaki Prefecture
Kim Yong-sik	1910 births, 1985 deaths, Japanese footballers, South Korean footballers, South Korean football managers, Japan international footballers, Footballers at the 1936 Summer Olympics
Understudy	Theater, Opera
Lady Anne Hyde	1638 births, 1671 deaths, British royalty
Bill of Rights 1689	17th century in England, British monarchy, Acts of the Parliament of the United Kingdom, 1689, 1680s in Europe
Wilhelm Steinitz	1836 births, 1900 deaths, American chess players, Austrian Jews, Austrian sportspeople, Czech Jews, Jewish American sportspeople, Naturalized citizens of the United States, Sportspeople from Prague
Emperor Seimu	Emperors of Japan
List of chess terms	Chess lists, Glossaries
Emperor Chūai	Emperors of Japan
Empress Jingū	Emperors of Japan
Hypermodern	Chess
Confidence interval	Statistics
Emperor Richū	Emperors of Japan
Jacobitism	Jacobitism
Tadao Horie	1913 births, 2003 deaths, Footballers from Shizuoka Prefecture, Japan international footballers, Footballers at the 1936 Summer Olympics
Maksim Shatskikh	1978 births, Living people, Uzbekistani people, Asian footballers
John Churchill, 1st Duke of Marlborough	1650 births, 1722 deaths, British Army generals, English Barons, English Earls, English Dukes, Scottish nobility
Pierre Njanka	1975 births, Living people, Cameroonian footballers
Rigobert Song	1976 births, Living people, Cameroonian footballers
Wolfgang Feiersinger	1965 births, Living people, Austrian footballers, Players of the Austrian national football team, FC Red Bull Salzburg players
Ernst Happel	1925 births, 1992 deaths, Austria national football team managers, Austrian football managers, Austrian footballers, Sportspeople from Vienna, Players of the Austrian national football team, Eredivisie managers
Baboon	Old World monkeys
Friedrich Koncilia	1948 births, Living people, Austrian footballers, Association football goalkeepers, People from Klagenfurt, Players of the Austrian national football team
Toni Polster	1964 births, Living people, Austrian footballers, Players of the Austrian national football team
Daisuke Saito (born in 1980)	1980 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Naohito Hirai	1978 births, Living people, Footballers from Kyoto
Emperor Nintoku	Emperors of Japan
Irukandji jellyfish	Animals of Australia, Jellyfish
Emperor Yūryaku	Emperors of Japan
Kia Carens	Kia automobiles
Renault FR1	Renault automobiles, Buses
Kia Soul	Kia automobiles, 2000s automobiles, 2010s automobiles
Kia Rio	Kia automobiles
Kia Magentis	Kia automobiles
Kia Carnival	Kia automobiles
Kia cee'd	Kia automobiles
Volkswagen Touran	Volkswagen automobiles
Rade Bogdanović	1970 births, Living people, Serbian footballers, People from Sarajevo
Atsushi Katagiri	1983 births, Living people, Footballers from Gifu Prefecture
Carlos Gamarra	1971 births, Living people, Paraguayan footballers
Flávio Conceição	1974 births, Living people, Brazilian footballers
Kei Kinoshita	1971 births, Living people, Footballers from Tottori Prefecture
Nariyasu Yasuhara	1968 births, Living people, Footballers from Aichi Prefecture
Masafumi Nakaguchi	1972 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Emperor Ankan	Emperors of Japan
Emperor Senka	Emperors of Japan
Afrikaner Weerstandsbeweging	Political parties in South Africa, Nationalist organizations in South Africa, Rebel militia groups in Africa, 1973 establishments in Africa, Fascism, 20th-century establishments in South Africa
XNOR gate	Logic gates
Efim Bogolyubov	1889 births, 1952 deaths, German chess players, Ukrainian chess players, Chess grandmasters
Imperial Household Agency	History of Japan, Japanese imperial family
Operating environment	Operating systems
Adelong, New South Wales	Towns in New South Wales
Cole Porter	1891 births, 1964 deaths, 20th century composers, American composers, American songwriters, Deaths from renal failure, Disease-related deaths in California, Gay men, LGBT composers, LGBT people from Indiana, LGBT songwriters, Musicians from Indiana, Writers from Indiana, Yale University alumni
Jan van Riebeeck	1619 births, 1677 deaths, Cape Town, Governors, Politicians from Gelderland
Measles	Diseases caused by viruses
Emperor Seinei	Emperors of Japan
Xiphactinus	Extinct fish, Fossils
Emperor Kenzō	Emperors of Japan
Kofun	History of Japan, Burial monuments and structures
Chess and computers	Chess, Computers
Julio César Romero	1960 births, Living people, Paraguayan footballers
Lee Jong-Min	1987 births, Living people, South Korean footballers
Sin Byung-Ho	1977 births, Living people, South Korean footballers
Fernando Almeida de Oliveira	1978 births, Living people, Brazilian footballers
Derlis Florentín	1984 births, 2010 deaths, Paraguayan footballers
An Sun-Jin	1975 births, Living people, South Korean footballers
Joseph-Désiré Job	1977 births, Living people, Cameroonian footballers
Terry Venables	1943 births, Living people, English footballers, English football managers, England national football team managers, Sportspeople from London, Crystal Palace F.C. players, Tottenham Hotspur F.C. players
Shingo Hyodo	1985 births, Living people, Footballers from Nagasaki Prefecture
Takayuki Nishigaya	1973 births, Living people, Footballers from Shizuoka Prefecture
Chess notation	Chess, Notation
Akiba Rubinstein	1882 births, 1961 deaths, Jewish sportspeople, Polish chess players, Polish Jews, Chess grandmasters
Martín Chambi	1891 births, 1973 deaths, Peruvian people, Photographers
Kia Venga	Kia automobiles, 2000s automobiles, 2010s automobiles
Reception history of Jane Austen	Jane Austen
List of chess openings	Chess openings, Chess lists
Emperor Ninken	Emperors of Japan
Emperor Buretsu	Emperors of Japan
Prefectures of Japan	Prefectures of Japan
List of Provinces of Japan	Former provinces of Japan, Japan-related lists
Gilberto Kassab	Brazilian politicians, Mayors, 1960 births, Living people
Terra nullius	Legal terms, Property
Free State (province)	Provinces of South Africa, 1994 establishments in South Africa
Orange Free State	1852 establishments, 19th-century establishments in South Africa, 1900s disestablishments in Africa, 1850s establishments in Africa, 1902 disestablishments
Bir Tawil	Territorial disputes, Geography of Egypt, Sudan
Hebe Camargo	1929 births, 2012 deaths, Deaths from cardiac arrest, Brazilian actors, São Paulo (state)
Sam Bradford	1987 births, American football quarterbacks, Arizona Cardinals players, Heisman Trophy winners, Living people, Minnesota Vikings players, Philadelphia Eagles players, Sportspeople from Oklahoma City, St. Louis Rams players
Olmedilla Photovoltaic Park	Solar power plants, Buildings and structures in Spain, 2008 establishments in Europe, 2000s establishments in Spain
Strasskirchen Solar Park	Buildings and structures in Bavaria, Power stations in Germany, Solar power plants
Hiroshi Noguchi	1972 births, Living people, Footballers from Ibaraki Prefecture
Siegbert Tarrasch	1862 births, 1934 deaths, German chess players, German doctors, Jewish German writers, Jewish sportspeople, People from former German territories, People from Wrocław
Tetsuya Takada	1969 births, Living people, Footballers from Hiroshima Prefecture, People from Hiroshima
Tadamichi Machida	1981 births, Living people, Footballers from Saitama Prefecture
Branko Hucika	1977 births, Living people, Croatian footballers, Sportspeople from Zagreb
Goran Vasilijević	1965 births, Living people, Serbian footballers
Owusu Benson	1977 births, Living people, Ghanaian footballers, People from Accra
Massimo Taibi	1970 births, Living people, Italian footballers, People from Palermo
Noureddine Naybet	1970 births, Living people, Moroccan footballers, People from Casablanca
Kim Hyun-Seok	1967 births, Living people, South Korean footballers
Kwanzaa	Holidays, 1966 establishments in the United States, African-American history, American culture, Pan-Africanism
Interventional Radiology	Medicine
Chess Olympiad	Chess competitions
Cassandra Austen	English artists, Jane Austen, People from Hampshire, 1773 births, 1845 deaths
Lord Mayor	Titles, Local government in the United Kingdom
Henry Dyck	1912 births, 1993 deaths, American Hockey Association (1926–42) players, Canadian ice hockey left wingers, Ice hockey people from Saskatchewan, New York Rangers players, People from Saskatoon, Eastern Hockey League players
Steve Wochy	1922 births, Canadian ice hockey right wingers, Detroit Red Wings players, Ice hockey people from Ontario, Living people, People from Thunder Bay
Fort William, Ontario	Former cities in Canada, Thunder Bay
Port Arthur Bearcats	Ice hockey teams in Ontario, Thunder Bay
Allan Cup	1909 establishments in Canada, Ice hockey trophies and awards
Pokémon Black and White	Nintendo DS games, Nintendo DS-only games, Pokémon RPGs
Adolf Anderssen	1818 births, 1879 deaths, German chess players, German mathematicians, People from former German territories, People from Wrocław
Bayesian network	Mathematics, Artificial intelligence
M1 Abrams	Tanks
Sexual intercourse	Biological reproduction, Human sexuality
Gerontology	Gerontology
George Lowe	Adult Swim
Andy Merrill	Adult Swim
Dana Snyder	1973 births, Living people, Adult Swim, American movie actors, American television actors, American voice actors, Actors from Pennsylvania, Actors from Las Vegas, Nevada, Comedians from Pennsylvania, People from Allentown, Pennsylvania
Todd Hanson	Year of birth missing (living people), Adult Swim, Living people, American writers
Unknown Hinson	Living people, Year of birth missing (living people), Adult Swim
Emperor Kinmei	509 births, 571 deaths, Emperors of Japan
Don Kennedy	1930 births, Living people, American voice actors, American television actors, Actors from Pennsylvania
Complex sentence	Sentences
Emperor Keitai	Emperors of Japan
Koshi Province	Former provinces of Japan, Niigata Prefecture, Fukui Prefecture, Toyama Prefecture
Dario Dabac	1978 births, Living people, Croatian footballers
Dragiša Binić	1964 births, Living people, Serbian footballers
Capone	1972 births, Living people, Brazilian footballers
Hamad Al-Montashari	1982 births, Living people, Saudi Arabian footballers, People from Jeddah
Kim Hwang-Jung	1975 births, Living people, South Korean footballers, People from Osaka
Dario Hübner	1967 births, Living people, Italian footballers
Masaki Ogawa	1975 births, Living people, Footballers from Shizuoka Prefecture
Osamu Maeda	1965 births, Living people, Footballers from Fukuoka Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Yokohama Flügels players, 1988 AFC Asian Cup players
Masato Fue	1973 births, Living people, Footballers from Kagoshima Prefecture
Takayuki Fujikawa	1962 births, Living people, Footballers from Kanagawa Prefecture
Arthur Friedenreich	1892 births, 1969 deaths, Brazilian footballers
