Sara Loren	Living people, Pakistani movie actors
Krister Henriksson	1946 births, Living people, Swedish movie actors, Swedish television actors
Sarah Shahi	1980 births, Living people, American movie actors, American television actors, Models from Texas, Actors from Texas
North Shore Channel	Canals, Geography of Chicago
Nguyễn Minh Triết	1942 births, Living people, Presidents of Vietnam
Nguyễn Tấn Dũng	1949 births, Prime Ministers of Vietnam, Living people
Philippe Gondet	1942 births, 2018 deaths, French footballers, People from Centre-Val de Loire
Nguyễn Xuân Phúc	1954 births, Living people, Current national leaders, Prime Ministers of Vietnam, Presidents of Vietnam
Didier Couécou	1944 births, Living people, French footballers, French football managers
Nguyễn Thiện Nhân	Vietnamese politicians
Frances Crowe	1919 births, 2019 deaths, Deaths from heart failure, American centenarians, American activists, People from Missouri, People from Vermont
The Shape of Water	Academy Award winning movies, Golden Globe Award winning movies, 2017 drama movies, 2010s fantasy movies, American drama movies, American fantasy movies, Canadian drama movies, Mexican movies, BAFTA Award winning movies, Movies set in Baltimore, Maryland, Movies set in the 1960s, Movies directed by Guillermo del Toro
Oxalaia	Spinosauridae, Cretaceous dinosaurs
Ichthyovenator	Spinosauridae, Cretaceous dinosaurs
Trần Đức Lương	1936 births, Living people, Presidents of Vietnam
Phan Văn Khải	1933 births, 2018 deaths, Prime Ministers of Vietnam
Your Name (album)	2016 albums, Rock albums
Nguyễn Thị Bình	1927 births, Living people, Vice Presidents of Vietnam
Andrés Manuel López Obrador	1953 births, Living people, Presidents of Mexico, Current national leaders, Democratic socialists
David Coventry	1969 births, New Zealand writers, Living people
Shanghai Water Gate Museum	Buildings and structures in Shanghai
Bryson Tiller	Living people, 1993 births
Bond energy	Chemical bonding, Energy
Phạm Văn Đồng	Vietnamese politicians
Lê Duẩn	General Secretaries of the Central Committee of the Communist Party of Vietnam, 1907 births, 1986 deaths
Shilpa Anand	Living people, Year of birth missing (living people), Indian actors
Võ Văn Kiệt	Prime Ministers of Vietnam, 1922 births, 2008 deaths
Đổi mới	Politics of Vietnam
Camila (album)	2018 albums, Pop albums, Latin pop albums
Gert Brauer	1955 births, 2018 deaths, East German sportspeople, German footballers, Sportspeople from Thuringia
Yves Afonso	1944 births, 2018 deaths, French movie actors, French stage actors, French television actors, People from Bourgogne-Franche-Comté
Jimmy Armfield	1935 births, 2018 deaths, Deaths from non-Hodgkin lymphoma, Cancer deaths in England, English footballers, English football managers, Sportspeople from Lancashire
Ferdinand Saussure	Linguists, 1857 births, 1913 deaths, Swiss people
Sherry Ortner	1941 births, Living people, American anthropologists, Scientists from Newark, New Jersey
Jane Wagner	Drama Desk Award winners, Emmy Award winners, Peabody Award winners, 1935 births, Living people, American playwrights, American screenwriters, American television writers, American television directors, American television producers, American stage actors, Lesbian feminists, LGBT actors, LGBT writers, LGBT people from Tennessee, Actors from Tennessee, Writers from Tennessee
Bruno Giacosa	1929 births, 2018 deaths, Deaths from stroke, Cardiovascular disease deaths in Italy, Italian businesspeople
United States federal government shutdown of 2018	2018 in the United States, Government of the United States, January 2018 events
Spinosauridae	Spinosauridae
Romana Acosta Bañuelos	1925 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in California, Businesspeople from Arizona, Treasurers of the United States, Politicians from Arizona, US Republican Party politicians
Mary Ellen Withrow	1930 births, Living people, Treasurers of the United States, Politicians from Ohio, US Democratic Party politicians
Pathet Lao	Communism, Organizations based in Asia, Laos
Battle of Route Coloniale 4	20th century in Vietnam, 1950, 1950s in Asia
Gulberg, Lahore	Towns in Lahore
Deferred Action for Childhood Arrivals	Barack Obama, Donald Trump, 2014 establishments in the United States, Immigration, 2017 disestablishments in the United States
Niles, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Siamosaurus	Dinosaurs, Spinosauridae, Cretaceous dinosaurs
Cristatusaurus	Spinosauridae, Cretaceous dinosaurs, Dinosaurs of Africa
Al-Qassim Region	Saudi Arabia, Regions
Eric Wiebes	1963 births, Living people, Deputy government ministers of the Netherlands, Aldermen of the Netherlands, Dutch civil servants, Government ministers of the Netherlands, People from Delft, People's Party for Freedom and Democracy politicians, Politicians from South Holland
APEX flight academy	Aviation, 2014 establishments in Asia, 21st century establishments in Taiwan
General Santos City	Cities in the Philippines
Vietnam People's Public Security	Vietnam
Iloilo City	Cities in the Philippines
Mu (unit of area)	Units of area
Lucena City	Cities in the Philippines
Second Rutte cabinet	Cabinets of the Netherlands, 2010s establishments in the Netherlands, 2012 establishments in Europe
Jolly Grant Airport	Airports in Asia, Buildings and structures in India
John Byron (died 1623)	1562 births, 1623 deaths, English people, Knights, Byron family
John Byron (died 1600)	1520s births, 1600 deaths, English people, People from Lancashire, Byron family, Knights, People from Nottinghamshire
John Byron (died 1567)	1488 births, 1567 deaths, Politicians from Nottinghamshire, Byron family, Knights, People from Nottinghamshire
Nicolas Byron	1416 births, 1503 deaths, English people, Byron family, Knights of the Bath
John Byron (died 1450)	1386 births, 1450 deaths, English nobility, Former members of the British House of Commons for English constituencies, People from Lincolnshire, Politicians from Lancashire
Sigilmassasaurus	Cretaceous dinosaurs, Spinosauridae
Suchosaurus	Spinosauridae, Cretaceous dinosaurs
Complex analysis	Mathematics
Miyako Sumiyoshi	1987 births, 2018 deaths, Japanese sportspeople, Olympians
Reinier Kreijermaat	1935 births, 2018 deaths, Dutch footballers, Sportspeople from Utrecht (city)
Beihang University	1952 establishments in Asia, Technical colleges and universities in Asia, Colleges and universities in Beijing
Dương Văn Minh	Generals, 1916 births, 2001 deaths, Vietnamese military people
Lari White	1965 births, 2018 deaths, Deaths from peritoneal cancer, Cancer deaths in Tennessee, American singer-songwriters, American movie actors, American country singers, American pianists, American country guitarists, Musicians from Florida, Singers from Florida, Writers from Florida, Actors from Florida
Primary peritoneal carcinoma	Cancer
Wyatt Tee Walker	1929 births, 2018 deaths, American civil rights activists, American theologians, American historians, American Christians, Writers from Massachusetts
Hugh Masekela	1939 births, 2018 deaths, 20th century composers, 21st century composers, Bandleaders, Deaths from prostate cancer, Jazz musicians, Jazz singers, South African entertainers, Trumpeters
Naomi Parker	1921 births, 2018 deaths, Models from Oklahoma, World War II people, People from Tulsa, Oklahoma
We Can Do It!	World War II, Feminism
Simon Shelton	1966 births, 2018 deaths, British television actors, British television presenters, Actors from London
Roveena	Canadian songwriters, Musicians from Toronto
Gordon the Big Engine	Thomas and Friends, Fictional characters
Toby the Tram Engine	Thomas and Friends, Fictional characters
Amiibo	Nintendo 3DS, Dolls
Camila Cabello	Singers, Cuban people, American singers, Pop musicians, R&B musicians
Swisscom	Telephone companies, Companies of Switzerland
Flag of Eritrea	National flags, Eritrea
Jozias van Aartsen	1947 births, Living people, Dutch civil servants, Dutch mayors, Dutch provincial politicians, Former members of the House of Representatives of the Netherlands, Government ministers of the Netherlands, People's Party for Freedom and Democracy politicians, Politicians from The Hague
Flag of Comoros	National flags, Comoros
Selma, Switzerland	Former municipalities of Graubünden
Rimbach-près-Masevaux	Communes in Haut-Rhin
Calanca, Switzerland	Municipalities of Graubünden, 2015 establishments in Switzerland
Flag of Tanzania	National flags, Tanzania
Bình Dương	Provinces of Vietnam
2018 Atlantic hurricane season	Atlantic hurricane seasons
Dawood Sarkhosh	Living people, 1971 births, Hazara people
Rajanpur	Cities in India
Miandam	Hill Stations in Pakistan
Leona Helmsley	Deaths from cardiovascular disease, American fraudsters, 1920 births, 2007 deaths, Cardiovascular disease deaths in the United States
Jack Ketchum	1946 births, 2018 deaths, Deaths from pancreatic cancer, Cancer deaths in New York City, American novelists, Writers from New Jersey, Screenwriters from New Jersey, People from Livingston, New Jersey
Billy Hancock	Musicians from Washington, D.C., Singers from Washington, D.C., American rock guitarists, American rock singers, American blues musicians, American jazz musicians, American country guitarists, American country singers, Deaths from cirrhosis, Disease-related deaths in Maryland, 1946 births, 2018 deaths
Chartchai Chionoi	1942 births, 2018 deaths, Deaths from pneumonia, People with Parkinson's disease, Thai sportspeople, Boxers, People from Bangkok
Phil Bredesen	1943 births, Living people, Governors of Tennessee, Politicians from New Jersey, Writers from New Jersey, Businesspeople from New Jersey, Writers from Tennessee, Mayors of Nashville, Tennessee, US Democratic Party politicians
Richard Fulton	1927 births, 2018 deaths, United States representatives from Tennessee, Mayors of Nashville, Tennessee, US Democratic Party politicians
Marilyn Lloyd	1929 births, 2018 deaths, Deaths from pneumonia, Infectious disease deaths in Tennessee, United States representatives from Tennessee, Businesspeople from Tennessee, Businesspeople from Arkansas, Politicians from Arkansas, US Democratic Party politicians
Robert Lowie	1883 births, 1957 deaths, American anthropologists
McKayla Maroney	American Olympic silver medalists, American Olympic gold medalists, American gymnasts, Sportspeople from California, 1995 births, Living people
Saulieu	Communes in Côte-d'Or
Tere Liye	Hindi-language television series, 2010 television series debuts, 2010 establishments in Asia, 2010s establishments in India, 2011 television series endings, 2010s disestablishments in India
Moshe Sharett	1894 births, 1965 deaths, Alumni of the London School of Economics, Former Members of Knesset, Government ministers of Israel, Israeli former political leaders, Israeli journalists, Jewish Israeli politicians, Jewish Israeli writers, Mapai politicians, Naturalized citizens of Israel, Prime Ministers of Israel, Ukrainian Jews, Zionists
Cobalt (Ontario)	Towns in Ontario
Trevor Kidd	1972 births, Brandon Wheat Kings players, Calgary Flames players, Canadian ice hockey goaltenders, Carolina Hurricanes players, Florida Panthers players, Living people, Spokane Chiefs players, Toronto Maple Leafs players, American Hockey League players, International Hockey League (1945–2001) players
Aquilegia	Plants of Pakistan
José S Carrión	1962 births, Living people, Spanish scientists, Spanish writers, People from the region of Murcia
Domestic yak	Bovines, Domesticated animals, Mammals of Pakistan, Mammals of Asia
Hackbridge railway station	Railway stations in London, 1868 establishments in the United Kingdom, 1860s establishments in England, Railway stations opened in 1868
Daniel Defoe	1660 births, 1731 deaths, English children's writers
White Americans	Society, Race, Ethnic groups in the United States
Carson Wentz	Philadelphia Eagles players, American football quarterbacks, 1992 births, Living people
Romani Americans	Ethnic groups in the United States, Roma
Banana squash	Cucurbitaceae, Fruits
Carl Emil Christiansen	1937 births, 2018 deaths, Danish footballers, Danish football managers
Ostafrikasaurus	Spinosauridae, Jurassic dinosaurs
Olivia Cole	Emmy Award winning actors, 1942 births, 2018 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Mexico, American movie actors, American television actors, American stage actors, American voice actors, Actors from Memphis, Tennessee
Marcos Carvajal	1984 births, 2018 deaths, Deaths from pneumonia, Colorado Rockies players, Florida Marlins players, Venezuelan sportspeople
Gonzalo Facio Segreda	1918 births, 2018 deaths, Deaths from pneumonia, People with Alzheimer's disease, Lawyers, Diplomats, Ambassadors to the United States, Costa Rican people
Renaud Gagneux	1947 births, 2018 deaths, 20th century composers, 21st century composers, Deaths from motor neurone disease, Disease-related deaths in France, French composers, People from Paris
Bristol stool scale	Gastroenterology, Physiology, Medical tests
Frank Varrichione	1932 births, 2018 deaths, Deaths from skin cancer, Cancer deaths in Massachusetts, Pittsburgh Steelers players, Los Angeles Rams players, Sportspeople from Massachusetts
Neagu Djuvara	1916 births, 2018 deaths, Deaths from pneumonia, Romanian historians, Essayists, Philosophers, Centenarians, Romanian journalists, Novelists, Romanian diplomats, People from Bucharest
Lyudmila Senchina	1950 births, 2018 deaths, Deaths from breast cancer, Russian singers, Russian movie actors, Soviet singers, Soviet movie actors, Ukrainian singers
Patrick Mazimhaka	1948 births, 2018 deaths, Civil servants, Rwandan people, African politicians
Gustav Gerneth	1905 births, 2019 deaths, German people, Supercentenarians
Megalosauroidea	Theropods
Revenue division	Local government in India
Alipurduar district	Districts of West Bengal
Purba Bardhaman district	Districts of West Bengal
Kolkata district	Districts of West Bengal
Aditi Sajwan	Indian television actors, Living people, 1991 births
Steve Foster	1946 births, 2018 deaths, Deaths from lung cancer, Cancer deaths in Australia, Australian singer-songwriters, Australian guitarists, Australian folk musicians, Australian pop musicians, Australian pop singers, Australian rock musicians, Australian rock singers, Banjo players, Musicians from South Australia
Jeff Colyer	1960 births, Living people, American physicians, Governors of Kansas, Lieutenant Governors of Kansas, US Republican Party politicians, 21st-century American politicians, Kansas Republicans
Elephant polo	Polo, Sport in India, Sport in Nepal, Sport in Sri Lanka, Sport in Thailand
Ikyawann	Hindi-language television series, Indian television series, 2017 Indian television series debuts, 2018 television series endings, 2018 disestablishments in India
Maillard reaction	Organic reactions, Chemistry
Arang Kel	Hill Stations in Pakistan
Neelum Valley	Valleys of Azad Kashmir
Elizabeth Hawley	1923 births, 2018 deaths, Journalists from Chicago
Flag of Zimbabwe	National flags, Zimbabwe
Brandon Hardesty	1987 births, Living people, Actors from Baltimore, Maryland, American Internet celebrities
Rimbachzell	Communes in Haut-Rhin
Wegscheid, Haut-Rhin	Communes in Haut-Rhin
Middle name	Names
Chips Hardy	1950 births, English novelists, English playwrights, English television writers, Screenwriters from London, Living people
Nick Palatas	1988 births, American movie actors, American television actors, Living people, Actors from Maryland, People from Bethesda, Maryland, American voice actors
Hiromu Nonaka	1925 births, 2018 deaths, Deaths from heart failure, Japanese politicians
Jacques Languirand	1931 births, 2018 deaths, Deaths from Alzheimer's disease, Canadian radio personalities, Canadian novelists, Canadian movie actors, Actors from Montreal, Writers from Montreal
Star India	Media in Asia, Companies of India
Caihong	Fossil taxa described in 2018
Kel	Hill Stations in Pakistan
Nguyễn Thị Kim Ngân	Vietnamese politicians
Jhelam Valley	Valleys of Azad Kashmir
Samahni Valley	Valleys of Azad Kashmir
Olivia Longott	1981 births, Living people, Actors from Brooklyn, Singers from New York City
Northwestern Memorial Hospital	Hospitals in the United States, Buildings and structures in Chicago, Illinois
Lingwa de planeta	Constructed languages
Folkspraak	Constructed languages
Qigong	Meditation, Chinese culture
Romagny, Haut-Rhin	Communes in Haut-Rhin
Arnold Roth	1929 births, Living people, American cartoonists, American illustrators, People from Philadelphia, Pennsylvania
Byron Langley	1926 births, 2018 deaths, Deaths from Alzheimer's disease, Politicians from North Dakota, US Democratic Party politicians
Javiera Muñoz	1977 births, 2018 deaths, Swedish singers, Pop singers, Latin singers
Dharmasena Pathiraja	1943 births, 2018 deaths, Deaths from respiratory tract infection, Sri Lankan movie directors, Screenwriters, Educators
Royal Galipeau	1947 births, 2018 deaths, Deaths from multiple myeloma, Cancer deaths in Ontario, Canadian businesspeople, Members of the House of Commons of Canada from Ontario
Mohammed Al-Mfarah	1945 births, 2018 deaths, Deaths from laryngeal cancer, Saudi Arabian people, Civil servants, Movie actors, Television actors, Stage actors, Movie directors, Movie producers, Playwrights
Goosebumps (TV series)	1995 American television series debuts, Canadian children's television series, American horror television series, American children's television series, 1998 television series endings, 1995 establishments in Canada, 1998 disestablishments in the United States, 1990s disestablishments in Canada, English-language television programs
Lurie Children's Hospital	Hospitals in the United States, Buildings and structures in Chicago, Illinois
Cyberchase	Emmy Award winning programs, American children's television series, Canadian children's television series, 2002 television series debuts
Erica Mena	1987 births, Living people
Rashidah Ali	1987 births, Living people
Test cricket	Cricket
Truist Park	Major League Baseball venues, Atlanta Braves, Sports buildings in Atlanta, Georgia
Nieuw-Vennep	Settlements in North Holland, Haarlemmermeer
Dennis Peron	1946 births, 2018 deaths, LGBT people from New York, Gay men, American political activists, American LGBT rights activists, Businesspeople from New York City, Writers from New York City, Writers from San Francisco, Businesspeople from San Francisco
Kabul ambulance bombing	2018 in Asia, 2010s explosions in Asia, 2010s in Afghanistan, 21st century in Kabul, Attacks on buildings and structures in 2018, Building bombings in Asia, Car and truck bombings in Asia, Crime in Afghanistan, Explosions in 2018, Explosions in Afghanistan, Islamic terrorist incidents in Asia, Islamic terrorist incidents in the 2010s, January 2018 events, Mass murder in 2018, Massacres in Asia, Suicide bombings in Asia, Suicide bombings in the 2010s, Suicide car and truck bombings, Taliban, Terrorist incidents in 2018, Terrorist incidents in Asia in the 2010s
Zhong Zhong and Hua Hua	2017 births, Individual animals, Monkeys, Living people
Larry Nassar	1963 births, Living people, American physicians, American sex offenders, American people convicted of assault, People from Michigan
Maryo J. de los Reyes	1952 births, 2018 deaths, Movie directors, Television directors, Filipino people, Deaths from myocardial infarction
Stephen Frears	1941 births, Living people, English movie directors, English television directors
Flag of Mozambique	National flags, Mozambique
Flag of Kenya	National flags, Kenya
Roger Christian	1944 births, Living people, Movie directors from London, Academy Award winners
Flag of Portugal	National flags, Portugal
Michael Federmann	1943 births, Living people, Israeli businesspeople
Parathyroid glands	Glands, Endocrine system
DigiCel FlipBook	Software
Vicente Calderón Stadium	Football stadiums in Spain
Ford Fairlane (Americas)	Ford automobiles, 1950s automobiles, 1960s automobiles, 1970s automobiles
Kaduna State	States of Nigeria
Ford Country Squire	Ford automobiles, 1950s automobiles, 1960s automobiles, 1970s automobiles, 1980s automobiles, 1990s automobiles
Santa Clara Valley	Valleys of California, San Francisco Bay Area, San Benito County, California, Santa Clara County, California
Interslavic language	Slavic languages, Constructed languages
Judith Yovel Recanati	1951 births, Living people, Israeli businesspeople
Chico fruit	Tropical fruit
COLORS TV	Indian television, Television channels
Raciology	Race, Anthropology, Sociology
Dick King (politician)	1934 births, 2018 deaths, American educators, Politicians from Washington, US Democratic Party politicians
Central Java	Java, Provinces of Indonesia
Borys Yukhymovych Steklyar	1923 births, 2018 deaths, Military people, Spies, Ukrainian people
John Morris (composer)	1926 births, 2018 deaths, Deaths from respiratory tract infection, American composers, American pianists, American conductors, Writers from New Jersey
John Wall (inventor)	1932 births, 2018 deaths, British  engineers, English inventors, English astronomers, People from Kent
Antônio Agostinho Marochi	1925 births, 2018 deaths, Deaths from respiratory failure, Brazilian people, Roman Catholics
Ion Ciubuc	1943 births, 2018 deaths, Prime Ministers of Moldova
Coco Schumann	1924 births, 2018 deaths, Autobiographers, Guitarists, Holocaust survivors, Jazz musicians, Jewish German musicians, Jewish German writers, Musicians from Berlin, Writers from Berlin
National Harbor, Maryland	Census-designated places in Maryland
List of Google Easter eggs	Google
List of presidents of Israel	Presidents of Israel, Lists of Israeli people, Lists of heads of state
Eschweiler Hauptbahnhof	1841 establishments in Europe, 1840s establishments in Germany, Buildings and structures in North Rhine-Westphalia, Eschweiler, Railway stations in Germany
Flanders	Flanders, Divided regions
HaLikud	1973 establishments, 1970s establishments in Israel, Political parties in Israel, Zionist parties, Liberal parties
HaReshima HaMeshutefet	2015 establishments in Israel, Political parties in Israel
HaMahaneh HaTziyoni	2014 establishments in Israel, 2010s disestablishments in Asia, Former political parties in Israel, Zionist parties
Eduard Bloch	Austrian physicians
Thyroid hormones	Hormones
Mark Salling	1982 births, 2018 deaths, Actors from Dallas, Texas, Actors who committed suicide, American bass guitarists, American composers, American movie actors, American sex offenders, American singer-songwriters, American television actors, Criminals from Texas, Criminals who committed suicide, Musicians from Dallas, Texas, People convicted of child pornography offenses, Singers from Dallas, Texas, Suicide in 2018, Suicides by asphyxiation, Suicides by hanging in the United States, Writers from Texas
Clyde Scott	1924 births, 2018 deaths, American track and field athletes, Detroit Lions players, Philadelphia Eagles players, American Olympic silver medalists, Sportspeople from Louisiana
Kevin Towers	1961 births, 2018 deaths, Deaths from thyroid cancer, Cancer deaths in San Diego County, Businesspeople from Oregon, Sportspeople from Oregon, People from Medford, Oregon
Title	Titles
Detective Didi	Indian television series, 2017 Indian television series debuts
Jeet Gayi Toh Piya Morey	Indian television series, 2017 Indian television series debuts
Zindagi Ki Mehek	Hindi-language television series, 2016 Indian television series debuts
Mediacom	Television, Telephone companies, Internet service providers, American technology companies
Yacht charter management	Business
École nationale supérieure de mécanique et des microtechniques	Technical colleges and universities in France, 1902 establishments in France, Besançon
Newark, California	Cities in California, Cities in the San Francisco Bay Area, Settlements in Alameda County, California, 1955 establishments in California
Thapki Pyar Ki	Hindi-language television series, 2015 Indian television series debuts, 2017 Indian television series endings
Flag of Ethiopia	National flags, Ethiopia
Nihonium	Chemical elements, Metals
Parathyroid hormone	Hormones
MUFG Bank	2005 establishments in Japan, Banks
Bailout	Finance
Mark V. Campbell	Canadian academics, Musicians from Toronto
Moin Nawaz Warraich	1949 births, Living people
The Blackstone Group	1985 establishments in New York (state), Companies listed on the New York Stock Exchange, Companies based in New York City, American financial companies
Padmavati	Indian people, Rajputs
The Cat Concerto	1947 movies, Academy Award winners, American movies, American musical movies, 1940s comedy movies, Short movies
Hurricane Belle	Hurricanes in New York, 1976 in Canada, Category 3 Atlantic hurricanes, 1976 in the United States, 20th century in North Carolina, Hurricanes in New England
Rachel Clarke	English physicians, Filmmakers
Ricky Stenhouse Jr.	1987 births, Living people, NASCAR drivers
Flag of São Tomé and Príncipe	National flags, São Tomé and Príncipe
Flag of Cape Verde	National flags, Cape Verde
Video camera tube	Television technology, Electronic components
Bhootu	2017 Indian television series debuts
Martinism	History of Christianity
Deaths in February 2018	2018 deaths, February 2018 events
Niranjan Bhagat	1926 births, 2018 deaths, Deaths from stroke, Indian poets, Indian critics
Eddie Shaw	1937 births, 2018 deaths, Deaths from natural causes, Disease-related deaths in Chicago, Illinois, American blues musicians, American saxophonists, Musicians from Mississippi, Musicians from Chicago
Olavi Mäenpää	1950 births, 2018 deaths, Finnish politicians
Terry Van Ginderen	1931 births, 2018 deaths, Deaths from pneumonia, Belgian businesspeople, Television presenters
Rasual Butler	1979 births, 2018 deaths, Road accident deaths in California, Chicago Bulls players, Indiana Pacers players, Los Angeles Clippers players, Miami Heat players, New Orleans Hornets players, San Antonio Spurs players, Toronto Raptors players, Washington Wizards players, Sportspeople from Philadelphia, Pennsylvania
Oscar Gamble	1949 births, 2018 deaths, Deaths from jaw cancer, Chicago White Sox players, New York Yankees players, Chicago Cubs players, Philadelphia Phillies players, Cleveland Indians players, San Diego Padres players, Texas Rangers players, Sportspeople from Arkansas
Haim Gouri	1923 births, 2018 deaths, Israeli screenwriters, Poets, Novelists, Israeli journalists, Israeli movie directors, People from Tel Aviv
Leonid Kadeniuk	1951 births, 2018 deaths, Ukrainian people, Astronauts
Su Bai	1922 births, 2018 deaths, Chinese writers, Archaeologists
Sanskrit cinema	Cinema of India
List of towns in Lahore	Towns in Lahore, Lists of settlements in Asia, Pakistan-related lists
Aap Ke Aa Jane Se	2018 Indian television series debuts, Indian television series, Soap operas, 2018 establishments in India, 2018 television series debuts
Voot	Entertainment websites
Dark Rainbow	Indian movies
List of programs broadcast by Zee TV	Lists of Indian television series
Mimathyma ambica	Butterflies, National symbols of Pakistan
