Book of Enoch	Books of the Bible
Sport Club Internacional	Brazilian football clubs, Porto Alegre, 1909 establishments in Brazil
Guarani FC	Football clubs in São Paulo (state), 1911 establishments, 1910s establishments in Brazil
C.R. Flamengo	Brazilian football clubs
Grêmio Foot-Ball Porto Alegrense	Brazilian football clubs, Porto Alegre, 1903 establishments in South America, 1900s establishments in Brazil
Coritiba Foot Ball Club	Paraná State, Coritiba Foot Ball Club, 1909 establishments in Brazil
Sport Club do Recife	Brazilian football clubs, Recife, 1905 establishments in South America, 1900s establishments in Brazil
Esporte Clube Bahia	Brazilian football clubs, Salvador, Bahia, 1931 establishments in Brazil
Botafogo de Futebol e Regatas	Football clubs in Rio de Janeiro, 1904 establishments in South America, 1900s establishments in Brazil
Clube Atlético Paranaense	Brazilian football clubs, Curitiba, 1924 establishments in South America, 1920s establishments in Brazil
Santos FC	Football clubs in São Paulo (state), 1912 establishments in Brazil
Joseph Karl Stieler	1781 births, 1858 deaths, German painters, People from Mainz
List of The Real Ghostbusters episodes	Lists of animated television series episodes
New Mills	Towns in Derbyshire
Guido Westerwelle	1961 births, 2016 deaths, Cancer deaths in Germany, Deaths from leukemia, Disease-related deaths in North Rhine-Westphalia, Gay men, German lawyers, German LGBT people, Government ministers of Germany, LGBT lawyers, LGBT politicians, Politicians from North Rhine-Westphalia, Politicians of the Free Democratic Party of Germany, Vice Chancellors of Germany
Vancouver, Washington	Cities in Washington (U.S. state), County seats in Washington
Radiant heating	Construction, Heat
74 (number)	Integers
Top Gear	2002 television series debuts, 2000s British television series, 2010s British television series, BBC Television programmes, English-language television programs
Backpacking (wilderness)	Leisure, Camping
Châlons-en-Champagne	Communes in Marne, Departmental capitals in France
Nicolas Appert	1749 births, 1841 deaths, French inventors
Schulze method	Voting systems, Debian
The Man from Earth	2007 movies, American science fiction movies, American independent movies
Shaolin Monastery	Buildings and structures in China, Buddhist buildings, 5th century establishments in Asia, Establishments in China
Egyptian vulture	Accipitriformes, Birds of Africa, Birds of Europe, Birds of Asia, Vultures
Henan	Provinces of China
Pulp Fiction	1994 crime movies, 1994 drama movies, 1990s crime drama movies, Academy Award winning movies, American crime drama movies, BAFTA Award winning movies, English-language movies, Film noir, Golden Globe Award winning movies, Movies about drugs, Movies about murderers, Movies directed by Quentin Tarantino, Movies set in Los Angeles, California, Rape in movies, American independent movies
Soju	Alcoholic drink, Korean food
Goguryeo	History of Korea, Royal dynasties, 30s BC establishments
Wilhelm Pieck	1876 births, 1960 deaths, German atheists, Members of the Reichstag (Weimar Republic), Members of the Volkskammer, People from former German territories, Presidents of East Germany
Beth Elamen Cemetery	Beirut, Cemeteries, Buildings and structures in Lebanon
Broxbourne railway station	Railway stations opened in 1840, Railway stations served by National Express East Anglia, 1840 establishments in England
Daemon (computer software)	Servers
Overcharge	Business
Rye House railway station	Railway stations served by National Express East Anglia, 1843 establishments in Europe, 1840s establishments in England
List of London Underground stations	London Underground stations, London-related lists, Lists of railway stations in the United Kingdom
Ratatat	American rock bands, Electronic music bands, Musical groups from New York City
Binary form	Music theory
Bubble tea	Tea, Asian foods
An Jung-sik	1861 births, 1919 deaths, Korean people, Artists
Korean International School of Hong Kong	Schools in South Korea, 1988 establishments in Asia, 1980s establishments in South Korea
Cyon	Companies of South Korea, Technology companies of Asia, 1997 establishments in Asia, 1990s establishments in South Korea
Battle of the year	Dance
Takahiro Matsumoto	Living people, 1961 births, Japanese guitarists, People from Osaka Prefecture
Foot binding	Feet, History of China, Women
Udenhout	Settlements in North Brabant, Former municipalities of North Brabant, Tilburg
HY	Japanese rock bands, 2000 establishments in Japan
Mount Kisco	Villages in New York
Maslak USO Center	Buildings and structures in Turkey
Kinki Kids	J-pop bands, 1992 establishments in Japan
Scott Young (writer)	1918 births, 2005 deaths, Autobiographers, People from Manitoba, Canadian journalists, Canadian novelists, Elmer Ferguson Award winners
Scott Young (ice hockey b. 1967)	1967 births, American ice hockey players, American Olympic silver medalists, Colorado Avalanche players, Dallas Stars players, Hartford Whalers players, Living people, Mighty Ducks of Anaheim players, Pittsburgh Penguins players, Quebec Nordiques players, Sportspeople from Massachusetts, St. Louis Blues players, Stanley Cup champions
Scott Young (ice hockey b. 1965)	1965 births, American Hockey League players, Canadian ice hockey defencemen, Ice hockey people from Ontario, Living people
Pico da Neblina	Geography of Brazil, Mountains of South America, Amazonas (Brazil)
Amazonas (Brazilian state)	Amazonas (Brazil), States of Brazil
Jurua River	Rivers of Brazil, Rivers of Peru
Japurá River	Rivers of Brazil, Rivers of Colombia
Woolwich Arsenal station	Docklands Light Railway stations, Transport in Greenwich, London Travelcard zone 4, 1849 establishments in England
King George V DLR station	Docklands Light Railway stations, Transport in Newham, London Travelcard zone 3
London City Airport DLR station	Docklands Light Railway stations, Transport in Newham, London Travelcard zone 3
Pontoon Dock DLR station	London Travelcard zone 3, Docklands Light Railway stations
West Silvertown DLR station	Docklands Light Railway stations, Transport in Newham, London Travelcard zone 3
Canning Town station	London Travelcard zone 3, Docklands Light Railway stations
Critical thinking	Critical thinking
East India DLR station	Docklands Light Railway stations, Transport in Tower Hamlets, London Travelcard zone 2, London Travelcard zone 3
Blackwall DLR station	London Travelcard zone 2, Docklands Light Railway stations
Amazonas Region	Regions of Peru
Wayuu	Ethnic groups in South America, Colombia, Venezuela
Waxing	Care
Vinoba Bhave	1895 births, 1982 deaths, Indian revolutionaries, Nonviolence advocates
Cheongsam	Chinese culture, Dresses
Kikuyu	Kenyan people, Ethnic groups in Africa
Incheon International Airport	Airports in Asia, Buildings and structures in South Korea, Incheon, Transport in South Korea, 2001 establishments in Asia, 2000s establishments in South Korea
Lao language	Languages of Asia
Sukiyaki	Japanese food
Poplar DLR station	Docklands Light Railway stations, London Travelcard zone 2
Shawm	Early musical instruments, Woodwind instruments
Westferry DLR station	Docklands Light Railway stations, London Travelcard zone 2
Limehouse station	London Travelcard zone 2, Railway stations opened in 1840, Docklands Light Railway stations, 1840 establishments in England
Ripley, Derbyshire	Towns in Derbyshire
Shadwell DLR station	London Travelcard zone 2, Docklands Light Railway stations
Wide receiver	American football positions
Offensive linemen	American football positions
Purus River	Rivers of Brazil, Rivers of Peru, Rivers of Bolivia
Madeira River	Rivers of Brazil, Rivers of Bolivia
Putumayo River	Rivers of Colombia, Rivers of Ecuador, Rivers of Peru, Rivers of Brazil
Albert Jacka	1893 births, 1932 deaths, Victoria Cross winners, Australian military people, Politicians from Victoria (Australia), Mayors
Vaupés River	Rivers of Colombia
Yoruba people	Ethnic groups in Africa, Ethnic groups in Nigeria
Pennsylvania Cyber Charter School	Schools in Pennsylvania, 2000 establishments in the United States, 2000s establishments in Pennsylvania
International Union for the Conservation of Nature	International Union for the Conservation of Nature, 1948 establishments
Street dance	Dance types, Hip hop
Red-collared lorikeet	Birds of Australia, Lorikeets
Lee Yunjeong	Living people, 1976 births, South Korean singers, People from Seoul
Vacaville, California	Cities in California, Cities in the San Francisco Bay Area, Settlements in Solano County, California
Hearts of Iron	Real-time strategy video games, Video games developed in Sweden
20th Century Fox Games	Video game companies, Fox, Defunct companies
Cell biology	Cell biology
Lee Min Ho	Living people, 1987 births, South Korean movie actors, South Korean television actors, People from Seoul
Pentaport Rock Festival	Rock festivals, South Korean culture, Festivals in Asia, Incheon, 2006 establishments in Asia, 2000s establishments in South Korea
WJAC-TV	American television stations, Pennsylvania, 1949 establishments in the United States, 20th-century establishments in Pennsylvania
WPXI	American television stations, Pittsburgh, Pennsylvania, 1957 establishments in the United States, 1950s establishments in Pennsylvania
WIIC-TV	1957 establishments in the United States, 1950s establishments in Pennsylvania, 1981 disestablishments in the United States
Jacques-Louis David	1748 births, 1825 deaths, French politicians, People of the French Revolution
Popsicle	Desserts
WGAL	American television channels, NBC
Silvio Barbato	1959 births, 2009 deaths, Aviation deaths, Brazilian people, Italian conductors, Minas Gerais
Travelcard Zone 4	London Underground
Sexual fetishism	Human sexuality
Mark Martin	1959 births, Living people, NASCAR drivers, American racecar drivers
Hendrick Motorsports	NASCAR
Earnhardt Ganassi Racing	NASCAR
Roush Fenway Racing	NASCAR
Jack Roush	1942 births, Living people, NASCAR, Sportspeople from Kentucky
John W. Henry	1949 births, Living people, Businesspeople from Illinois
Photo booth	Photography, Commerce
Busan International Film Festival	Movie festivals, Busan, Festivals in Asia, 1996 establishments in Asia, 1990s establishments in South Korea
Oscar Peterson	1925 births, 2007 deaths, Canadian musicians, Deaths from renal failure, Jazz pianists, People from Montreal
Wonder Girls	South Korean musical groups, K-pop music groups, 2007 establishments in South Korea
All About Lily Chou-Chou	Japanese movies, 2001 movies
John Barbirolli	1899 births, 1970 deaths, British conductors, Companions of Honour, Knights Bachelor
John Galliano	1960 births, Living people, British fashion designers, British LGBT people, Gibraltar, LGBT fashion designers
Sasuke Uchiha	Naruto characters
Exclusive economic zone	Economic policy, International law, Oceans
Amar Shonar Bangla	Bangladesh, National anthems
Shin Seung-hun	South Korean singers, Living people, Year of birth missing (living people)
Munhwa Broadcasting Corporation	Television networks, Korean media
Travelcard Zone 1	London Underground, London Travelcard zone 1
Acton Town tube station	District Line stations, Piccadilly Line stations, London Travelcard zone 3
Aldgate tube station	Circle Line stations, Metropolitan Line stations, Tube stations in the City of London
Travelcard Zone 2	London Underground, London Travelcard zone 2
Aldgate East tube station	District Line stations, Hammersmith & City Line stations, Transport in Tower Hamlets, London Travelcard zone 1
All Saints DLR station	London Travelcard zone 2, Docklands Light Railway stations
Travelcard Zone 3	London Underground, London Travelcard zone 3
Alperton tube station	Piccadilly Line stations, Transport in Brent, London Travelcard zone 4
Angel tube station	Northern Line stations, London Travelcard zone 1, Tube stations in Islington
Amersham station	Metropolitan Line stations, Buckinghamshire, 1892 establishments in England
Travelcard Zone 5	London Underground, London Travelcard zone 5
Teddy boy	British culture, Fashion, 1950s
Shinee	K-pop music groups, R&B bands, South Korean boy bands, 2008 establishments in South Korea
Baskin-Robbins	American food companies, 1953 establishments
Kurt Busch	1978 births, Living people, NASCAR drivers, American racecar drivers, Sportspeople from Las Vegas, Nevada
Strike zone	Baseball rules
Team Penske	NASCAR, Formula One constructors, 1968 establishments, 2009 disestablishments, IndyCar Series
Chupa Chups	Companies of Spain, Food companies of Europe
Big Bang (band)	South Korean boy bands, K-pop music groups, 2006 establishments in Asia, 2000s establishments in South Korea
Hélio Castroneves	1975 births, Living people, Brazilian racecar drivers
Changdeokgung	Palaces, Buildings and structures in Seoul, World Heritage Sites in South Korea
Korea University	Schools in South Korea, 1905 establishments, 20th century establishments in South Korea, 1900s establishments in Asia
Joseph-Armand Bombardier	1907 births, 1964 deaths, Canadian inventors, People from Quebec
Earthship	Houses
Matt Kenseth	NASCAR drivers, 1972 births, Living people, American racecar drivers, Daytona 500 winners, Sportspeople from Wisconsin
Kittanning, Pennsylvania	County seats in Pennsylvania, 1724 establishments, Boroughs in Pennsylvania, Settlements established in the 18th century, 1720s establishments in the Thirteen Colonies, 18th-century establishments in Pennsylvania
Gastric dumping syndrome	Diseases and disorders of the digestive system
Richard Peddie	1947 births, Living people, Canadian sportspeople, Ice hockey people from Ontario
Webmail	Internet, E-mail
Club Penguin	Online games, Disney video games, Massively multiplayer online role-playing games
Crush syndrome	Syndromes
Culture shock	Anthropology
Modern dance	Dance types
Epik High	South Korean musical groups, 2003 establishments in South Korea
Ben Foster (footballer)	1983 births, Living people, English association football goalkeepers, Sportspeople from Warwickshire, Premier League players
Yonsei University	Schools in South Korea, 1885 establishments, 1880s establishments in Asia, Establishments in South Korea
Hankuk Academy of Foreign Studies	Schools in South Korea, 2004 establishments in Asia
El Clásico	Football in Spain
American Embassy School	Schools in India, New Delhi
Bungee jumping	Leisure, Sports
Blast fishing	Fishing
Nam June Paik	American artists, 1932 births, 2006 deaths
Arirang (2011 movie)	2011 movies, Korea
Osechi	Japanese food
Enma	Buddhist gods and goddesses, Japanese deities
Futon	Japanese culture, Furniture
Johnny & Associates	Companies of Japan, Entertainment companies, 1963 establishments in Japan
Archway tube station	Northern Line stations, Tube stations in Islington, London Travelcard zone 2, London Travelcard zone 3
Arnos Grove tube station	Piccadilly Line stations, Tube stations in Enfield, Grade II listed buildings in London, Grade II listed railway stations, Art Deco buildings, Railway stations opened in 1932, Charles Holden buildings
Cuba libre	Alcoholic drink
Nanta	South Korean music
Boeing 777	Boeing aircraft
Seo Tai-ji	South Korean singers, 1972 births, Living people
Cyworld	Social networking
Yoo Young Chul	Burglars, Fraudsters, Prisoners, Robbers, Serial killers, South Korean criminals, Thieves, Living people, 1970 births
Men at Work	1970s music groups, 1980s music groups, 1990s music groups, 2000s music groups, 2010s music groups, Australian pop music groups, Australian rock bands, New wave bands, Musical groups from Melbourne, Musical groups established in 1979, 1979 establishments in Australia, Musical groups disestablished in 1986, 1980s disestablishments in Australia, Musical groups established in 1996, 1990s establishments in Australia
Ji Kang Hun	South Korean criminals
Valya Balkanska	1942 births, Living people, Bulgarian singers
Commercial Act of South Korea	Economy of South Korea, Commerce, Legislation, History of South Korea
Dilation and curettage	Surgery, Female reproductive system
Bhagwan Shree Rajneesh	Philosophers, Autobiographers, 1931 births, 1990 deaths, Deaths from heart failure, Religious people, Spiritual teachers
Ashkenazi Jews	Jewish ethnic groups, European Jews
Dilation and evacuation	Abortion
Visual kei	Rock music, Japanese culture
Dwarf hamster	Hamsters
Damien Rice	1973 births, Living people, Irish guitarists, Irish rock musicians, Irish singer-songwriters, European pianists, Record producers, Rock guitarists
Entrena	Municipalities in La Rioja (Spain)
Brahui people	Dravidian peoples, Ethnic groups in Balochistan (Pakistan)
Chittagonian peoples	Ethnic groups in Bangladesh, Tripura, Chittagong Hill Tracts
International Year of Astronomy	Astronomy
Shan people	Ethnic groups in China, Myanmar, Thailand
Marketing mix	Marketing
Infiltration tactics	World War I
Clarity Act	Canada, 1999 in Canada, 1990s in law
Nell	South Korean musical groups, Rock bands, 1999 establishments in Asia, 1990s establishments in South Korea
Mongolian hamster	Hamsters
Tibetan dwarf hamster	Hamsters
Lee Chang-dong	Living people, 1954 births, South Korean movie directors
The Hallé	British orchestras, Manchester, 1858 establishments in the United Kingdom, 1850s establishments in England
Turkish hamster	Hamsters
Romanian hamster	Hamsters
Kam dwarf hamster	Hamsters
Samaritans	Abrahamic religions, Ethnic groups in Israel, Ethnic groups in the Middle East, Palestine, Religion in Israel
Indian religions	Indian religions
The Red Queen	Biology books, Coevolution, Metaphors referring to nature
Lembit Oll	1966 births, 1999 deaths, Chess grandmasters, Estonian sportspeople, Suicides by jumping
Matryoshka	Dolls
Novak Djokovic	1987 births, Living people, Australian Open champions, Male tennis players, Olympic bronze medalists, Serbian tennis players, US Open (tennis) champions, Wimbledon champions, World No. 1 tennis players
On the 6	Jennifer Lopez albums, 1999 albums, Debut albums, Pop albums, Latin music albums, R&B albums
J.Lo	Jennifer Lopez albums, 2001 albums, Dance pop albums, Latin music albums, R&B albums
FIDE	1924 establishments in Europe, 1920s establishments in France, Chess
Chess master titles	Chess
Pungmul	Korean music
Afro	Hairstyles
Unconscious mind	Cognition, Consciousness
Andrew Rivkin	Canadian businesspeople, Living people, People from Toronto, 1969 births
Roborovski hamster	Hamsters
Palmengarten	Botanical gardens in Europe, Frankfurt
Jeju-do	Islands of South Korea, Provinces of South Korea
Las Cruces, New Mexico	Cities in New Mexico, County seats in New Mexico, 1840s establishments in North America
Rio Rancho, New Mexico	Cities in New Mexico
Watford tube station	Railway stations in Hertfordshire, Metropolitan Line stations, Watford, 1925 establishments in Europe, 1920s establishments in England
Ha Seung-Jin	1985 births, Living people, South Korean sportspeople, Basketball players, Portland Trail Blazers players, People from Seoul
This Is Me... Then	Jennifer Lopez albums, 2002 albums, Hip hop albums, Soul albums, R&B albums
Rebirth (Jennifer Lopez album)	Jennifer Lopez albums, 2005 albums, Dance albums, Hip hop albums, R&B albums
Como Ama una Mujer	Jennifer Lopez albums, 2007 albums, Latin music albums, R&B albums, Spanish-language albums
El Cantante (soundtrack)	2007 albums, Jennifer Lopez albums, Latin music albums, Latin pop albums, R&B albums, Latin Grammy Award-winning albums
Brave (Jennifer Lopez album)	Jennifer Lopez albums, 2007 albums, Pop albums, Funk albums, R&B albums, Dance albums
Feelin' So Good (DVD)	Jennifer Lopez albums, 2000 albums, Compilation albums, Latin music albums, Hip hop albums, R&B albums
Let's Get Loud (DVD)	Jennifer Lopez DVDs
The Reel Me	2003 albums, Jennifer Lopez albums, Jennifer Lopez DVDs
Como Ama una Mujer (miniseries)	Jennifer Lopez DVDs
Gravitational lensing	Astrophysics, Relativity, Basic physics ideas, Galaxies, Gravitation
Lasse Lindh	Pop musicians, 1974 births, Living people, Swedish musicians
Glen Hansard	Guitarists, Irish singers, Songwriters, 1970 births, Living people, Best Original Song Academy Award-winning songwriters
Ciscaucasian hamster	Hamsters
MacBook Pro	Apple hardware, Laptops
Joan Bennett	American movie actors, American television actors, Actors from New Jersey, 1910 births, 1990 deaths, American silent movie actors
Rice Riots of 1918	1918, 20th century in Japan, 20th century riots
Judith Chapman	1952 births, Living people, American television actors, American movie actors, Actors from South Carolina, People from Greenville, South Carolina
Hinduism in Bangladesh	Bangladeshi culture, Hinduism by country, Hinduism in South Asia
Bhutan–India relations	Foreign relations of India, Bhutan
India–Ireland relations	Republic of Ireland, Foreign relations of India
Cornish people	Ethnic groups in the United Kingdom, Celtic peoples, People from Cornwall
Argentina-India relations	Government of Argentina, Foreign relations of India
Yaqui River	Rivers of Mexico, Sonora
Kacchu	Armour, History of Japan, Japanese clothing, Samurai
Calligraphy	Writing
Mad cow disease	Infectious diseases
Galen	Greek physicians, Philosophers
Ibn Battuta	1360s deaths, 1304 births, Explorers, Moroccan people
Kyshtym disaster	1957, 1950s in the Soviet Union, Disasters in the Soviet Union, Nuclear accidents, September events
Oldboy	2003 movies, Korean-language movies
Cheese on toast	Cheese dishes
Deoksugung	Buildings and structures in South Korea, Palaces
Infinite Challenge	Reality television series, South Korean television series, 2005 television series debuts, 2005 establishments in Asia, 2000s establishments in South Korea
Bean Pole International	Companies of South Korea, Clothing companies, 1989 establishments in Asia, 1980s establishments in South Korea
Nakseongdae	Buildings and structures in Seoul
Hwaseong Fortress	Buildings and structures in South Korea, Fortification, World Heritage Sites in South Korea
Yi Sang-jae	1850 births, 1927 deaths, History of Korea, Religious leaders, Korean people
YB	South Korean musical groups, Rock bands, 1990s establishments in South Korea, Musical groups established in 1994, 1994 establishments in Asia
Brown Eyed Soul (band)	South Korean musical groups, K-pop music groups, R&B bands, 2003 establishments in South Korea
Tteokguk	Korean food, Soups
Nail art	Body art, Cosmetics
Gyeongju	Cities in South Korea, Capital of Korea, Former national capitals
Samsung	Samsung, Companies of South Korea, 1938 establishments in Asia, 20th century establishments in South Korea
Ko Young-Min	1984 births, Living people, South Korean baseball players
Insadong	Seoul, Subdivisions of South Korea
Mexican peso	Currency of North America, Economy of Mexico
Olive ridley sea turtle	Reptiles of Australia, Turtles
System requirements	Software, Computer science
George Clooney	1961 births, Living people, Actors from Kentucky, Actors who played Batman, American movie actors, American movie directors, American movie producers, American screenwriters, American television actors, American television directors, American television producers, American voice actors, Extras, People from Lexington, Kentucky, Writers from Kentucky
Canon EOS	Cameras
Coco Chanel	1883 births, 1971 deaths, French fashion designers, French people of World War II, People from Pays de la Loire
Itaewon	Seoul, Subdivisions of South Korea
J. M. G. Le Clézio	1941 births, Living people, French essayists, French Nobel Prize winners, French novelists, People from Nice, Writers from Provence-Alpes-Cote d'Azur
Sejong the Great	1397 births, 1450 deaths, Kings of Joseon
Kabuki	Entertainment in Japan, Dance types, Drama
Karl Böhm	1894 births, 1981 deaths, Austrian conductors, Grammy Award winners, People from Graz
Leipzig Gewandhaus	Buildings and structures in Saxony, Concert halls, Leipzig
Rebab	String instruments, Early musical instruments
Sackbut	Trombones, Early musical instruments
Boeing 727	Boeing aircraft
PowerBook	Apple hardware, Laptops
IBook	Apple hardware, Laptops
Scrapbook	Stationery, Hobbies
Agios Nikolaos	Cities in Greece, Crete
Rethymno	Cities in Greece
Chios (city)	cities in Greece
Ron Clark	Living people, People from New York City, 1972 births
Rhodes (city)	cities in Greece
Daniel Harding	1975 births, Living people, British conductors
Mytilene	Cities in Greece
Zakynthos (city)	Cities in Greece
Mitsuko Uchida	Japanese pianists, 1948 births, Living people
Ekaltadeta	Marsupials of Australia, Fossils
Aad de Mos	1947 births, Living people, Dutch football managers, Eredivisie managers, Sportspeople from The Hague
Britain's Got Talent	2007 British television series debuts, 2000s British television series, 2010s British television series, ITV reality television programmes, Reality television competitions, English-language television programs
Syco	British record labels
Neil Diamond	American country musicians, American folk musicians, American pop musicians, American rock musicians, People with Parkinson's disease, Singer-songwriters from New York, Folk singers, Jewish American musicians, Kennedy Center honorees, Musicians from New York City, Singers from New York City, 1945 births, Living people
Got Talent series	Reality television competitions
István Kertész	1929 births, 1973 deaths, Accidental deaths by drowning, Entertainers from Budapest, German conductors, Hungarian conductors
PGA Tour	Golf, Sports organizations
Phil Mickelson	American golfers, Sportspeople from San Diego, California, 1970 births, Living people
Fall of Constantinople	History of Turkey, 1453
List of libertarian parties	Lists of political parties, Libertarian parties
Council areas of Scotland	Scottish Council Areas
Forks, Washington	Cities in Washington (U.S. state)
Doyle Brunson	1933 births, Living people, People from Texas, Poker players
Tim Pawlenty	1960 births, Living people, US Republican Party politicians, Governors of Minnesota
Grand Forks, North Dakota	Grand Forks, North Dakota, County seats in North Dakota, 1870 establishments in the United States, 1870s establishments in Dakota Territory
Kent Conrad	1948 births, Living people, US Democratic Party politicians, United States senators from North Dakota, People from Bismarck, North Dakota
Didí Torrico	1988 births, Living people, Bolivian footballers
Internet fraud	Crime
Mimar Sinan	Architects, 1489 births, 1588 deaths
The Ashes	Cricket
Travelcard Zone 6	London Underground, London Travelcard zone 6
Gerresheim	Düsseldorf-Gerresheim, Boroughs of Germany, Düsseldorf
Independent Spirit Awards 2005	Movie awards
Argostoli	Cities in Greece
Lefkada (city)	cities in Greece
Komotini	Cities in Greece
Raval	Video game characters, Online games
Apple Worldwide Developers Conference	Apple Inc., San Francisco, June events, 1987 establishments in California
Strum, Wisconsin	Trempealeau County, Wisconsin, Villages in Wisconsin
Dard people	Ethnic groups in Kashmir
Tony Mowbray	1963 births, Living people, English football managers, English footballers, People from North Yorkshire, Sportspeople from Yorkshire
Primary cell	Batteries
Liam Finn	1983 births, Living people, Rock musicians, New Zealand singers
Twilight (2008 movie)	2008 drama movies, 2008 romance movies, 2000s fantasy movies, 2000s romantic drama movies, 2000s teen drama movies, 2000s teen romance movies, American fantasy movies, American romantic drama movies, American teen drama movies, American teen romance movies, English-language movies, Movies based on books, Movies set in Washington (U.S. state), Phoenix, Arizona in fiction, Vampires in movies
Cyclone Tracy	1974, Tropical cyclones in Oceania, 20th century in Australia, Northern Territory
Kristen Stewart	Actors from Los Angeles, California, American child actors, American movie actors, BAFTA Award winners, 1990 births, Living people, LGBT entertainers, Bisexual people
Catch That Kid	2004 comedy movies, 2000s criminal comedy movies, 2000s movie remakes, 20th Century Fox movies, American criminal comedy movies, American family movies, American heist movies, American movie remakes, English-language movies, Movies about families
Catherine Hardwicke	Living people, 1955 births, American movie directors
Art museum	Art museums
Bavarian State Opera	Munich, Opera companies, 1653 establishments, 1650s establishments in Europe, 17th century establishments in Germany
Police Academy	Police Academy, Warner Bros. movies, Animated television series
Tacloban	Cities in the Philippines
Indian National Congress	1885 establishments, Social democratic parties, Political parties in India, 1880s establishments in India
Pentium	Computer processors
His Dark Materials	Fantasy books, Series of books
Spearman's rank correlation coefficient	Statistics, Mathematics
Killzone 2	2009 video games, PlayStation 3 games
Velafrons	Cretaceous dinosaurs
Manzai	Comedy, Japanese culture, Entertainment in Japan
Arsenal tube station	Piccadilly Line stations, Tube stations in Islington, Arsenal F.C., London Travelcard zone 2, Railway stations opened in 1906, 1906 establishments in England
Leadbeater's possum	Marsupials of Australia, Endangered species, Victoria, Australia
Vostok 1	Soviet spacecraft
Glazed tile	Ceramics
Enola Gay	World War II, Hiroshima
Paul Tibbets	1915 births, 2007 deaths, Deaths from heart failure, Deaths from stroke, American aviators, American people of World War II, Military people from Illinois
Phil Jackson	1945 births, Living people, Chicago Bulls head coaches, New Jersey Nets players, New York Knicks players, Sportspeople from Montana
Kennel cough	Dogs, Animal diseases
Pierre Schaeffer	1910 births, 1995 deaths, Deaths from Alzheimer's disease, Disease-related deaths in France, French musicians, People from Nancy
Area 51	Buildings and structures in Nevada, United States Air Force, Conspiracy theories, 1942 establishments in the United States, UFOs, 20th-century establishments in Nevada
Ding Liren	Chinese chess players, 1992 births, Living people, Chess grandmasters
Oliver Twist	1830s books, Books by Charles Dickens, Books first published in serial form, English novels, English-language novels
Danish Kaneria	Pakistani people, Pakistani cricketers, Living people, 1980 births, People from Karachi
Sachin Tendulkar	1973 births, Living people, People from Mumbai, Indian cricketers
Ethelbert Nevin	1862 births, 1901 deaths, American composers, American pianists
