Taman Negara	Geography of Malaysia, National parks in Asia
Vitória F.C.	20th century establishments in Portugal, 1910 establishments in Europe, Portuguese football clubs
Setúbal	Cities in Portugal, Municipalities of Portugal
Augusto Matine	1947 births, 2020 deaths, Portuguese footballers, Portuguese football managers
Something in the Way	1991 songs, Nirvana songs
John Richard Reid	1928 births, 2020 deaths, New Zealand cricketers, Sportspeople from Auckland
Lexicographic order	Operating systems, Set theory, Theoretical computer science, Vocabulary
Axion	Astrophysics, Elementary particles, Quantum mechanics
Alexander Tilloch Galt	1817 births, 1893 deaths, Canadian businesspeople, Canadian politicians, Knights Bachelor, Knights Grand Cross of the Order of St Michael and St George, Members of the House of Commons of Canada from Quebec, Order of St Michael and St George, People from Kensington and Chelsea (London borough), Privy Councillors (Canada)
Spallation	Nuclear physics
Agwé	Gods and goddesses, Afro-American religion
Beryllium-10	Isotopes, Beryllium
Freddie Ljungberg	1977 births, Living people, Swedish footballers, Arsenal F.C. players, West Ham United F.C. players, Premier League players, UEFA Euro 2000 players, 2002 FIFA World Cup players, UEFA Euro 2004 players, 2006 FIFA World Cup players, UEFA Euro 2008 players
Michael Bradley	1987 births, Living people, American footballers, Sportspeople from New Jersey, People from Princeton, New Jersey, Association football midfielders, Aston Villa F.C. players, Premier League players, 2010 FIFA World Cup players, 2014 FIFA World Cup players
Planetary differentiation	Planets
Callus	Medical signs
Legia Warsaw	20th century establishments in Poland, 1916 establishments in Europe, Polish football clubs, Warsaw
Frasers Property	Singaporean companies, 1963 establishments in Asia, Real estate developers
Sebastian Giovinco	1987 births, Living people, Italian footballers, Association football midfielders, UEFA Euro 2012 players, People from Turin, Sportspeople from Piedmont
Aluminium alloy	Alloys
Queer anarchism	Anarchism
Planet of the Apes (2001 movie)	2001 science fiction movies, American movie remakes, English-language movies, Planet of the Apes movies, Movies based on books, Movies composed by Danny Elfman, Movies directed by Tim Burton, Movies set in the future, Movies set on fictional planets, Movies set in Washington, D.C., Time travel movies, 20th Century Fox movies, Post-apocalyptic movies, Dystopian movies
Morton's toe	Joints, Diseases and disorders, Feet
Ghostbusters (2016 movie)	2016 comedy movies, 2010s fantasy movies, 2010s monster movies, American comedy movies, American fantasy movies, American ghost movies, American monster movies, English-language movies, 2010s feminist movies, Movies set in New York City, Ghostbusters movies, Reboot movies
Kent L. Wakeford	1928 births, 2020 deaths, American cinematographers, American television producers, Businesspeople from Los Angeles, California
Michael D. Morley	1930 births, 2020 deaths, American mathematicians, American educators, Scientists from New York, Writers from New York, Writers from Ohio, Scientists from Ohio, People from Youngstown, Ohio
Sayre, Pennsylvania	Boroughs in Pennsylvania
Percy Schmeiser	1931 births, 2020 deaths, Deaths from Parkinson's disease, Canadian businesspeople, Canadian politicians, Canadian activists, People from Saskatchewan
Marisa de Leza	1933 births, 2020 deaths, Spanish television actors, Spanish movie actors, Spanish stage actors, Actors from Madrid
Sheb Wooley	1921 births, 2003 deaths, Deaths from leukemia, American country singers, American movie actors, American television actors, American voice actors, Actors from Oklahoma, Singers from Oklahoma
The Charge at Feather River	1953 movies, 1950s western movies, Warner Bros. movies, American western movies, Movies directed by Gordon Douglas
Max Steiner	1888 births, 1971 deaths, Naturalized citizens of the United States, Austrian composers, Austrian conductors, American composers, American conductors, Writers from Vienna, Academy Award winning composers, Golden Globe Award winning composers, Deaths from congestive heart failure
Guy Madison	1922 births, 1996 deaths, Deaths from emphysema, American movie actors, American television actors, American radio actors, American stage actors, Actors from California
Frank Lovejoy	1912 births, 1962 deaths, Deaths from myocardial infarction, American movie actors, American radio actors, American radio personalities, American television actors, Actors from New York City
Helen Westcott	1928 births, 1998 deaths, American child actors, American movie actors, American television actors, American stage actors, Actors from Los Angeles, California, Cancer deaths in the United States
Gordon Douglas (director)	1907 births, 1993 deaths, Movie directors from New York City
Eastern green mamba	Elapidae, Animals of Africa
Jameson's mamba	Elapidae, Animals of Africa
Western green mamba	Elapidae, Animals of Africa
Andrew Smith (zoologist)	Scottish scientists, Scottish writers, Explorers, Zoologists, Ornithologists, 1797 births, 1872 deaths, Surgeons
Coluber constrictor foxii	Colubrids, Reptiles of North America
Schitt's Creek	Canadian television series, 2015 television series debuts, Emmy Award winning programs, English-language television programs
Annie Murphy	Emmy Award winning actors, 1986 births, Living people, Canadian movie actors, Canadian television actors, Actors from Ottawa
Dan Levy (Canadian actor)	Emmy Award winning directors, Emmy Award winning actors, 1983 births, Living people, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian television writers, Canadian television producers, Canadian television directors, Canadian comedians, LGBT comedians, LGBT actors, LGBT writers, Gay men, Actors from Toronto, Writers from Toronto
Sarah Levy	1986 births, Living people, Canadian movie actors, Canadian television actors, Canadian stage actors, Actors from Toronto
Infimum and supremum	Mathematical analysis, Set theory
The Way, Way Back	2013 comedy-drama movies, American comedy-drama movies, English-language movies, American independent movies
Stephen N. Limbaugh Sr.	1927 births, Living people, American judges, American lawyers, People from Missouri
Paul Matters	1952 births, 2020 deaths, AC/DC, Australian guitarists, Australian rock musicians, Musicians from New South Wales
Lévon Sayan	1934 births, Living people, French singers, French businesspeople, Armenian people
Miles Teller	1987 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Florida, Actors from Pennsylvania
Downingtown, Pennsylvania	Boroughs in Pennsylvania
Lecanto, Florida	Unincorporated communities in Florida, Census-designated places in Florida
Maihar	Cities in India, Hinduism
Tom and Jerry (2021 movie)	English-language movies, 2021 movies, American animated movies, Movies based on TV series, Movies directed by Tim Story, 2020s comedy movies, Reboot movies, Warner Bros. movies, Tom and Jerry movies, Tom and Jerry
Motorola 68000	Microprocessor design
The Sheriff of Fractured Jaw	1958 comedy movies, 1950s western movies, British comedy movies, Movies based on short stories, 20th Century Fox movies, Movies directed by Raoul Walsh
Rainbow Ruby	2010s television series, 2016 television series debuts, South Korean television series
Super Wings	South Korean television series
Akkitham Achuthan Namboothiri	1926 births, 2020 deaths, Indian poets, Essayists
List of presidents of Calabria	Presidents of Calabria
Rosario Olivo	1940 births, Living people, Presidents of Calabria, Mayors
Giuseppe Chiaravalloti	1934 births, Living people, Presidents of Calabria
Agazio Loiero	1940 births, Living people, Presidents of Calabria
Jole Santelli	1968 births, 2020 deaths, Cancer deaths in Italy, Deaths from hemorrhage, Presidents of Calabria
Raúl Portal	1939 births, 2020 deaths, Argentine journalists, Argentine entertainers, Television personalities, Radio personalities, Deaths from stroke, Deaths from pneumonia
Thrombocytopenia	Diseases and disorders
Thrombocythemia	Diseases and disorders
José Augusto Martins Fernandes Pedreira	1935 births, 2020 deaths, Roman Catholic bishops, Portuguese people
Claude Feidt	1936 births, 2020 deaths, French Roman Catholics, Roman Catholic bishops
Audun-le-Roman	Communes in Meurthe-et-Moselle
Bhanu Athaiya	Academy Award winners, 1929 births, 2020 deaths, Deaths from brain cancer, Cancer deaths in India, Indian artists, Costume designers
Kolhapur	Cities in India, Settlements in Maharashtra
Resolute desk	Rutherford B. Hayes
Soumitra Chatterjee	1935 births, 2020 deaths, Deaths from the COVID-19 pandemic in India, Indian movie actors, Indian television actors, Indian stage actors, Indian theatre directors, Indian playwrights, Indian painters, Indian poets, People from Kolkata, People with cancer
Sharmila Tagore	1944 births, Living people, Indian movie actors, Indian television actors, Indian stage actors
Mansoor Ali Khan Pataudi	1941 births, 2011 deaths, Deaths from respiratory failure, Deaths from respiratory tract infection, Deaths from lung disease, Indian cricketers, Princes and princesses
Cow urine	Medicine
Kerry Shine	1948 births, Living people, Australian Labor Party politicians, Australian lawyers, Politicians from Queensland
Tiwi Islands	Geography of the Northern Territory, Islands of Australia
Helium-3	Isotopes, Helium
Iga Świątek	2001 births, Living people, Female tennis players, French Open champions, Sportspeople from Warsaw
MLS Golden Boot	Major League Soccer, Sports trophies and awards
Supercoppa Italiana	1980s establishments in Italy, 1988 establishments in Europe, 1988 in association football, Football competitions, Football in Italy
Wissam Ben Yedder	1990 births, Living people, French footballers, Association football forwards
Classic Media	American entertainment companies
Silver Surfer	Marvel Comics aliens, Fictional characters introduced in 1966, Silver Surfer
Aragón Internacional	Television channels
One from the Heart	1982 movies, 1980s romance movies, 1980s musical movies, American romance movies, American musical movies, Movies directed by Francis Ford Coppola
World in My Corner	1956 drama movies, American drama movies, Universal Pictures movies, Movies directed by Jesse Hibbs
NBA 2K13	2012 video games, PlayStation 3 games, PlayStation Portable games, IOS games, Wii games, Wii U games, Windows games, Xbox 360 games, Sports video games
Joshua N. Goldberg	1925 births, 2020 deaths, American physicists, American educators, Scientists from New York, People from Rochester, New York
Bernard S. Cohen	1937 births, 2020 deaths, American lawyers, State legislators of the United States, Politicians from New York City, Politicians from Virginia, Deaths from Parkinson's disease, US Democratic Party politicians
Marcel Zadi Kessy	1936 births, 2020 deaths, Ivorian people, African politicians, African businesspeople
László Mandur	1958 births, 2020 deaths, Photographers, Hungarian politicians, Hungarian economists
Ron Best	1949 births, 2020 deaths, Deaths from pancreatic cancer, Australian rules footballers, Politicians from Melbourne
Ken Rice (American football)	1939 births, Living people, Buffalo Bills players, Oakland Raiders players, Miami Dolphins players, American football offensive tackles, American football offensive guards, Sportspeople from Georgia (U.S. state)
Attapulgus, Georgia	Cities in Georgia (U.S. state)
Antonio Ángel Algora Hernando	1940 births, 2020 deaths, Deaths from the COVID-19 pandemic in Spain, Roman Catholic bishops, Spanish Roman Catholics
National Assembly (Togo)	Togo
Fambaré Ouattara Natchaba	1945 births, 2020 deaths, Togo, African politicians
End SARS	History of Nigeria, October 2020 events
Antonino Spirlì	1961 births, Living people, Presidents of Calabria
Input–output model	Economic indicators, Economic systems, Economics models, Macroeconomics, Statistics
David Kabua	1951 births, Living people, Presidents of the Marshall Islands, Current national leaders
Championship Auto Racing Teams	Auto racing
Generalitat de Catalunya	Politics of Spain, Catalonia
Armando Herrera (basketball)	1936 births, 2020 deaths, Mexican sportspeople, Olympians, Basketball players
Ignasi Farreres Bochaca	1939 births, 2020 deaths, Spanish politicians
Gennadios (Zervos)	1937 births, 2020 deaths, Greek people, Italian people
1968 Democratic National Convention protest activity	1968 in the United States, 1960s in Chicago
Erin Wall	1975 births, 2020 deaths, Deaths from breast cancer, Naturalized citizens of the United States, Singers from Chicago, Canadian singers, Opera singers, People from Calgary
Luv (movie)	1967 comedy movies, 1960s romantic comedy movies, American romantic comedy movies, American black comedy movies, Movies based on plays, Movies directed by Clive Donner
River Truro	Rivers of England, Geography of Cornwall
Vasco da Gama, Goa	Cities in India, Goa
News of the World	Newspapers published in the United Kingdom, English-language newspapers
First Lady or Gentleman of the Philippines	First Ladies and First Gentlemen of the Philippines
Aurora Quezon	1880 births, 1949 deaths, First Ladies and First Gentlemen of the Philippines
Rodolfo Fischer	1944 births, 2020 deaths, Argentine footballers
F. Gary Gray	1969 births, Living people, Actors from Los Angeles, California, Actors from New York City, African-American movie actors, African American movie directors, African American movie producers, Movie directors from Los Angeles, California, Movie directors from New York City, Movie producers from Los Angeles, California, Movie producers from New York City
Kennel club	Dogs, Organizations
Latin American Literature	Literature
Ed Benguiat	1927 births, 2020 deaths, American artists, Writers from New York City
Sonja Edström	1930 births, 2020 deaths, Swedish Olympians, Olympic bronze medalists, Olympic gold medalists, Skiers
Alfons Verplaetse	1930 births, 2020 deaths, Belgian politicians, Bankers, Belgian businesspeople, Deaths from the COVID-19 pandemic in Belgium, Belgian economists
Steve Adubato Sr.	1932 births, 2020 deaths, American educators, Politicians from Newark, New Jersey, Businesspeople from Newark, New Jersey, US Democratic Party politicians
László Branikovits	1949 births, 2020 deaths, Hungarian footballers, Olympic silver medalists
Itzhak Ilan	1956 births, 2020 deaths, Deaths from the COVID-19 pandemic in Israel, Israeli civil servants, Israeli Jews, Naturalized citizens of Israel, Politicians from Georgia (country), Soviet Jews
Markar Esayan	1969 births, 2020 deaths, Turkish politicians, Turkish journalists, People from Istanbul, Deaths from stomach cancer
The War with Grandpa	2020 movies, American children's comedy movies, Movies based on books, American family movies, 2020s comedy movies
Rob Riggle	1970 births, Living people, American movie actors, American television actors, American voice actors, American comedians, Actors from Louisville, Kentucky, Actors from Kansas
Richard C. Blum	1935 births, Living people, Businesspeople from San Francisco
Emily Alyn Lind	2000s births, Living people, American movie actors, American television actors, American child actors, American voice actors
Hana Mae Lee	1988 births, Living people, American movie actors, American television actors, American voice actors, American fashion designers, Comedians from California, Models from California, Businesspeople from California, Actors from California
Ken Marino	1968 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, American television writers, American television directors, American television producers, Comedians from New York City, Screenwriters from New York City, Actors from New York City
Reichsbürger movement	Political movements, History of Germany, Politics of Germany
King Bach	1988 births, Living people, Canadian comedians, American comedians, American movie actors, American television actors, American voice actors, Canadian movie actors, Canadian television actors, Canadian voice actors, Actors from Toronto, Actors from Florida, Naturalized citizens of the United States, Internet celebrities
The Babysitter (2017 movie)	2017 comedy movies, 2017 horror movies, Netflix movies, American comedy movies, American horror movies, Movies about bullying
Judah Lewis	Living people, American movie actors, American television actors, American voice actors, American child actors, 2000s births
Georgia Kazantzidu	Living people, Austrian politicians, People from Lower Austria
Visual Basic for Applications	Programming languages, Microsoft Office
Peter Sarsgaard	1971 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Actors from Illinois, Actors from St. Louis, Missouri
The Best of Nudimension	Greatest hits albums, Compilation albums
Babajide Sanwo-Olu	1965 births, Living people, Nigerian politicians, People from Lagos
The Tremeloes	1958 establishments in the United Kingdom, Musical groups from Essex, Musical groups established in 1958
Kottonmouth Kings	Musical groups from California, Musical groups established in 1996, American hip hop musicians, American pop music groups, American rock bands
Placentia, California	Cities in California, Settlements in Orange County, California
Menelaos Chadzigeorgiou	1924 births, 2020 deaths, Greek politicians, Competitors in athletics, Former MEPs
Guillermo Soberón Acevedo	1925 births, 2020 deaths, Mexican politicians, Mexican educators, Mexican scientists, Chemists, Mexican physicians
John N. Mitchell	1913 births, 1988 deaths, Deaths from myocardial infarction, American lawyers, American criminals, United States Attorneys General, Politicians from Detroit, Michigan, US Republican Party politicians
Richard Kleindienst	1923 births, 2000 deaths, Deaths from lung cancer, American lawyers, United States Attorneys General, Politicians from Arizona, US Republican Party politicians, United States Deputy Attorneys General
Winslow, Arizona	Cities in Arizona
My Bodyguard	1980 movies, 1980s teen comedy movies, American comedy movies, 20th Century Fox movies
Patriarchy	Sociology
Obsession (Nudimension song)	1984 songs
The Archangel	1969 comedy movies, Italian comedy movies, 20th Century Fox movies
The Gingerbread Man (movie)	1998 thriller movies, American thriller movies, Movies directed by Robert Altman, American independent movies
Prince George of Denmark	1653 births, 1708 deaths, People from Copenhagen
Khichu	Indian food
The Opposite Sex and How to Live with Them	1993 comedy movies, American comedy movies
Merseyside derby	Liverpool, Merseyside, English Football League
Reema Harrysingh-Carmona	1970 births, Trinidad and Tobago people, Economists, First Ladies, People from Hoboken, New Jersey, Living people
Wolf apple	Nightshades, Medicinal plants, Solanum
Suryavamsam (TV series)	Zee Tamil Programming, Tamil-language television series, Indian television series
Gemert-Bakel	Municipalities of North Brabant
Tallaght	County towns in Ireland
Mornay sauce	Sauces
Gilze en Rijen	Municipalities of North Brabant
Divernon, Illinois	Villages in Illinois
Grave, Netherlands	Cities in the Netherlands, Settlements in North Brabant, Municipalities of North Brabant
Haaren, North Brabant	Settlements in North Brabant, Former municipalities of North Brabant
Hercules, California	Cities in California, Settlements in Contra Costa County, California, Cities in the San Francisco Bay Area
Hilvarenbeek	Settlements in North Brabant, Municipalities of North Brabant
List of governors of Oyo State	Nigerian politicians, Lists of politicians
Litoria biakensis	Frogs, Animals of Oceania
Mabel Ping-Hua Lee	1896 births, 1966 deaths, Columbia University alumni, Civil rights activists, People from Manhattan, Chinese people, American Baptists
Max Osceola Jr.	1950 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, Native American people, Politicians from Florida
You'll Be in My Heart	Best Original Song Academy Award-winning songs, Phil Collins, Disney Renaissance songs, Tarzan (Disney), 1999 songs
Cliffside Park, New Jersey	Boroughs in New Jersey
Ryszard Ronczewski	1930 births, 2020 deaths, Deaths from the COVID-19 pandemic in Poland, Polish movie actors, Polish television actors, Polish stage actors
I as in Icarus	1979 drama movies, 1970s crime drama movies, French drama movies, Movies directed by Henri Verneuil
Ana Paula Scheffer	1989 births, 2020 deaths, Brazilian sportspeople, Gymnasts
Yuri Oganessian	1933 births, Russian physicists, Armenian people, Nuclear physicists, Living people
Tapalapa bread	Breads, Senegal, The Gambia, Guinea
Body of My Enemy	1976 crime movies, French crime movies, Movies directed by Henri Verneuil
Hell Bent for Leather (movie)	1960 movies, 1960s western movies, American western movies, Movies based on books, Movies directed by George Sherman
Rawson	Cities in Argentina, Capitals of Argentine provinces
Río Gallegos	Cities in Argentina, Capitals of Argentine provinces
San Luis, Argentina	Cities in Argentina, Capitals of Argentine provinces
San Salvador de Jujuy	Cities in Argentina, Capitals of Argentine provinces
Nazca	Cities in Peru
Portoviejo	Cities in Ecuador
Comayagua Department	Departments of Honduras
Atlántida Department	Departments of Honduras
Choluteca Department	Departments of Honduras
RTÉ News	Republic of Ireland, Television programs
Tomfinlough	Villages in Ireland, County Clare
National University of Ireland, Galway	19th century establishments in the Republic of Ireland, 1845 establishments in Europe, Colleges and universities in Europe, County Galway
Soda fountain	Soft drinks, Machines
My Fellow Americans	1996 comedy movies, 1990s buddy movies, American comedy movies, Warner Bros. movies, Movies directed by Peter Segal
Heeze-Leende	Municipalities of North Brabant
Helmond	Cities in the Netherlands, Settlements in North Brabant, Municipalities of North Brabant
Heusden	Cities in the Netherlands, Settlements in North Brabant, Municipalities of North Brabant
Laarbeek	Municipalities of North Brabant
Oisterwijk	Cities in the Netherlands, Settlements in North Brabant, Municipalities of North Brabant
Landerd	Municipalities of North Brabant
Mill en Sint Hubert	Municipalities of North Brabant
Moerdijk	Settlements in North Brabant, Municipalities of North Brabant
Oirschot	Settlements in North Brabant, Municipalities of North Brabant
Oosterhout	Cities in the Netherlands, Settlements in North Brabant, Municipalities of North Brabant
Copyright, Designs and Patents Act 1988	Acts of the Parliament of the United Kingdom, Copyright, 1988 in the United Kingdom
Reusel-De Mierden	Municipalities of North Brabant
Roosendaal	Cities in the Netherlands, Settlements in North Brabant, Municipalities of North Brabant
Rucphen	Settlements in North Brabant, Municipalities of North Brabant
Sint Anthonis	Settlements in North Brabant, Municipalities of North Brabant
Someren	Settlements in North Brabant, Municipalities of North Brabant
Son en Breugel	Municipalities of North Brabant
Uden	Settlements in North Brabant, Municipalities of North Brabant
Maasgouw	Maasgouw, 2007 establishments in the Netherlands
Gulpen-Wittem	Municipalities of Limburg (Netherlands)
Steenbergen	Cities in the Netherlands, Settlements in North Brabant, Municipalities of North Brabant
Timila	Drums
Bytecode	Computer programming, Programming languages
Palau de les Belles Arts	Buildings and structures in Barcelona, Architecture
Japanese Spitz	Dog breeds
Lactic acid fermentation	Pages with unreviewed translations, Fermentation
Scouser	Merseyside
Echt, Netherlands	Cities in the Netherlands, Settlements in Limburg (Netherlands), Former municipalities of Limburg (Netherlands)
Onderbanken	Former municipalities of Limburg (Netherlands), Beekdaelen
Nuth	Settlements in Limburg (Netherlands), Former municipalities of Limburg (Netherlands), Beekdaelen
Valkenswaard	Settlements in North Brabant, Municipalities of North Brabant
Veldhoven	Settlements in North Brabant, Municipalities of North Brabant
Waalwijk	Settlements in North Brabant, Municipalities of North Brabant
Vught	Settlements in North Brabant, Municipalities of North Brabant
Woensdrecht	Settlements in North Brabant, Municipalities of North Brabant
Echt-Susteren	2000s establishments in the Netherlands, 2003 establishments in Europe, Municipalities of Limburg (Netherlands)
Beekdaelen	Beekdaelen, 2019 establishments in the Netherlands
Schinnen	Settlements in Limburg (Netherlands), Former municipalities of Limburg (Netherlands), Beekdaelen
Meijel	Settlements in Limburg (Netherlands), Former municipalities of Limburg (Netherlands), Peel en Maas
Donnellson, Illinois	Villages in Illinois
Krum, Texas	Cities in Texas
Ellipsometry	Electromagnetism, Measuring tools, Optical devices, Spectroscopy
G.o.d	1990s music groups, 2000s music groups, 2010s music groups, Idol groups, K-pop music groups, Musical groups established in 1999, Musical quintets, South Korean boy bands
Sapporo TV Tower	1957 establishments in Asia, Buildings and structures in Hokkaido, Towers in Japan, Sapporo
Mike's New Car	2002 animated movies, 2002 computer-animated movies, Disney animated movies, Monsters, Inc., Pixar short movies
Todd McFarlane's Spawn	1997 American television series debuts, 1999 American television series endings, Spawn (comics), English-language television programs
Latin American poetry	Literature
Puss in Boots (Shrek)	Fictional cats, Fictional characters introduced in 2004, Shrek characters
Bienville, Louisiana	Villages in Bienville Parish, Louisiana
Sub-Zero (Mortal Kombat)	Fictional characters introduced in 1992, Fictional characters with ice or cold abilities, Mortal Kombat characters, Injustice (franchise) guest characters, Video game characters in movies, Video game guest characters
Hellboy	Fictional characters introduced in 1993, Fictional demons and devils, Injustice (franchise) guest characters
Litoria humboldtorum	Frogs, Animals of Asia
Tridevi	Hinduism
Ethanol fermentation	Fermentation
Flames of Passion	1922 movies, 1920s drama movies, British drama movies, Silent movies, Movies directed by Graham Cutts
Hyperbolic functions	Functions and mappings, Trigonometry
Structure of Earth	Structure of the Earth
RGB color model	Color model, Photography
Meenachil river	Rivers of India, Kerala
Lotay Tshering	1969 births, Prime Ministers of Bhutan, Current national leaders, Living people
Luis Arce	1963 births, Living people, Presidents of Bolivia, Current national leaders, Socialist politicians
Druk Gyalpo	Bhutan
Mohammed bin Rashid Al Maktoum	1949 births, Living people, Prime Ministers of the United Arab Emirates, Vice presidents, Honorary Knights Grand Cross of the Order of the British Empire
Maktoum bin Rashid Al Maktoum	1941 births, 2006 deaths, Vice presidents, Prime Ministers of the United Arab Emirates, Presidents of the United Arab Emirates
Everything Will Be Okay, We're All Going to Die! (novel)	2018 books, Novels
Wojciech Pszoniak	1942 births, 2020 deaths, Cancer deaths in Poland, Polish movie actors, Polish stage actors
Gianni Dei	1940 births, 2020 deaths, Italian movie actors, Italian singers, People from Bologna
Litoria christianbergmanni	Frogs, Animals of Asia
Batman vs. Teenage Mutant Ninja Turtles	Animated Batman movies, Animated Teenage Mutant Ninja Turtles movies, English-language movies, Superhero crossover movies, 2019 movies
Color model	Color model
Reciprocity (cultural anthropology)	Cultural anthropology, Economic systems, Social sciences
Scooby-Doo (movie)	2002 movies, 2002 comedy movies, 2000s mystery movies, 2000s ghost movies, American mystery movies, American comedy movies, American ghost movies, Body swapping in fiction, Movies composed by David Newman, Movies directed by Raja Gosnell, Movies produced by Charles Roven, Movies with screenplays by James Gunn, Movies set in islands, Movies shot in Brisbane, Warner Bros. movies, Scooby-Doo movies
David Dunn	Fictional American people, Fictional characters introduced in 2000, Superhero movie characters, Superheroes, Unbreakable (franchise)
Unbreakable (movie)	2000s superhero movies, American mystery movies, English-language movies, Movies composed by James Newton Howard, Movies directed by M. Night Shyamalan, Movies set in Philadelphia, Pennsylvania, Movies set in the 1960s, Movies set in the 1970s, Screenplays by M. Night Shyamalan, Superhero drama movies, Unbreakable (franchise), American superhero movies
Whitehawk	Brighton
