Hammered dulcimer	Early musical instruments
Dead Man's Hand (2002 movie)	2002 comedy-drama movies, Luxembourgian movies, Belgian movies, French comedy movies, French drama movies
Polyembryony	Cell biology, Reproductive system
Elle (movie)	2016 movies, 2010s thriller movies, French thriller movies, German movies, Belgian movies, Movies based on books, Movies directed by Paul Verhoeven
Swan (1976 movie)	1976 drama movies, Bulgarian movies, Movies directed by Rumen Surdzhiyski
Beast of the Yellow Night	1971 horror movies, Filipino movies, American horror movies, Movies directed by Eddie Romero
Kenji Fujimori	1980 births, Living people, Peruvian politicians
Melrose, Louisiana	Unincorporated communities in Natchitoches Parish, Louisiana
Half of a Yellow Sun (movie)	2013 drama movies, British drama movies, Nigerian movies, Movies based on books
Lionheart (2018 movie)	2018 drama movies, Nigerian movies, Netflix movies
Accused (2014 movie)	2014 drama movies, Dutch drama movies, Swedish movies, Movies directed by Paula van der Oest
Sony Interactive Entertainment	Video game companies, 1994 establishments in Asia
Manhunt (series)	Manhunt, Video game series
Luz Salgado	1949 births, Living people
Daniel Salaverry	1972 births, Living people, Peruvian politicians
Marquaix	Communes in Somme
Marquivillers	Communes in Somme
Martainneville	Communes in Somme
Matigny	Communes in Somme
Maucourt, Somme	Communes in Somme
Maurepas, Somme	Communes in Somme
Le Mazis	Communes in Somme
Bushehr	Cities in Iran
Khmelnytskyi, Ukraine	Cities in Ukraine
Uzhhorod	Cities in Ukraine, Zakarpattia Oblast
Wild man	Art
H-Index	Measurement
Méharicourt	Communes in Somme
Meigneux, Somme	Communes in Somme
Le Meillard	Communes in Somme
Miss You Much	Janet Jackson songs, Dance-pop songs, 1989 songs
Laura de Noves	1310 births, 1340s deaths
Méneslies	Communes in Somme
Hinduism in Estonia	Hinduism by country, Estonia
Mochtar Kusumaatmadja	1929 births, 2021 deaths, Indonesian politicians
Ricardo Rodríguez (footballer)	1992 births, Swiss footballers, Association football defenders, 2014 FIFA World Cup players, UEFA Euro 2016 players, 2018 FIFA World Cup players, Sportspeople from Zürich, Living people
Galen Young	1975 births, 2021 deaths, Accidental deaths from falls in the United States, American basketball players, Sportspeople from Memphis, Tennessee, American crime victims
Nikka Costa	Singer-songwriters, Singers from Los Angeles, California, People from Beverly Hills, California, Child singers, American soul singers, American pop singers, American funk singers, 1972 births, Living people
T. B. Joshua	1963 births, 2021 deaths, Deaths from myocardial infarction, Nigerian businesspeople, African philanthropists, Christians, Television presenters, People from Lagos
Tom Fink	1928 births, 2021 deaths, State legislators of the United States, American mayors, US Republican Party politicians, Politicians from Illinois, Politicians from Alaska, People from Anchorage, Alaska, Deaths from heart failure
International recognition of Armenia	History of Armenia
Alajos Dornbach	1936 births, 2021 deaths, Hungarian politicians
Ózd	Cities in Hungary
Lottie Dod	1871 births, 1960 deaths, English sportspeople
James W. Pardew	1944 births, 2021 deaths, Ambassadors of the United States, Politicians from Memphis, Tennessee, Politicians from Arkansas, People from Jonesboro, Arkansas, US Republican Party politicians
Fairfax Station, Virginia	Census-designated places in Virginia
International Booker Prize	Literary awards
Lydia Davis	1947 births, Living people, American novelists, American essayists, Writers from Massachusetts, Translators
László Krasznahorkai	1954 births, Living people, Hungarian writers
David Diop (novelist)	1966 births, Living people, French novelists, French academics, Writers from Paris
At Night All Blood Is Black	2018 books, French novels
Clayton, Louisiana	Towns in Concordia Parish, Louisiana
Bad Bunny	1994 births, Living people, American singer-songwriters, American rap musicians, Puerto Rican singers, American soul singers, American rock singers, People from San Juan, Puerto Rico
Ferriday, Louisiana	Towns in Concordia Parish, Louisiana
Ridgecrest, Louisiana	Towns in Concordia Parish, Louisiana
E. Sreedharan	1932 births, Living people, Indian engineers, Indian businesspeople, Indian politicians, People from Kerala
Yashwant Sinha	1937 births, Living people, Indian politicians
Sharad Pawar	1940 births, Living people, Indian politicians
Townsend, Delaware	Towns in Delaware
Méréaucourt	Communes in Somme
Gigantis, the Fire Monster	1955 movies, 1959 movies, 1959 horror movies, Japanese movies, 1950s science fiction movies, Godzilla, American monster movies, American horror movies, Movies about dinosaurs, American science fiction movies, Movies set in Japan
Mérélessart	Communes in Somme
Alicja Bachleda-Curuś	1983 births, Living people, Mexican movie actors, Mexican television actors, Mexican stage actors, Mexican singers, Polish movie actors, Polish stage actors, Polish television actors, Polish singers, Polish voice actors, Mexican voice actors
Méricourt-en-Vimeu	Communes in Somme
War for the Planet of the Apes	2017 science fiction movies, 2010s action movies, American action movies, Planet of the Apes movies, Sequel movies, Warner Bros. movies, English-language movies, Movies directed by Matt Reeves
Woburn, Massachusetts	Cities in Massachusetts
Solhan and Tadaryat massacres	2021 crimes in Africa, 2021 mass shootings, 2020s murders in Africa, June 2021 events, Mass murder in 2021, Massacres in Africa, Terrorist incidents in 2021, Terrorist incidents in Africa in the 2020s, History of Burkina Faso
2021 Peruvian general election	2021 elections, 2021 in South America, 21st century in Peru, April 2021 events, June 2021 events
Verónika Mendoza	1980 births, Living people, Peruvian politicians, Peruvian educators, French politicians, French scientists, French educators, Psychologists
Roy O. Disney	1893 births, 1971 deaths, Deaths from stroke, Disney people, American chief executives, Businesspeople from Chicago
San Miguel del Ene attack	2021 in South America, 2021 mass shootings, 21st century in Peru, Crime in South America, Mass murder in 2021, Massacres, May 2021 events, Terrorist incidents in 2021
Dendropsophus kubricki	Frogs, Animals of South America
Rolf Hellem	1923 births, 2021 deaths, Norwegian politicians
Dascha Polanco	1982 births, Living people, Naturalized citizens of the United States, Dominican Republic actors, American movie actors, American television actors, American voice actors, Actors from New York City, Actors from Miami, Florida
Dania Ramirez	1979 births, Living people, Naturalized citizens of the United States, Dominican Republic actors, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York City
Kurdistan Region	Kurdistan, Iraq, Autonomous areas, 1991 establishments in Asia, 20th century establishments in Iraq
Naseeruddin Shah	1949 births, Living people, Indian movie actors, Indian stage actors, Indian television actors, Indian movie directors, People from Uttar Pradesh, Indian educators, Indian activists, Environmentalists
Prairieville, Louisiana	Census-designated places in Louisiana
Bayou L'Ourse, Louisiana	Census-designated places in Louisiana
Belle Rose, Louisiana	Census-designated places in Louisiana
Lisa Banes	1955 births, 2021 deaths, American movie actors, American television actors, American stage actors, Actors from Ohio, Actors from New York City, Lesbians, LGBT actors, LGBT people from Ohio, LGBT people from New York City, American crime victims, Road accident deaths in New York
Labadieville, Louisiana	Census-designated places in Louisiana
The double thank-you of capitalism	Capitalism, Trade
Méricourt-l'Abbé	Communes in Somme
Mesnil-Domqueur	Communes in Somme
Mesnil-en-Arrouaise	Communes in Somme
Mesnil-Martinsart	Communes in Somme
Jacques Tati	1907 births, 1982 deaths, Deaths from pulmonary embolism, Mimes, French movie actors, French stage actors, French screenwriters, French movie directors, French movie producers, French comedians
Mesnil-Saint-Georges	Communes in Somme
Mesnil-Saint-Nicaise	Communes in Somme
Maichou	Meitei culture, Meitei folklore, Meitei religion
Guggenheim Partners	1999 establishments in the United States, Insurance companies
Métigny	Communes in Somme
Mézerolles	Communes in Somme
Mézières-en-Santerre	Communes in Somme
Samantha Jade	People from Perth, Western Australia, Australian singer-songwriters, Australian pop singers, 1987 births, Living people
The Floaters	20th-century establishments in Michigan, 1976 establishments in the United States, Disestablishments in Michigan, 1982 disestablishments in the United States, American R&B bands, Musical groups from Detroit, Michigan, Musical groups established in 1976, Musical groups disestablished in 1982, 1970s American music groups, 1980s American music groups
Robert Smalls	1839 births, 1915 deaths, 19th-century American politicians, Slaves, South Carolina Republicans
Racially-motivated violence	Racially-motivated violence
Bisho massacre	Apartheid-related violence, Pages with unreviewed translations, 20th century in South Africa
Heidelberg Tavern massacre	Attacks on bars, Mass murder in 1993, Apartheid-related violence, 20th century in South Africa
Scrotifera	Taxonomy
Rambo (2008 movie)	2008 action movies, Rambo movies, German movies, American sequel movies, Thai movies, Movies directed by Sylvester Stallone
Tsutomu Yamazaki (politician)	1947 births, 2021 deaths, Deaths from the COVID-19 pandemic in Japan, Japanese politicians
Tsutomu Yamazaki	1936 births, Living people, Japanese movie actors, Japanese television actors, Japanese stage actors
Remco Ekkers	1941 births, 2021 deaths, Critics, Dutch poets, Writers from North Holland
Fausto Gaibor García	Ecuadorian people, 1952 births, 2021 deaths, Roman Catholic bishops
Revaz Gabriadze	1936 births, 2021 deaths, Georgian people, European writers, Movie directors, Screenwriters, Playwrights, Painters, Sculptors
Lilibet Mountbatten-Windsor	2021 births, Living people, People from Santa Barbara, California
Prince Julian, Duke of Halland	2021 births, Living people
Medicine in the American Civil War	Medicine, American Civil War
Jovan I. Deretić	1939 births, 2021 deaths, Serbian people, Writers
Rafael López Aliaga	1961 births, Living people, Peruvian politicians, People from Lima
Jorge Del Castillo	1950 births, Living people, Peruvian politicians, People from Lima
Bart of Darkness	The Simpsons (season 6) episodes, 1994 television episodes
César Acuña	1952 births, Living people, Peruvian politicians, Mayors, Peruvian businesspeople
Omar Quesada	1965 births, Living people, Peruvian politicians
David Armstrong-Jones, 2nd Earl of Snowdon	1961 births, Living people, English businesspeople, People from Westminster
Richard Robinson (chief executive)	1937 births, 2021 deaths, American chief executives, Businesspeople from Pittsburgh, Pennsylvania, Businesspeople from New York City, American teachers
Lainingthou Sanamahi Temple Act 1976	Meitei culture, Meitei religion
1908 Messina earthquake	1908, 1900s in Europe, 20th century in Italy, Calabria, December events, Disasters in the 20th century, Earthquakes in Italy, Sicily
Guaçu Piteri	1935 births, 2021 deaths, Brazilian politicians, People from São Paulo, South American sociologists, Cancer deaths in Brazil
Irena Ondrová	1949 births, 2021 deaths, Czech politicians, Mayors
Joseph Lebeau	1794 births, 1865 deaths, Belgian liberals, Governors of Provinces of Belgium, Government ministers of Belgium, People from Huy, Prime Ministers of Belgium, Walloon politicians
Bird (transportation company)	2017 establishments in the United States, Companies based in California
Innovecs	2011 establishments in Europe
2021–22 UEFA Champions League qualifying phase and play-off round	UEFA Champions League, 2021 in Europe, 2021 in association football
Falcata	PlayStation games, PlayStation-only games, 1995 video games, Role-playing games, Japan exclusive video games
Herbert Hainer	1954 births, Living people, Sportspeople from Bavaria
ELEKS	1991 establishments in Europe
Tallow	Cooking fats
Chataignier, Louisiana	Villages in Louisiana
Pine Prairie, Louisiana	Villages in Louisiana
Hossein Movaghar	Iranian people, Persian people, Politicians, 1867 births, 1931 deaths
Turkey Creek, Louisiana	Villages in Louisiana
Fordoche, Louisiana	Towns in Louisiana
Livonia, Louisiana	Towns in Louisiana
Morganza, Louisiana	Villages in Louisiana
Newsmax TV	Television channels, 2014 establishments in New York (state)
Free Peru	2007 establishments, 2000s establishments in South America, Political parties in South America, Peru
Two Dozen and One Greyhounds	The Simpsons (season 6) episodes, 1995 television episodes
Breakthrough infection	Immunology
Delhi, Louisiana	Towns in Louisiana
Dendropsophus norandinus	Frogs, Animals of South America
2015 FIFA U-20 World Cup	FIFA U-20 World Cup, 2015 in association football, Sport in New Zealand, May 2016 events, June 2016 events, 2010s in New Zealand
Jeetendra	1942 births, Indian actors
Shaleen Surtie-Richards	1955 births, 2021 deaths, South African actors
Su Yiran	1918 births, 2021 deaths, Chinese politicians
Richard Nunns	1945 births, 2021 deaths, New Zealand educators, Musicians
Lucinda Franks	1946 births, 2021 deaths, American novelists, American autobiographers, Journalists from Chicago, Journalists from New York City, Cancer deaths in New York
Hopewell Junction, New York	Hamlets in New York, Census-designated places in New York (state), Dutchess County, New York
Ali Akbar Mohtashamipur	1947 births, 2021 deaths, Iranian politicians, Political activists, Crime victims, Deaths from the COVID-19 pandemic in Iran
Guglielmo Epifani	1950 births, 2021 deaths, Trade unionists, Politicians from Rome, Deaths from pulmonary embolism
Mansour Ojjeh	1952 births, 2021 deaths, Saudi Arabian businesspeople, French businesspeople, Organ transplant recipients, Deaths from idiopathic pulmonary fibrosis
Julio Miranda	1946 births, 2021 deaths, Deaths from pneumonia, Argentine politicians
Ottorino Sartor	1945 births, 2021 deaths, Peruvian footballers
John Sacret Young	1946 births, 2021 deaths, American television directors, American television producers, American television writers, Screenwriters from New Jersey, People from Montclair, New Jersey, Deaths from brain cancer
Tim Tolman	1956 births, 2021 deaths, Deaths from Parkinson's disease, Houston Astros players, Detroit Tigers players, Sportspeople from California, People from Santa Monica, California
CONCACAF Nations League	Football competitions, Sports in North America
2021 CONCACAF Nations League Final	June 2021 events
2021 Ghotki rail crash	2021 disasters in Asia, 2020s in Pakistan, Disasters in Pakistan, History of Sindh, June 2021 events
Sonequa Martin-Green	1985 births, Living people, American movie actors, American television actors, American voice actors, Actors from Alabama, American stage actors, American video game actors
Mama Jack	2005 comedy movies, South African movies, Movies set in South Africa
Great Hanshin earthquake	Earthquakes in Japan, 1995, 1990s in Japan, January events
Seismic magnitude scales	Earthquake engineering, Seismology
1976 Tangshan earthquake	1976, 1970s in Asia, 20th century in China, Beijing, Earthquakes in China, July events
Sniper (1993 movie)	1993 action movies, American action movies, Peruvian movies, Panamanian movies, Movies directed by Luis Llosa
Once Upon a Time in Venezuela	2020 movies, Documentary movies, Venezuelan movies, British movies, Brazilian movies, Austrian movies
DesignBro Ltd	Business, Companies of the Netherlands
A White, White Day	2019 drama movies, Icelandic movies, Danish movies, Swedish movies
Pipelight	Software, Internet, Linux
Joëlle Milquet	1961 births, Living people, Alderman of Belgium, Belgian lawyers, Brussels-Capital Region politicians, Centre démocrate humaniste politicians, Government ministers of Belgium, Parti social-chrétien politicians, People from Brussels, People from Charleroi, Walloon politicians, Women lawyers, Women politicians
The Last Farm	2004 movies, Icelandic movies
Naruto (season 2)	Naruto
Libera Chat	2021 establishments, Internet Relay Chat
Junior Eurovision Song Contest 2016	2016 in Europe, Junior Eurovision Song Contest
Another Simpsons Clip Show	The Simpsons (season 6) episodes, 1994 television episodes
Jamison family deaths	2009 deaths, People from Oklahoma, Unsolved murders in the United States
Jim Fassel	1949 births, 2021 deaths, Deaths from myocardial infarction, American football coaches, American football quarterbacks, Chicago Bears players, San Diego Chargers players, Tennessee Titans players, Sportspeople from California, People from Anaheim, California
Poundbury	Towns in Dorset
David Howell, Baron Howell of Guildford	1936 births, Living people, UK MPs 1966–1970, UK MPs 1970–1974, UK MPs 1974, UK MPs 1974–1979, UK MPs 1979–1983, UK MPs 1983–1987, UK MPs 1987–1992, UK MPs 1992–1997, Former Conservative MPs (UK), Politicians from London, Journalists from London
London, Ontario truck attack	2021 crimes, 2021 in North America, 2020s crimes in North America, 21st century in Canada, Crime in Canada, June 2021 events, Ontario
Sigrid the Haughty	10th century births
Never Die Young (movie)	2013 drama movies, Documentary movies, Luxembourgian movies, Movies directed by Pol Cruchten
Little Secrets (2006 movie)	2006 drama movies, Luxembourgian movies, Austrian movies, Movies directed by Pol Cruchten
Golden Edge	2003 establishments in North America, Television channels, 2000s establishments in Mexico
The Actor and the Savages	1976 drama movies, Romanian movies, Movies directed by Manole Marcus
Dendropsophus luddeckei	Frogs, Animals of South America
Mark Morrison	English R&B singers, British singer-songwriters, Black British musicians, 1972 births, Living people
Jon Husted	1967 births, Living people, Politicians from Michigan, People from Royal Oak, Michigan, US Republican Party politicians, Lieutenant Governors of Ohio
Bago River	Rivers of Myanmar
Tha Pyay Kan Village	Myanmar
Functionalism (philosophy of mind)	Philosophy
Philip Wong	1938 births, 2021 deaths, Business people, Cancer deaths in the United States, Deaths from brain cancer, People from Hong Kong, Politicians
Rimo-Cocoron	PlayStation 2 games, PlayStation 2-only games, 2001 video games, Sony Interactive Entertainment games, Japan exclusive video games, Action video games, Point-and-click adventure games
Kari Wuhrer	1967 births, American television actors, American movie actors, American game show hosts, Soap opera actors, Actors from Connecticut, Singers from Connecticut, Living people
Barbara Baker (judge)	Living people, Governors of Tasmania, Australian judges
Renato Iturrate	1922 births, 2021 deaths, Chilean people, Olympians, Cyclists
Mahjong Station Mazin	PlayStation games, PlayStation-only games, 1994 video games, Board games, Japan exclusive video games, Puzzles, Puzzle video games
Eliana Gaete	1932 births, Living people, Chilean people, Female athletes, Sprinters
Richard R. Ernst	1933 births, 2021 deaths, Swiss chemists, Swiss writers
Pierre-Gilles de Gennes	1932 births, 2007 deaths, French physicists, Scientists from Paris
F. Sherwood Rowland	1927 births, 2012 deaths, American chemists, Scientists from Ohio, Scientists from California, Deaths from Parkinson's disease
Tilly Hirst	1941 births, 2021 deaths, New Zealand sportspeople
Rotorua	Cities in New Zealand
Choukousoku Shogi	PlayStation 2 games, PlayStation 2-only games, Board games, 2001 video games, Japan exclusive video games, Puzzle video games
Warner Oland	1879 births, 1938 deaths, American movie actors, Swedish movie actors
Vivek Verma	Biography articles of living people, Indian entertainers, Indian composers, Indian musicians, Indian singers, 1992 births, Bollywood playback singers
Sylvain Ducange	1963 births, 2021 deaths, Haitian people, Roman Catholic bishops, Deaths from the COVID-19 pandemic
Neoaves	Birds
Libuše Šafránková	1953 births, 2021 deaths, Czech movie actors, Czech television actors, Czech stage actors, People from Brno, Deaths from lung cancer
Josef Abrhám	1939 births, Living people, Czech movie actors, Czech stage actors, Czech television actors
Jim Cooper	1954 births, Living people, United States representatives from Tennessee, Politicians from Nashville, Tennessee, US Democratic Party politicians
Dumitru Ivanov	1946 births, 2021 deaths, Moldovan politicians
Vadim Cojocaru	1961 births, 2021 deaths, Moldovan politicians
Buddhika Kurukularatne	1943 births, 2021 deaths, Sri Lankan politicians, Asian writers, Sri Lankan lawyers
Douglas S. Cramer	1931 births, 2021 deaths, American television producers, Deaths from heart failure, Deaths from renal failure, Businesspeople from Kentucky, People from Louisville, Kentucky
Conservative wave	2010s in South America, Politics of South America
The Swan Princess	1990s animated movies, 1990s musical movies, 1994 romance movies, 1990s romantic comedy movies, 1990s fantasy-comedy movies, 1994 comedy-drama movies, American animated movies, American musical movies, American romantic comedy movies, American fantasy-comedy movies, American comedy-drama movies
Palaeognathae	Birds
Mesites	Birds by order
Suliformes	Seabirds
Eurypygiformes	Birds by order
Dendropsophus manonegra	Frogs, Animals of South America
Citadel of Namur	Namur, Buildings and structures in Belgium, Castles
Divine Intervention (movie)	2002 comedy movies, 2000s black comedy movies, Palestinian movies, Moroccan movies, French comedy movies, German comedy movies, Movies directed by Elia Suleiman
Blood Wedding (1977 movie)	1977 drama movies, Moroccan movies, Movies based on plays, Movies directed by Souheil Ben-Barka
Rekha	1954 births, Living people, Indian actors
Queen of Hearts (2019 movie)	NC-17 rated movies, Danish movies, Swedish movies, 2019 drama movies, Movies directed by May el-Toukhy
Lion tamer	Occupations
Bugchasing	HIV/AIDS
The Last Assault	1985 movies, 1980s war movies, Romanian movies, World War II movies, Movies directed by Sergiu Nicolaescu
86 (term)	English language, Slang
Tango Bar	1987 drama movies, Puerto Rican movies, Argentine movies, Movies directed by Marcos Zurinaga
Mermaid Prism	2006 video games, 2007 video games, Visual novels, Adventure games, PlayStation 2 games, PlayStation 2-only games, Japan exclusive video games, Anime
Internationalist Theatre	1981 establishments in the United Kingdom, Companies of the United Kingdom
Sterling Heights, Michigan	Cities in Michigan
Brawl Stars	2018 establishments
Killing of Zohra Shah	2020 crimes, 2020s in Pakistan, Child sexual abuse, Torture victims, 2012 births, 2020 deaths, Children victims of violence
Witham (UK Parliament constituency)	Constituencies in the United Kingdom, Essex
