List of regions of Canada	Canada-related lists, Regions of Canada
Granville Austin	1927 births, 2014 deaths, American historians, Writers from Vermont
Norwich, Vermont	Towns in Vermont
Hanover, New Hampshire	Towns in New Hampshire
Norwich, New York	Cities in New York
Love Affair (1994 movie)	1994 movies, 1990s romantic drama movies, American movie remakes, American romantic drama movies, English-language movies, Movies set in New York City
Pelagornis	Birds, Fossils
2013–14 Fußball-Bundesliga	Bundesliga seasons, Fußball-Bundesliga, 2013 in association football, 2014 in association football, 2013 in Germany, 2014 in Europe
Pyrrharctia isabella	Arctiidae
Az Zarqa (Egypt)	Cities in Egypt
José Gómez (cyclist)	1944 births, 2014 deaths, Spanish cyclists, Sportspeople from Madrid
Fanchang County	geography of China
Wuhu County	geography of China
Ben Pangelinan	1956 births, 2014 deaths, Deaths from cancer, Politicians from Guam, US Democratic Party politicians, American businesspeople, Civil servants
Yijiang District	geography of China
Snyder, Texas	Cities in Texas, County seats in Texas
Northridge, Los Angeles	Neighborhoods of Los Angeles
San Fernando Valley	Valleys of California, Geography of Los Angeles, California
Calabasas, California	Cities in California, Settlements in Los Angeles County, California, 1991 establishments in California
San Fernando, California	Cities in California, Settlements in Los Angeles County, California
Hidden Hills, California	Cities in California, Settlements in Los Angeles County, California
Tower Town	Geography of Chicago, 20th century in Chicago, 1920s in Illinois
Long Lake, Illinois	Census-designated places in Illinois
Willowbrook, Will County, Illinois	Census-designated places in Illinois, Unincorporated communities in Illinois
White Heath, Illinois	Census-designated places in Illinois, Unincorporated communities in Illinois
Dow, Illinois	Unincorporated communities in Illinois
Luzon	Islands of the Philippines
Medinah, Illinois	Unincorporated communities in Illinois, Settlements in DuPage County, Illinois, Suburbs of Chicago, Illinois
Andres, Illinois	Unincorporated communities in Illinois
Frankfort, Illinois	Villages in Illinois, Settlements in Cook County, Illinois, Suburbs of Chicago, Illinois
Peotone, Illinois	Villages in Illinois
Sanshan District	Counties of China
Typhoon Megi (2010)	2010 in Asia, 2010 in weather, 2010s in China, 2010s in the Philippines, Pacific typhoons
Jinghu District	Geography of China
Lujiang County	Counties of China
Feixi County	Geography of China
Feidong County	Counties of China
Changfeng County	Counties of China
Baohe District	Districts of China
Brazil v Germany (2014 FIFA World Cup)	2014 FIFA World Cup, July 2014 events
Malachi	Old Testament people, Ancient Israeli people
Metallica Through the Never	2013 movies, 2010s thriller movies, American musical movies, American thriller movies, English-language movies, Movies directed by Nimród Antal
Dropkick Murphys	Musical groups established in 1999, American punk bands, Musical groups from Massachusetts, 1990s establishments in Massachusetts, 1999 establishments in the United States
Shushan District	Districts of China
Yaohai District	Districts of China
Luyang District	Districts of China
He County	counties of China
Hanshan County	counties of China
Dangtu County	counties of China
Bowang District	districts of China, 2012 establishments in Asia, 2010s establishments in China
Yushan District	districts of China
Huashan District	districts of China
John V. Evans	1925 births, 2014 deaths, American military personnel of World War II, Governors of Idaho, Ranchers, US Democratic Party politicians
Robert J. Bentley	1943 births, Living people, American Baptists, American military people, Governors of Alabama, US Republican Party politicians
Rick Scott	1952 births, Living people, United States senators from Florida, Governors of Florida, Politicians from Illinois, People from Bloomington, Illinois, US Republican Party politicians, 21st-century American politicians
Nathan Deal	1942 births, Living people, Governors of Georgia (U.S. state), United States representatives from Georgia, US Republican Party politicians
Butch Otter	1942 births, Living people, American Roman Catholics, Governors of Idaho, United States representatives from Idaho, US Republican Party politicians, Lieutenant Governors of Idaho
Mike Pence	1959 births, Living people, American conservatives, American Evangelicals, American Roman Catholics, Governors of Indiana, United States representatives from Indiana, 2020 United States vice-presidential candidates, 2016 United States vice-presidential candidates, US Republican Party politicians, 21st-century American politicians, Politicians from Indianapolis, Indiana
Paul LePage	1948 births, Living people, Governors of Maine, American mayors, Businesspeople from Maine, People from Lewiston, Maine, US Republican Party politicians
Brian Sandoval	1963 births, Living people, American judges, Governors of Nevada, Politicians from California, US Republican Party politicians
Pat McCrory	1956 births, Living people, American mayors, Governors of North Carolina, Politicians from Charlotte, North Carolina, Politicians from Ohio, US Republican Party politicians
Jack Dalrymple	1948 births, Living people, Businesspeople from North Dakota, Businesspeople from Minneapolis, Minnesota, American Presbyterians, Governors of North Dakota, Politicians from Minneapolis, Minnesota, US Republican Party politicians, Yale University alumni, Lieutenant Governors of North Dakota
Dennis Daugaard	1953 births, Living people, American Lutherans, Governors of South Dakota, US Republican Party politicians, Lieutenant Governors of South Dakota
Bill Haslam	1958 births, Living people, American mayors, Governors of Tennessee, People from Knoxville, Tennessee, US Republican Party politicians
Gary Herbert	1947 births, Living people, American Latter Day Saints, Governors of Utah, US Republican Party politicians, Lieutenant Governors of Utah
Vincent C. Gray	1942 births, Living people, Mayors of Washington, D.C., US Democratic Party politicians
American Fork, Utah	Cities in Utah
Josh Earnest	1977 births, Living people, White House Press Secretaries, Politicians from Kansas City, Missouri, US Democratic Party politicians
Lolo Matalasi Moliga	1949 births, Living people, American businesspeople, Governors of American Samoa, US Democratic Party politicians
Eddie Calvo	1961 births, Living people, Governors of Guam, US Republican Party politicians
Eloy Inos	1949 births, 2015 deaths, Deaths from surgical complications, Governors of the Northern Mariana Islands, US Republican Party politicians, Lieutenant Governors of the Northern Mariana Islands
Alejandro García Padilla	1971 births, Living people, Governors of Puerto Rico, US Democratic Party politicians
John de Jongh	1957 births, Living people, Governors of the United States Virgin Islands, US Democratic Party politicians
Paint Creek, Texas	Unincorporated communities in Texas
Cypress, California	Cities in California, Settlements in Orange County, California
John Stamos	1963 births, Living people, American movie actors, American television actors, American voice actors, American songwriters, Actors from Orange County, California, Musicians from California, Writers from California, Singers from California
Don Stark	1954 births, Living people, American movie actors, American television actors, American voice actors, Actors from New York City
Cypress, Texas	Unincorporated communities in Texas
UEFA Euro 1996	1996 in England, 1996 in association football, UEFA European Championship, Football in England
David Azrieli	1922 births, 2014 deaths, Billionaires, Canadian architects, Canadian businesspeople, Canadian Jews, Israeli artists, Israeli Jews, Jewish artists, Jewish businesspeople, Jewish philanthropists, Naturalized citizens of Canada, Naturalized citizens of Israel, Polish Jews, Real estate developers
Weston, Massachusetts	Towns in Massachusetts
Adam Wood	1955 births, Living people, British diplomats
Six Flags New Orleans	Six Flags amusement parks, New Orleans, Louisiana, Theme parks in the United States, Hurricane Katrina, 2000 establishments in the United States, 20th-century establishments in Louisiana
Stygotantulus	Crustaceans
Marco Rodríguez	Living people, 1973 births, Sportspeople from Mexico City
Swing Out Sister	1985 establishments in the United Kingdom, 1980s British music groups, 1990s British music groups, 2000s British music groups, 2010s British music groups, British pop music groups, Musical groups established in 1985, Musical groups from Greater Manchester
Born to Sing (album)	1990 albums, Pop albums
Charlotte County, New Brunswick	Counties of New Brunswick
Queen Charlotte Sound (Canada)	Geography of British Columbia
Cynthia, Alberta	Hamlets in Alberta
Central Alberta	Alberta
Castelsarrasin	Subprefectures in France, Communes in Tarn-et-Garonne
Elsa (Disney)	Fictional characters introduced in 2013, Fictional characters with ice or cold abilities, Frozen (franchise), Movie characters, Disney characters, Kingdom Hearts characters
Lloydminster	1903 establishments in North America, 1900s establishments in Canada, Cities in Alberta, Cities in Saskatchewan
Anglican Church of Canada	Anglicanism, Religion in Canada, 1500s establishments in North America
Funky Divas	1992 albums, R&B albums
Estádio Nacional Mané Garrincha	Stadiums, Brasília
Jini Dellaccio	1917 births, 2014 deaths, American photographers, People from Indiana
Plínio de Arruda Sampaio	1930 births, 2014 deaths, Deaths from bone cancer, Brazilian politicians, Civil servants, Brazilian activists, Brazilian educators, People from São Paulo
Prosopagnosia	Vision, Developmental disorders, Face, Memory, Genetic disorders
Tokyo Decadence	1990s drama movies, 1991 movies, NC-17 rated movies
Pink movie	Movies
Giovannino Guareschi	1908 births, 1968 deaths, Deaths from myocardial infarction, Italian writers, Italian journalists, Cartoonists, Comedians
Peter Riegert	1947 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American screenwriters, Movie directors from New York City, Screenwriters from New York City, Actors from New York City
L.I.E.	2001 drama movies, American drama movies, American independent movies, Movies about child sexual abuse
Ballistic trauma	Health problems
Megacheira	Arthropods
Kenta Kobayashi	1981 births, Japanese professional wrestlers, Living people, WWE wrestlers, People from Saitama Prefecture
Sonoma County Transit	Bus transport, Transport in California, Companies based in California
La Tour d'Auvergne	French nobility
County Leitrim	County Leitrim, Connacht
County Roscommon	Counties of the Republic of Ireland, Connacht
County Carlow	Counties of the Republic of Ireland
Alois Brunner	1912 births, 2010 deaths, Austrian people of World War II, Austrian war criminals, Centenarians, Holocaust perpetrators, SS officers
Trenton, Illinois	Cities in Illinois
Sveio	Municipalities of Norway
Windows 8.1	Microsoft operating systems
Postcards from the Edge (movie)	1990 comedy-drama movies, American comedy-drama movies, English-language movies, Movies about dysfunctional families, Movies based on books, Movies about drugs, Movies directed by Mike Nichols
Vekoma	1926 establishments in Europe, Manufacturing, Companies of the Netherlands, 20th century establishments in the Netherlands
What I Do the Best	1996 albums, John Michael Montgomery albums
Green Forest, Arkansas	Cities in Arkansas
Raymond, Illinois	Towns in Illinois
As Blood Runs Black	Deathcore bands, Musical groups established in 2003, Musical groups disestablished in 2014, 2003 establishments in California, 2014 disestablishments in the United States, 2010s disestablishments in California
Rosemary Murphy	1925 births, 2014 deaths, Actors from Bavaria, American movie actors, American stage actors, American television actors, Cancer deaths in New York City, Deaths from esophageal cancer, Emmy Award winning actors, Entertainers from Munich
Bakir Izetbegović	1956 births, Living people, Members of the Presidency of Bosnia and Herzegovina, Chairmen of the Presidency of Bosnia and Herzegovina
Croats of Bosnia and Herzegovina	Slavic peoples, Bosnia and Herzegovina people
The Bar-Kays	1966 establishments in the United States, 1960s American music groups, 1970s American music groups, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American R&B bands, Memphis, Tennessee, Musical groups established in 1966, Musical groups from Tennessee, 1960s establishments in Tennessee
Middletown, Rhode Island	Towns in Rhode Island, 1740s establishments in the Thirteen Colonies
County Clare	County Clare
Pink Panther (statue)	Statues, Valencia
Duchy of Bouillon	Former countries in Europe, States of the Holy Roman Empire
Intamin	Manufacturing
John Seigenthaler	1927 births, 2014 deaths, American activists, American journalists, Cancer deaths in the United States, Deaths from colorectal cancer, Writers from Nashville, Tennessee
Charlie Haden	Grammy Award winners, 1937 births, 2014 deaths, American jazz musicians, American composers, Bassists, Musicians from Iowa
RoboCop	1987 crime movies, 1987 action movies, 1980s science fiction movies, American action movies, American crime movies, American science fiction movies, English-language movies, Movies about revenge, Movies directed by Paul Verhoeven, Movies set in Detroit, Michigan, Movies set in the future, RoboCop, Drone movies, American superhero movies, American independent movies
Life's a Dance	1992 albums, John Michael Montgomery albums
Xcelerator	Roller coasters in the United States, Buildings and structures in California, Roller coasters by name, 2002 establishments in the United States, 2000s establishments in California
Elena Undone	2010 romance movies, 2010 drama movies, 2010s LGBT movies, 2010s romantic drama movies, American LGBT movies, American romantic drama movies, English-language movies
Programmed learning	Learning, Education
Sidney L. Pressey	1888 births, 1979 deaths, Educators, American psychologists
Polar climate	Climate
Teaching machine	Machines, Education
Luke Shaw	1995 births, Living people, English footballers, Manchester United F.C. players, Sportspeople from London, 2014 FIFA World Cup players, Premier League players
Konstantinos Stephanopoulos	1926 births, 2016 deaths, Deaths from pneumonia, Presidents of Greece
Ray Lonnen	1940 births, 2014 deaths, Actors from Hampshire, Deaths from cancer, English movie actors, English television actors, People from Bournemouth
Nestor Basterretxea	1924 births, 2014 deaths, People from the Basque Country, Spanish painters
Valeriya Novodvorskaya	1950 births, 2014 deaths, Russian politicians, Soviet politicians, Civil servants
CyanogenMod	Operating systems
Eileen Ford	Businesspeople from New York City, 1922 births, 2014 deaths
John Michael Montgomery (album)	1995 albums, John Michael Montgomery albums
RoboCop 2	1990 science fiction movies, RoboCop, American superhero movies, American independent movies
RoboCop 3	1993 action movies, 1990s science fiction movies, American action movies, American science fiction movies, English-language movies, Robot movies, RoboCop, Science fiction action movies, American superhero movies, American independent movies
A Prairie Home Companion	Radio programs
Kochas	Settlements in Bihar, Towns in India
Battle of Monocacy	American Civil War battles, 1864 in the United States, 19th century in Maryland, July events
Cape Columbia	Geography of Canada
Outer Banks	Geography of North Carolina, Islands of the United States
Jan Nolten	1930 births, 2014 deaths, Cardiovascular disease deaths in the Netherlands, Deaths from cerebral hemorrhage, Dutch cyclists, People from Sittard-Geleen, Sportspeople from Limburg (Netherlands)
Lorin Maazel	1930 births, 2014 deaths, American composers, American conductors, American violinists, Deaths from pneumonia, Infectious disease deaths in the United States, Jewish American musicians, Musicians from Ile-de-France, Musicians from Pittsburgh, Pennsylvania
Emil Bobu	1927 births, 2014 deaths, Activists, Civil servants, Communist politicians, Deaths from myocardial infarction, Government ministers, Murderers, Prisoners, Romanian politicians
Carin Mannheimer	1934 births, 2014 deaths, Swedish movie directors, Swedish movie producers, Swedish screenwriters
Dave Legeno	1963 births, 2014 deaths, Actors from London, British boxers, English movie actors, English television actors, Mixed martial artists, Sportspeople from London
Kickin' it Up	1994 albums, John Michael Montgomery albums
Luiz Alberto Dias Menezes	1950 births, 2014 deaths, Geologists, People from São Paulo, Brazilian scientists
Fitzgerald Theater	1910 establishments in the United States, Theatres in the United States, 20th-century establishments in Minnesota
Typhoon Rammasun (2014)	Pacific typhoons, 2014 in weather, History of Guam
Battle of the Wilderness	American Civil War battles, 1864 in the United States, May 1864 events
Lofsdalen	Settlements in Jamtland County
Onsala	Settlements in Jamtland County
Krombacher Brauerei	Companies of Germany, Beer, North Rhine-Westphalia
Kreuztal	Towns in North Rhine-Westphalia, Siegen-Wittgenstein Rural District
Panzer I	Tanks
C.D. Lugo	Spanish football clubs
High Point, North Carolina	Cities in North Carolina, 1859 establishments in North Carolina
Greenville, North Carolina	Cities in North Carolina, County seats in North Carolina
Alice Coachman	1923 births, 2014 deaths, American Olympic gold medalists, Deaths from cardiac arrest, Sportspeople from Georgia (U.S. state)
Albany, Georgia	Albany, Georgia, County seats in Georgia, 1838 establishments in the United States, 1830s establishments in Georgia (U.S. state)
Oral rehydration therapy	Public health
Don Lenhardt	1922 births, 2014 deaths, American baseball players, Baltimore Orioles players, Baseball coaches, Boston Red Sox players, Chicago White Sox players, Detroit Tigers players, People from Alton, Illinois, Sportspeople from Illinois
Kenneth J. Gray	1924 births, 2014 deaths, Businesspeople from Illinois, Military people from Illinois, United States representatives from Illinois, US Democratic Party politicians
Peter Underwood	1937 births, 2014 deaths, Australian judges, Australian lawyers, Cancer deaths in Australia, Deaths from kidney cancer, Governors of Tasmania
Lois Johnson	1942 births, 2014 deaths, American country musicians, Disease-related deaths in the United States, Singers from Tennessee
Robert C. Broomfield	1933 births, 2014 deaths, American judges, American military people, Cancer deaths in the United States, Politicians from Detroit, Michigan, Politicians from Phoenix, Arizona
Canis	Carnivora
Nancy Astor	1879 births, 1964 deaths, British Christians, Christian Scientists, Former Conservative MPs (UK), Former members of the British House of Commons for English constituencies, Naturalised citizens of the United Kingdom, Politicians from Virginia, Women politicians
Temptation of Wife (2012 TV series)	2012 television series debuts, Philippine television series, 2010s establishments in the Philippines
Gert Voss	1941 births, 2014 deaths, Deaths from leukemia, Disease-related deaths in Austria, German movie actors, German television actors, People from Shanghai
Alfred de Grazia	1919 births, 2014 deaths, American historians, American political scientists, Scientists from Chicago, Writers from Chicago
Alberto Cassano	1935 births, 2014 deaths, Argentine academics, Argentine scientists, Disease-related deaths in Argentina, Argentine engineers, People from Buenos Aires
James MacGregor Burns	Pulitzer Prize winners, 1918 births, 2014 deaths, American historians, American educators, American political scientists, Writers from Massachusetts, Scientists from Boston, Massachusetts
Vange Leonel	1963 births, 2014 deaths, Deaths from ovarian cancer, Brazilian singers, Brazilian writers, Brazilian activists, Singer-songwriters, Brazilian journalists, People from São Paulo
Robert A. Roe	1924 births, 2014 deaths, American mayors, United States representatives from New Jersey, US Democratic Party politicians
Jean Dausset	1916 births, 2009 deaths, French academics, French Nobel Prize winners, French physicians, Immunologists, People from Toulouse, Wolf Prize winners
Assassination of Theo van Gogh	2004 in Europe, 2000s in the Netherlands, History of Amsterdam, Assassinations in Europe, Islamic terrorist incidents in Europe, Murder in 2004, Murders by firearm in Europe, November events
Bernard Bailyn	Pulitzer Prize winners, 1922 births, 2020 deaths, Deaths from heart failure, American historians, American educators, Writers from Hartford, Connecticut
Carl Neumann Degler	Pulitzer Prize winners, 1921 births, Living people, American historians, American educators, People from Orange, New Jersey, Writers from New Jersey
Orange, New Jersey	Townships in New Jersey
Shatsky Rise	Oceanography, Volcanoes of Asia
Paul is dead	Conspiracy theories, Paul McCartney
La Junta, Colorado	Cities in Colorado, County seats in Colorado
Victoria Peak	Geography of Hong Kong
Lammtarra	1992 births, 2014 deaths, Thoroughbred racehorses
Vintage Crop	1987 births, 2014 deaths, Thoroughbred racehorses
William Holman Hunt	1827 births, 1910 deaths, Artists from London, English painters
Geoffroy's cat	Felines
Nicky Morgan	1972 births, Living people, Alumni of the University of Oxford, British lawyers, Former Conservative MPs (UK), Former members of the British House of Commons for English constituencies, Members of the House of Lords, Politicians from London, Privy Councillors (UK), Secretaries of State of the United Kingdom, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, United Kingdom Life Peers, Women lawyers, Women politicians
Alexandrine parakeet	Parakeets
IOS 4	IOS, Operating systems
Virginia Halas McCaskey	1923 births, Living people, Businesspeople from Chicago, Sportspeople from Chicago
Mrs. Parkington	1944 drama movies, 1940s romance movies, American romantic drama movies, English-language movies, Movies based on books
Roberto Martínez	1973 births, Living people, Spanish football managers, Spanish footballers, Sportspeople from Catalonia
C.F. Balaguer	Spanish football clubs, 1945 establishments in Europe, 1940s establishments in Spain
Balaguer	Towns in Spain, Municipalities in Catalonia
Club América	Mexican football clubs, Sport in Mexico City, 1916 establishments in Mexico
Cruz Azul	Mexican football clubs, Sport in Mexico City, 1927 establishments in North America, 1920s establishments in Mexico
C.D. Guadalajara	Mexican football clubs, Guadalajara, 1906 establishments in North America, 1900s establishments in Mexico
Mike Sandlock	1915 births, 2016 deaths, Brooklyn Dodgers players, Pittsburgh Pirates players, Sportspeople from Connecticut, People from Greenwich, Connecticut
Oribe Peralta	1984 births, Living people, Mexican footballers, Coahuila, 2014 FIFA World Cup players
Cuban Americans	Ethnic groups in the United States
Lennie Merullo	1917 births, 2015 deaths, Deaths from stroke, Chicago Cubs players, Sportspeople from Boston, Massachusetts
Johnny Pesky	1919 births, 2012 deaths, Boston Red Sox players, Detroit Tigers players, Minnesota Twins players, Sportspeople from Portland, Oregon
Bobby Doerr	1918 births, 2017 deaths, Deaths from natural causes in the United States, Boston Red Sox players, Sportspeople from Los Angeles, California, National Baseball Hall of Fame members
David Halberstam	Pulitzer Prize winners, 1934 births, 2007 deaths, American educators, American historians, American war correspondents, Harvard University alumni, Jewish American writers, Road accident deaths, Writers from New York City
Civil Rights Movement	American civil rights, 20th century in the United States, African-American history
Elżbieta Czyżewska	1938 births, 2010 deaths, Cancer deaths in New York City, Deaths from esophageal cancer, Entertainers from Warsaw, Polish movie actors, Polish television actors
Jerzy Skolimowski	1938 births, Living people, Polish movie directors, Polish screenwriters, Polish movie actors, Polish playwrights, People from Łódź
John Guare	1938 births, Living people, American playwrights, Writers from New York City
Louis Malle	1932 births, 1995 deaths, Deaths from lymphoma, French movie directors, French movie producers, French screenwriters
Georg von Hertling	1843 births, 1919 deaths, Chancellors of the German Empire, German nobility, German people of World War I, Members of the Reichstag (German Empire), Ministers-President of Bavaria, Prime Ministers of Prussia, People from Darmstadt
David Mamet	Pulitzer Prize winners, 1947 births, Living people, American playwrights, American essayists, Movie directors from Chicago, Screenwriters from Chicago, Writers from Chicago
Alan Bennett	1934 births, Living people, Actors from Leeds, Alumni of the University of Oxford, English LGBT people, English movie actors, English playwrights, English screenwriters, English television actors, English television producers, English television writers, Gay men, LGBT actors, LGBT playwrights, LGBT screenwriters, Writers from Leeds
Randall Stout	1958 births, 2014 deaths, Deaths from kidney cancer, American architects, People from Knoxville, Tennessee
John Seigenthaler Pedestrian Bridge	Buildings and structures in Tennessee, Bridges in the United States, Nashville, Tennessee, 1909 establishments in the United States, 20th-century establishments in Tennessee
Shelbyville, Tennessee	Cities in Tennessee, County seats in Tennessee
Parakeet	parakeets
Conure	Parrots
Typhoon Bopha	2012 disasters, 2012 in Asia, 2012 in weather, 2010s in the Philippines, Pacific typhoons
Helix (gastropod)	Gastropods
Szymon Szurmiej	1923 births, 2014 deaths, Deaths from natural causes, Jewish activists, Jewish actors, Jewish musicians, Polish filmmakers, Polish Jews, Polish movie actors, Polish singers, Polish stage actors, Polish television actors
John Ilhan	1965 births, 2007 deaths, Australian businesspeople, Cardiovascular disease deaths in Australia, Deaths from myocardial infarction, Disease-related deaths in Victoria (Australia), Muslims, People from Melbourne, Australian philanthropists, Turkish people
Helcionelloida	Molluscs
Rice Park, Saint Paul, Minnesota	1849 establishments in Minnesota Territory, Parks in the United States, Saint Paul, Minnesota
Battleground (2014)	2014 in American television, Sports in Tampa, Florida, World Wrestling Entertainment pay-per-view events, 2014 in professional wrestling, 2014 in Florida, 2010s in Tampa, Florida
Malaysia Airlines Flight 17	2014 crimes, 2014 in Europe, 2010s in Ukraine, Malaysia Airlines Flight 17, July 2014 events
Lorraine Toussaint	1960 births, Living people, Actors from New York City, American movie actors, American television actors, Trinidad and Tobago people
Henry M. Rice	1816 births, 1894 deaths, United States senators from Minnesota, People from Kalamazoo, Michigan, Politicians from Michigan
Birmingham, Michigan	Cities in Michigan
John Walton (actor)	1953 births, 2014 deaths, Actors from Sydney, Australian movie actors, Australian television actors, Disease-related deaths in New South Wales
Nikola Mirotić	Chicago Bulls players, 1991 births, Living people, Spanish basketball players, Montenegrin sportspeople
Ignacy Jan Paderewski	1860 births, 1941 deaths, Deaths from pneumonia, Prime Ministers of Poland, Polish composers, Polish pianists
Santos Laguna	Mexican football clubs, Coahuila, 1983 establishments in North America, 1980s establishments in Mexico
Torreón	Cities in Mexico, Coahuila, 1893 establishments in North America, 19th-century establishments in Mexico
Administrative divisions of Nepal	Subdivisions of Nepal
Torreón Municipality	Municipalities of Coahuila
Lerdo	Cities in Mexico, Durango
Mexico national under-23 football team	International under-23 association football teams, Football in Mexico
Durango City	Durango, Capital cities in Mexico, 1563 establishments, 16th-century establishments in Mexico
Italian mountain community	Italian mountain communities
C.F. Monterrey	Mexican football clubs, Monterrey, 1945 establishments in North America, 1940s establishments in Mexico
Comunità montana Evançon	Italian mountain communities
R.S.C. Anderlecht	Belgian football clubs, Brussels-Capital Region
Comunità montana Grand Combin	Italian mountain communities
Comunità montana Grand Paradis	Italian mountain communities
Comunità montana Mont Emilius	Italian mountain communities
Chiapas F.C.	Mexican football clubs, Chiapas, 2002 establishments in North America, 2000s establishments in Mexico
Comunità montana Mont Rose	Italian mountain communities
Club León	Mexican football clubs, Guanajuato (state), 1944 establishments in North America, 1940s establishments in Mexico
Comunità montana Monte Cervino	Italian mountain communities
Comunità montana Valdigne Mont Blanc	Italian mountain communities
Club Universidad de Guadalajara	Mexican football clubs, Guadalajara, 1970 establishments in North America, 1970s establishments in Mexico
Comunità montana Walser Alta Valle del Lys	Italian mountain communities
Club Brugge K.V.	Belgian football clubs, Bruges, 1891 establishments in Europe, 19th century establishments in Belgium
Chief of police	Police officers, Law enforcement occupations
IPad (1st generation)	IPad, Tablets released in 2010s
Salvador Sánchez Cerén	1944 births, Living people, Presidents of El Salvador
Hal Roach	1892 births, 1992 deaths, Deaths from pneumonia, American movie actors, American centenarians, American television producers, Movie producers from New York, Movie directors from New York, Actors from New York
Leland, Mississippi	Cities in Mississippi
Special Branch	Police
Pack (canine)	Ethology
Joep Lange	1954 births, 2014 deaths, Aviation deaths, Dutch academics, Dutch scientists, HIV/AIDS, Malaysia Airlines Flight 17, Medical researchers, Murder victims, Dutch physicians
