Magan (civilization)	Ancient history, Middle East
Muhammad Nasiruddin al-Albani	1914 births, 1999 deaths, Imams, Albanian Sunni Muslim scholars of Islam, Syrian Sunni Muslim scholars of Islam, 20th-century Albanian writers, 20th-century Syrian writers, Albanian Arabic-language writers, Carpenters, Hadith scholars, Albanian Islamic religious leaders, Muslims, People from Shkodër, Albanian Salafis, Syrian Salafis, Wahhabism, Sunni imams, Critics of Shia Islam, Watchmakers (people), Albanian emigrants to Syria, Atharis, Zahiris, Syrian Islamic religious leaders, Biographical evaluation scholars
King Faisal Prize	Religion-related awards, Science and technology awards, Saudi Arabian awards, 1979 establishments in Saudi Arabia, International awards, Saudi Arabian literary awards, Islamic awards
Magnitogorsk	Cities in Russia
King Faisal Foundation	1976 establishments in Saudi Arabia, Cultural organisations based in Saudi Arabia, Organizations established in 1976
Abdul-Rahman al-Sa'di	20th-century Saudi Arabian people, Saudi Arabian Sunni Muslim scholars of Islam, 1889 births, 1956 deaths, Imams, Saudi Arabian Salafis, People from Unaizah
Tafsir	Quran
Aqeedah	Islamic culture
The Girl on a Motorcycle	1968 movies, 1960s romantic drama movies, British romantic drama movies, French romance movies, French drama movies, Movies based on short stories, Movies directed by Jack Cardiff, Movies set in France, Movies set in Germany
Mizanur Rahman (Bangladeshi Islamic Preacher)	1990 births, Living people, Bangladeshi Muslims, Bangladeshi Sunni Muslims
Bedlam (1946 movie)	1946 movies, 1940s horror movies, 1940s thriller movies, American horror thriller movies, Movies directed by Mark Robson
Lydia Hearst	 Living people,  American models
Hana Soukupová	 1985 births,  living people,  Czech models
Bilal Philips	Imams, Converts to Islam, Canadian Muslims, Black Canadian people, Alumni of the University of Wales, King Saud University alumni, Islamic University of Madinah alumni, Living people, People deported from Australia, People deported from Germany, People deported from Kenya, Jamaican Muslims, Jamaican Salafis, 1946 births, Islamic television preachers, Jamaican emigrants to Canada
Abdul-Rahman Al-Sudais	1960 births, Living people, Islam and antisemitism, Saudi Arabian Muslims, Imams, People who memorized the Quran, Saudi Arabian Quran reciters, People from Riyadh, King Saud University alumni, Antisemitism in Saudi Arabia, Umm al-Qura University alumni, Critics of Shia Islam
Phyllomedusa tetraploidea	Frogs, Animals of South America
Umm al-Qura University	Umm al-Qura University, 1981 establishments in Saudi Arabia, Educational institutions established in 1981, Universities and colleges in Saudi Arabia, Islamic universities and colleges in Saudi Arabia, Education in Mecca
Liisa Winkler	 Living people,  Canadian models
Huda TV	Islamic media, Islamic television networks, English-language television stations, Television channels and stations established in 2005, Saudi Arabian companies established in 2005
King Abdulaziz University	King Abdulaziz University, 1967 establishments in Saudi Arabia, Educational institutions established in 1967, Education in Jeddah, Universities and colleges in Saudi Arabia
Smoky (1946 movie)	1946 movies, 1940s western movies, 1940s drama movies, American western movies, American drama movies, 20th Century Fox movies, Movies based on books, Movies directed by Louis King
Alhumdulillah	Islam
Ismail ibn Musa Menk	Living people, Imams, Quran reciters, Theologians, Islamic University of Madinah alumni, 1975 births, People who memorized the Quran
Bollywood Hungama	Bollywood, 1998 establishments, Movie industry, Television, Entertainment websites
500 Most Influential Muslims	2009 non-fiction books, International biographical dictionaries, Top people lists
Henry H. Arnold	1886 births
King Fahd University of Petroleum and Minerals	King Fahd University of Petroleum and Minerals, Dhahran, Educational institutions established in 1963, Universities and colleges in Saudi Arabia, 1963 establishments in Saudi Arabia, Energy education
Wahiduddin Khan	1925 births, 2021 deaths, Indian imams, Nonviolence advocates, Deaths from the COVID-19 pandemic in India
Abu Ammaar Yasir Qadhi	1975 births, Living people, Muhajir people, University of Houston alumni, Islamic University of Madinah alumni, Yale University alumni, American Sunni Muslim scholars of Islam, American academics of Pakistani descent, Theologians, Dow Chemical Company employees, American expatriates in Saudi Arabia, People who memorized the Quran
Omar Suleiman (imam)	1986 births, Living people, Imams, American YouTubers, People from New Orleans, Louisiana
Tariq Masood	1975 births, Living people, Pakistani YouTubers, Pakistani Muslims, Pakistani Sunni Muslims, Muslims, People from Karachi, Pakistani Sunni Muslim scholars of Islam, Muslim missionaries
Wellington boot	Clothing, Fashion
Tariq Jamil	1953 births, Living people, Muslim missionaries, Punjabi people, Muslims, Pakistani Muslims
Mishary bin Rashid Alafasy	Living people, 1976 births, Islamic University of Madinah alumni, Kuwaiti Sunni Muslims, Kuwaiti Muslims, Kuwaiti Islamists, Kuwaiti Quran reciters, Kuwaiti imams, People who memorized the Quran
Leader of the Opposition (Portugal)	Portuguese politicians
Rui Rio	1957 births, Living people, Mayors, Portuguese politicians
Michael Chapman (singer)	1941 births, 2021 deaths, English singer-songwriters, English guitarists, Folk musicians, Folk singers, People from Leeds
Lucette Michaux-Chevry	1929 births, 2021 deaths, French mayors
Bruce McFee	1961 births, 2021 deaths, Scottish politicians, Deaths from stroke
Robert A. Rovner	1943 births, 2021 deaths, American radio personalities, American lawyers, Politicians from Philadelphia, Pennsylvania, US Republican Party politicians
Frederick L. Van Sickle	1943 births, 2021 deaths, American judges, American lawyers, Politicians from Wisconsin, Politicians from Washington, People from Spokane, Washington, US Republican Party politicians
Charles Konan Banny	1942 births, 2021 deaths, Prime Ministers of Ivory Coast, Deaths from the COVID-19 pandemic in France
Stephen H. Grimes	1927 births, 2021 deaths, American lawyers, Politicians from Illinois, Politicians from Florida, American judges, People from Peoria, Illinois, US Republican Party politicians
Kathryn Prescott	1991 births, Living people, English movie actors, English television actors, English stage actors, English voice actors, Actors from London
Gordon Spice	1940 births, 2021 deaths, British racecar drivers, British engineers, Sportspeople from London, Businesspeople from London, Cancer deaths in London
Leif Frode Onarheim	1934 births, 2021 deaths, Norwegian politicians, Norwegian businesspeople
Guarani people	Articles using infobox ethnic group with image parameters, Ethnic groups
Sverker Johannson	Swedish physicists, 1961 births, Living people
Koné Bakary	Ivorian people, African actors
Raaj Vishwakarma	1995 births, Indian actors, Living people, People from Uttar Pradesh, Actors from Uttar Pradesh
American Descendants of Slavery (ADOS)	African-American history
Saadi Yacef	1928 births, 2021 deaths, Political activists, Military people, People from Algiers, Algerian politicians, Movie actors
Mohammed V of Morocco	1909 births, 1961 deaths, Kings of Morocco
Aziz Akhannouch	1961 births, Living people, Prime Ministers of Morocco, Current national leaders, African businesspeople
Marianne Battani	1944 births, 2021 deaths, American lawyers, American judges, Politicians from Detroit, Michigan, US Democratic Party politicians, Cancer deaths in Michigan
Derek Bailey (tribal chairman)	1972 births, 2021 deaths, Deaths from myocardial infarction, American sex offenders, Politicians from Michigan, Criminals from Michigan, Native American people, People from Traverse City, Michigan, US Democratic Party politicians, People who died in prison custody in the United States
Suttons Bay Township, Michigan	County seats in Michigan, Townships in Michigan
Suttons Bay, Michigan	Villages in Michigan
Leland, Michigan	County seats in Michigan, Unincorporated communities in Michigan, Census-designated places in Michigan
Wayne State University	1860s establishments in Michigan, 1868 establishments in the United States, Colleges and universities in Michigan, Buildings and structures in Detroit, Michigan
Phùng Quang Thanh	1948 births, 2021 deaths, Deaths from lung cancer, Vietnamese military people, Vietnamese politicians
Dalal bint Saud Al Saud	2021 deaths, Saudi Arabian people, Princes and princesses, Deaths from cancer
Limbo (game)	2010 video games, Android (operating system) games, iOS games, Linux games, Nintendo Switch games, PlayStation 3 games, PlayStation 4 games, PlayStation Vita games, Windows games, Xbox 360 games, Xbox One games
Life Begins at Eight-Thirty	1942 movies, 1940s romance movies, 1940s drama movies, American romantic drama movies, Movies based on plays, 20th Century Fox movies, Movies directed by Irving Pichel
Jón Sigurðsson (politician, born 1946)	1946 births, 2021 deaths, Icelandic politicians, Business people, Deaths from prostate cancer
Issei Kitagawa	1942 births, 2021 deaths, Deaths from prostate cancer, Japanese politicians
National September 11 Memorial & Museum	National Memorials of the United States, September 11 attacks, Buildings and structures in New York City
Pentagon Memorial	September 11 attacks, Monuments and memorials in the United States, Buildings and structures in Virginia
Flight 93 National Memorial	September 11 attacks, National Memorials of the United States, Buildings and structures in Pennsylvania
Stonycreek Township, Somerset County, Pennsylvania	Townships in Pennsylvania
Safety in numbers	Coevolution, CS1 maint: Multiple names: authors list, CS1: long volume value, Pages with unreviewed translations, Traffic
Tak Mojo Mistake	2008 video games, Nintendo DS games, Nintendo DS-only games, THQ games, Platform games
Saleh Al-Fawzan	1933 births, Living people, Muslims, Imam Muhammad ibn Saud Islamic University alumni, Saudi Arabian Salafis
Al-Baqarah	Al-Baqara, Cattle in literature, Chapters in the Quran, Cattle in religion, Jihad, Surah
Āyah	Components of the Quran
Surah Al-Imran	Surah, Chapters in the Quran, Qur'an articles needing attention, Joachim, Jesus in Islam
Surah An-Nisa	Surah
Surah Al-Ma'idah	Surah
Surah Al-An'am	Surah
Surah Al-A'raf	Surah
Phyllomedusa neildi	Frogs, Animals of South America
Surah Al-Anfal	Surah
Surah At-Tawbah	Chapters in the Quran, Surah
Surah Yunus	Chapters in the Quran, Surah
Surah Al-Fatihah	Al-Fatiha, Chapters in the Quran, Salah, Surah
List of chapters in the Quran	Chapters in the Quran, Surah
The Last Girl (memoir)	2017 books, Memoirs, Terrorist attacks, Iraq War, Iraq, Persecution of Yazidis by ISIL, Sex crimes, Imprisonment and detention of women, Violence against women in Asia, Violence, 21st-century Iraqi women, Books about ISIS, Collaborative memoirs
Child A	2005 births, 2019 deaths
First-wave feminism	First-wave feminism
Tom yum	Food and drink, Soups
Army general	Military ranks
Janalynn Castelino	Living people, 1998 births, Singers, Singer-songwriters, Pop singers, Italian singers, English singers, Latin singers
Ramón Colón-López	1971 births, Living people, American military people
Craig R. McKinley	1952 births, Living people, Military people from Florida
Florida Air National Guard	United States Air Force, 1947 establishments in the United States, 1940s establishments in Florida
Murder of Dean Shillingsworth	2001 births, 2007 deaths, 2007 crimes, Children victims of violence
Mandy La Candy	Living people, LGBT people from Nigeria
Extinct (2021 movie)	2021 movies, 2020s comedy movies, 2020s science fiction movies, American animated movies, English-language movies
Anthony Veasna So	American short story writers
Khobar	Cities in Saudi Arabia
Abdul-Aziz ibn Abdullah Aal Al-Sheikh	Living people, Blind academics, Saudi Arabian imams, Saudi Arabian Sunni Muslim scholars of Islam, 20th-century imams, 21st-century imams, Saudi Arabian Quran reciters, Saudi Arabian Salafis, Grand Muftis of Saudi Arabia, 1943 births
Bismillahir Rahmanir Raheem	Islamic terminology, Arabic words and phrases, Al-Fatiha, Quranic verses, Arabic calligraphy
Yugo	1950s automobiles, 1960s automobiles, 1970s automobiles, 1980s automobiles, 1990s automobiles, 2000s automobiles, 1950s establishments in the Soviet Union, 1953 establishments, 2008 disestablishments
Abimael Guzmán	1934 births, 2021 deaths, Peruvian people, Communists, Political activists, Terrorists, People who died in prison custody
Mick Tingelhoff	1940 births, 2021 deaths, Cancer deaths in the United States, American football centers, Minnesota Vikings players, Sportspeople from Nebraska
Tommy Hazouri	1944 births, 2021 deaths, State legislators of the United States, American mayors, Politicians from Jacksonville, Florida, US Democratic Party politicians, Deaths from lung disease, Deaths from surgical complications, Organ transplant recipients
Friedrich Wilhelm Kritzinger	1890 births, 1947 deaths, Politicians of the Nazi Party, Members of the Reichstag (Nazi Germany)
Muhammad Taqi Usmani	1943 births, Living people, Pakistani Islamic religious leaders
Peter Arnold (cricketer)	1926 births, 2021 deaths, New Zealand cricketers, People from Wellington
Mufti (title)	Arabic words and phrases in Sharia, Islamic legal occupations, Religious leadership roles, Islamic honorifics, Muftis, Lawyers by type
Guilherme Posser da Costa	1953 births, Living people, Prime Ministers of São Tomé and Príncipe
Leylah Fernandez	2002 births, Living people, Canadian tennis players, Sportspeople from Montreal
Laura Ziskin	1950 births, 2021 deaths, Deaths from breast cancer, Movie producers from Los Angeles, California, Cancer deaths in California
Hallsville, Texas	Cities in Texas
Scottsville, Texas	Cities in Texas
Groves, Texas	Cities in Texas
Nome, Texas	Cities in Texas
Port Neches, Texas	Cities in Texas
Taylor Landing, Texas	Cities in Texas
Reno, Lamar County, Texas	Cities in Texas
Roxton, Texas	Cities in Texas
Sun Valley, Texas	Cities in Texas
Toco, Texas	Cities in Texas
Bridge City, Texas	Cities in Texas
Pine Forest, Texas	Cities in Texas
Pinehurst, Orange County, Texas	Cities in Texas
Rose City, Texas	Cities in Texas
West Orange, Texas	Cities in Texas
Hideaway, Texas	Cities in Texas
Lindale, Texas	Cities in Texas
New Chapel Hill, Texas	Cities in Texas
Noonday, Texas	Cities in Texas
Whitehouse, Texas	Cities in Texas
Lake Bridgeport, Texas	Cities in Texas
New Fairview, Texas	Cities in Texas
Paradise, Texas	Cities in Texas
Runaway Bay, Texas	Cities in Texas
Black stilt	Birds
Craig Plestis	American television producers, Living people
Ilyas Qadri	Dawat-e-Islami, Pakistani clergy, 1950 births, Living people
Qubo Night Owl	American television
Rakat	Islam
Sujud	Salah, Sujud
Unayzah	Unaizah, Populated places in Al-Qassim Province
Eternal Sonata	2007 video games, PlayStation 3 games, Video games developed in Japan, Xbox 360 games
Traditionalist theology (Islam)	Islamic philosophical schools, Islamic theology, Sunni Islam
Ahmad ibn Hanbal	780 births, 855 deaths, 8th-century Arabs, 9th-century Arabic writers, 9th-century Arabs, 9th-century jurists, 9th-century Muslim scholars of Islam, 9th-century people of the Abbasid Caliphate, Hadith compilers, Sunni imams
Yoshinori Ono	Video game people, Living people, Street Fighter
Michelle Benson	US Republican Party politicians, United States senators from Minnesota, 1968 births, Living people
Muhammad ibn Ibrahim Al ash-Sheikh	Muslims, 1890 births, 1969 deaths, Grand Muftis of Saudi Arabia
Street Fighter (1994 movie)	1994 movies, Street Fighter
Grand Mufti of Saudi Arabia	Islamic religious leaders, Saudi Arabian people
Serta	Companies, Retail markets, 1931 establishments
Grand Mufti	Grand Muftis
Pumyat	Meitei culture, Meitei clothing
Life with Father (movie)	1947 movies, 1940s comedy movies, American comedy movies, Movies based on plays, Movies based on books, Movies directed by Michael Curtiz
Flatliners (2017 movie)	2017 science fiction movies, 2017 horror movies, 2010s science fiction horror movies, American science fiction horror movies, Canadian horror movies, Movies directed by Niels Arden Oplev
Maymunah bint al-Harith	594 births, 674 deaths, Female Sahabah, Wives of Muhammad
Muhammad's wives	Marriage in Islam, Wives of Muhammad, Lists of wives
John Challis	1942 births, 2021 deaths, Deaths from pancreatic cancer, English movie actors, English television actors, English stage actors, Actors from Bristol
Simon Shnoll	1930 births, 2021 deaths, Russian physicists, Russian historians, Russian academics, Soviet writers, Writers from Moscow
Jacky Liew	Writer, Autobiographers, Living people, People from Malaysia, Computer scientists by nationality
Zombie bank	Finance
Xia Yong	Chinese painters, Yuan dynasty painters
Huang Daopo	1240s births, Textile artists, Chinese inventors
Sawdah bint Zam'ah	674 deaths, Wives of Muhammad, 570 births
Stephanie Rose	LGBT people from Nigeria
Hafsa bint Umar	Wives of Muhammad, 605 births, 660s deaths
Zaynab bint Khuzayma	626 deaths, Wives of Muhammad, 595 births
Prophets and messengers in Islam	Prophecy in Islam
Umm Salama	580 births, 680 deaths, Wives of Muhammad
Zaynab bint Jahsh	590 births, 641 deaths, Wives of Muhammad
Akwaeke Emezi	LGBT people from Nigeria
Hawaii's congressional districts	Congressional districts of Hawaii
Phyllomedusa boliviana	Frogs, Animals of South America
Wisconsin's 1st congressional district	Congressional districts of Wisconsin
Wisconsin's 2nd congressional district	Congressional districts of Wisconsin
The Day of the Jackal	1973 books
Vladimir Cerrón	Living people, 1970 births, Peruvian politicians
Site (disambiguation)	Disambiguation pages
Chamber of Deputies of Paraguay	Paraguay
Senate of Paraguay	Paraguay
Carlo Chendi	1933 births, 2021 deaths, Italian comics artists, Cartoonists
Bernardino Cano Radil	1955 births, 2021 deaths, Ambassadors, South American politicians, People from Asunción, Deaths from the COVID-19 pandemic
André Zacharow	1955 births, 2021 deaths, Brazilian economists, Brazilian politicians, Brazilian lawyers, Academics
Jaguariaíva	Cities in Paraná State
Daniil Medvedev	1996 births, Living people, Russian tennis players, Sportspeople from Moscow
Phyllomedusa iheringii	Frogs, Animals of South America
Alfhild (Alf and Alfhild)	Pirates, Norwegian people, Danish culture, Norwegian culture, Women
Sengoku Basara 2	2006 video games, 2007 video games, Japan exclusive video games, PlayStation 2 games, Capcom games, Video game sequels, Video games developed in Japan, Wii games
Women's empowerment	Human rights
Michel Maïque	1948 births, 2021 deaths, French mayors, French rugby union players, Deaths from pancreatitis
Midlothian, Texas	Cities in Texas
Fabio Taborre	1985 births, 2021 deaths, Italian cyclists
Larry Miller	1953 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American columnists, Podcasters, Comedians from New York City, Actors from New York City, Television personalities from New York City, Writers from New York City
The Nutty Professor (1963 movie)	1960s science fiction movies, 1963 comedy movies, American science fiction movies, American comedy movies, Paramount Pictures movies, Movies directed by Jerry Lewis
Kathleen Freeman	1919 births, 2001 deaths, LGBT actors, Lesbians, LGBT people from Chicago, American movie actors, American television actors, American stage actors, American voice actors, Actors from Chicago, Deaths from lung cancer, Cancer deaths in New York City, Comedians from Chicago, LGBT comedians
Murder-suicide	Crime, Types of crime, Murders
Omics	Genetics, Terminology, Medicine stubs
Dick Tracy vs. Cueball	1946 movies, 1940s crime movies, 1940s mystery movies, American crime movies, American mystery movies, Movies directed by Gordon Douglas
UFO religion	New religious movements
Polygenic	Genetics
Belgorod	Capital cities in Russia
TwinBee Portable	2007 video games, Compilation video games, Shooting video games, Japan exclusive video games, PlayStation Portable games, PlayStation Portable-only games, Konami games, Video games developed in Japan
Guan Daogao	1319 deaths, 1262 births, Chinese poets, Chinese painters
Airavatesvara temple	Hindu temples, Temples in India, Thanjavur District, World Heritage Sites in India
Moji Solar-Wilson	LGBT people from Nigeria
Bisi Alimi Foundation	LGBT rights
Movement for the Restoration of the Ten Commandments of God	Cults
Cluny Brown	1946 movies, 1940s romance movies, 1940s comedy movies, American romantic comedy movies, Movies based on books, 20th Century Fox movies, Movies directed by Ernst Lubitsch
2009 Norwich North by-election	Elections in the United Kingdom, 2009 in the United Kingdom, Norwich
Phyllomedusa bicolor	Frogs, Animals of South America
Marta Martin Carrera-Ruiz	Television personalities, American television personalities, 1941 births, 2021 deaths, Deaths from the COVID-19 pandemic
International Center for Advocacy on Right to Health	HIV/AIDS, LGBT rights
Women's Social and Political Union	1903 establishments in the United Kingdom, 1917 disestablishments, 1910s establishments in the United Kingdom, First-wave feminism
Fraysexuality	Human sexuality
Bonanza	1950s television series, Television series about families, NBC network shows, 1959 television series debuts, 1973 television series endings
Ruben Reyes	1939 births, 2021 deaths, Filipino lawyers, Filipino politicians, Filipino judges
Oscar Fernandes	1941 births, 2021 deaths, Accidental deaths from falls, Deaths from blood clot, Indian politicians
Century common year	Years, Calendars
Christabel Pankhurst	1880 births, 1958 deaths
Luník IX	Webarchive template wayback links, Coordinates on Wikidata, Slovakia
Antisymmetric matrix	Linear algebra
Khawlah bint Hakim	Female Sahabah
Don Collier	1928 births, 2021 deaths, American movie actors, American television actors, American stage actors, American voice actors, Deaths from lung cancer, Actors from Santa Monica, California
Mike Boyle	1944 births, 2021 deaths, Deaths from pneumonia, Deaths from lung cancer, American mayors, American lawyers, Politicians from Los Angeles, California, Businesspeople from Los Angeles, California, Politicians from Omaha, Nebraska, Businesspeople from Omaha, Nebraska, US Democratic Party politicians
Khawlah bint al-Azwar	Female Sahabah
Antonio Verini	1936 births, 2021 deaths, Italian politicians
Campotosto	Settlements in Abruzzo
Giannis Theonas	1940 births, 2021 deaths, Greek politicians
Fakhitah bint Abi Talib	Female Sahabah
Sonja Sohn	1964 births, Living people, Actors from Georgia (U.S. state), Actors from Virginia, American activists, African-American movie actors, African American movie directors, African American movie producers, African-American screenwriters, African-American television actors, People from Newport News, Virginia
Conservative Party (Norway)	19th century establishments in Norway, 1884 establishments in Europe, Political parties in Norway
Zaynab bint Ali	Female Sahabah
Messenger Kids	Messaging
Trygve Slagsvold Vedum	1978 births, Living people, Norwegian politicians
Centre Party (Norway)	20th century establishments in Norway, 1920 establishments in Europe, Political parties in Norway
Sylvi Listhaug	1977 births, Living people, Norwegian politicians
List of Sahabah	Sahaba, People from Mecca, People from Medina
Progress Party (Norway)	Political parties in Norway
Audun Lysbakken	1977 births, Living people, Norwegian politicians
Bjørnar Moxnes	1981 births, Living people, Politicians from Oslo
Guri Melby	1981 births, Living people, Politicians from Oslo
Liberal Party (Norway)	19th century establishments in Norway, 1884 establishments in Europe, Political parties in Norway, Liberal parties
Une Aina Bastholm	1986 births, Living people, Politicians from Oslo
Christian Democratic Party (Norway)	20th century establishments in Norway, 1930s establishments in Europe, 1933 establishments, Christian democratic parties, Political parties in Norway
Kjell Ingolf Ropstad	1985 births, Living people, Norwegian politicians
Vestland	21st century establishments in Norway, 2020 establishments in Europe, Counties of Norway
Hedmark	Former counties of Norway
Aust-Agder	Former counties of Norway
John List	1925 births, 2008 deaths, American murderers, American people convicted of murder, Criminals from Michigan, Deaths from pneumonia, People from Trenton, New Jersey, Accountants, People who died in prison custody in the United States
Ichirō Ozawa	1942 births, Living people, Politicians from Tokyo
Gurbanmuhammet Kasymow	1954 births, 2021 deaths, Turkmenistan politicians, Deaths from the COVID-19 pandemic, Lawyers, Ambassadors, People from Ashgabat
Kurban Berdyev	1952 births, Living people, Russian football managers, Russian footballers, People from Ashgabat
Djohari Kahar	1931 births, 2021 deaths, Indonesian politicians
Parys Haralson	1984 births, 2021 deaths, American football linebackers, San Francisco 49ers players, New Orleans Saints players, Sportspeople from Mississippi
Flora, Mississippi	Towns in Mississippi
Ed Badger	1932 births, Living people, Chicago Bulls head coaches, Sportspeople from New Jersey
Herbert C. Brown	1912 births, 2004 deaths, American chemists, Scientists from London, Scientists from Chicago, Naturalized citizens of the United States
Georg Wittig	1897 births, 1987 deaths, German chemists, Scientists from Berlin
Don Bacon	1963 births, Living people, United States representatives from Nebraska, Politicians from Omaha, Nebraska, Politicians from Illinois, Military people from Illinois, American generals, US Republican Party politicians
January 6 commission	2021 United States Capitol attack
Jake Angeli	1987 births, Living people, 2021 United States Capitol attack, People from Glendale, Arizona, American conservatives
Klete Keller	1982 births, Living people, American swimmers, American Olympic gold medalists, American Olympic bronze medalists, American Olympic silver medalists, 2021 United States Capitol attack, Sportspeople from Las Vegas, Nevada
Lua Blanco	1987 births, Brazilian actors, Brazilian singers
True Crime (series)	Video game series
Because of Him	1946 movies, 1940s romance movies, 1940s comedy movies, American romantic comedy movies, Universal Pictures movies, Movies directed by Richard Wallace
Mozambique (movie)	1965 drama movies, British drama movies, South African movies, Portuguese movies
Dongergaon	Villages in India, Settlements in Chhattisgarh
Rajnandgaon	Cities in India, Settlements in Chhattisgarh
Diyu	Afterlife, Buddhism
Exploitation of natural resources	Natural resources
Zayd ibn Harithah	629 deaths, Family of Muhammad, 581 births
Qasim ibn Muhammad	Children of Muhammad, 598 births, 601 deaths, People from Mecca
History of the Catholic Church	Catholicism
Zainab bint Muhammad	599 births, 629 deaths, Female Sahabah, Children of Muhammad
Glass ceiling	Feminism
Pukhraj Bafna	People from Rajnandgaon
Madan Tiwary	People from Rajnandgaon
Belle (2013 movie)	2013 drama movies, 2010s biographical movies, British biographical movies, British drama movies, 20th Century Fox movies, Movies directed by Amma Asante
Idris (prophet)	Quran
