William Dampier	1651 births, 1715 deaths, English explorers, People from Somerset
Adam Kokesh	1982 births, Living people, American political activists, American military people, American political writers, Politicians from New Mexico, Politicians from Arizona, Politicians from San Francisco, People from Santa Fe, New Mexico, Writers from San Francisco, Writers from New Mexico, Writers from Arizona, US Libertarian Party politicians, 2020 United States vice-presidential candidates, 2020 United States presidential candidates
Black Awareness Day	Holidays, Brazil
Pukhrayan train derailment	Railway accidents in India, 2016 in India
Mount Selinda	Cities in Zimbabwe
Afrocarpus falcatus	Conifers
Latin rock	Rock music, Latin music, Music genres
New York City Hall	Government buildings, Buildings and structures in Manhattan, New York City Designated Landmarks, 1812 establishments in the United States, 1810s establishments in New York (state)
Gateway drug theory	Drugs, Health
Kavaratti	Cities in India, Atolls
Jnaneswari Express train derailment	2010 crimes, 2010 disasters, 2010 in India, Mass murder in Asia, Mass murder in the 2010s, May events, Murder in India, Railway accidents in India, Terrorist incidents in Asia in the 2010s, West Bengal
2004 Sri Lanka tsunami train wreck	2004, 2000s in Asia, 21st century in Sri Lanka, December events, Disasters in the 2000s, Railway accidents in Asia
Charlottetown Conference	History of Canada
National Anthem of Saudi Arabia	Saudi Arabia, National anthems
Agave nectar	Mexican food, Sweeteners, Syrup
Chuvash language	Chuvash Republic, Languages of Russia, Turkic languages
Playback singer	Music industry, Singers
Bihar train derailment	1981 in Asia, 1980s in India, Bihar, Disasters in the 1980s, June events, Railway accidents in India
Firozabad rail disaster	1995, 1990s in India, August events, Disasters in the 1990s, Railway accidents in India, Uttar Pradesh
Gordon Welchman	1906 births, 1985 deaths, Alumni of the University of Cambridge, British academics, English mathematicians, English writers, Massachusetts Institute of Technology faculty, People from Bristol
Accession	Politics
Charkhi Dadri mid-air collision	Aviation disasters in Asia, Haryana, Disasters in India, Aviation disasters in the 1990s, 1996, 1990s in India
Church of the Company Fire	1863, Fires, History of Chile, December events
1931 China floods	Floods in Asia, Natural disasters in China, 1931, 1930s in China
Trans-Siberian Orchestra	American rock bands, 1996 establishments in the United States
Great Chinese Famine	Disasters in the 20th century, Natural disasters in China, 1950s in China, 1960s in China
Confederate States Navy	Confederate States of America
Joan Chen	American movie producers, American movie directors, American movie actors, Chinese movie directors, Chinese movie actors, Chinese movie producers, 1961 births, Living people
Sylvia Chang	Chinese movie actors, Chinese movie directors, Chinese movie producers, 1953 births, Living people
Azerbaijanfilm	Movie studios, 1920 establishments in Azerbaijan, Azerbaijani culture, Buildings and structures in Baku
Cognitive impairment	Disability
Borderline intelligence	Disability
2016 United States presidential election in Texas	2016 in Texas, 2016 United States presidential election by state
Profilage	French television series, Police television series, 2009 establishments in France
Vegas Golden Knights	Vegas Golden Knights
Salgesch	Municipalities of Valais
Turtmann	Former municipalities of Valais
Janjaweed	Sudan, Rebel militia groups in Africa
Unterems	Former municipalities of Valais
Turtmann-Unterems	Municipalities of Valais, 2013 establishments in Switzerland
Varen, Switzerland	Municipalities of Valais
Bovernier	Municipalities of Valais
Septic shock	Medicine
Evan McMullin	1976 births, Living people, American Latter Day Saints, Civil servants, Politicians from Utah, 2016 United States presidential candidates
Bulgogi	Korean food, Meat dishes
They	Pronouns
Lençóis Maranhenses National Park	National parks in South America, Habitats
Military glider	World War II aircraft
Freedom of Information Act 2000	Acts of the Parliament of the United Kingdom, 2000s in the United Kingdom
Cannabis (drug)	Cannabis
Draguignan	Subprefectures in France, Communes in Var
The Conquest of Malacca (epic poem)	Epic poems, Portuguese culture, 17th century works
Bielski partisans	World War II, Nazi Germany, Holocaust survivors
Roman dictator	Roman Republic
Vargas tragedy	Floods, 20th century in Venezuela, 1999, December events, 1990s in South America
Charrat	Municipalities of Valais
Fully	Municipalities of Valais
Isérables	Municipalities of Valais
Leytron	Municipalities of Valais
Martigny-Combe	Municipalities of Valais
Riddes	Municipalities of Valais
Viriato Trágico	Epic poems
Saillon	Municipalities of Valais, Cities in Switzerland
SPQR	Roman Republic
The National Museum of Computing	Museums in England, National museums, Computing, Scientific organizations
Day of the Dead	Mexican culture, Festivals in North America, November events
Betsy DeVos	1958 births, Living people, American activists, American billionaires, American educators, American Evangelicals, American philanthropists, People from Holland, Michigan, Businesspeople from Grand Rapids, Michigan, Politicians from Grand Rapids, Michigan, Richard DeVos, United States Secretaries of Education, US Republican Party politicians
Orville Turnquest	1929 births, Living people, Governors-General of the Bahamas
Ivy Dumont	1930 births, Living people, Governors-General of the Bahamas
Luis García Meza Tejada	1929 births, 2018 deaths, Deaths from myocardial infarction, Anti-Communists, Former dictators, Generals, Presidents of Bolivia, South American military people
Gonzalo Sánchez de Lozada	1930 births, Living people, Presidents of Bolivia
I'll Be Missing You	1997 songs
Hate groups in the United States	Hatred, United States
SMS Posen	German Empire, Warships, World War I
No. 77 Squadron RAAF	Military of Australia
Gautam	Hindu mythology
Atri	Hindu mythology
Bodo language	Languages of India, Sino-Tibetan languages
Piotta	Villages in Ticino
Ambrì	Villages in Ticino
Saxon, Switzerland	Municipalities of Valais
Trient, Switzerland	Municipalities of Valais
Champéry	Municipalities of Valais
The Fall of Nineveh (poem)	Epic poems
Sir Breunor	Arthurian legend, Fictional knights
1936 North American heat wave	Droughts, 1936 in North America, 1930s in the United States
Collombey-Muraz	Municipalities of Valais
Port-Valais	Municipalities of Valais
Saint-Gingolph, Switzerland	Municipalities of Valais
Troistorrents	Municipalities of Valais
Val-d'Illiez	Municipalities of Valais
La Fouly	Villages in Valais
Everton Kempes dos Santos Gonçalves	1982 births, 2016 deaths, Brazilian footballers
Alappuzha	Cities in Kerala
Zakir Husain (politician)	Vice Presidents of India, 1897 births, 1969 deaths
Puducherry district	Puducherry
Yellowstone fires of 1988	1980s fires, 1988 establishments in the United States, Natural disasters in the United States
Confederate States Marine Corps	Confederate States of America
Chennai district	Chennai District
Thanjavur district	Thanjavur District
Cuddalore district	Cuddalore district
Manchester Metropolitan University	Universities in England
Vionnaz	Municipalities of Valais
Vouvry	Municipalities of Valais
Ausserberg	Municipalities of Valais
Arrondissements of the Indre-et-Loire department	Arrondissements of France
Arrondissement of Chinon	Arrondissements of France
Azerbaijani independence referendum, 1991	Soviet Union, 1991 in Europe, 1990s in Azerbaijan, Politics of Azerbaijan, 1991 in Asia
Arrondissement of Tours	Arrondissements of France
West Indian manatee	Sirenia
Arrondissement of Loches	Arrondissements of France
Xeroderma pigmentosum	Genetic disorders
James Bradley	1693 births, 1762 deaths, English astronomers
1962 Stanley Cup Finals	Stanley Cup Finals, Toronto Maple Leafs, Chicago Blackhawks, 1962 in ice hockey, 1962 in the United States, 1960s in Chicago, 1960s in Canada
Betten	Former municipalities of Valais
Silesian Wikipedia	2008 establishments, Wikipedias
Eshtaol Forest	Forests, Geography of Israel
Ganges Delta	River deltas
Piedmontese Wikipedia	Wikipedias
Latvian Wikipedia	Websites established in 2003, Wikipedias
Bosnian Wikipedia	Websites established in 2002, Wikipedias
Luxembourgish Wikipedia	Wikipedias
Neapolitan Wikipedia	Wikipedias
Salem district	Salem District
École nationale supérieure d'électrotechnique, d'électronique, d'informatique, d'hydraulique et des télécommunications	Technical colleges and universities in Toulouse, 1907 establishments in Europe, 1900s establishments in France
Thiruvarur district	Thiruvarur district
Madurai district	Madurai district
2016 Kaikoura earthquake	2016 earthquakes, Earthquakes in New Zealand, November 2016 events, 2010s in New Zealand
Infobot	Internet Relay Chat, Software
Parole	Legal terms
Coverture	Legal terms
Form-based interface	Computers
Metric space	Functions and mappings, Set theory
Brahmanas	Hinduism
Bister, Switzerland	Municipalities of Valais
Bitsch, Switzerland	Municipalities of Valais
Blatten (Lötschen)	Municipalities of Valais, Villages in Valais
Bürchen	Municipalities of Valais
Land of Punt	Ancient Egypt
Eischoll	Municipalities of Valais
Ferden	Municipalities of Valais
Filet, Switzerland	Former municipalities of Valais
Grengiols	Municipalities of Valais
Sihlbrugg	Villages in Zürich
Mülenen	Villages in Bern
Auressio	Villages in Ticino, Former municipalities of Ticino
Dumbarton	Towns in Scotland
Roy Cooper	1957 births, Living people, Governors of North Carolina, American lawyers, US Democratic Party politicians
Marne (river)	Rivers of France, Grand Est, Hauts-de-France, Île-de-France
