Step Up All In	2010s romantic drama movies, American romantic drama movies, 2014 movies
Santa María del Naranco	World Heritage Sites in Spain, Churches in Spain, Asturias, 848 establishments, Establishments in Spain, 9th century establishments in Europe
Royal Palace of Aranjuez	Palaces in Spain, World Heritage Sites in Spain, Art museums in Spain, Community of Madrid
Host defence peptide	Immunology, Proteins
Mar Menor	Geography of Spain, 12 Treasures of Spain - Finalists
Fury (2014 movie)	2014 movies, 2010s war movies, American war movies, English-language movies, Movies set in Germany, Movies set in the 1940s, World War II movies
Palacio de Galiana	Palaces in Spain, Castile-La Mancha
Poblet Monastery	World Heritage Sites in Spain, Catalonia, Buildings and structures in Spain, Monasteries, 12th century establishments in Spain
Cysteine	Amino acids
Lugo Cathedral	Roman Catholic Cathedrals
Terrassa Cathedral	Cathedrals in Spain, Catalonia
Teruel Cathedral	Cathedrals in Spain, Aragon
Monfragüe	Extremadura, National parks in Spain, 2007 establishments in Europe, 2000s establishments in Spain
Sierra Nevada National Park	National parks in Spain, Andalusia, 12 Treasures of Spain - Finalists
Baeza Cathedral	Cathedrals in Spain, Andalusia, 12 Treasures of Spain - Finalists
Tower of Hercules	Lighthouses, World Heritage Sites in Spain
Monasteries of San Millán de la Cogolla	La Rioja, Monasteries, World Heritage Sites in Spain
Latin cross	Christian symbols
Ambulatory	Architectural elements, Church architecture
Barrel vault	Architectural elements
Hunter Pence	Houston Astros players, Philadelphia Phillies players, San Francisco Giants players, People from Fort Worth, Texas, 1983 births, Living people, Sportspeople from Texas, National League All-Stars
Pontifícia Universidade Católica de Minas Gerais	Colleges and universities in Brazil, Minas Gerais, 1958 establishments, 1950s establishments in Brazil
Walls of Ávila	Buildings and structures in Spain, 12th century establishments in Spain
Intersection (movie)	1994 drama movies, American drama movies, Movies directed by Mark Rydell
Hanging Houses of Cuenca	Architecture, Buildings and structures in Spain, 12 Treasures of Spain - Finalists, 14th century establishments in Europe, Establishments in Spain
Blink (movie)	1994 crime movies, 1994 drama movies, 1990s crime drama movies, 1994 mystery movies, American crime drama movies, American mystery movies, English-language movies, Film noir, Movies about entertainers, Movies about murderers, Movies about stalking, Movies set in Chicago, Illinois
David Chavchavadze	1924 births, 2014 deaths, Naturalized citizens of the United States, American writers, Civil servants, Writers from London
Serhiy Zakarlyuka	1976 births, 2014 deaths, Road accident deaths, Ukrainian footballers
Palma Cathedral	Cathedrals in Spain, 12 Treasures of Spain - Finalists, 1600s establishments in Europe, Establishments in Spain, 1601 establishments
Zzyzx, California	Unincorporated communities in California, Settlements in San Bernardino County, California
Anna Maria Gherardi	1939 births, 2014 deaths, Actors from Emilia-Romagna, Italian movie actors, Italian voice actors, People from Bologna
Peer Augustinski	1940 births, 2014 deaths, German movie actors, German voice actors, Actors from Berlin
Time Warner Cable News NY1	Television channels
Winter Solstice (band)	2000 establishments in the United States, 2000s American music groups, 2006 disestablishments in the United States, Metalcore bands, Musical groups disestablished in 2006, Musical groups established in 2000, Musical groups from Virginia
Palmeral of Elche	12 Treasures of Spain - Finalists, Alicante Province, World Heritage Sites in Spain
Rolling coal	Air pollution
Park Güell	Buildings and structures in Spain, World Heritage Sites in Spain, 12 Treasures of Spain - Finalists, 1914 establishments in Europe, 1910s establishments in Spain
Edward Albee	Pulitzer Prize winners, 1928 births, 2016 deaths, Deaths from diabetes, Disease-related deaths in New York, American playwrights, Gay men, LGBT writers, LGBT people from New York, Writers from New York, Writers from Virginia, Writers from Washington, D.C.
Why, Arizona	Unincorporated communities in Arizona
Logic programming	Logic
Besmilr Brigham	1913 births, 2000 deaths, American poets, Writers from Mississippi, Deaths from Alzheimer's disease
Rule of inference	Rules of inference
Logical quantifier	Logic
Universal quantifier	Logic
Existence quantifier	Logic
Universe of discourse	Mathematics, Communication
The Banger Sisters	2002 comedy-drama movies, American comedy-drama movies, English-language movies, Female buddy movies, Movies set in Arizona, Movies set in Los Angeles, California, Phoenix, Arizona in fiction
Maid in Manhattan	2002 comedy-drama movies, 2002 romance movies, 2000s romantic comedy movies, 2000s romantic drama movies, American comedy-drama movies, American romantic comedy movies, American romantic drama movies, English-language movies, Manhattan in fiction, Movies set in New York City
Bryan McCabe	1975 births, Brandon Wheat Kings players, Canadian ice hockey coaches, Canadian ice hockey defencemen, Chicago Blackhawks players, Florida Panthers players, Ice hockey people from Ontario, Living people, New York Islanders players, New York Rangers players, Medicine Hat Tigers players, Spokane Chiefs players, Swedish Hockey League players, Toronto Maple Leafs players, Vancouver Canucks players
Jean-Yves Leroux	1976 births, American Hockey League players, Beauport Harfangs players, Canadian ice hockey left wingers, Chicago Blackhawks players, Ice hockey people from Quebec, International Hockey League (1945–2001) players, Living people, Quebec Major Junior Hockey League players, Sportspeople from Montreal
Maspalomas Dunes	12 Treasures of Spain - Finalists, Canary Islands
Timanfaya National Park	1974 establishments, 1970s establishments in Spain
León Cathedral	Cathedrals in Spain
Las Médulas	World Heritage Sites in Spain
Roman Walls of Lugo	World Heritage Sites in Spain
La Seu Vella, Lleida	Cathedrals in Spain, Catalonia
Reichssicherheitshauptamt	Reichssicherheitshauptamt
Cathedral of Murcia	Cathedrals in Spain, 12 Treasures of Spain - Finalists, Murcia
Roman Theatre	Buildings and structures in Spain, 12 Treasures of Spain, Region of Murcia, 1st-century BC establishments
Jaén Cathedral	Cathedrals in Spain, 12 Treasures of Spain - Finalists, 1724 establishments, 18th century establishments in Spain, 1720s establishments in Europe
Tim Salmon	Living people, 1968 births, California Angels players, Los Angeles Angels of Anaheim players
Peter Carington, 6th Baron Carrington	1919 births, 2018 deaths, Civil servants, Secretaries General of NATO, Politicians from Buckinghamshire
Sergio Balanzino	1934 births, Living people, Secretaries General of NATO, Italian politicians, People from Bologna, Ambassadors to Canada
Heat transfer	Thermodynamics, Heat transfer
Martin Walser	1927 births, Living people, German writers
Hans Magnus Enzensberger	1929 births, Living people, German poets, People from Nuremberg, Writers from Bavaria
Ōfunato, Iwate	Settlements in Iwate Prefecture
El Escorial, Madrid	Municipalities in the Community of Madrid
Heritage of Mercury. Almadén and Idrija	World Heritage Sites in Spain
Bardenas Reales	Geography of Spain
Ryan VandenBussche	1973 births, American Hockey League players, Canadian ice hockey right wingers, Chicago Blackhawks players, Ice hockey people from Ontario, International Hockey League (1945–2001) players, Living people, New York Rangers players, Pittsburgh Penguins players, Ontario Hockey League players
Inverse-square law	Physics
Sant Feliu de Llobregat Cathedral	Cathedrals in Spain, Catalonia
Bilbao Cathedral	Bilbao, Cathedrals in Spain
Horned owl	Strigiformes
Prince of Asturias	Princes and Princesses of Asturias
Palacio de Villena (Cadalso de los Vidrios)	Palaces in Spain, Community of Madrid
James Arnold Taylor	1969 births, American voice actors, Living people
Shaker Heights, Ohio	Cities in Ohio
Chardon, Ohio	Cities in Ohio, County seats in Ohio
2014 Ebola virus cases in the United States	2014 in the United States, Diseases caused by viruses
Jeen van den Berg	1928 births, 2014 deaths, Speed skaters, Sportspeople from Friesland
Mike Waugh	1955 births, Deaths from pancreatic cancer, Politicians from Pennsylvania, US Republican Party politicians, Living people
Feridun Buğeker	1933 births, 2014 deaths, Turkish footballers, People from Istanbul
Cigar (horse)	1990 births, 2014 deaths, Deaths from surgical complications, Thoroughbred racehorses
Doñana National Park	National parks in Spain, Andalusia, 12 Treasures of Spain - Finalists, 1969 establishments in Europe, 20th century establishments in Spain
Monastery of Santa Maria de Ripoll	Buildings and structures in Spain, 12 Treasures of Spain - Finalists, Catalonia, Monasteries
San Juan de la Peña	Buildings and structures in Spain, 12 Treasures of Spain - Finalists, Aragon
Almería Cathedral	Cathedrals in Spain, Andalusia, 1560s establishments in Europe, 16th century establishments in Spain, 1562 establishments
Cartagena Cathedral	Cathedrals in Spain, Region of Murcia, Ruins
Alcalá de Henares Cathedral	Cathedrals in Spain, Community of Madrid, 1904 establishments in Europe, 1900s establishments in Spain
Mérida Cathedral	Roman Catholic Cathedrals, Buildings and structures in Mexico, Yucatán (state)
Astorga Cathedral	Cathedrals in Spain, Castile and León, 1471 establishments, 15th century establishments in Spain, 1470s establishments in Europe
San Sebastián Cathedral	Cathedrals in Spain, Basque Country, 1897 establishments in Europe, 1890s establishments in Spain
Jerez de la Frontera Cathedral	Cathedrals in Spain, Jerez de la Frontera, 17th century establishments in Europe, Establishments in Spain
Cádiz Cathedral	Cathedrals in Spain, Cadiz
Ceuta Cathedral	Cathedrals in Spain, Ceuta
Las Palmas Cathedral	Las Palmas de Gran Canaria, Cathedrals in Spain
La Laguna Cathedral	Cathedrals in Spain, Canary Islands, 1915 establishments, 1910s establishments in Spain
Tarragona Cathedral	Cathedrals in Spain, Catalonia
Solsona Cathedral	Cathedrals in Spain, Catalonia, 12th century establishments in Spain
Vic Cathedral	Cathedrals in Spain, Catalonia
Neanderthal 1	Hominins
Gall–Peters projection	Map projections
Gullan Bornemark	1927 births, Living people, 20th century composers, 21st century composers, Lyricists, Swedish musicians, Teachers
Mad Money	2008 comedy movies, 2008 crime movies, 2000s criminal comedy movies, 2000s thriller movies, American criminal comedy movies, American thriller movies, English-language movies, Female buddy movies, Kansas City, Missouri
Sigüenza Cathedral	Cathedrals in Spain, Castile-La Mancha
Co-cathedral of Santa María de la Fuente la Mayor	Cathedrals in Spain, Castile-La Mancha
Felix Körling	1864 births, 1937 deaths, Swedish musicians
Olle Widestrand	1932 births, 2018 deaths, Swedish musicians, Composers
Britt G. Hallqvist	1932 births, 1997 deaths, Swedish writers
Archbishop's Palace of Alcalá de Henares	Palaces in Spain, Community of Madrid
Elizabeth Ann Seton	People from New York City, Christian saints, 1774 births, 1821 deaths
Magnus Uggla	1954 births, Living people, Singers from Stockholm, Musicians from Stockholm, Writers from Stockholm
Carl Bertil Agnestig	1924 births, Living people, Composers, Swedish musicians
Methods of Mayhem	1999 establishments in California, 2000 disestablishments in the United States, American heavy metal bands, 20th-century disestablishments in California, 2009 establishments in California
Iva Withers	1917 births, 2014 deaths, Naturalized citizens of the United States, Canadian stage actors, American stage actors, Actors from Manitoba
Ghost Festival	Chinese culture, Traditions
Peter A. Peyser	1921 births, 2014 deaths, Deaths from Parkinson's disease, United States representatives from New York, US Democratic Party politicians
Leif Bloms	1956 establishments in Sweden, 1995 disestablishments in Sweden, Dansbands
Fernandoz	Dansbands, Musical groups established in 1986
Helene & gänget	2002 disestablishments in Europe, Dansbands, Musical groups established in 1990, 1990 establishments in Sweden, Musical groups disestablished in 2002, 2000s disestablishments in Sweden
Sarracenia	Ericales, Carnivorous plants
Jan Hooks	1957 births, 2014 deaths, Deaths from throat cancer, Cancer deaths in New York, American movie actors, American television actors, American voice actors, Actors from Georgia (U.S. state), Comedians from Georgia (U.S. state), People from Decatur, Georgia
Karen Lewis	1953 births, 2021 deaths, Deaths from glioblastoma, American teachers, American labor leaders, People from Chicago, Cancer deaths in Chicago
Sphagnum	Bryophytes
Denard Span	Living people, 1984 births, Minnesota Twins players, San Francisco Giants players, Washington Nationals players, Sportspeople from Washington, D.C., African-American baseball players
Five Nights at Freddy's	2014 video games, Five Nights at Freddy's (series)
Eutely	Cell biology, Developmental biology
Hypnagogia	Cognition, Sleep
Church of la Magdalena (Torrelaguna)	Madrid, Gothic architecture
Jenny from the Block	2002 songs, Hip hop songs, R&B songs, Jennifer Lopez songs
Receptor antagonist	Drugs, Biochemistry
If You Had My Love	1999 songs, Debut singles, Pop songs, R&B songs, Jennifer Lopez songs, Billboard Rhythmic Songs number-one singles
Valeri Karpov	1971 births, 2014 deaths, Accidental deaths from falls, American Hockey League players, International Hockey League (1945–2001) players, Russian ice hockey players
Ed Nimmervoll	1947 births, 2014 deaths, Australian journalists, Australian writers, Deaths from brain cancer, Australian historians, Naturalised citizens of Australia
Lassa fever	Diseases caused by viruses
Muhammad Jalal-ud-din	1901 births, 1918 deaths, People of British India, Leaders of All India Muslim League
Per Almar Aas	1929 births, 2014 deaths, Norwegian politicians
Pauline Wagner	1910 births, 2014 deaths, American movie actors, Models from Oklahoma, American centenarians, Actors from Oklahoma
Kailash Satyarthi	1954 births, Living people, Indian activists
Shirin Ebadi	1947 births, Living people, Human rights activists, Iranian people, Women judges, Women lawyers
Jinnah-Sikandar Pact	1937, 1930s in Asia, 20th century in India, Pakistan Movement
Khaksar movement	Partition of India, Indian independence movement, Pakistan Movement, Sunni organizations, Fascism, Terrorism, 1931 establishments in Asia
Inayatullah Mashriqi	1888 births, 1963 deaths, People of British India, Pakistani people
IHeartMedia, Inc.	1972 establishments in the United States, Radio programs
Luxor Temple	Buildings and structures in Ancient Egypt, Temples
Trace fossil	Fossils, Ichnology
Lorenz attractor	Mathematics
Ordinary differential equation	Differential equations
Margin Call (movie)	2011 drama movies, American drama movies, English-language movies, Movies set in New York City, American independent movies, Lionsgate movies
Inoculation	Smallpox
Evermoor	Disney Channel shows, English-language television programs
Battersea Dogs & Cats Home	1860 establishments in England, Battersea, Charities
Apse	Architectural elements
All I Have to Do Is Dream	1950s songs, Pop songs
Marked for Death	1990 action movies, 1990 movies
Ontario Highway 417	Roads in Ontario
Zilpha Keatley Snyder	1927 births, 2014 deaths, Cardiovascular disease deaths in California, Deaths from stroke, Writers from California
Decatur, Georgia	Cities in Georgia (U.S. state), County seats in Georgia
Pavel Landovský	1936 births, 2014 deaths, Deaths from myocardial infarction, Czech actors, Czech theatre directors
Carmelo Simeone	1933 births, 2014 deaths, Argentine footballers
Juan José Pizzuti	1927 births, 2020 deaths, Argentine footballers, Argentine football managers, Sportspeople from Buenos Aires
José Varacka	1932 births, 2018 deaths, Argentine footballers, Argentine football managers, Sportspeople from Buenos Aires
José Sarney	1930 births, Living people, Presidents of Brazil, Vice Presidents of Brazil, Presidents of the Federal Senate
Albacete Cathedral	Cathedrals in Spain, Castile-La Mancha
Jaca Cathedral	Cathedrals in Spain, Aragon, 12th century establishments in Spain
Ourense Cathedral	Cathedrals in Spain, Galicia, 1220 establishments, 13th century establishments in Spain, 1220s establishments in Europe
Getafe Cathedral	Cathedrals in Spain, Community of Madrid, 1770 establishments, 18th century establishments in Spain, 1770s establishments in Europe
Santander Cathedral	Cathedrals in Spain, Cantabria
Damask	Woven fabrics
News Corp	2013 establishments, 2000s establishments in the United States, Companies based in New York City
21st Century Fox	2013 establishments in New York (state), Companies based in New York City
Punch-Out!! (series)	Video game series, Sports video games, Nintendo video games
Ontario Highway 11	Roads in Ontario
Zeist	Settlements in Utrecht (province), Municipalities of Utrecht (province)
Ontario Highway 21	Roads in Ontario
Nuclear DNA	DNA
Kurtis Blow	African-American rappers, American rap musicians from New York, Musicians from New York City, 1959 births, Living people
Old-school hip hop	Hip hop
Bachelor of Science	Academia, Academic degrees
Roll Bounce	2005 comedy-drama movies, American comedy-drama movies, Movies directed by Malcolm D. Lee
Paola Andino	1998 births, Puerto Rican actors, Living people
Lambton County	Counties of Ontario
Marc Fortier	1966 births, American Hockey League players, Canadian ice hockey centres, Chicoutimi Saguenéens (QMJHL) players, Ice hockey people from Quebec, International Hockey League (1945–2001) players, Living people, Los Angeles Kings players, Ottawa Senators players, Quebec Major Junior Hockey League players, Quebec Nordiques players
Southwestern Ontario	Regions of Ontario
Owen Sound	Cities in Ontario
Klondike, Yukon	Yukon
Division of Moreton	Electoral divisions of Australia, Queensland, 1901 establishments in Australia
Hitch (movie)	2005 romance movies, 2005 comedy movies, 2000s romantic comedy movies, American romantic comedy movies, Movies directed by Andy Tennant
Klondike River	Yukon, Rivers of Canada
Division of Petrie	Electoral divisions of Australia, Queensland, 1949 establishments in Australia
Division of Rankin	Electoral divisions of Australia, Queensland, 1984 establishments in Australia
Lake Laberge	Yukon, Lakes of Canada
Yukon Party	Yukon, Political parties in Canada, Conservative parties, 1978 establishments in Canada
Elizabeth Azcona Cranwell	Poets, Writers from Buenos Aires, 1933 births, 2004 deaths
Roberto Telch	1943 births, 2014 deaths, Deaths from myocardial infarction, Argentine footballers
Finn Lied	1916 births, 2014 deaths, Norwegian politicians, Civil servants
Mary Beckett	1926 births, 2013 deaths, People from Belfast, Irish writers, Children's writers
Citadel Center	Skyscrapers in Chicago
Maryam Mahboob	Feminists, Afghan writers, 1955 births
Fairfield County, Connecticut	Connecticut counties, 1666 establishments in Connecticut
Hartford County, Connecticut	Connecticut counties, 1666 establishments in Connecticut
Litchfield County, Connecticut	Connecticut counties, 1751 establishments, 1750s establishments in the Thirteen Colonies, 18th-century establishments in Connecticut
Middlesex County, Connecticut	Connecticut counties, 1780s establishments in Connecticut
Tolland County, Connecticut	Connecticut counties, 1780s establishments in Connecticut
Interstate 95 in Connecticut	Interstate Highways, Transport in Connecticut
Connecticut Turnpike	Roads in the United States, Transport in Connecticut
William Shand	People from Glasgow, Scottish poets, Argentine playwrights, People from Buenos Aires, 1902 births, 1997 deaths
Capitol Loop	U.S. Highways, Lansing, Michigan, Transport in Michigan, 1989 establishments in the United States, 1980s establishments in Michigan
Jan van Dornicke	1470s births, 1520s deaths, Dutch painters
Chehel Sotoun	Architecture, World Heritage Sites in Iran
Jan Massys	1510 births, 1575 deaths, Flemish painters
Paul Sahlin	1955 births, Living people, Swedish singers
Ann-Cathrine Wiklander	1958 births, Living people, Swedish singers
The Book of Life (movie)	2014 animated movies, 2014 romance movies, 2014 comedy movies, 2010s romantic comedy movies, American animated movies, American romantic comedy movies
Dan Chicoine	1957 births, American Hockey League players, Canadian ice hockey right wingers, Cleveland Barons (NHL) players, Ice hockey centres, Ice hockey people from Quebec, Living people, Minnesota North Stars players, Sherbrooke Castors players
Kent vs Lancashire at Canterbury	Cricket, Paintings, 1900s paintings, 1906 works
The Spectacular Now	2013 romance movies, 2013 comedy-drama movies, 2010s coming-of-age movies, 2010s romantic comedy movies, 2010s romantic drama movies, 2010s teen drama movies, American comedy-drama movies, American coming-of-age movies, American romantic comedy movies, American romantic drama movies, American teen comedy movies, American teen drama movies, Coming-of-age comedy movies, Coming-of-age drama movies, Coming-of-age romance movies, English-language movies, American independent movies
Charlie Countryman	2013 romance movies, 2013 comedy movies, 2010s romantic comedy movies, 2013 thriller movies, American romantic comedy movies, American thriller movies, American independent movies, Romanian movies
Ulla Persson	1947 births, Living people, Singers from Stockholm
Pontus Segerström	1981 births, 2014 deaths, Deaths from brain cancer, Swedish footballers
Ali Mazrui	1933 births, 2014 deaths, Kenyan people, Writers
Eicochrysops meryamae	Butterflies
Hypatopa lucina	Moths
Gotra	Hinduism
Chandra	Hindu gods and goddesses
Division of Ryan	Electoral divisions of Australia, Queensland, 1949 establishments in Australia
Division of Wright	Electoral divisions of Australia, Queensland, 2009 establishments in Australia
Frontiersman	American frontiersmen and women
Black Box (band)	R&B bands, Pop music groups, 1998 disestablishments
Gang Starr	1985 establishments in the United States, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2006 disestablishments in the United States, Musical duos, Musical groups disestablished in 2006, Musical groups established in 1985, Rap music groups
List of Bienes de Interés Cultural in the Province of Biscay	Spain-related lists
Big Daddy Kane	American rap musicians from New York, Musicians from New York City, 1968 births, Living people
Isaiah Owens	1975 births, 2014 deaths, Deaths from myocardial infarction, Musicians from California, People from Long Beach, California
William Peter Blatty	Academy Award winners, Golden Globe Award winners, Saturn Award winners, Deaths from multiple myeloma, 1928 births, 2017 deaths, Screenwriters from New York City, Movie directors from New York City
Adactylidium	Insects, Parasites
Thompson Twins	1977 establishments in the United Kingdom, 1993 disestablishments in the United Kingdom, Musical groups established in 1977, Musical groups disestablished in 1993
Animorphs	Young adult novels, Science fiction books
Fiddlehead fern	Vegetables
Hurricane Gonzalo	Hurricanes, 2014 in weather
Delhi Poetry Festival	Festivals in Asia, 2013 establishments in India, Delhi, Poetry
Louis Philippe, Crown Prince of Belgium	Princes and princesses, 1833 births, House of Saxe-Coburg and Gotha, Heirs apparent who never acceded, 1834 deaths
The Hindu	English-language newspapers published in India
Poets Corner Group	Poetry, Cultural organizations, 2011 establishments in Asia
Marie Dubois	1937 births, 2014 deaths, People with multiple sclerosis, Deaths from multiple sclerosis, French movie actors, Actors from Paris
Giovanni Reale	1931 births, 2014 deaths, Italian writers, Italian educators, Italian historians
Elizabeth Peña	1959 births, 2014 deaths, Deaths from cirrhosis, Deaths from sepsis, Deaths from cardiopulmonary arrest, American movie actors, American television actors, American voice actors, Cuban actors, Actors from New Jersey
Helmut Ruge	1940 births, 2014 deaths, German comedians, German movie actors, German stage actors, People from Stuttgart, German writers
Berberis hayatana	Plants of Asia
Gone Girl (movie)	2014 crime movies, 2014 thriller movies, 2010s crime thriller movies, 2014 mystery movies, Adultery in movies, American crime thriller movies, American mystery movies, Antisocial personality disorder, English-language movies, Missouri, Movies about educators, Movies about murderers, Movies about suburbia, Movies about twins, Movies about writers, Movies based on books, Movies directed by David Fincher, Pregnancy movies
Matt Carpenter	Living people, St. Louis Cardinals players, 1985 births, Sportspeople from Texas
Christian church	Church organization
Horses in World War I	World War I, Horses
