Dizzee Rascal	English rap musicians, Grime music artists, Living people, 1984 births
Thaddeus Radzilowski	1938 births, 2018 deaths, American historians, American educators, American political writers, Writers from Detroit, Michigan
Maurice Yaméogo	1921 births, 1993 deaths, Presidents of Burkina Faso
List of heads of state of Burkina Faso	Presidents of Burkina Faso
List of prime ministers of Burkina Faso	Prime Ministers of Burkina Faso
Paul Kaba Thieba	Living people, 1959 births, Economists, Prime Ministers of Burkina Faso
Don McCarthy	1955 births, 2018 deaths, Cancer deaths in London, British philanthropists, Businesspeople from London
Christoph Westerthaler	1965 births, 2018 deaths, Deaths from myocardial infarction, Austrian footballers
RJ Mitte	1992 births, Living people, Actors from Mississippi, American adoptees, American child actors, American models, American movie actors, American movie producers, American television actors, American voice actors, People from Jackson, Mississippi, People with disabilities
Fluid coupling	Engineering
Vince Gilligan	1967 births, Living people, American agnostics, American television directors, American television producers, American television writers, Emmy Award winners, People from Richmond, Virginia, Writers from Virginia
Batting (cricket)	Cricket
Typhoon Maria (2018)	July 2018 events, Pacific typhoons
Eden Prairie, Minnesota	Cities in Minnesota
Laura Fraser	1976 births, Living people, Scottish movie actors, Scottish television actors, Scottish voice actors, Actors from Glasgow
Tor Erling Staff	1933 births, 2018 deaths, Lawyers, People from Oslo
Roh Hoe-chan	1956 births, 2018 deaths, Suicides by jumping, Politicians who committed suicide, South Korean politicians, People from Busan
Jesse Plemons	1988 births, Living people, American movie actors, American child actors, American television actors, American voice actors, Comedians from Texas, Actors from Dallas, Texas, Musicians from Dallas, Texas
Point Pleasant, New Jersey	Boroughs in New Jersey, Ocean County, New Jersey
2017 South Korean presidential election	May 2017 events, 2010s in South Korea, 2017 elections
Hong Jun-pyo	1954 births, Living people, South Korean politicians
Yoo Seong-min	1958 births, Living people, South Korean politicians
Sim Sang-jung	1959 births, Living people, South Korean politicians
The Litterbug	1961 movies, Animated movies, Short movies, Disney movies, Donald Duck
Salimatou Fatty	1994 births, Gambian people, Educators, Lawyers, Living people
Lalgudi taluk	Tiruchirapalli District
List of British Rail power classifications	British Rail diesel locomotives, British railway-related lists
Kurukshetra	Settlements in Haryana, Towns in India
Sykes–Picot Agreement	1916 in France, 1910s in the United Kingdom, 1910s treaties, Ottoman Empire, World War I, Imperialism
Boudry (district)	Districts of Neuchâtel
La Chaux-de-Fonds (district)	Districts of Neuchâtel
Le Locle (district)	Districts of Neuchâtel
Neuchâtel (district)	Districts of Neuchâtel
Val-de-Ruz (district)	Districts of Neuchâtel
Typhoon Lekima (2013)	Pacific typhoons, 2013 in weather, October 2013 events
Val-de-Travers (district)	Districts of Neuchâtel
Cressier, Neuchâtel	Municipalities of Neuchâtel
Lignières, Neuchâtel	Municipalities of Neuchâtel
Meyrin	Municipalities of Geneva, Cities in Switzerland
Slighting	Fortification
MAN SE	Transport companies of Germany
Ronald H. Griffith	1936 births, 2018 deaths, American military personnel of the Vietnam War, People from Georgia (U.S. state)
LaFayette, Georgia	Cities in Georgia (U.S. state), County seats in Georgia
Harry Gulkin	1927 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in Canada, Canadian screenwriters, Canadian movie directors, Canadian movie producers, Writers from Montreal
Khalid Salleh	1948 births, 2018 deaths, Deaths from respiratory failure, Malaysian actors
Cleveland Torso Murderer	1935 in the United States, 20th century in Cleveland, Ohio, American serial killers
Black Dahlia	1924 births, 1947 deaths, American murder victims, Deaths from cerebral hemorrhage, Deaths by blade weapons, People from Boston, Massachusetts, People from Los Angeles, California
Axeman of New Orleans	1910s in the United States, 1918, 1919, American serial killers, 20th century in New Orleans, Louisiana
Britton Hill	Geography of Florida, Hills, Parks in the United States
Death of Elisa Lam	1991 births, 2013 deaths, Deaths by drowning, People from Vancouver
Boy in the Box (Philadelphia)	1950s births, 1953 deaths, American murder victims, Unexplained deaths, People from Philadelphia, Pennsylvania
Keddie murders	1981 crimes in the United States, 1980s in California, April events, Deaths by blade weapons, Mass murder in California, Mass murder in the 1980s, Unsolved murders in the United States
Ken McElroy	1934 births, 1981 deaths, American murder victims, Deaths by firearm in the United States, People from Missouri
Murder of Brian Wells	1956 births, 2003 deaths, American murder victims, People from Erie, Pennsylvania
Skumin	Russian-language surnames, Russian nobility
Sri Jayawardenapura Kotte	Sri Lanka
Death of Gloria Ramirez	1963 births, 1994 deaths, Deaths from cervical cancer, Cancer deaths in California, People from California, 1994 in California
Cairo, Georgia	Cities in Georgia (U.S. state), County seats in Georgia
Lebanon, Tennessee	Cities in Tennessee, County seats in Tennessee
Keddie, California	Census-designated places in California, Plumas County, California
Skidmore, Missouri	Cities in Missouri
Dorothy A. Brown	1953 births, Living people, American lawyers, Politicians from Louisiana, Politicians from Chicago, US Democratic Party politicians
Neal Sales-Griffin	Living people, Businesspeople from Chicago, American educators, 1987 births
Willie Wilson (businessman)	2016 United States presidential candidates, 1948 births, Living people, Businesspeople from Chicago, Politicians from Chicago, Politicians from Louisiana, US Democratic Party politicians
2015 Chicago mayoral election	Mayoral elections in Chicago, 2010s in Chicago, 2015 elections, 2015 in Illinois, February 2015 events, April 2015 events
2011 Chicago mayoral election	Mayoral elections in Chicago, 2010s in Chicago, 2011 elections, February 2011 events
Old Alton Bridge	Bridges in the United States, Buildings and structures in Texas
Denton, Texas	Denton, Texas, County seats in Texas
Burt Shotton	1884 births, 1962 deaths, Baltimore Orioles players, Minnesota Twins players, St. Louis Cardinals players, Baseball coaches, People from Lorain, Ohio, Sportspeople from Ohio, Sportspeople from Florida
Darjeeling	Cities in India, West Bengal, 1835 establishments, 1830s establishments in Asia, 19th century establishments in India
Henry Miller	1891 births, 1980 deaths, Writers from New York
Down to You (song)	Joni Mitchell, Grammy Award winning songs, 1974 songs
Big Yellow Taxi	Joni Mitchell, Song articles with both composer and songwriter
Testimony	Law, Religion
Merzkirchen	Trier-Saarburg
Damflos	Trier-Saarburg
Kolbingen	Tuttlingen
Bytča	Settlements in Slovakia, Towns in Europe
Hwang Kyo-ahn	1957 births, Living people, Presidents of South Korea, Lawyers, Prime Ministers of South Korea
Kim Suk-soo	Prime Ministers of South Korea, 1932 births, Living people
Oksana Shachko	1987 births, 2018 deaths, Suicides in France, Ukrainian writers, Artists, Human rights activists, Feminist writers, People from Kiev
President of Turkey	Presidents of Turkey
Cemal Gürsel	1895 births, 1966 deaths, Deaths from stroke, Presidents of Turkey, Prime Ministers of Turkey
Yıldırım Akbulut	1935 births, 2021 deaths, Prime Ministers of Turkey, Speakers of the Parliament of Turkey
Cevdet Sunay	1899 births, 1982 deaths, Presidents of Turkey
Fahri Korutürk	1903 births, 1987 deaths, Presidents of Turkey, People from Istanbul
Aubonne, Switzerland	Municipalities of Vaud, Cities in Switzerland
Boudry	Municipalities of Neuchâtel, Cities in Switzerland
Esslingen am Neckar	Cities in Baden-Württemberg, Imperial free cities, Esslingen (district)
Aubonne (river)	Rivers of Switzerland, Vaud
Bo Burnham	1990 births, Living people, American movie actors, American television actors, American voice actors, American television presenters, American television personalities, American television writers, American screenwriters, American movie directors, American movie producers, American poets, American singer-songwriters, American guitarists, American pianists, American rap musicians from Massachusetts, Actors from Massachusetts, Comedians from Massachusetts, Writers from Massachusetts, Musicians from Massachusetts, Singers from Massachusetts, American composers, American stand-up comedians, Screenwriters from Massachusetts
Hamilton, Massachusetts	Towns in Massachusetts
Pedesina	Settlements in Lombardy
Art Linkletter	Emmy Award winners, Grammy Award winners, 1912 births, 2010 deaths, Deaths from stroke, Cardiovascular disease deaths in California, Naturalized citizens of the United States, American radio personalities, American television personalities, American television presenters, American adoptees, American conservatives, Canadian radio personalities, Canadian comedians, Canadian television presenters, Canadian businesspeople, People from Saskatchewan, Businesspeople from California, Actors from California, Comedians from California
Bryant Gumbel	1948 births, Living people, American television presenters, American journalists, American television news anchors, Writers from New Orleans, Louisiana, African American television personalities
Huey P. Newton	1942 births, 1989 deaths, American murder victims, Murders by firearm in California, American political activists, American anarchists, American communists, Writers from Louisiana, Politicians from Louisiana
Bobby Seale	1936 births, Living people, American political activists, People from Dallas, Texas
Bobby Hutton	1950 births, 1968 deaths, People shot dead by law enforcement officers in the United States, American political activists, Politicians from Arkansas
Elbert Howard	1938 births, 2018 deaths, American educators, American civil rights activists, American political writers, Writers from Tennessee, Writers from California
Don Marion Davis	1917 births, 2020 deaths, American centenarians, American silent movie actors, American child actors, Actors from Hollywood
Norma Aleandro	1936 births, Living people, Argentine movie actors, Argentine stage actors, Argentine television actors, Argentine screenwriters, Writers from Buenos Aires, Argentine theatre directors
I Will Survive	1978 songs
Carla Hayden	1952 births, Living people, American educators, People from Tallahassee, Florida
Asado	South American culture, Meat
Billy Vaughn	1919 births, 1991 deaths, Deaths from peritoneal cancer, Cancer deaths in California, American saxophonists, American bandleaders, Singers from Kentucky, Musicians from Kentucky
2018 Amesbury poisonings	2018 crimes in Europe, 2010s crimes in the United Kingdom, June 2018 events, Wiltshire
Anne Olivier Bell	1916 births, 2018 deaths, British centenarians, British educators, Writers from London
Amesbury	Towns in Wiltshire
Melanie Papalia	1984 births, Living people, Canadian movie actors, Canadian television actors, Canadian voice actors, Actors from Vancouver
Clever, Missouri	Cities in Missouri
Michelle Von Emster case	1994 deaths, Unexplained deaths, History of San Diego, California, 1994 in California
Roswell UFO incident	1947 in the United States, History of New Mexico
Sodder children disappearance	1940s in the United States, 1945, 20th century in West Virginia
John Shaft	Fictional American people
Baal Krishna	2016 Indian television series debuts, 2017 television series endings, 2010s television series, Hindi-language television series
Channapatna	Toys, Karnataka
Kodakara	Towns in India
Manapparai taluk	Tiruchirapalli District
Lincoln, Michigan	Villages in Michigan
Lincoln, Vermont	Towns in Vermont
Lincoln, California	1850s establishments in California, 1890s establishments in California, 1859 establishments in the United States, 1890 establishments in the United States, Cities in California, Settlements in Placer County, California
Lincoln, North Dakota	1977 establishments in the United States, Cities in North Dakota, 20th-century establishments in North Dakota
Walter Hirrlinger	1926 births, 2018 deaths, German politicians
Lincoln, New Hampshire	1764 establishments in the Thirteen Colonies, Towns in New Hampshire, 18th-century establishments in New Hampshire
Grafton County, New Hampshire	18th-century establishments in New Hampshire, New Hampshire counties, 1769 establishments in the Thirteen Colonies
Mitsuo Matayoshi	1944 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in Japan, Japanese politicians, People from Tokyo
Belknap County, New Hampshire	19th-century establishments in New Hampshire, 1840 establishments in the United States, New Hampshire counties
Vakhtang Balavadze	1927 births, 2018 deaths, Deaths from myocardial infarction, Sportspeople from Georgia (country), Olympic bronze medalists
Laconia, New Hampshire	19th-century establishments in New Hampshire, 1855 establishments in the United States, Cities in New Hampshire, County seats in New Hampshire
Laconia, Indiana	1816 establishments in the United States, Towns in Indiana, 1810s establishments in Indiana
Sergio Marchionne	1952 births, 2018 deaths, Deaths from surgical complications, Canadian businesspeople, Italian businesspeople, People from Toronto
New Amsterdam, Indiana	Towns in Indiana
Gallarate	Cities in Lombardy
Alene Duerk	1920 births, 2018 deaths, American military personnel of World War II, American military personnel of the Korean War, American military personnel of the Vietnam War, People from Ohio
Busto Arsizio	Cities in Lombardy
György Szepesi	Hungarian sportspeople, Radio personalities, Journalists, Hungarian businesspeople, People from Budapest, 1922 births, 2018 deaths
Tradate	Settlements in Lombardy
Rocket fuel	Fuel, Rockets
FC Petržalka 1898	Football clubs, Football in Slovakia, Bratislava, 1898 establishments in Europe
Sankt Anton im Montafon	Cities and towns in Vorarlberg
Les Brenets	Municipalities of Neuchâtel
Le Cerneux-Péquignot	Municipalities of Neuchâtel
Meredith Salenger	1970 births, American child actors, American television actors, American movie actors, Jewish American actors, Harvard University alumni, Actors from Malibu, California, Living people
Compressed air	Physics, Mechanics
Matthias Ginter	1994 births, German footballers, Sportspeople from Baden-Württemberg, People from Freiburg im Breisgau, Living people
Ralph J. Lamberti	1934 births, Living people, Staten Island borough presidents, US Democratic Party politicians
James Molinaro	1931 births, Living people, American political activists, American conservatives, American environmentalists, People from Manhattan, Staten Island borough presidents, US Republican Party politicians
James Oddo	1966 births, Living people, Staten Island borough presidents, US Republican Party politicians
Borough president	Borough Presidents
Boroughs of New York City	New York City boroughs
Robert Abrams	1938 births, Living people, Bronx borough presidents, American lawyers, US Democratic Party politicians
Rubén Díaz Jr.	1973 births, Living people, Bronx borough presidents, US Democratic Party politicians
Eric Adams (politician)	1960 births, Living people, African American politicians, Brooklyn borough presidents, American police officers, US Democratic Party politicians
Marty Markowitz	1945 births, Living people, Brooklyn borough presidents, US Democratic Party politicians
Fernando Ferrer	Bronx borough presidents, US Democratic Party politicians, 1950 births, Living people
Gale Brewer	1951 births, Living people, Manhattan borough presidents, US Democratic Party politicians
Scott Stringer	1960 births, Living people, Manhattan borough presidents, US Democratic Party politicians
C. Virginia Fields	1946 births, Living people, Politicians from Birmingham, Alabama, Manhattan borough presidents, US Democratic Party politicians
Ruth Messinger	1940 births, Living people, Jewish American politicians, Jewish women politicians, Manhattan borough presidents, US Democratic Party politicians
Melinda Katz	1965 births, Living people, American lawyers, Jewish American politicians, Jewish lawyers, Jewish women politicians, Queens borough presidents, US Democratic Party politicians
Imagawayaki	Japanese food
Queen (Nicki Minaj album)	2018 albums, Nicki Minaj albums, Hip hop albums, Trap albums, R&B albums
O(verly) D(edicated)	2010 albums, Mixtape albums
Hillerød	Cities in Denmark
Minecart	Short stories
Krysten Ritter	1981 births, Living people, Actors from Pennsylvania, American movie actors, American novelists, American rock guitarists, American rock singers, American stage actors, American television actors, Models from Pennsylvania, Singers from Pennsylvania, Writers from Pennsylvania
2015 FIFA Women's World Cup Final	2015 FIFA Women's World Cup
Bedford Vehicles	General Motors
Manish Sisodia	1972 births, Indian politicians, Activists, Living people
2015 FIFA Women's World Cup Group E	2015 FIFA Women's World Cup
2015 FIFA Women's World Cup Group F	2015 FIFA Women's World Cup
Alfredo del Águila	1935 births, 2018 deaths, Mexican footballers, Sportspeople from Mexico City
Commerzbank	1870s establishments in Germany, 1870 establishments in Europe, Banks of Germany, Frankfurt
Sattar Saad	Living people, 1990 births, People from Baghdad, Singer-songwriters
Marcel Amont	1929 births, French singers, People from Bordeaux
Phoenix Islands	Kiribati, Atolls, Pacific islands
Brian Kemp	1963 births, Living people, Governors of Georgia (U.S. state), State legislators of the United States, Politicians from Georgia (U.S. state), US Republican Party politicians
Ryghteous Ryan Tedder	American musicians, Living people, 1989 births
Youth Parliament	Youth organizations, 2008 establishments in India
Adem Demaçi	1936 births, 2018 deaths, Kosovan people, Albanian politicians, Political writers, Journalists, Political activists
Mary Ellis	1917 births, 2018 deaths, British military personnel of World War II, British centenarians, People from Oxfordshire
Tony Cloninger	1940 births, 2018 deaths, Deaths from aortic dissection, Atlanta Braves players, Cincinnati Reds players, St. Louis Cardinals players, Sportspeople from North Carolina
Cherryville, North Carolina	Cities in North Carolina
Gastonia, North Carolina	Cities in North Carolina, County seats in North Carolina
Kane Tanaka	1903 births, Living people, Japanese supercentenarians, Supercentenarians
2018 Pakistani general election	July 2018 events, 2018 in Asia, 2010s in Pakistan, 2018 elections
Synthetic material	Materials, Materials science
Raymond Cruz	1961 births, Living people, Actors from Los Angeles, California, American movie actors, American television actors
Sila María Calderón	People from San Juan, Puerto Rico, Governors of Puerto Rico, 1942 births, Living people
List of female governors in the United States	State governors of the United States
Komi Sélom Klassou	1960 births, Prime Ministers of Togo, Living people
Taneti Mamau	1960 births, Kiribati, Oceanic politicians, Presidents (government), Current national leaders, Living people
Kay A. Orr	1939 births, Politicians from Iowa, Governors of Nebraska, Living people, US Republican Party politicians
César Villanueva	1946 births, Living people, Prime Ministers of Peru
Rockport, Massachusetts	Towns in Massachusetts
Saulius Skvernelis	1970 births, Prime Ministers of Lithuania, Police officers, People from Kaunas, Living people
Rock Port, Missouri	Cities in Missouri, County seats in Missouri
La Sagne	Municipalities of Neuchâtel
John Banks Elliott	1917 births, 2018 deaths, Deaths from cardiopulmonary arrest, Ghanaian people, Ambassadors, Centenarians
María Concepción César	1926 births, 2018 deaths, Deaths from Alzheimer's disease, Disease-related deaths in Argentina, Argentine movie actors, Argentine television actors, Argentine stage actors, Radio actors, Argentine singers, Dancers, People from Buenos Aires
Aloyzas Kveinys	1962 births, 2018 deaths, Lithuanian sportspeople, Chess grandmasters
Marco Aurelio Denegri	1938 births, 2018 deaths, Deaths from pulmonary fibrosis, Peruvian journalists, Television presenters, Critics, Peruvian educators, People from Lima
Abdul El-Sayed	1984 births, Living people, Politicians from Detroit, Michigan, US Democratic Party politicians
Vladimir Voinovich	1932 births, 2018 deaths, Deaths from myocardial infarction, Russian novelists, Russian poets, Russian journalists, Playwrights, Writers from Moscow
Multiple-camera setup	Movies
2016 United States presidential election in Connecticut	2010s in Connecticut, 2016 United States presidential election by state
Yubeshi	Japanese food
Heptane	Alkanes
Hexane	Alkanes
Adam Gregg	1983 births, Living people, Lieutenant Governors of Iowa, US Republican Party politicians
Enceladus	Greek legendary creatures
Phase velocity	Wave physics
1899 Carrabelle hurricane	Category 2 Atlantic hurricanes, Hurricanes in the United States, 1899 in the United States, History of Florida, History of the Dominican Republic
2014 FIFA World Cup Final	2014 FIFA World Cup, July 2014 events, 2014 in association football, 2010s in Brazil
2019 FIFA Women's World Cup Final	2019 FIFA Women's World Cup, July 2019 events
East West Rail	Railway lines of England
Kora Jackowska	1951 births, 2018 deaths, Deaths from ovarian cancer, Cancer deaths in Poland, Polish singers, Polish musicians, Polish composers, Polish movie actors, Polish television actors, Television presenters, People from Kraków
Bruce Lietzke	1951 births, 2018 deaths, Deaths from brain cancer, Cancer deaths in Texas, American golfers, Sportspeople from Dallas, Texas, Sportspeople from Kansas City, Missouri
Theodore Edgar McCarrick	1930 births, Living people, Cardinals of the Roman Catholic Church, American Roman Catholics, Writers from Newark, New Jersey, Writers from New York City, Writers from Washington, D.C.
Ibrahim Boubacar Keïta	1945 births, Living people, Presidents of Mali, Prime Ministers of Mali
Roger Etchegaray	1922 births, 2019 deaths, Cardinals of the Roman Catholic Church, French Roman Catholics
José Saraiva Martins	1932 births, Living people, Cardinals of the Roman Catholic Church, Portuguese people
Michael Michai Kitbunchu	1929 births, Living people, Cardinals of the Roman Catholic Church, People from Bangkok
Carme Forcadell	1955 births, Living people, Political prisoners, Politicians from Catalonia, Women linguists
Miss Earth 2018	Beauty pageants
Single-camera setup	Movies
Kylian Mbappé	1998 births, Living people, French footballers, 2018 FIFA World Cup players, Association football forwards
Athens, Texas	Cities in Texas, County seats in Texas
Frank Sutton	1923 births, 1974 deaths, Deaths from myocardial infarction, American movie actors, American television actors, American stage actors, American military personnel of World War II, Actors from Tennessee
Lynn, Massachusetts	Cities in Massachusetts
Swampscott, Massachusetts	Towns in Massachusetts
Essex County, Massachusetts	Massachusetts counties, 1640s establishments in Massachusetts, 1643 establishments
Escondido, California	Cities in California, Settlements in San Diego County, California, 1888 establishments in the United States, 1880s establishments in California
DeKalb County, Illinois	Illinois counties
Kankakee County, Illinois	Illinois counties
Mettawa, Illinois	Villages in Illinois
Harris Tweed	Woven fabrics
Tweed (cloth)	Woven fabrics
Nath	Hinduism
Emily Rios	1989 births, Living people, Actors from Los Angeles, California, American movie actors, American television actors, Models from Los Angeles, California
James Rivière	1949 births, Italian sculptors, Living people
Nazar (TV series)	Indian television series, 2018 Indian television series debuts
Brickhouse Brown	1960 births, 2018 deaths, Deaths from prostate cancer, American professional wrestlers, Sportspeople from Wilmington, Delaware
Brian Christopher	1942 births, 2018 deaths, Suicides by hanging in the United States, American professional wrestlers, Sportspeople from Memphis, Tennessee
Geraint Thomas	Sportspeople from Cardiff, Tour de France winners, British cyclists, 1986 births, Living people
Matthew Daddario	1987 births, Living people, American movie actors, American television actors, American voice actors, Actors from New York City
Tazito Garcia	Actors from Madrid, Actors from Toronto
Manos Eleutheriou	1938 births, 2018 deaths, Deaths from myocardial infarction, Greek writers, Poets, Songwriters, Novelists
Oliver Dragojević	1947 births, 2018 deaths, Deaths from lung cancer, Croatian people, Singer-songwriters, Pop singers, Jazz singers, People from Split
Tomasz Stańko	1942 births, 2018 deaths, Deaths from lung cancer, Cancer deaths in Poland, Jazz musicians, Polish musicians, Composers, Trumpeters
Vibeke Skofterud	1980 births, 2018 deaths, Deaths in sport, Skiers, Norwegian Olympians, LGBT Olympians, Olympic gold medalists, Lesbians
Jet Ski	Water sports
Askim	Cities in Norway, Municipalities of Norway, Towns in Europe
Catherine Breillat	French writers, 1948 births, Living people
Steve Angello	1982 births, Living people, Swedish musicians
Chris Lake	Living people, 1982 births, Scottish people
Jillian Michaels	Writers from Los Angeles, California, American television personalities, 1974 births, Living people
Laidback Luke	1976 births, Living people, DJs
Wake Me Up!	2013 songs
Scott County, Iowa	Iowa counties, 1837 establishments in Wisconsin Territory
List of governors of Missouri	Governors of Missouri
Gonzales, Texas	Cities in Texas, County seats in Texas
Van Wert, Ohio	Cities in Ohio, County seats in Ohio
Medina, Ohio	Cities in Ohio, County seats in Ohio
Comprehensive Anti-Apartheid Act	Apartheid, Presidency of Ronald Reagan
Isère (river)	Rivers of France, Auvergne-Rhône-Alpes
Hans Kristian Amundsen	1959 births, 2018 deaths, Norwegian politicians, Norwegian writers
Abbas Duzduzani	1942 births, 2018 deaths, Iranian politicians
Alexandre do Nascimento	1925 births, Living people, Cardinals of the Roman Catholic Church, Bishops, Angolan people
Starved Rock State Park	State parks in the United States, Geography of Illinois
North Utica, Illinois	Villages in Illinois
LaSalle County, Illinois	Illinois counties
Anderson, Texas	Cities in Texas, County seats in Texas
Franklin County, Illinois	Illinois counties
Waxahachie, Texas	Cities in Texas, County seats in Texas
Tahoka, Texas	Towns in Texas, County seats in Texas
Goliad, Texas	Cities in Texas, County seats in Texas
Lipscomb, Texas	Towns in Texas, County seats in Texas
Franklin County, Arkansas	Arkansas counties, 1837 establishments in the United States, 1830s establishments in Arkansas
High-speed rail in the United Kingdom	High-speed rail, Rail transport in Great Britain
Peyton List (actress, born 1986)	Living people, 1980s births, People from Massachusetts, American television actors, American movie actors
2014 FIFA World Cup Group C	2014 FIFA World Cup
2014 FIFA World Cup Group D	2014 FIFA World Cup
2014 FIFA World Cup Group E	2014 FIFA World Cup
2014 FIFA World Cup Group F	2014 FIFA World Cup
2014 FIFA World Cup Group H	2014 FIFA World Cup
Russian Provisional Government	1910s in Russia, Politics of Russia
Michael P. DeLong	1945 births, 2018 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Florida, American generals, American military personnel of the Vietnam War
Valerie Jarrett	1956 births, Living people, American lawyers, Politicians from Chicago, Businesspeople from Chicago, US Democratic Party politicians
Franklin County, Missouri	1818 establishments in Missouri Territory, Missouri counties
Ibrahima Kassory Fofana	1954 births, Prime Ministers of Guinea, Living people
Dickens, Texas	Cities in Texas, County seats in Texas
Félix Guattari	1930 births, 1992 deaths, French philosophers, Psychiatrists, Activists, Deaths from myocardial infarction
Gatesville, Texas	Cities in Texas, County seats in Texas
Lampasas County, Texas	1850s establishments in Texas, 1856 establishments in the United States, Texas counties
Polk County, Texas	Texas counties
Ottawa County, Ohio	1840s establishments in Ohio, 1840 establishments in the United States, Ohio counties
Lucas County, Ohio	1830s establishments in Ohio, 1835 establishments in the United States, Ohio counties
Concepción de Buenos Aires	Municipalities of Mexico, Jalisco
Argyle, Texas	Cities in Texas
God Is a Woman	Ariana Grande songs, 2018 songs, Trap songs, Pop songs, Hip hop songs, R&B songs
Longview, Texas	Cities in Texas, County seats in Texas
Steve Forbes	1947 births, Living people, American conservatives, 1996 United States presidential candidates, 2000 United States presidential candidates, Businesspeople from New Jersey, Politicians from New Jersey, US Republican Party politicians
Kindergarten Cop 2	2010s comedy movies, American comedy movies
Rob van Mesdag	1930 births, 2018 deaths, Dutch Olympians, Rowers, People from Hilversum, Sportspeople from North Holland
Andreas Kappes	1965 births, 2018 deaths, Deaths from anaphylaxis, German Olympians, Cyclists
Steve Bridges	1963 births, 2012 deaths, Deaths from anaphylaxis, American movie actors, American television actors, Actors from Dallas, Texas, Comedians from Texas
Khayyam Mirzazade	1935 births, 2018 deaths, Composers, Educators, Azerbaijani people
Hélio Bicudo	1922 births, 2018 deaths, Judges, Deaths from stroke, Brazilian politicians
Alex Fergusson (politician)	1949 births, 2018 deaths, Scottish politicians
Bassano Staffieri	1931 births, 2018 deaths, Deaths from cerebral hemorrhage, Bishops, Italian Roman Catholics, People from Emilia-Romagna
Deaths in August 2018	2018 deaths, August 2018 events
Des Plaines River	Rivers of Illinois
Kankakee River	Rivers of Illinois
Channahon, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois
Grundy County, Illinois	Illinois counties
Chicago metropolitan area	Chicago, Illinois, Metropolitan areas of the United States
Kane County, Illinois	Illinois counties
Kendall County, Illinois	Illinois counties
Oswego, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois
Philmont, New York	Villages in New York
List of governors of South Carolina	Governors of South Carolina
Diya (light)	Lamps, Indian culture, Nepali culture
Kali Puja	Hindu festivals, India, Festivals in Asia
Mandiraja	Districts of Indonesia
Greene County, Arkansas	Arkansas counties, 1833 establishments in Arkansas Territory
Greene County, Alabama	Alabama counties
Greene County, Indiana	1821 establishments in Indiana, Indiana counties
Greene County, Missouri	1833 establishments in Missouri, Missouri counties
Greene County, Illinois	Illinois counties
Greene County, Georgia	18th-century establishments in Georgia (U.S. state), 1786 establishments in the United States, Georgia (U.S. state) counties
Greene County, Iowa	1851 establishments in Iowa, Iowa counties
Grundy County, Iowa	1851 establishments in Iowa, Iowa counties
Seguin, Texas	Cities in Texas, County seats in Texas
