Astelia banksii	Asparagales
Football League Fourth Division	English Football League, Football in England, 1958 establishments in the United Kingdom, 1992 disestablishments in Europe, 1990s disestablishments in the United Kingdom
Purchasing power	Economics
Eratosthenes	276 BC births, 194 BC deaths, Greek geographers, Ancient mathematicians, Ancient Greek astronomers
Tubule	Anatomy
Jango Fett	Star Wars characters, Fictional characters introduced in 2002, Tony Hawk's (series) guest characters
Gilf el-Kebir	Geography of Egypt, Plateaus
HBOS	Banks of the United Kingdom, 2001 establishments in the United Kingdom
Must Get Out	Maroon 5 songs, 2006 songs
Ansel Adams	1902 births, 1984 deaths, Deaths from cardiovascular disease, American photographers, Artists from San Francisco, Disease-related deaths in the United States
Dorothea Lange	1895 births, 1965 deaths, American photojournalists
Lostprophets	1990s British music groups, 1997 establishments in the United Kingdom, 2000s British music groups, 2010s British music groups, 2013 disestablishments in the United Kingdom, British heavy metal bands, Musical groups disestablished in 2013, Musical groups established in 1997, Post-grunge bands, Welsh rock bands
Racism	Racism, Hatred
Korba	Cities in India, Settlements in Chhattisgarh
Apoptosis	Cell biology
Phagocyte	Blood cells, Physiology, Immunology
FM Static	Canadian punk bands, Pop punk bands, 2000s in music, Musical groups established in 2003, 2003 establishments in Canada
Wadi	Valleys
Noble gas compound	Periodic table, Chemistry, Noble gas compounds
Vector graphics editor	Graphics software
What Are You Waiting For?	Pop punk albums, 2003 albums
Negev	Regions of Israel, Deserts of Asia, World Heritage Sites in Asia
Alfred Eisenstaedt	1898 births, 1995 deaths, German photojournalists
Petrochemical	Chemistry
Electronegativity	Chemical bonding
Linus Pauling	1901 births, 1994 deaths, Deaths from prostate cancer, Unitarians, American biochemists, Time People of the Year, American activists, American Nobel Prize winners, Writers from Portland, Oregon, Scientists from Portland, Oregon, California Institute of Technology faculty
Strabo	60s BC births, 24 deaths, Greek geographers, Ancient Greek historians
Chris Waddle	1960 births, Living people, English footballers, Sportspeople from Tyne and Wear, Premier League players
Ray Ozzie	American computer scientists, Scientists from Nebraska, Microsoft people, 1955 births, Living people
Ian Ure	Scottish footballers, Scottish football managers, Living people, 1939 births
Identity theft	Types of crime
Sensor	Sensors, Tools, Computer hardware, Data input
Victory	War, Sports
Illegal immigration	Population, Legal terms
Francisco Castro	Portuguese footballers, 1979 births, Living people
Stuart Murdoch	1954 births, Living people, English footballers
Chris Cornell	1964 births, 2017 deaths, American Eastern Orthodox Christians, Musicians from Seattle, Washington, Musicians who committed suicide, Singers from Seattle, Washington, Soundgarden, Suicides by hanging in the United States, Former Roman Catholics
Curse tablet	Occult, Ancient Greece, Ancient Rome
Kim Thayil	1960 births, Living people, American guitarists, Soundgarden, Musicians from Seattle, Washington
Matt Cameron	American drummers, Soundgarden, Musicians from San Diego, California, American rock musicians, 1962 births, Living people
Ben Shepherd	1968 births, Living people, American guitarists, Bassists, Soundgarden, Musicians from Seattle, Washington
A-Sides	Soundgarden albums, 1997 albums
Greatest hits album	Greatest hits albums
Down on the Upside	Soundgarden albums, 1996 albums
Alternative metal	Heavy metal subgenres
Halloween (franchise)	Halloween movies, Horror movies
Turkish diaspora	Turkish people
Anemoi	Greek gods and goddesses
Hit (baseball)	Baseball
Shutout (baseball)	Baseball
Fried rice	Rice dishes, Chinese food
Uniform number (American football)	American football
Flag of Pakistan	National symbols of Pakistan, National flags, Flags of Pakistan
Coat of arms of Pakistan	National symbols of Pakistan, National coats of arms
Qaumī Tarāna	National symbols of Pakistan, National anthems
Gloydius himalayanus	Reptiles of Pakistan, Vipers
Green sea turtle	Turtles
Hardella thurjii	Reptiles of Pakistan
Hydrophis ornatus	Reptiles of Pakistan
Soundgarden discography	Discographies, Soundgarden
Louder Than Love	1989 albums, Soundgarden albums
Ultramega OK	1988 albums, Debut albums, Soundgarden albums, Heavy metal albums
List of Soundgarden band members	Soundgarden, Music-related lists, Lists of entertainers
List of Soundgarden awards	Soundgarden, Music-related lists
James Milner	1986 births, Living people, English footballers, Liverpool F.C. players, Manchester City F.C. players, People from Leeds, Premier League players
Peter Osgood	1947 births, 2006 deaths, Deaths from myocardial infarction, English footballers, People from Berkshire
Trevor Francis	1954 births, Living people, English footballers, English football managers, People from Plymouth, Premier League players, Manchester City F.C. players
Sub Pop	American record labels, Seattle, Washington, 1986 establishments in the United States, 1980s establishments in Washington (state)
SST Records	American record labels, Long Beach, California
A&M Records	American record labels, Companies based in California, Seattle, Washington
Skin Yard	1980s American music groups, 1990s American music groups, Grunge bands, Musical groups from Seattle, Washington, Musical groups established in 1985, 1985 establishments in the United States, 1980s establishments in Washington (state), Musical groups disestablished in 1993, 1993 disestablishments in the United States, 1990s disestablishments in Washington (state)
Hater (band)	Soundgarden, Musical groups from Seattle, Washington, American rock bands
Wellwater Conspiracy	American rock bands, Musical groups from Seattle, Washington, Musical groups established in 1993, 1993 establishments in the United States, 1990s establishments in Washington (state), Musical groups disestablished in 2004, 2004 disestablishments in the United States, 2000s disestablishments in Washington (state)
Temple of the Dog	Soundgarden, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American heavy metal bands, Grunge bands, Musical groups from Seattle, Washington, Musical groups established in 1990, Musical groups disestablished in 1992, 1990 establishments in the United States, 1990s establishments in Washington (state), 1992 disestablishments in the United States, 1990s disestablishments in Washington (state)
Bruce Pavitt	Businesspeople from Chicago, People from Washington, 1959 births, Living people
A Sound Garden	Works of art, Seattle, Washington, 1982 establishments in the United States, 1980s establishments in Washington (state)
Fopp (EP)	1988 albums, Soundgarden albums
Screaming Life	1987 albums, Soundgarden albums
Loudest Love	Soundgarden albums, 1990 albums
Screaming Life/Fopp	Soundgarden albums, 1990 albums, Compilation albums
Louder Than Live	Soundgarden albums, 1990 albums
Motorvision	Soundgarden albums, 1992 albums
Songs from the Superunknown	1995 albums, Soundgarden albums
Jason Everman	1967 births, Living people, American rock guitarists, Musicians from Alaska, Nirvana members, Soundgarden
Hiro Yamamoto	1961 births, Living people, Bassists, Musicians from Illinois, American rock guitarists
Applied mathematics	Applied mathematics
Scott Sundquist	Soundgarden, American drummers, Musicians from Washington, American heavy metal musicians, American rock musicians, Year of birth missing (living people), Living people
A-ha	1990s music groups, 2000s music groups, Musical groups disestablished in 2010, Musical groups established in 1982, Norwegian musical groups, Oslo, Pop music groups, 1982 establishments in Europe, 1980s establishments in Norway, 2010 disestablishments in Europe
Professional baseball	Baseball
Anglicisation	English language
Offensive tackle	American football positions
Jeanne Rij-Rousseau	1870 births, 1956 deaths, French painters, People from Pays de la Loire
Big Ten Conference football champions	Big Ten Conference, 1896 establishments in the United States
Napalm Death	1981 establishments in England, 1980s British music groups, 1990s British music groups, 2000s British music groups, 2010s British music groups, Death metal bands, English heavy metal bands, Musical groups established in 1981
Chuck Schuldiner	1967 births, 2001 deaths, American songwriters, American Jews, Deaths from brain cancer, Singers from Florida, Heavy metal singers
Randy Orton	1980 births, American professional wrestlers, Living people, People from Knoxville, Tennessee, Sportspeople from Tennessee
Atonement	Christian theology, Judaism
Mark Henry	1971 births, African-American wrestlers, American Olympians, American professional wrestlers, Living people, Sportspeople from Texas, Weightlifters, WWE wrestlers
Cold War Kids	American rock bands, Soul bands, Blues bands, Indie rock bands, Musical groups from California, Long Beach, California
Of Mice and Men	1937 books, 20th century American novels, English-language novels
Europe (band)	1970s Swedish music groups, 1980s Swedish music groups, 1990s Swedish music groups, 2000s Swedish music groups, 2010s Swedish music groups, Hard rock bands, Musical groups established in 1979, Swedish heavy metal bands, 1979 establishments in Sweden, Musical groups disestablished in 1992, 1990s disestablishments in Sweden, 1992 disestablishments in Europe
Samuel Goldwyn	1879 births, 1974 deaths, American Jews, American movie producers, Businesspeople from New York, People from Warsaw
Edge (wrestler)	1973 births, Canadian professional wrestlers, Canadian movie actors, Canadian television actors, Former WWE wrestlers, Living people, Sportspeople from Ontario, WWE Hall of Fame, People from Asheville, North Carolina
Book of Tobit	Books of the Bible
Forbidden City	Buildings and structures in Beijing, Palaces, Art museums, World Heritage Sites in China
List of rivers of Pakistan	Rivers of Pakistan, Lists of rivers by country, Pakistan-related lists, Lists of rivers of Asia
Book of Zechariah	Old Testament books, Books of the Hebrew Bible
Book of Zephaniah	Books of the Hebrew Bible
Song of Songs	Books of the Hebrew Bible
Book of Isaiah	Books of the Hebrew Bible
Book of Nehemiah	Books of the Hebrew Bible
Book of Obadiah	Books of the Hebrew Bible, Old Testament books
Book of Nahum	Books of the Hebrew Bible, Old Testament books
Book of Micah	Books of the Hebrew Bible, Old Testament books
Book of Joel	Books of the Hebrew Bible, Old Testament books
Book of Hosea	Books of the Hebrew Bible, Old Testament books
Book of Haggai	Books of the Hebrew Bible, Old Testament books
Book of Habakkuk	Books of the Hebrew Bible
Book of Ezra	Books of the Hebrew Bible, Old Testament books
Aberdeen railway station	Aberdeen, Transport in Scotland, 1867 establishments in the United Kingdom, 19th century establishments in Scotland
Railway stations of Aberdeen	Railway stations in Scotland, Aberdeen
Thomas Friedman	1953 births, Living people, Alumni of the University of Oxford, American columnists, Journalists from Minnesota
Mark Bosnich	1972 births, Living people, Australian footballers, Association football goalkeepers, Sportspeople from Sydney
Dario Gradi	1941 births, Living people, Italian football managers, Italian footballers
Rio Ferdinand	1978 births, Living people, English footballers, Manchester United F.C. players, Sportspeople from London, Premier League players
Jack Charlton	1935 births, 2020 deaths, Deaths from dementia, Deaths from lymphoma, English football managers, English footballers, Sportspeople from Northumberland
Billy Wright	1924 births, 1994 deaths, 1950 FIFA World Cup players, 1954 FIFA World Cup players, 1958 FIFA World Cup players, Cancer deaths in London, Deaths from stomach cancer, English footballers, English football managers, Sportspeople from Shropshire
Mick McCarthy	1959 births, Living people, Irish footballers, Irish football managers, People from South Yorkshire
Ali Daei	1969 births, Living people, Iranian footballers, Iranian football managers
Carsten Ramelow	1974 births, Living people, German footballers, Sportspeople from Berlin
Geysir	Iceland, Geysers
Lens, Pas-de-Calais	Cities in France, Communes in Pas-de-Calais, Subprefectures in France
Music recording sales certification	Music industry
List of music recording sales certifications	Music industry, Music-related lists
Canadian Recording Industry Association	Music industry, Non-profit organizations
British Phonographic Industry	Music industry, 1973 establishments in Europe, 1970s establishments in the United Kingdom
Gramophone record	Audio disc, Storage devices
Hot Mainstream Rock Tracks	Billboard charts
1959–60 NHL season	1959 in North America, 1960 in North America
Sabellianism	Christian theology
Tritheism	Theology
Book of Jeremiah	Books of the Hebrew Bible, Old Testament books
Book of Lamentations	Books of the Hebrew Bible, Old Testament books
Book of Ezekiel	Books of the Hebrew Bible, Old Testament books, Christian eschatology
Book of Daniel	Books of the Hebrew Bible, Old Testament books, Eschatology, Christian eschatology
Book of Amos	Books of the Hebrew Bible, Old Testament books
Washington Mutual	1889 establishments in the United States, 2008 disestablishments in the United States, Banks of the United States, Seattle, Washington
Gray's Anatomy	Reference works, Anatomy, 1850s books
Gray's Anatomy for Students	2004 books, Anatomy
Killing Joke	English rock bands, English punk bands, English heavy metal bands
Dave Finlay	1958 births, Living people, Former WWE wrestlers, Northern Irish sportspeople, Sportspeople from Belfast
Chris Jericho	1970 births, American professional wrestlers, Canadian professional wrestlers, Canadian movie actors, Canadian rock singers, Canadian television actors, Living people, People from Winnipeg, Singers from New York, Sportspeople from New York, WWE wrestlers
Charles Curtis	1860 births, 1936 deaths, American Methodists, Majority leaders of the United States Senate, People from Topeka, Kansas, Presidents pro tempore of the United States Senate, United States representatives from Kansas, United States senators from Kansas, US Republican Party politicians, 20th-century American politicians, 19th-century American politicians, Kansas Republicans, Deaths from myocardial infarction
Big Show	1972 births, American movie actors, American professional wrestlers, American television actors, Living people, Sportspeople from South Carolina, WWE wrestlers
Robert Guiscard	Normans, 1015 births, 1085 deaths
William A. Wheeler	1819 births, 1887 deaths, Vice Presidents of the United States, Politicians from New York, 19th-century American politicians
Schuyler Colfax	1823 births, 1885 deaths, American abolitionists, Vice Presidents of the United States, Speakers of the United States House of Representatives, Politicians from New York City, 19th-century American politicians
Henry Wilson	1812 births, 1875 deaths, American Calvinists, Congregationalists, Deaths from stroke, Politicians from New Hampshire, United States senators from Massachusetts, 19th-century American politicians
Hubert Humphrey	1960 United States presidential candidates, 1968 United States presidential candidates, 1972 United States presidential candidates, Vice Presidents of the United States, United States senators from Minnesota, US Democratic Party politicians, Deaths from bladder cancer, 1978 deaths, 1911 births, 20th-century American politicians
Alben W. Barkley	1877 births, 1956 deaths, United States representatives from Kentucky, United States senators from Kentucky, US Democratic Party politicians, 20th-century American politicians, Minority leaders of the United States Senate, Majority leaders of the United States Senate
John Nance Garner	1868 births, 1967 deaths, Deaths from natural causes, Vice Presidents of the United States, Speakers of the United States House of Representatives, Politicians from Texas, US Democratic Party politicians, 20th-century American politicians, Minority leaders of the United States House of Representatives
Thomas A. Hendricks	1819 births, 1885 deaths, Governors of Indiana, Grover Cleveland, United States representatives from Indiana, US Democratic Party politicians, 19th-century American politicians
Levi P. Morton	1824 births, 1920 deaths, Deaths from pneumonia, Vice Presidents of the United States, Governors of New York, United States representatives from Vermont, 19th-century American politicians, Businesspeople from Vermont
Garret Hobart	1844 births, 1899 deaths, Vice Presidents of the United States, Politicians from New Jersey, US Republican Party politicians, Legislative speakers, 19th-century American politicians
Charles W. Fairbanks	1852 births, 1918 deaths, Vice Presidents of the United States, Politicians from Ohio, United States senators from Indiana, US Republican Party politicians, 20th-century American politicians, 19th-century American politicians
Thomas R. Marshall	1854 births, 1925 deaths, 20th-century American politicians, American people of World War I, Deaths from myocardial infarction, Governors of Indiana, US Democratic Party politicians
Charles G. Dawes	1865 births, 1951 deaths, Burials at Rosehill Cemetery, Vice Presidents of the United States, Directors of the Office of Management and Budget, American Nobel Prize winners, Calvin Coolidge, 20th-century American politicians, Deaths from coronary thrombosis, Ambassadors of the United States to the United Kingdom
Rainulf Drengot	Normans
Gregg Gillis	1981 births, Musicians from Pittsburgh, Pennsylvania, Electronic musicians, Living people
A∴A∴	Occult, 1907 establishments in Europe, 1900s establishments in the United Kingdom
The Book of the Law	1904 books, Spiritual books
Ordo Templi Orientis	New religious movements, Secret societies, 20th-century establishments
Luther Bible	Bible versions, Protestantism in Germany, History of Germany, Martin Luther
Wycliffe's Bible	Bible versions
Jens Jeremies	1974 births, 1998 FIFA World Cup players, 2002 FIFA World Cup players, German footballers, Living people, Sportspeople from Saxony, UEFA Euro 2000 players, UEFA Euro 2004 players
Ferenc Puskás	1927 births, 2006 deaths, 1954 FIFA World Cup players, 1962 FIFA World Cup players, Deaths from pneumonia, Disease-related deaths in Hungary, Hungarian footballers, Hungarian football managers, Medalists at the 1952 Summer Olympics, Olympic gold medalists, People with Alzheimer's disease, Spanish footballers, Sportspeople from Budapest
Michel Platini	1955 births, Living people, French footballers, French football managers, Presidents of UEFA
Hidetoshi Nakata	1977 births, Living people, Footballers from Yamanashi Prefecture, Japan international footballers, J1 League players, Shonan Bellmare players, 1998 FIFA World Cup players, 2002 FIFA World Cup players, 2006 FIFA World Cup players, 2001 FIFA Confederations Cup players, 2003 FIFA Confederations Cup players, 2005 FIFA Confederations Cup players, Footballers at the 1996 Summer Olympics, Footballers at the 2000 Summer Olympics
Relient K	American rock bands, American punk bands, Pop punk bands, Christian rock bands, Musical groups from Ohio, People from Canton, Ohio, 2000s American music groups
Hieronymus Bosch	People from 's-Hertogenbosch, Dutch painters, 1450s births, 1516 deaths
Bush (band)	English rock bands, Post-grunge bands
Fell on Black Days	Soundgarden, 1994 songs
Scarborough railway station	Scarborough, North Yorkshire
Methil	Towns in Fife
Chris Brown (album)	2005 albums, Debut albums, Hip hop albums, R&B albums
Economy of Pakistan	Economy of Pakistan
National Stock Exchange of Pakistan	Stock exchanges, Economy of Pakistan, Karachi
Flora and fauna of Pakistan	Plants of Pakistan, Animals of Pakistan
Resurrection of Jesus	Gospels, Jesus Christ
Crucifixion of Jesus	Jesus Christ, Gospels
Jim Ross	1952 births, American television presenters, Living people, Sportspeople from Oklahoma, Sportspeople from California, People from Norman, Oklahoma, Restaurateurs, WWE people, WWE Hall of Fame, American bloggers
King of the Ring	World Wrestling Entertainment pay-per-view events, 1985 establishments
John Layfield	1966 births, Living people, American professional wrestlers, Sportspeople from Texas, Former WWE wrestlers, American Internet celebrities
Mary J. Blige	1971 births, Living people, American rap musicians from New York, American movie actors, African American actors, Democrats (United States), Singers from New York City, Actors from New York City
Dancing Beijing	Symbols, 2008 Summer Olympics
Exploration	Exploration
Lactobacillus	Gram-positive bacteria
Waterford United F.C.	Irish football clubs, Waterford
Montpellier HSC	French football clubs, Montpellier, 1974 establishments in Europe, 1970s establishments in France
AS Monaco F.C.	French football clubs
Olympique de Marseille	French football clubs, Marseille, 1899 establishments in France
Arsène Wenger	1949 births, Living people, French footballers, French football managers, Arsenal F.C.
John Arne Riise	1980 births, Living people, Norwegian footballers
Patrick Vieira	1976 births, Living people, Arsenal F.C. players, Manchester City F.C. players, French footballers, Senegalese footballers, French football managers, 1998 FIFA World Cup players, 2006 FIFA World Cup players, People from Dakar
David Seaman	1963 births, Living people, Arsenal F.C. players, Dancing on Ice participants, English association football goalkeepers, Manchester City F.C. players, People from South Yorkshire, Sportspeople from Yorkshire, Premier League players
Luther Blissett	1958 births, Living people, Caribbean footballers, English footballers, Jamaican sportspeople
Chinese architecture	Chinese culture, Architecture
Jimmy Greaves	1940 births, 2021 deaths, English footballers, Sportspeople from London
Eugenio Corini	1970 births, Living people, Italian footballers
Vasile Miriuţă	1968 births, Living people, Hungarian footballers
Jerzy Dudek	1973 births, Living people, Polish footballers, Association football goalkeepers
Henrik Larsson	1971 births, Living people, Swedish footballers, People from Helsingborg
Ian Wright	1963 births, Living people, Sportspeople from London, Black British sportspeople, English footballers, English television presenters, Premier League players, Arsenal F.C. players, Crystal Palace F.C. players, West Ham United F.C. players
Clyde Best	1951 births, Living people, Bermudian people, British footballers, North American footballers, Sport in Bermuda
Edgar Davids	1973 births, Living people, Dutch footballers, People from Paramaribo
Marc-Vivien Foé	1975 births, 2003 deaths, Deaths from cardiomyopathy, Cameroonian footballers
Ian Hamilton	1950 births, Living people, English footballers, Sportspeople from London
Olympique Lyonnais	French football clubs, Lyon, 1899 establishments in France
F.C. Girondins de Bordeaux	French football clubs, Bordeaux, 1880s establishments in France, 1881 establishments in Europe
Glasgow Central station	Railway stations in Scotland, Buildings and structures in Glasgow, 1879 establishments in the United Kingdom, 1870s establishments in Scotland
Mary of Teck	1867 births, 1953 deaths, Bailiffs Grand Cross of the Order of St John, Cancer deaths in England, Deaths from lung cancer, Kings and Queens consort of the United Kingdom
Marlborough House	Buildings and structures in London, Royal residences in the United Kingdom
Richmond Park	Parks in the United Kingdom, London Borough of Richmond, Royal Borough of Kingston upon Thames, London Borough of Wandsworth
Brantridge Park	Buildings and structures in England, Royal residences in the United Kingdom
Osborne House	Buildings and structures in England, Royal residences in the United Kingdom
Docetism	Christian theology
List of British Royal Residences	Royal residences in the United Kingdom, United Kingdom-related lists
Tazz	1967 births, Living people, American professional wrestlers, TNA wrestlers, Sportspeople from New York City
Lille OSC	1940s establishments in France, 1944 establishments in Europe, French football clubs, Lille
Prince Andrew, Duke of York	1960 births, Living people, House of Windsor, Knights Grand Cross of the Royal Victorian Order, Knights of the Garter, Royalty from London, United Kingdom Dukes, Elizabeth II
Jinnah International Airport	Airports in Pakistan, Karachi
Demi Lovato	1992 births, Living people, Singers from New Mexico, Writers from Albuquerque, New Mexico, Actors from Dallas, Texas, American child actors, American child singers, American television actors, Writers from Dallas, Texas, Disney actors, Musicians from New Mexico, Actors from Albuquerque, New Mexico, People with bipolar disorder, Singers from Dallas, Texas, LGBT actors, LGBT singers, LGBT musicians, LGBT writers, LGBT people from Texas, People with non-binary gender identities
Road (sports)	Sports words
Parqués	Board games
Home (sports)	Sports words
Hurricane Hugo	Category 5 Atlantic hurricanes, Hurricanes in South Carolina, Retired tropical cyclone names, Hurricanes, 1989
Jerry Lawler	1949 births, American professional wrestlers, Living people, Sportspeople from Memphis, Tennessee, WWE wrestlers, WWE Hall of Fame
We Rock (Camp Rock song)	2008 songs, Camp Rock
Turkish alphabet	Alphabets, Turkey, Turkic languages
This is Me (Demi Lovato song)	2008 songs, Camp Rock
Play My Music	2008 songs, Camp Rock
Michael	Given names
Rivaldo	1972 births, Living people, Brazilian footballers
Peter Reid	1956 births, Living people, English footballers, English football managers, Sportspeople from Liverpool, Premier League players
Mehdi Mahdavikia	1977 births, Living people, Iranian footballers, Sportspeople from Tehran
Ali Karimi	1978 births, Living people, Iranian footballers
Ray Harford	1945 births, 2003 deaths, English footballers, English football managers, People from West Yorkshire
John Welsh	1984 births, Living people, English footballers, People from Liverpool
José Luis Chilavert	1965 births, Living people, Paraguayan footballers, Association football goalkeepers
Erik Nevland	Norwegian footballers, 1977 births, Living people
Bill Shankly	1913 births, 1981 deaths, Scottish footballers, Scottish football managers
Billy McNeill	1940 births, 2019 deaths, Deaths from dementia, Members of the Order of the British Empire, Scottish footballers, Scottish football managers, Scottish writers
Edmundo Alves de Souza Neto	1971 births, Living people, Brazilian footballers
Adrian Mutu	1979 births, Living people, Romanian footballers
David Moyes	Scottish football managers, Scottish footballers, 1963 births, Living people
Gérard Houllier	1947 births, 2020 deaths, Association football midfielders, Deaths from surgical complications, French footballers, French football managers
Waggle dance	Animal communication, Bees
Jim McLean	1937 births, 2020 deaths, Deaths from dementia, Scottish football managers, Scottish footballers
German Grand Prix	Formula One Grands Prix
Hockenheimring	Formula One circuits, 1932 establishments in Europe, 1930s establishments in Germany
Singapore Grand Prix	Events in Singapore, Formula One Grands Prix, Sport in Singapore
Morrissey	1959 births, Living people, English rock singers, English singer-songwriters, Lyricists, Musicians from Manchester, People with cancer, The Smiths members
Hernando de Soto Polar	1941 births, Living people, People from Lima, Economists, Peruvian politicians
Belgian Grand Prix	Formula One Grands Prix
Hernando de Soto	1490s births, 1542 deaths, Spanish explorers, People from Extremadura
Circuit de Monaco	Formula One circuits, Monte Carlo
Dutch Grand Prix	Formula One Grands Prix
United States Grand Prix	Formula One Grands Prix
Spanish Grand Prix	Formula One Grands Prix
Canadian Grand Prix	Formula One Grands Prix
Anantnag District	Districts of Jammu and Kashmir
Pakistan International Airlines	Airlines of Asia, Karachi, National symbols of Pakistan, Transport in Pakistan
Islamabad International Airport	Airports in Pakistan
International Air Transport Association	Aviation
Indian Sign Language	Sign languages, Languages of India, Languages of Pakistan
1935–36 NHL season	1935 in North America, 1936 in North America
Coppins	Royal residences in the United Kingdom
Bagshot Park	Royal residences in the United Kingdom
Balmoral Castle	Royal residences in the United Kingdom, Castles in Scotland
Beech	World Heritage Sites, Fagales
Fagales	Fagales
Bioethics	Medicine, Ethics
Caricaceae	Plant families, Brassicales
Pollen	Flowers, Plant anatomy
We Ski	Wii games, Wii-only games, 2008 video games
Denison, Texas	Cities in Texas, 1872 establishments in the United States, 1870s establishments in Texas
Mentha	Lamiaceae, Herbs
Lamiales	Lamiales
Lamiaceae	Lamiaceae
Nepeta	Lamiaceae
Garden angelica	Apiaceae
Rosemary	Herbs, Lamiaceae
Liquorice	Faboideae, Spices
Faboideae	Faboideae
Galegeae	Faboideae
Glycyrrhiza	Faboideae, Medicinal plants
Cumin	Apiaceae, Spices
Savory (herb)	Lamiaceae, Herbs
Superchunk	American rock bands, American punk bands, Indie rock bands, Musical groups from North Carolina
Semi-automatic firearm	Firearms
Semi-automatic rifle	Rifles
Bolt action	Firearms
Trigger (firearms)	Firearm components
Diatomic molecules	Stereochemistry
Fragile Future	2008 albums, Hawthorne Heights albums
Dundalk	County towns in Ireland, County Louth
County Louth	County Louth
Robot Chicken	2005 American television series debuts, 2000s American comedy television series, 2000s satirical television series, 2010s American comedy television series, 2010s satirical television series, Adult Swim, American animated television series, American satirical television series, English-language television programs
Victor Hammer (businessman)	1901 births, 1985 deaths, People from New York City, American philanthropists
MySims	2007 video games, Nintendo DS games, Windows games, The Sims, Wii games
The Sun (United Kingdom)	1964 establishments in the United Kingdom, Newspapers published in the United Kingdom, English-language newspapers
M2 Browning	Heavy machine guns, Machine guns of the United States
Stealth technology	Aircraft
Pakistan Peoples Party Parliamentarians	Political parties in Pakistan
Bangladesh Nationalist Party	Political parties in Bangladesh, Nationalist organizations in Bangladesh
Rosmarinus	Lamiaceae
Apiales	Asterids
Apiaceae	Apiaceae
Angelica	Apiaceae, Herbs
Blephilia	Lamiaceae
Ballota	Lamiaceae
Agastache	Lamiaceae, Herbs, Medicinal plants
Acrocephalus (plant)	Lamiaceae
Acinos	Lamiaceae
Acanthomintha	Lamiaceae
Franz von Papen	1879 births, 1969 deaths, Chancellors of the Weimar Republic, Ambassadors of Germany, German military personnel of World War I, German Roman Catholics, Government ministers of Nazi Germany, Majors, Members of the Reichstag (Nazi Germany), Members of the Reichstag (Weimar Republic), Prime Ministers of Prussia, Politicians from North Rhine-Westphalia, Politicians of the Nazi Party, Vice Chancellors of Germany
Lemon balm	Lamiaceae, Herbs
Bronchitis	Health problems, Respiratory system
Kashmiri people	Ethnic groups in India
Hastings	Towns in East Sussex
Malvern College	Schools in England, 1865 establishments in England
UN peacekeeping missions involving Pakistan	Pakistan
Pakistan Army	Military of Pakistan, Armies
Web of the City	1958 books, Books by Harlan Ellison, Brooklyn in fiction
Pakistani military	Military of Pakistan
Pakistan Navy	Navies, Military of Pakistan
