Compact disc	Compact Disc
Nuclear fission	Nuclear energy
February 14	Days of the year
1903	1903
The Fantastic Four	Fantastic Four, Marvel Comics adapted into movies
Bob Barker	1923 births, Living people, American activists, American game show hosts, Emmy Award winners, Entertainers from Washington, Skin cancer survivors, People from Springfield, Missouri
Connect Four	Games
Nintendo DS	Nintendo video game consoles, Handheld video games
Sam Neill	Actors from Northern Ireland, Irish movie actors, Irish stage actors, Irish television actors, Irish voice actors, New Zealand movie actors, New Zealand stage actors, New Zealand television actors, New Zealand voice actors, People from South Island, 1947 births, Living people
March 18	Days of the year
1928	1928
Meteor	Meteorites
Notepad	Word processors, Microsoft Windows software
Max Planck	1858 births, 1947 deaths, German academics, German Nobel Prize winners, German physicists, Theoretical physicists
Jay Leno	1950 births, Living people, Actors from New York, People from New Rochelle, New York, American movie actors, American television talk show hosts, Comedians from New York, Emmy Award winners
Vancouver	Olympic cities, Vancouver
Halifax	Surnames
Nunavut	Nunavut, 1999 establishments in Canada, Provinces and territories of Canada
Steve Martin	1945 births, Living people, Actors from Los Angeles County, California, Actors from Texas, American movie actors, Movie directors from Los Angeles County, California, Movie directors from Texas, Movie producers from Los Angeles County, California, Movie producers from Texas, American screenwriters, American television actors, Comedians from Los Angeles County, California, Comedians from Texas, Emmy Award winners, Grammy Award winners, Mark Twain Prize recipients, Actors from Orange County, California, People from Waco, Texas, Writers from Los Angeles County, California, Writers from Texas
Richard Attenborough	Academy Award winning directors, Actors from Cambridgeshire, BAFTA Award winners, English movie actors, English movie directors, English movie producers, English stage actors, English television actors, People from Cambridge, 1923 births, 2014 deaths, Deaths from Parkinson's disease, Deaths from heart failure
Robin Williams	1951 births, 2014 deaths, Actors from Chicago, Actors from California, Actors who committed suicide, American movie actors, American television actors, American television writers, American voice actors, Comedians from Chicago, Comedians from California, Best Supporting Actor Academy Award winners, Comedians who committed suicide, Emmy Award winning actors, Golden Globe Award winning actors, Grammy Award winners, Movie producers from Chicago, Movie producers from California, People with Parkinson's disease, Saturn Award winners, Screen Actors Guild Award winners, Screenwriters from Chicago, Screenwriters from California, Suicide in the 2010s, Suicides by asphyxiation, Suicides in California, Television personalities from California, Television personalities from Chicago, Writers from California, Writers from Chicago, Writers who committed suicide
Bamboo	Bamboo
Trojan War	Wars involving Greece, Greek mythology
Cruise ship	Ship types, Tourism, Cruise ships
Windows Media Player	Microsoft software, Multimedia software
Listen Up	American sitcoms, 2004 television series debuts, CBS network shows, English-language television programs
Jurassic Park III	2000s adventure movies, 2001 science fiction movies, Jurassic Park movies, Movies composed by John Williams, Movies set in islands, Jungle movies, Sequel movies, Universal Pictures movies
Laura Dern	1967 births, Living people, Academy Award winning actors, Actors from Los Angeles, California, American child actors, American movie actors, American television actors, American television producers, American voice actors, Golden Globe Award winning actors
Trailer (movie)	Movie terminology
Michael Crichton	1942 births, 2008 deaths, American movie directors, American movie producers, American novelists, Screenwriters from Illinois, American television producers, American television writers, Deaths from lymphoma, Deaths from throat cancer, Writers from Chicago
Andreas Baader	1943 births, 1977 deaths, German communists, German prisoners, German terrorists, People from Munich, Red Army Faction, Robbers, Suicides by firearm in Germany
Meher Baba	Indian people, Spiritual teachers, Asian Sufis, 1894 births, 1969 deaths, Pune
Uno (card game)	Card games
Electrical engineering	Electricity, Engineering
Design	Design
Star Trek	Star Trek, Fictional universes, Science fiction, Media franchises
Tunnel	Tunnels
The Salvation Army	1865 establishments, 1860s establishments in England, Charities, Protestantism, Organisations based in London
Orphanage	Accommodations
London Underground	London Underground, 1863 establishments in England
Democracy Now!	Radio programs, Television programs
Socialist Party (England and Wales)	Political parties in England, Political parties in Wales
Socialist teachers	Education in the United Kingdom, Socialists
National Union of Teachers	Unions, Education
June 5	Days of the year
February 20	Days of the year
Dave Grohl	1969 births, American punk musicians, American rock drummers, American rock guitarists, Living people, Musicians from Ohio, Musicians from Virginia, Nirvana members, Nine Inch Nails
1740	1740
Embryo	Biological reproduction, Developmental biology
WordPad	Word processors
Microsoft Paint	Microsoft software, Graphics software
My Computer	Software
Trilogy	Literary terms
Series	Mathematics
Synesthesia	Sensory system, Perception
Moose	Deer, Mammals of North America
Stanley Kubrick	American cinematographers, American movie editors, Cardiovascular disease deaths in England, Deaths from myocardial infarction, Movie directors from New York City, Movie producers from New York City, Screenwriters from New York City, 1928 births, 1999 deaths
Kyoto Protocol	United Nations, Kyoto, Climate change, Green politics
Movie director	Movie directors, Movie occupations
Jack Nicholson	1937 births, Living people, Actors from New Jersey, Actors who played the Joker, American movie actors, American television actors, Best Actor Academy Award winners, Best Supporting Actor Academy Award winners, Movie directors from New Jersey, Movie producers from New Jersey, Screen Actors Guild Award winners, Screenwriters from New Jersey
1860s	1860s
June 20	Days of the year
January 4	Days of the year
Autism	Autism, Pervasive developmental disorders, Psychiatry, Psychology
Italian language	Italian language
Namibia	Namibia, English-speaking countries, German-speaking countries
Jubal Early	1816 births, 1894 deaths, Confederate Army generals, Military people from Virginia
Lewis Carroll	1832 births, 1898 deaths, Alumni of the University of Oxford, Deaths from pneumonia, English Anglicans, English children's writers, English mathematicians, English novelists, English photographers, English poets, Infectious disease deaths in England, Pen names, People educated at Westminster School, London, Writers from Cheshire
1935	1935
Belize	Belize, Current monarchies, Caribbean Community, Spanish-speaking countries, English-speaking countries, Commonwealth realms, 1981 establishments in North America
Michael Landon	1935 births, 1991 deaths, American television actors, Actors from New York City
Titanic	RMS Titanic, 1910s in the United Kingdom, 1912
Steel	Basic English 850 words, Construction, Alloys
Luftwaffe	Air force, Military of Germany
The Velvet Underground	American rock bands, Musical groups from New York City
John F. Kennedy	1917 births, 1963 deaths, American Roman Catholics, Assassinated United States Presidents, Burials at Arlington National Cemetery, Deaths by firearm in Texas, John F. Kennedy, Kennedy family, People from Brookline, Massachusetts, People of the Vietnam War, Presidents of the United States, Pulitzer Prize winners, 1960 United States presidential candidates, United States representatives from Massachusetts, United States senators from Massachusetts, US Democratic Party politicians, 20th-century American politicians
Jyväskylä	Cities in Finland, Municipalities of Central Finland
Alfred Hitchcock	1899 births, 1980 deaths, Actors from Essex, American movie actors, American movie directors, American movie producers, American Roman Catholics, American screenwriters, American television directors, American television producers, Deaths from renal failure, Disease-related deaths in the United States, English movie actors, English Roman Catholics, English screenwriters, Extras, Naturalized citizens of the United States, People from Leytonstone, Writers from Essex, Knights Commander of the Order of the British Empire, BAFTA Award winning directors
1659	1659
July 1	Days of the year
Black comedy	Black comedy
Elliott Gould	1938 births, Living people, Actors from Brooklyn, American movie actors, American television actors, American voice actors, Jewish American actors, Movie producers from New York City
Equation	Equations
1961	1961
1783	1783
1809	1809
1968	1968
October 31	Days of the year
Beadle	Religious occupations
1947	1947
July 17	Days of the year
Vegetable	Vegetables
Olivine	Minerals, Igneous rocks
May 18	Days of the year
30 BC	30 BC
January 29	Days of the year
Economy	Economics
March 7	Days of the year
September 19	Days of the year
September 9	Days of the year
Engine	Machines, Basic English 850 words, Motors
Belarus	Belarus
Steam	Basic English 850 words, Gases
1834	1834
August 29	Days of the year
July 20	Days of the year
Steering wheel	Auto parts
East Germany	1990 disestablishments in Germany, 1949 establishments in Germany, East Germany, Former republics, States and territories disestablished in the 1990s, States and territories established in the 1940s
Netball	Team sports
Atomic number	Chemistry, Nuclear physics
June 21	Days of the year
1920	1920
Cardinal number	Number theory, Cardinal numbers
1960	1960
1956	1956
March 4	Days of the year
Merchant marine	Naval transport
FreeBSD	BSD, Free software, Operating systems
Garry Marshall	1934 births, 2016 deaths, Actors from New York City, American movie actors, American television actors, American television directors, American television producers, American television writers, American voice actors, Cardiovascular disease deaths in Los Angeles County, California, Deaths from pneumonia, Deaths from stroke, Infectious disease deaths in Los Angeles County, California, Movie directors from New York City, Movie producers from New York City, Screenwriters from New York City, Writers from the Bronx
1934	1934
November 1	Days of the year
Johnny Weissmuller	1904 births, 1984 deaths, Actors from Chicago, American movie actors, American Olympic bronze medalists, American Olympic gold medalists, American swimmers, Deaths from pulmonary edema, Disease-related deaths in Mexico, Naturalized citizens of the United States, Sportspeople from Chicago
1756	1756
1715	1715
Priscilla Presley	1945 births, Living people, Actors from Brooklyn, American movie actors, American television actors, Elvis Presley, Scientologists
1973	1973
Drunkenness	Alcohol drinking habits, Health problems
Canada Dry	Drink companies, Canadian food companies, Companies based in Texas
Ginger ale	Soft drinks
Shaving	Hygiene
Hygiene	Hygiene
Spork	Food utensils
Vauxhall Astra	1970s automobiles, 1980s automobiles, 1990s automobiles, 2000s automobiles, General Motors vehicles
Ford Ka	1990s automobiles, 2000s automobiles, Ford automobiles
Tower Bridge	Buildings and structures completed in the 19th century, Bridges and tunnels in London, Bridges in the United Kingdom, Steel bridges, Stone bridges, Transport in Southwark, Transport in Tower Hamlets, Suspension bridges
Waiter	Food-related occupations
Steven Spielberg	1946 births, Living people, Academy Award winning directors, American movie directors, American movie editors, American movie producers, American screenwriters, BAFTA Award winners, Emmy Award winning directors, Golden Globe Award winning directors, Jewish American writers, Jewish businesspeople, Movie directors from Ohio, Movie producers from Ohio, Order of Merit of the Federal Republic of Germany, Businesspeople from Cincinnati, Ohio, Writers from Cincinnati, Ohio, Screenwriters from Ohio
Variable	Mathematics, Computer science
Salvador Allende	1908 births, 1973 deaths, People from Valparaíso, Presidents of Chile, Chilean physicians, Social democrats, Democratic socialists, Suicides by firearm, Presidents of the Senate of Chile
Authority	Basic English 850 words, Hierarchy
Musical instrument	Musical instruments
Winston Churchill	1874 births, 1965 deaths, British military personnel of World War I, British Nobel Prize winners, British people of World War II, Cardiovascular disease deaths in England, Chancellors of the Exchequer, Companions of Honour, Deaths from stroke, English historians, English journalists, Fellows of the Royal Society, Former Conservative MPs (UK), Former members of the British House of Commons for English constituencies, Former members of the British House of Commons for Scottish constituencies, Knights of the Garter, Leaders of the Conservative Party (UK), Leaders of the Opposition (United Kingdom), Liberal Party MPs (UK), Order of Merit, People of the Boer Wars, Privy Councillors (UK), Secretaries of State for the Home Department, Secretaries of State of the United Kingdom, Time People of the Year, UK MPs 1929–1931, UK MPs 1931–1935, UK MPs 1935–1945, UK MPs 1945–1950, UK MPs 1950–1951, UK MPs 1951–1955, UK MPs 1955–1959, UK MPs 1959–1964, World War II political leaders, Writers from Oxfordshire
Golan Heights	Golan Heights
1650	1650
Pupil (eye)	Eye anatomy
Translator	Language
Cambodia	Cambodia, Current monarchies, Least developed countries, 1953 establishments in Asia
1466	1466
1502	1502
Teenager	Humans, Childhood
1533	1533
1546	1546
1598	1598
1600	1600
Adult	Humans
Colony	Politics
Sonic boom	Sound, Aviation
Sikkim	Sikkim, 1817 establishments, 1974 disestablishments, 1810s establishments in Asia, Former polities of the Cold War, States of India
Spelling bee	Language, Learning
Birth control	Contraception, Feminism
Role-playing game	Role-playing games
Arabic language	Arabic language
Dresden	Dresden, 1206 establishments in Europe, 13th-century establishments in Germany
Free will	Philosophy, Ethics, Causality
March 3	Days of the year
September 3	Days of the year
Irrigation	Agriculture
Glastonbury Festival	1970 establishments in England, Music festivals in England, Somerset
Detroit	Detroit, Michigan, County seats in Michigan, Former United States state capitals, 1700s establishments in North America, 1701 establishments, 18th-century establishments in New France
War communism	Communism, Economic policy, Russian Revolution, 1918 establishments in the Soviet Union, 1921 disestablishments
New Economic Policy	History of the Soviet Union, 1921 establishments, 1920s establishments in the Soviet Union
Foreign aid	Politics
Hydroelectricity	Technology, Hydropower
Mallaig	Towns in Scotland
Cramlington	Towns in Northumberland
Belfast	Belfast, Capital cities in Europe
Dungeness	Kent
Power station	Power plants, Electricity
Mind	Psychology, Philosophy
Reality	Reality
Mary Shelley	1797 births, 1851 deaths, British feminists, Deaths from brain cancer, English novelists, Vegetarians, Writers from London
Sum	Arithmetics, Mathematical notation
Nelson Mandela	1918 births, 2013 deaths, Activists, People associated with Apartheid, Autobiographers, Christians, Deaths from respiratory tract infection, Disease-related deaths in South Africa, Knights of the Order of St John, Mthatha, Nelson Mandela, Order of Merit, Order of Prince Henry, Recipients of the Nishan-e-Pakistan, Recipients of the Order of the Aztec Eagle, Presidential Medal of Freedom recipients, Presidents of South Africa, South African Nobel Prize winners, South African political writers, Time People of the Year
Mario Party 6	2004 video games, Nintendo GameCube games, Mario Party games, Video games developed in Japan, Nintendo GameCube-only games, Nintendo games by franchise, Party video games, Board games
Don Quixote	1605 books, 1615 books, Novels, Spanish-language literature
Swim	Basic English 850 words, Swimming, Survival skills, Healthy lifestyle
Archimedes	287 BC births, 212 BC deaths, Archimedes, Ancient Greeks
Radio	Radio
Vandalism	Types of crime, Property crimes
Monopoly (game)	Board games
Still Standing	2002 American television series debuts, 2006 American television series endings, 2000s American television series, American sitcoms, CBS network shows, Television series set in Chicago, Illinois, English-language television programs
IGN	Entertainment websites
Sock	Basic English 850 words, Footwear
Everybody Loves Raymond	1996 American television series debuts, 2005 American television series endings, 1990s American sitcoms, 2000s American sitcoms, CBS network shows, Television series about families, Television series set in New York, English-language television programs
Lighthouse	Lighthouses
Joan of Arcadia	Fantasy television series, 2003 television series debuts, CBS network shows, English-language television programs
Lunchbox	Containers
The Game of Life	Board games
Poster	History of printing, Graphics, Advertising
Gretchen Wilson	1973 births, Living people, Singers from Illinois, Musicians from Illinois, American guitarists, Country musicians
Blue Balliett	1955 births, Living people, Writers from New York City, Writers from Chicago
Eyelash	Facial hair
Prague	Prague
Wallet	Money, Accessories
Memory card	Storage devices
Computer printer	Printers
Chasing Vermeer	2003 books, Children's books, Johannes Vermeer
Great Wall of China	World Heritage Sites in China, Buildings and structures in China, Defensive walls
Amazon River	Rivers of Brazil, Rivers of Colombia, Rivers of Peru
Pyramid	Pyramids
Care Bears	Toys, Animated television series
Bolzano	Capital cities in Italy, Cities in Trentino-Alto Adige/Südtirol
Flubber	1997 movies, English-language movies, Disney movies
Mary Wollstonecraft	1759 births, 1797 deaths, British feminists, Deaths from blood clot, Deaths from sepsis, English novelists, Writers from London
Isle of Wight	Isle of Wight, Ceremonial counties of England, Unitary authorities
Alzheimer's disease	Diseases, Dementia
Elaine Paige	1948 births, Living people, Actors from Hertfordshire, English singers, English stage actors, English television actors, Musical theater actors, Musicians from Hertfordshire
Marti Webb	1944 births, Living people, English stage actors, English singers, Musical theater actors
Yahtzee	Dice games
Tim Rice	1944 births, Living people, English songwriters, Grammy Award winners, Emmy Award winners, Tony Award winners, Best Original Song Academy Award-winning songwriters
Evita (musical)	1970s musicals, Musicals by Andrew Lloyd Webber, Musicals by Tim Rice, Tony Award winning musicals, Laurence Olivier Award winning musicals, Broadway musicals, West End musicals, Musicals adapted to movies
March 8	Days of the year
Sunset Boulevard (movie)	1950 movies, United States National Film Registry movies, English-language movies, Movies directed by Billy Wilder
September 26	Days of the year
1785	1785
Molière	1622 births, 1673 deaths, Actors from Paris, French playwrights, Writers from Paris, Pen names, Burials at Père Lachaise Cemetery
Sealand	Unrecognized countries, Micronations
Sticky note	Technology
Advertisement	Basic English 850 words
Becker (TV series)	American sitcoms, 1998 American television series debuts, CBS network shows, 2004 American television series endings, English-language television programs
Ted Danson	1947 births, Living people, Actors from Arizona, Actors from San Diego, California, American movie actors, American movie producers, American television actors, American television producers, American voice actors, Emmy Award winning actors, Golden Globe Award winning actors, Flagstaff, Arizona
Digital camera	Cameras, Electronics, Data input
Cheers	1982 television series debuts, 1993 television series endings, 1980s American sitcoms, 1990s American sitcoms, Boston, Massachusetts in fiction, NBC network shows, Television series set in Massachusetts, Emmy Award winning programs, English-language television programs
Jackie Chan Adventures	Animated television series, Kids WB series, English-language television programs, 2000 television series debuts, 2005 television series endings
Stapler	Tools
Pixar	Pixar
Finding Nemo	2003 comedy movies, 2003 animated movies, 2000s computer-animated movies, 2000s buddy movies, 2012 3D movies, American animated movies, American buddy movies, American comedy movies, American family movies, Buddy comedy movies, Disney animated movies, English-language movies, Finding Nemo, Movies about fish, Movies set in Australia, Movies that won the Best Animated Feature Academy Award, 3D re-releases, Movies directed by Andrew Stanton
Fibonacci	1170s births, 1250 deaths, Italian mathematicians, People from Pisa
Richard Stallman	1953 births, Living people, American computer scientists, Scientists from New York City, American bloggers
National Hockey League	National Hockey League, 1917 establishments in North America
Isaac Asimov	1919 births, 1920 births, 1992 deaths, American atheists, American biochemists, Columbia University alumni, Deaths from AIDS, Jewish American writers, Writers from New York City, Scientists from New York, Isaac Asimov
November 13	Days of the year
1980	1980
1936	1936
March 5	Days of the year
1963	1963
April 17	Days of the year
April 14	Days of the year
1977	1977
March 24	Days of the year
May 12	Days of the year
1907	1907
December 18	Days of the year
June 4	Days of the year
November 12	Days of the year
September 14	Days of the year
July 30	Days of the year
September 28	Days of the year
February 6	Days of the year
1911	1911
March 29	Days of the year
January 15	Days of the year
May 19	Days of the year
February 24	Days of the year
1962	1962
Evolution	Evolution
December 31	Days of the year
December 25	Days of the year
1937	1937
Bedfordshire	Bedfordshire, Ceremonial counties of England
March 26	Days of the year
March 20	Days of the year
October 8	Days of the year
October 28	Days of the year
American football	American football
The Ugly Duckling	Fairy tales, Works by Hans Christian Andersen
General relativity	Basic physics ideas, Relativity, Albert Einstein
Rutland	Rutland, Ceremonial counties of England, Unitary authorities
1943	1943
Adlai Stevenson I	1835 births, 1914 deaths, Politicians from Kentucky, United States representatives from Illinois, US Democratic Party politicians, 19th-century American politicians, Grover Cleveland
Toledo, Ohio	Toledo, Ohio, County seats in Ohio, 1883 establishments in the United States, 19th-century establishments in Ohio
The Carpenters	1969 establishments in the United States, 1960s American music groups, 1970s American music groups, 1980s American music groups, American pop music groups, American rock bands, Musical duos, Musical groups disestablished in 1983, Musical groups established in 1969, Musical groups from Los Angeles, California, People from Downey, California, 1983 disestablishments in the United States, 1960s establishments in California, 1980s disestablishments in California
Jerry Reed	1937 births, 2008 deaths, American movie actors, Country musicians, Actors from Atlanta, Georgia, Singers from Atlanta, Georgia
1990	1990
Bee Gees	1958 establishments in Australia, 1950s music groups, 1960s music groups, 1970s music groups, 1980s music groups, 1990s music groups, 2000s music groups, 2010s music groups, Australian pop music groups, Disco groups, Grammy Award winners, Musical groups disestablished in 2012, Musical groups established in 1958, Musical groups from Queensland, Pop music groups, Rock and Roll Hall of Fame inductees, Rock bands, Soul bands, 2010s disestablishments in Australia, Warner Bros. Records artists
Improverts	Comedy, Scottish entertainers, Edinburgh
Taipei 101	2004 establishments in Asia, Buildings and structures completed in the 21st century, Buildings and structures in Taiwan, Skyscrapers, Taipei, 2000s establishments in Taiwan, Towers in Asia
September 1	Days of the year
1946	1946
December 11	Days of the year
February 4	Days of the year
Sergio Aragonés	Cartoonists, Spanish people, 1937 births, Living people
Lisa Bonet	1967 births, Living people, American movie actors, American television actors, Actors from San Francisco, American Jews, African American actors, Jewish American actors
Tobacco	Smoking, Carcinogens, Tobacco
Jerusalem	Jerusalem, Arab–Israeli conflict
Rocky Mountains	Mountains of the United States, Western United States, Mountains of Canada
Brooklyn	County seats in New York, Brooklyn, 1634 establishments in North America, 1630s establishments in the Thirteen Colonies, 17th-century establishments in New York
Cornish language	Celtic languages, Cornwall, Languages of Europe
Watergate scandal	1970s crimes, 1970s in the United States, Burglary, Watergate scandal
La Liga Filipina	Philippines, 1982 establishments in Asia, 1980s establishments in the Philippines
March 31	Days of the year
September 29	Days of the year
1938	1938
1865	1865
Elton John	1947 births, Brit Award winners, Commanders of the Order of the British Empire, Grammy Award winners, Living people, English LGBT people, English pianists, English rock musicians, English rock singers, English singer-songwriters, Gay men, LGBT musicians, Musicians from London, Musicians from Middlesex, Singers from London, Best Original Song Academy Award-winning songwriters, Companions of Honour
The Who	1964 establishments in the United Kingdom, 1960s British music groups, 1970s British music groups, 1980s British music groups, 1990s British music groups, 2000s British music groups, 2010s British music groups, English rock bands, Musical groups established in 1964, Musical groups from London, Warner Bros. Records artists
Led Zeppelin	1968 establishments in England, Musical groups disestablished in 1980, 1960s British music groups, 1970s British music groups, 1980s British music groups, English hard rock bands, English heavy metal bands, Kennedy Center honorees, Led Zeppelin, Musical groups established in 1968, Musical groups from London, 1980s disestablishments in England
USB flash drive	Storage devices
Ostrich	Ratites, Struthioniformes
Shark	Sharks
Vulture	Vultures
Eagle	Accipitriformes, Birds of Africa
Falcon	Falconiformes
Islington	London Borough of Islington
1976	1976
Sirindhorn International Institute of Technology	Colleges and universities in Thailand, 1992 establishments in Asia, 20th century establishments in Thailand
Ainu people	Ethnic groups in Japan
Iliad	Greek mythology, Classical Greek literature, Epic poems
Drug	Drugs
Bill Watterson	1958 births, Living people, American cartoonists, American comics artists
Centimetre	Units of length, SI units
July 5	Days of the year
Marilyn Manson (band)	1989 establishments in the United States, 1980s American music groups, 1980s establishments in Florida, 1990s American music groups, 2000s American music groups, 2010s American music groups, American heavy metal bands, Fort Lauderdale, Florida, Musical groups established in 1989, Musical groups from Florida
Aubrey Beardsley	1872 births, 1898 deaths, English artists, People from Sussex, British illustrators
Odyssey	Greek mythology, Classical Greek literature, Epic poems
Mae West	1893 births, 1980 deaths, Deaths from stroke, Deaths from pneumonia, Deaths from diabetes, Actors from New York City, American movie actors, American radio actors
Lenny Bruce	1925 births, 1966 deaths, American Jews, American stand-up comedians, Comedians from New York, Drug-related accidental deaths in the United States
August 8	Days of the year
Kimchi	Korean food
Robert Altman	Actors from Kansas City, Missouri, American movie actors, American television directors, American television producers, American television writers, BAFTA Award winning directors, Cancer deaths in Los Angeles, Deaths from leukemia, Emmy Award winning directors, Golden Globe Award winning directors, Movie directors from Missouri, Movie producers from Missouri, Screenwriters from Missouri, 1925 births, 2006 deaths
Vietnam Veterans Memorial	Buildings and structures in Washington, D.C., Military monuments and memorials in the United States, Vietnam War, National Memorials of the United States
Maya Lin	American architects, 1959 births, Living people
Manslaughter	Manslaughter
Bangkok	Bangkok, 1782 establishments, Establishments in Thailand, 1780s establishments in Asia
1971	1971
1987	1987
Silicosis	Diseases
Torquay	Torquay
Andrew Sachs	1930 births, 2016 deaths, Actors from Berlin, Actors from London, British movie actors, British television actors, British voice actors, Deaths from vascular dementia, Disease-related deaths in London, German Jews, Jewish British actors, Naturalised citizens of the United Kingdom
The Seven Samurai	1954 movies, Japanese movies, Japanese-language movies, Movies directed by Akira Kurosawa
Vacuum tube	Electronic components
Tupac Shakur	Actors from New York City, African American actors, African American musicians, American movie actors, American people convicted of assault, American rap musicians from New York, American sex offenders, American television actors, Criminals from New York City, Murdered African-American people, Murdered criminals, Murdered musicians, Murders by firearm in the United States, Singers from New York City, Tupac Shakur, Unsolved murders in the United States, 1971 births, 1996 deaths
Skagerrak	Seas of the Atlantic Ocean
Kattegat	Seas
Baltic Sea	Seas of the Atlantic Ocean, Bodies of water of Europe, Baltic states
Scandinavia	Peninsulas, Regions of Europe
Minerva cars	Automobiles
April 8	Days of the year
1324	1324
E. B. White	1899 births, 1985 deaths, Writers from New York, Pulitzer Prize winners, People from Mount Vernon, New York, American children's writers, American journalists, American novelists, American poets, American screenwriters, Cornell University alumni, Deaths from Alzheimer's disease, Disease-related deaths in Maine, Presidential Medal of Freedom recipients
Raffles Institution	Schools in Singapore
Archipelago	Archipelagos
Baltic states	Baltic states
Topography	Physical geography
Bornholm	Islands of Denmark
Budapest	Budapest, 1873 establishments in Europe, Establishments in Hungary
Santa Monica, California	Santa Monica, California
Kuwait	Former protectorates, Kuwait, Current monarchies, Members of the Organisation of Islamic Cooperation
Tiny Tim	singers from New York City, musicians from New York City, Deaths from myocardial infarction, 1932 births, 1996 deaths, Baritones
Kelvin	SI units, Units of temperature
Tourism	Tourism
Berkshire	Berkshire, Ceremonial counties of England
Buckinghamshire	Buckinghamshire, Ceremonial counties of England
Computer monitor	Display technology
December 3	Days of the year
Diameter	Geometry
1958	1958
1921	1921
1892	1892
1904	1904
1951	1951
1642	1642
1745	1745
1813	1813
1838	1838
1940	1940
1942	1942
Dominica	Caribbean Community, Dominica, 1978 establishments in North America
1923	1923
1926	1926
1931	1931
404	404
1438	1438
1651	1651
Playing card	Card games
Emperor	Emperors and empresses
Palmdale, California	Cities in California, Settlements in Los Angeles County, California
Fresno, California	Cities in the Central Valley of California, County seats in California, Fresno, California, 1872 establishments in the United States, 1870s establishments in California
1955	1955
Popeye	Comic books, Comics characters
Astrophysics	Astrophysics
Word order	Grammar
George H. W. Bush	1924 births, 2018 deaths, George H. W. Bush, 1980 United States presidential candidates, 1988 United States presidential candidates, 1992 United States presidential candidates, 20th-century American politicians, American lawyers, Bush family, Businesspeople from Massachusetts, Businesspeople from Texas, Deaths from Parkinson's disease, Directors of the Central Intelligence Agency, Episcopalians, Honorary Knights Grand Cross of the Order of the Bath, People from Milton, Massachusetts, Politicians from Massachusetts, Time People of the Year, United States Ambassadors to the United Nations, United States representatives from Texas, US Republican Party politicians
Ohio	Ohio, 1803 establishments in the United States
Principle of relativity	Relativity
Special relativity	Relativity, Albert Einstein, Basic physics ideas
1964	1964
1894	1894
587	587
September 7	Days of the year
1191	1191
1539	1539
May 30	Days of the year
1431	1431
1574	1574
1984	1984
1985	1985
1986	1986
August 12	Days of the year
1918	1918
Wombat	Diprotodonts, Marsupials of Australia
January 10	Days of the year
N.C. Wyeth	1882 births, 1945 deaths, Accidental deaths in Pennsylvania, American illustrators, American painters, People from Massachusetts
Turkey (bird)	Turkeys, Birds of North America
Arachnology	Branches of zoology
Alabama	Alabama, 1819 establishments in the United States
Arizona	Arizona, 1912 establishments in the United States
Bolivia	Bolivia, Spanish-speaking countries, 1825 establishments in South America
Massachusetts	Massachusetts, 1788 establishments in the United States
Tallahassee, Florida	Tallahassee, Florida, County seats in Florida, State capitals in the United States, 1824 establishments in Florida Territory
1227	1227
Tom Skerritt	1933 births, Living people, American movie actors, Actors from Detroit, Michigan
