Naohiro Takahara	1979 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Júbilo Iwata players, Urawa Red Diamonds players, Shimizu S-Pulse players, Tokyo Verdy players, SC Sagamihara players, 2006 FIFA World Cup players, 2003 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Saint-Germain-du-Puch	Communes in Gironde
Saint-Gervais, Gironde	Communes in Gironde
Saint-Girons-d'Aiguevives	Communes in Gironde
Saint-Hilaire-de-la-Noaille	Communes in Gironde
Saint-Hilaire-du-Bois, Gironde	Communes in Gironde
Saint-Hippolyte, Gironde	Communes in Gironde
Saint-Jean-d'Illac	Communes in Gironde
Saint-Jean-de-Blaignac	Communes in Gironde
Saint-Julien-Beychevelle	Communes in Gironde
Saint-Laurent-Médoc	Communes in Gironde
Saint-Laurent-d'Arce	Communes in Gironde
Saint-Laurent-des-Combes, Gironde	Communes in Gironde
Saint-Laurent-du-Bois	Communes in Gironde
Saint-Laurent-du-Plan	Communes in Gironde
Saint-Loubert	Communes in Gironde
Saint-Loubès	Communes in Gironde
Saint-Louis-de-Montferrand	Communes in Gironde
Saint-Léger-de-Balson	Communes in Gironde
Saint-Léon, Gironde	Communes in Gironde
Saint-Macaire	Communes in Gironde
Saint-Magne	Communes in Gironde
Saint-Magne-de-Castillon	Communes in Gironde
Saint-Maixant, Gironde	Communes in Gironde
Saint-Mariens	Communes in Gironde
Saint-Martial, Gironde	Communes in Gironde
Saint-Martin-Lacaussade	Communes in Gironde
Saint-Martin-de-Laye	Communes in Gironde
Saint-Martin-de-Lerm	Communes in Gironde
Saint-Martin-de-Sescas	Communes in Gironde
Saint-Martin-du-Bois, Gironde	Communes in Gironde
Saint-Martin-du-Puy, Gironde	Communes in Gironde
Saint-Michel-de-Castelnau	Communes in Gironde
Saint-Michel-de-Fronsac	Communes in Gironde
Saint-Michel-de-Lapujade	Communes in Gironde
Saint-Michel-de-Rieufret	Communes in Gironde
Saint-Morillon	Communes in Gironde
Saint-Médard-d'Eyrans	Communes in Gironde
Saint-Médard-de-Guizières	Communes in Gironde
Saint-Médard-en-Jalles	Communes in Gironde
Saint-Palais, Gironde	Communes in Gironde
Saint-Pardon-de-Conques	Communes in Gironde
Saint-Paul, Gironde	Communes in Gironde
Saint-Pey-d'Armens	Communes in Gironde
Saint-Pey-de-Castets	Communes in Gironde
Saint-Philippe-d'Aiguille	Communes in Gironde
Saint-Philippe-du-Seignal	Communes in Gironde
Saint-Pierre-d'Aurillac	Communes in Gironde
Saint-Pierre-de-Bat	Communes in Gironde
Saint-Pierre-de-Mons	Communes in Gironde
Saint-Quentin-de-Baron	Communes in Gironde
Saint-Quentin-de-Caplong	Communes in Gironde
Saint-Romain-la-Virvée	Communes in Gironde
Saint-Sauveur, Gironde	Communes in Gironde
Saint-Sauveur-de-Puynormand	Communes in Gironde
Saint-Savin, Gironde	Communes in Gironde
Saint-Selve	Communes in Gironde
Saint-Seurin-de-Bourg	Communes in Gironde
Saint-Seurin-de-Cadourne	Communes in Gironde
Saint-Seurin-de-Cursac	Communes in Gironde
Saint-Seurin-sur-l'Isle	Communes in Gironde
Saint-Sulpice-de-Faleyrens	Communes in Gironde
Saint-Sulpice-de-Guilleragues	Communes in Gironde
Saint-Sulpice-de-Pommiers	Communes in Gironde
Saint-Sulpice-et-Cameyrac	Communes in Gironde
Saint-Symphorien, Gironde	Communes in Gironde
Saint-Sève	Communes in Gironde
Saint-Trojan	Communes in Gironde
Saint-Vincent-de-Paul, Gironde	Communes in Gironde
Saint-Vincent-de-Pertignas	Communes in Gironde
Saint-Vivien-de-Blaye	Communes in Gironde
Saint-Vivien-de-Monségur	Communes in Gironde
Saint-Vivien-de-Médoc	Communes in Gironde
Saint-Yzan-de-Soudiac	Communes in Gironde
Saint-Yzans-de-Médoc	Communes in Gironde
Saint-Émilion	Communes in Gironde, World Heritage Sites in France
Saint-Étienne-de-Lisse	Communes in Gironde
Sainte-Colombe, Gironde	Communes in Gironde
Sainte-Croix-du-Mont	Communes in Gironde
Sainte-Eulalie, Gironde	Communes in Gironde
Sainte-Florence, Gironde	Communes in Gironde
Sainte-Foy-la-Grande	Communes in Gironde
Sainte-Foy-la-Longue	Communes in Gironde
Sainte-Gemme, Gironde	Communes in Gironde
Sainte-Hélène, Gironde	Communes in Gironde
Sainte-Radegonde, Gironde	Communes in Gironde
Sainte-Terre	Communes in Gironde
Salaunes	Communes in Gironde
Salignac, Gironde	Former communes in Gironde
Sallebœuf	Communes in Gironde
Salles, Gironde	Communes in Gironde
Samonac	Communes in Gironde
Saucats	Communes in Gironde
Saugon	Communes in Gironde
Saumos	Communes in Gironde
Sauternes	Communes in Gironde
Sauveterre-de-Guyenne	Communes in Gironde
Sauviac, Gironde	Communes in Gironde
Savignac, Gironde	Communes in Gironde
Savignac-de-l'Isle	Communes in Gironde
Semens	Communes in Gironde
Sendets, Gironde	Communes in Gironde
Sigalens	Communes in Gironde
Sillas	Communes in Gironde
Soulac-sur-Mer	Communes in Gironde
Soulignac	Communes in Gironde
Soussac	Communes in Gironde
Soussans	Communes in Gironde
Tabanac	Communes in Gironde
Taillecavat	Communes in Gironde
Talais	Communes in Gironde
Talence	Communes in Gironde
Targon	Communes in Gironde
Tarnès	Communes in Gironde
Tauriac, Gironde	Communes in Gironde
Tayac	Communes in Gironde
Teuillac	Communes in Gironde
Tizac-de-Curton	Communes in Gironde
Tizac-de-Lapouyade	Communes in Gironde
Toulenne	Communes in Gironde
Tresses	Communes in Gironde
Uzeste	Communes in Gironde
Valeyrac	Communes in Gironde
Vayres	Communes in Gironde
Vendays-Montalivet	Communes in Gironde
Vensac	Communes in Gironde
Verdelais	Communes in Gironde
Vertheuil	Communes in Gironde
Vignonet	Communes in Gironde
Villandraut	Communes in Gironde
Villegouge	Communes in Gironde
Villenave-d'Ornon	Communes in Gironde
Villenave-de-Rions	Communes in Gironde
Villeneuve, Gironde	Communes in Gironde
Virelade	Communes in Gironde
Virsac	Communes in Gironde
Vérac	Communes in Gironde
Yvrac	Communes in Gironde
Étauliers	Communes in Gironde
Bonzac	Communes in Gironde
Bonnetan	Communes in Gironde
Bommes	Communes in Gironde
Blésignac	Communes in Gironde
Blaye	Subprefectures in France, Communes in Gironde
Blasimon	Communes in Gironde
Blanquefort, Gironde	Communes in Gironde
Blaignan	Former communes in Gironde
Blaignac	Communes in Gironde
Birac, Gironde	Communes in Gironde
Biganos	Communes in Gironde
Bieujac	Communes in Gironde
Beychac-et-Caillau	Communes in Gironde
Berthez	Communes in Gironde
Berson, Gironde	Communes in Gironde
Bernos-Beaulac	Communes in Gironde
Belvès-de-Castillon	Communes in Gironde
Bellefond, Gironde	Communes in Gironde
Bellebat	Communes in Gironde
Belin-Béliet	Communes in Gironde
Beautiran	Communes in Gironde
Bazas	Communes in Gironde
Bayon-sur-Gironde	Communes in Gironde
Bayas	Communes in Gironde
Baurech	Communes in Gironde
Bassens, Gironde	Communes in Gironde
Bassanne	Communes in Gironde
Barsac, Gironde	Communes in Gironde
Baron, Gironde	Communes in Gironde
Barie	Communes in Gironde
Balizac	Communes in Gironde
Baigneaux, Gironde	Communes in Gironde
Bagas, Gironde	Communes in Gironde
Ayguemorte-les-Graves	Communes in Gironde
Avensan	Communes in Gironde
Auros	Communes in Gironde
Auriolles	Communes in Gironde
Audenge	Communes in Gironde
Aubie-et-Espessas	Former communes in Gironde
Aubiac, Gironde	Communes in Gironde
Asques, Gironde	Communes in Gironde
Arès	Communes in Gironde
Arveyres	Communes in Gironde
Artigues-près-Bordeaux	Communes in Gironde
Arsac	Communes in Gironde
Arcins	Communes in Gironde
Arcachon	Subprefectures in France, Communes in Gironde
Arbis	Former communes in Gironde
Arbanats	Communes in Gironde
Anglade	Communes in Gironde
Andernos-les-Bains	Communes in Gironde
Ambès	Communes in Gironde
Ambarès-et-Lagrave	Communes in Gironde
Aillas	Communes in Gironde
Abzac, Gironde	Communes in Gironde
Simon & Schuster	Publishing companies of the United States, 1924 establishments in the United States
Mount Scenery	Volcanoes of North America, Saba
Saltwater crocodile	Reptiles of Australia, Crocodilia
Dildo, Newfoundland and Labrador	Towns in Newfoundland and Labrador
Sphinginae	Sphinginae
Furcula furcula	Moths
ICD	Diseases, Health problems, Medical manuals
Software agent	Software
List of ICD-10 codes	Medical manuals, Disease-related lists, Diseases and disorders
Barn swallow	Passeriformes
Red-crowned crane	Cranes
Yasuhiko Okudera	1952 births, Living people, Footballers from Akita Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, JEF United Chiba players
Hans Ooft	1947 births, Living people, Dutch football managers, Dutch footballers, Japan national football team managers, Sportspeople from Rotterdam
Ruy Ramos	1957 births, Living people, Brazilian-Japanese footballers, Japan international footballers, Japanese football managers, J1 League players, Japan Soccer League players, Tokyo Verdy players, Kyoto Sanga FC players, 1995 King Fahd Cup players, 1992 AFC Asian Cup players, AFC Asian Cup-winning players
Sergio Echigo	1945 births, Living people, Brazilian footballers
Takashi Mizunuma	1960 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, Japanese football managers, J1 League players, Japan Soccer League players, Yokohama F. Marinos players
Sota Hirayama	1985 births, Living people, Footballers from Fukuoka Prefecture, Japan international footballers, J1 League players, J2 League players, FC Tokyo players, Vegalta Sendai players, Footballers at the 2004 Summer Olympics
Guti	1976 births, Living people, Spanish footballers, Spanish football managers
Alessandro Nesta	1976 births, Living people, Italian footballers, Italian football managers, Sportspeople from Rome
Shu Kamo	1939 births, Living people, Footballers from Hyōgo Prefecture, Japanese football managers, Japan Soccer League players, Cerezo Osaka players, Japan national football team managers
Ahn Jung-hwan	1976 births, Living people, South Korean footballers
Pavel Nedvěd	1972 births, Living people, Czech footballers
Marcus Tulio Tanaka	1981 births, Living people, Brazilian-Japanese footballers, Japan international footballers, J1 League players, J2 League players, Sanfrecce Hiroshima players, Mito HollyHock players, Urawa Red Diamonds players, Nagoya Grampus players, Kyoto Sanga FC players, 2010 FIFA World Cup players, Footballers at the 2004 Summer Olympics
İlhan Mansız	1975 births, Living people, Turkish footballers
Masakiyo Maezono	1973 births, Living people, Footballers from Kagoshima Prefecture, Japan international footballers, J1 League players, J2 League players, Yokohama Flügels players, Tokyo Verdy players, Shonan Bellmare players, Footballers at the 1996 Summer Olympics, 1996 AFC Asian Cup players
Akihiro Nagashima	1964 births, Living people, Footballers from Hyōgo Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Gamba Osaka players, Shimizu S-Pulse players, Vissel Kobe players
Roque Santa Cruz	1981 births, Living people, Paraguayan footballers, People from Asunción
Cafu	1970 births, Living people, Association football defenders, Association football full-backs, Brazilian footballers
Gary Kelly	1974 births, Living people, Irish footballers, People from County Louth
Luis Hernández	1968 births, Living people, Mexican footballers, People from Veracruz
Eric Walter Elst	1936 births, Living people, Asteroid discoverers, Belgian astronomers, People from Antwerp (province)
Crasna, Gorj	Communes in Gorj County
Albeni	Communes in Gorj County
Aninoasa, Gorj	Communes in Gorj County
Natural gas vehicle	Green vehicles
Bustuchin	Communes in Gorj County
Gary Neville	1975 births, Living people, English footballers, Manchester United F.C. players, People from Bury, Sportspeople from Greater Manchester, Premier League players
Michael Carrick	1981 births, Living people, English footballers, Manchester United F.C. players, Tottenham Hotspur F.C. players, People from Newcastle upon Tyne, Sportspeople from Tyne and Wear, Premier League players
Phil Neville	1977 births, Living people, English footballers, English football managers, Manchester United F.C. players, People from Bury, Sportspeople from Greater Manchester, Premier League players
Paul Scholes	1974 births, Living people, English footballers, Sportspeople from Greater Manchester, Premier League players
Ashley Cole	1980 births, Living people, Association football defenders, Association football full-backs, Black British sportspeople, Arsenal F.C. players, Chelsea F.C. players, Crystal Palace F.C. players, English footballers, Sportspeople from London, Premier League players
Jamie Carragher	1978 births, Living people, English footballers, Sportspeople from Merseyside, Premier League players
Ledley King	1980 births, Living people, English footballers, Sportspeople from London, Tottenham Hotspur F.C. players, Premier League players
Cadgwith	Villages in Cornwall
Serial number	Numbers
Socorro, New Mexico	County seats in New Mexico, Cities in New Mexico
