Blood sugar	Health, Blood
Exodus (band)	Musical groups established in 1980, 1980s establishments in California, 1980 establishments in the United States, 1980s American music groups, Musical groups disestablished in 1993, 1990s disestablishments in California, 1993 disestablishments in the United States, Musical groups established in 1997, 1997 establishments in California, Musical groups disestablished in 1998, 1998 disestablishments in the United States, 1990s American music groups, 2000s American music groups, Musical groups established in 2001, 2001 establishments in California, 2010s American music groups, Thrash metal bands, Musical groups from California, Richmond, California
Aozora Bunko	Organisations based in Japan, Websites
Prunus japonica	Plants of Asia, Prunus
Delta Force	Special Forces, United States Army, 1977 establishments in the United States
Basal ganglia	Anatomy of the brain
William H. Seward	1801 births, 1872 deaths, Deaths from respiratory failure, American abolitionists, Governors of New York, American lawyers, United States Secretaries of State, United States senators from New York, US Republican Party politicians, Crime victims, Politicians from New York, Whig party (US) politicians
Rosalind Franklin	1920 births, 1958 deaths, Alumni of the University of Cambridge, Cancer deaths in London, Deaths from ovarian cancer, English biologists, Female scientists, Jewish British academics, Jewish British scientists, Notting Hill, Scientists from London
Echo and Narcissus	Greek mythology
Laplace's equation	Physics, Partial differential equations
Gene Tierney	Actors from New York City, American autobiographers, American movie actors, American stage actors, American television actors, Deaths from emphysema, People with bipolar disorder, 1920 births, 1991 deaths
Thalamus	Anatomy of the brain, Neuroscience
Saint Vitus (band)	American heavy metal bands, Doom metal bands, 1970s American music groups, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups
Chris Gayle	Jamaican sportspeople, 1979 births, Living people, West Indies cricketers
Fates Warning	American heavy metal bands, Power metal bands, Progressive metal bands, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, Hartford, Connecticut, Musical groups established in 1982, 1982 establishments in the United States, 20th-century establishments in Connecticut
Province of Concepción, Chile	Provinces of Chile
Psychological warfare	War, Psychology
Ranidae	Frogs
Black Butler	Manga, 2006 establishments
Australian green tree frog	Animals of Australia, Frogs
Tympanic membrane	Head (body part)
Viperinae	Vipers
National Hot Rod Association	Auto racing, Sports organizations of the United States, 1951 establishments in North America
Enbun	Japanese eras, 1356 establishments, 1350s establishments in Japan, 1361 disestablishments, 1360s disestablishments in Japan
Coldplay discography	Coldplay, Discographies
2010 Stanley Cup Finals	Ice hockey competitions, Stanley Cup Finals, 2010 in ice hockey, Chicago Blackhawks, Philadelphia Flyers, 2010 in Illinois, 2010s in Chicago, 2010s in Pennsylvania
Barred Antshrike	Passeriformes
Great Britain Olympic football team	Sport in the United Kingdom, National football teams
Olympic rings	Olympic Games, Symbols
Litoria	Frogs
Magnificent tree frog	Animals of Australia, Frogs
White-lipped tree frog	Frogs
Medium (TV series)	2005 American television series debuts, 2011 American television series endings, 2000s American drama television series, 2000s crime television series, 2000s mystery television series, 2010s American crime television series, 2010s American drama television series, 2010s mystery television series, American crime drama television series, American mystery television series, Phoenix, Arizona in fiction, English-language television programs
Jamestown, North Dakota	Cities in North Dakota, County seats in North Dakota
21 (album)	2011 albums, Adele albums, Pop albums, Soul albums, R&B albums
The Buggles	1977 establishments in the United Kingdom, 1981 disestablishments, 1970s British music groups, 1980s British music groups, 1980s disestablishments in the United Kingdom, English pop music groups, Musical duos, Musical groups disestablished in 1981, Musical groups established in 1977, Musical groups from London
Crossover thrash	Heavy metal subgenres, Punk rock, Hardcore punk
Excel (band)	1980s American music groups, 1990s American music groups, 2010s American music groups, American heavy metal bands, American punk bands, Thrash metal bands, Musical groups from Los Angeles, California
Suicidal Tendencies	1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American heavy metal bands, American punk bands, Thrash metal bands, Musical groups from Los Angeles, California
Ash-throated antwren	Passeriformes
Jōji	Japanese eras, 1362 establishments, 1360s establishments in Japan, 1368 disestablishments, 1360s disestablishments in Japan
Yapacana Antbird	Passeriformes
Ōan	Japanese eras, 1368 establishments, 1360s establishments in Japan, 1375 disestablishments, 1370s disestablishments in Japan
Gérard Rozenknop	1950 births, Living people, Alumni of the École nationale de l'aviation civile, French aviators, Heads of the French Civil Aviation University, Alumni of the École Polytechnique
Eiwa	Japanese eras, 1375 establishments, 1370s establishments in Japan, 1379 disestablishments, 1370s disestablishments in Japan
Crotalinae	Vipers
Guaviare River	Rivers of Colombia
Litovel	Towns in the Czech Republic
Ohio Valley Wrestling	1997 establishments in the United States, Louisville, Kentucky, Professional wrestling promotions, 20th-century establishments in Kentucky
Kōryaku	Japanese eras, 1379 establishments, 1370s establishments in Japan, 1381 disestablishments, 1380s disestablishments in Japan
Eitoku	Japanese eras, 1381 establishments, 1380s establishments in Japan, 1384 disestablishments, 1380s disestablishments in Japan
National Archives of Japan	National archives in Asia, Buildings and structures in Tokyo, Independent Administrative Institutions of Japan
Four temperaments	Psychology, Human behavior
Ida Rubinstein	1885 births, 1960 deaths, Bisexual Jews, French ballet dancers, French Jews, French LGBT people, French Roman Catholics, Jewish entertainers, LGBT dancers, Refugees from Nazism, Russian ballerinas, Russian Jews, Russian LGBT people, Ukrainian Jews
Richard Tsien	Chinese scientists, 1945 births, Living people, American biologists, Massachusetts Institute of Technology alumni
Contemporary R&B	R&B music
Guy du Merle	1908 births, 1993 deaths, Alumni of the École Polytechnique, French aviators, French writers, Heads of the French Civil Aviation University, People from Toulon, Writers from Provence-Alpes-Cote d'Azur
Trey Lorenz	1969 births, Living people, Singers from South Carolina, American R&B singers, African American musicians
Gordian knot	Greek mythology, Metaphors, Puzzles
Top 40	Pop music, Record charts
American Society of Composers, Authors and Publishers	American music, Organizations based in the United States
Sudden infant death syndrome	Syndromes, Death, Babies
TLC (group)	1990 establishments in the United States, 1990s American music groups, 2000s American music groups, 2010s American music groups, African-American musical groups, American girl groups, American pop music groups, American R&B bands, Grammy Award winners, Musical duos, Musical groups from Atlanta, Georgia, TLC
Ali-Ollie Woodson	1951 births, 2010 deaths, Deaths from throat cancer, African American musicians, American soul musicians, Musicians from Detroit, Michigan, Deaths from leukemia
My Heart Will Go On	1997 songs, Best Original Song Academy Award-winning songs, Celine Dion songs
Tokio Hot 100	Japanese music, Record charts
Helmet (band)	1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, Alternative metal bands, Post-hardcore bands, Musical groups from New York
Kyuss	1980s American music groups, 1990s American music groups, 2010s American music groups, American heavy metal bands, Musical groups from California
Spock	Star Trek: The Original Series characters, Fictional characters introduced in 1966
Anting	Birds
Bug spray	Insects, Poisons
Epigynum	Spiders, Anatomy of the female reproductive system
Fang	Teeth, Animal anatomy
Woke Up This Morning	1997 songs
Crafoord Prize	Science awards, 1980 establishments
David Petraeus	Directors of the Central Intelligence Agency, 1952 births, Living people, American generals, People from New York
Leon Panetta	1938 births, Living people, Directors of the Central Intelligence Agency, White House Chiefs of Staff, Directors of the Office of Management and Budget, United States Secretaries of Defense, Politicians from California, American military people, US Democratic Party politicians
April Bowlby	American television actors, 1980 births, Living people, Actors from California, Vallejo, California
Denton Burn	Newcastle, Tyne and Wear
WWE Hall of Fame	1993 establishments, Sports halls of fame, WrestleMania, WWE Hall of Fame
Crop protection	Agriculture
Leeds Trinity University College	Colleges and universities in England, Leeds
Batasuna	Political parties in Spain, Political parties in France, Nationalist organizations in Europe, 2013 disestablishments in Europe, 1978 establishments in Europe, 1970s establishments in Spain
Simon Amstell	Actors from London, Comedians from London, English LGBT people, English television actors, English television presenters, English television writers, Gay Jews, Jewish British actors, Jewish British writers, Jewish comedians, LGBT actors, LGBT broadcasters, LGBT comedians, LGBT writers, People from Redbridge (London borough), Writers from London, 1979 births, Living people
Laboratory for analysis and architecture of systems	Research, Toulouse, Laboratory equipment
Irgun	1931 establishments, 1948 disestablishments, Nationalist organizations in Palestine, National liberation movements, Terrorism, Zionism, Arab–Israeli conflict, 20th century in Israel, History of Palestine
Would I Lie to You? (TV series)	2007 British television series debuts, 2000s British television series, 2010s British television series, BBC Television programmes, British comedy television series, British television game shows, Panel games, English-language television programs
Potentiometer	Electronic components
Supélec	Technical colleges and universities in France, 1894 establishments in Europe, 1890s establishments in France
Shitoku	Japanese eras, 1384 establishments, 1380s establishments in Japan, 1387 disestablishments, 1380s disestablishments in Japan
Electrical filament	Electricity
Kakei	Japanese eras, 1387 establishments, 1380s establishments in Japan, 1389 disestablishments, 1380s disestablishments in Japan
Kōō (Nanboku-chō period)	Japanese eras, 1389 establishments, 1390 disestablishments, 1380s establishments in Japan, 1390s disestablishments in Japan
Meitoku	Japanese eras, 1390 establishments, 14th century establishments in Japan, 1394 disestablishments, 1390s disestablishments in Japan
Cryptopsy	Canadian death metal bands, Canadian heavy metal bands, Deathcore bands, Musical groups established in 1988, 1988 establishments in Canada
Katra	Finnish heavy metal bands, Symphonic metal bands
Mad scene	Theater, Opera
Summerland, British Columbia	Cities in British Columbia
Bruno Sammartino	1935 births, Italian people, Deaths from multiple organ failure, Disease-related deaths in Pennsylvania, 2018 deaths, Cardiovascular disease deaths in the United States, Naturalized citizens of the United States, American professional wrestlers, WWE Hall of Fame
Kemmu	Japanese eras, 1330s establishments in Japan, 1330s disestablishments in Japan, 1334 establishments, 1338 disestablishments
Japan Oil, Gas and Metals National Corporation	Independent Administrative Institutions of Japan
Elector of the Palatinate	Electors and Electresses
Mary Cheney	1969 births, Living people, American LGBT rights activists, Businesspeople from Wisconsin, Lesbians, LGBT businesspeople, LGBT people from Wisconsin, People from Madison, Wisconsin
Shore crabs	Crustaceans
Phytosaur	Archosaurs, Triassic, Fossils
Ooooooohhh... On the TLC Tip	1992 albums, Debut albums, TLC albums, R&B albums, Hip hop albums
CrazySexyCool	1994 albums, TLC albums, R&B albums, Hip hop soul albums
FanMail	1999 albums, TLC albums
Death Proof	2007 movies, American action movies, American crime thriller movies, American serial killer movies, English-language movies, Movies directed by Quentin Tarantino, Movies set in Texas, Tennessee, American independent movies
Inglourious Basterds	2009 movies, 2000s war movies, American war movies, German movies, Movies directed by Quentin Tarantino, Movies set in Germany, Movies set in the 1940s, Multilingual movies, World War II movies, Universal Pictures movies, Movies set in Paris
Japanese Sign Language	Japanese language, Sign languages
Raging Bull	1980 drama movies, 1980s biographical movies, 1980s sports movies, American biographical movies, American drama movies, American sports movies, English-language movies, Sports drama movies, Movies directed by Martin Scorsese
Mark Spitz	1950 births, Living people, American Olympic bronze medalists, American Olympic gold medalists, American Olympic silver medalists, American swimmers, Jewish American sportspeople, Medalists at the 1968 Summer Olympics, Medalists at the 1972 Summer Olympics, Sportspeople from California
Jesse Ventura	1939 births, American military people, American movie actors, American professional wrestlers, Governors of Minnesota, Independent politicians in the United States, Living people, American political writers, American political commentators, Sportspeople from Minnesota, Writers from Minnesota, Actors from Minneapolis, Minnesota, WWE Hall of Fame
Ilya Repin	1844 births, 1930 deaths, Russian painters
Ship's bell	Navy, Bells
John Roberts (actor)	1979 births, American stand-up comedians, American voice actors, Living people, American movie actors, American television actors, American video game actors
Dan Mintz	1981 births, American stand-up comedians, American voice actors, Living people, American movie actors, American television actors, American video game actors, Actors from Alaska, People from Anchorage, Alaska
Eugene Mirman	1974 births, American stand-up comedians, American voice actors, Living people, American movie actors, American television actors, American video game actors
Kristen Schaal	1978 births, American stand-up comedians, American voice actors, Living people, American movie actors, American television actors, American video game actors, Actors from Colorado, Comedians from Colorado
Loren Bouchard	1969 births, American stand-up comedians, American voice actors, Living people, American movie actors, American television actors, American video game actors, actors from New York City, Comedians from New York City
Tony Leondis	1972 births, American stand-up comedians, American voice actors, Living people, American movie actors, American television actors, American video game actors, Actors from New York City, Comedians from New York City
New Jersey Nets	Sports in New Jersey, 1977 establishments in the United States, 1970s establishments in New Jersey, 2010s disestablishments in New Jersey
Anthony Michael Hall	1968 births, Living people, Actors from Boston, Massachusetts, American movie actors, American television actors, American television producers, Movie producers from Massachusetts
Susie Essman	1955 births, American stand-up comedians, American voice actors, Living people, American movie actors, American television actors, American video game actors, Actors from New York City, Comedians from New York City
Wing-banded Antbird	Passeriformes
Seine	Rivers of France, Île-de-France, Normandy, Bourgogne-Franche-Comté
Louie Anderson	Emmy Award winning actors, Living people, 1953 births, American game show hosts, American television personalities, American movie actors, American television actors, American stage actors, American voice actors, Actors from Minneapolis, Minnesota, Comedians from Minnesota
National Assembly of Belarus	Politics of Belarus, National legislatures
Seine department	Departments of France, 1790 establishments, 1790s establishments in France, 1968 disestablishments, 1960s disestablishments in Europe, 20th century disestablishments in France
Philip Seymour Hoffman	1967 births, 2014 deaths, Academy Award winning actors, Accidental deaths in New York City, Actors from New York, American movie actors, American stage actors, American television actors, American voice actors, BAFTA Award winning actors, Drug-related accidental deaths in the United States, Golden Globe Award winning actors, Screen Actors Guild Award winners
Pecados y Milagros	2011 albums, Lila Downs albums, Grammy Award-winning albums
Shake Away	2008 albums, Lila Downs albums
Kathryn Joosten	1939 births, 2012 deaths, Actors from Chicago, Actors from Florida, American movie actors, American television actors, American voice actors, Cancer deaths in the United States, Deaths from lung cancer, Emmy Award winning actors
Japan Atomic Energy Agency	Independent Administrative Institutions of Japan
Seven (movie)	1995 crime movies, 1995 thriller movies, 1995 horror movies, 1990s crime thriller movies, 1990s horror thriller movies, 1995 mystery movies, 1990s serial killer movies, American crime thriller movies, American horror thriller movies, American mystery movies, American serial killer movies, English-language movies, Film noir, Movies directed by David Fincher, American independent movies
Core (Stone Temple Pilots album)	1992 albums
21 Grams	2003 drama movies, American drama movies, English-language movies, Movies directed by Alejandro González Iñárritu, Suicide in fiction
Celia Cruz	1925 births, 2003 deaths, Cancer deaths in the United States, Cuban musicians, Deaths from brain cancer, Grammy Award winners, Singers from New Jersey, Latin Grammy Award winners
South West Trains	Rail transport in the United Kingdom, Post-privatisation British railway companies, Train operating companies
Island Line Trains	Rail transport in England, Isle of Wight, Train operating companies, Railway companies of the United Kingdom
London Midland	Rail transport in the United Kingdom, Post-privatisation British railway companies, Train operating companies
Heineken	Beer, Companies of the Netherlands
Chiltern Railways	Rail transport in the United Kingdom, Train operating companies, Railway companies of the United Kingdom
Heathrow Express	1998 establishments in England, Airport rail links in London
Heathrow Connect	Rail transport in London, Train operating companies, Railway companies of the United Kingdom
Abellio Greater Anglia	2012 establishments in Europe, 2010s establishments in England
Luis Miguel	1970 births, Grammy Award winners, Latin singers, Living people, Mexican movie actors, Mexican singers, People from San Juan, Puerto Rico, Latin Grammy Award winners
Maná	Grammy Award winners, Rock bands, Mexican musical groups, People from Guadalajara, Latin Grammy Award winners, Musical groups established in 1978, 1978 establishments in North America, 1970s establishments in Mexico
RBD	2000s Mexican music groups, Musical groups established in 2004, 2000s establishments in Mexico, Musical groups disestablished in 2009, 2000s disestablishments in Mexico
Thalía	1971 births, Living people, Mexican singer-songwriters, Mexican television actors, Actors from New York City, Singers from New York City, Actors from Mexico City
Olga Tañón	1967 births, Living people, Latin singers, Puerto Rican singers, Grammy Award winners, People from San Juan, Puerto Rico, Latin Grammy Award winners
Los Temerarios	Mexican musical groups, People from Zacatecas, Latin Grammy Award winners, Musical groups established in 1978, 1978 establishments in North America, 1970s establishments in Mexico
Great Lake Swimmers	2000s music groups, Musical groups established in 2003, 2010s music groups, Canadian musical groups, Indie bands, Folk music groups
Bottle tree	Trees
Principality of Polotsk	History of Belarus, 9th century establishments in Europe, 1397 disestablishments, 14th century disestablishments in Europe
Grand Duchy of Lithuania	Former empires, Former monarchies of Europe, History of Belarus, History of Lithuania, History of Poland, History of Ukraine
Kievan Rus'	Former countries in Europe, History of Belarus, History of Russia, History of Ukraine, 882 establishments
The Australian Ballet	Ballet companies, Companies of Australia
Byelorussian Soviet Socialist Republic	1920 establishments in the Soviet Union, 1991 disestablishments in the Soviet Union, History of Belarus, Republics of the Soviet Union, States and territories disestablished in the 1990s
Republics of the Soviet Union	Republics of the Soviet Union
Artillery (band)	1980s music groups, 1990s music groups, 2000s music groups, 2010s music groups, Danish heavy metal bands, Thrash metal bands
Voivod	1980s music groups, 1990s music groups, 2000s music groups, 2010s music groups, Canadian heavy metal bands, Canadian thrash metal bands, Musical groups established in 1982, 1982 establishments in Canada
Soviet invasion of Poland	1939 in Europe, 20th century in Poland, History of Belarus, Invasions of World War II, 1930s in the Soviet Union
Ukrainian Soviet Socialist Republic	20th century in Ukraine, 1919 establishments, 1991 disestablishments in the Soviet Union, Republics of the Soviet Union, Former republics, 1910s establishments in the Soviet Union
Linear Pottery culture	Archaeology, Stone Age, History of Europe
Cimmerians	Nomadic people, Indo-European, History of Europe
Varangians	Middle Ages, Germanic tribes, Nordic people
Yaroslav the Wise	History of Ukraine, 978 births, 1054 deaths, Princes and princesses, Russian royalty
Lithuanian–Belorussian Soviet Socialist Republic	Former countries in Europe, History of Belarus, History of Lithuania, 1919 establishments in Europe, 1919 disestablishments
Belarusian People's Republic	History of Belarus, Governments in exile, Former countries in Europe, 1918 establishments, 1919 disestablishments
William Haines (Australian politician)	1810 births, 1866 deaths, Premiers of Victoria, Politicians from London, People from Geelong
Polish–Soviet War	1919 in Europe, 1920 in Europe, 1921 in Europe, 20th century in Poland, 20th century in Ukraine, Russian Revolution, Wars involving Russia
West Belarus	Geography of Belarus, History of Belarus
Neman River	Lithuania, Rivers of Belarus
Pripyat River	Rivers of Ukraine, Rivers of Belarus
Dzyarzhynskaya Hara	Geography of Belarus, Hills
SMK Jalan Damai	Malaysia, Schools, 1970 establishments in Asia, 20th century establishments in Malaysia
Governor of Victoria	Governors of Victoria (Australia)
Alex Chernov	1938 births, Living people, Governors of Victoria (Australia), Australian lawyers, Australian judges, People from Melbourne
Yellow-billed magpie	Birds of the United States, Corvids
Ealing Broadway station	Ealing, Railway stations in London, 1838 establishments in the United Kingdom, 1830s establishments in England, 1879 establishments in England, 1920 establishments in the United Kingdom, 1920s establishments in England
Hayes & Harlington railway station	Railway stations in London
Heathrow Terminals 1, 2, 3 tube station	Railway stations in London
William Hogarth	English painters, Cartoonists, 1697 births, 1764 deaths, Artists from London, Engravers
Andrew Huxley	1917 births, 2012 deaths, Biophysicists, British Nobel Prize winners, Fellows of the Royal Society, Huxley family, Knights Bachelor, Nobel Prize in Physiology or Medicine winners, Order of Merit, Physiologists, Scientists from London
Shōkyō	Japanese eras, 1330s establishments in Japan, 1330s disestablishments in Japan, 1332 establishments, 1334 disestablishments
Satyendra Nath Bose	1894 births, 1974 deaths, Indian mathematicians, People from Kolkata, Theoretical physicists
Richard Dawson	American game show hosts, American movie actors, American television actors, American television presenters, British game show hosts, Cancer deaths in the United States, Deaths from esophageal cancer, English movie actors, English television actors, English television presenters, Television personalities from Hampshire, 1932 births, 2012 deaths
Chelsea Bridge	1937 establishments in England, Battersea, Bridges and tunnels in London, Chelsea, London
Swindon	Swindon
Strusta Lake	Geography of Belarus, Lakes of Europe
Vitebsk Region	Regions of Belarus
Vitebsk	Cities in Belarus
Armed Forces of Belarus	Belarus, Military
Sumida River	Rivers of Japan
Brest Region	Regions of Belarus
Brest, Belarus	Cities in Belarus, Capital cities in Europe
Rectifier	Rectifiers
Gomel Region	Regions of Belarus
Gomel	Cities in Belarus
Diamond Jubilee of Elizabeth II	2012 in the United Kingdom, British monarchy, House of Windsor
George W. Snyder	1780 births, 1841 deaths, Fishing, American inventors
The Long Good Friday	1980 movies, 1980s crime drama movies, British crime drama movies, English-language movies, Gangster movies, Movies set in London, 1980s mystery movies
Grodno Region	Regions of Belarus
Mogilev Region	Regions of Belarus
Mogilyov	Cities in Belarus
Have I Got News for You	1990 British television series debuts, 1990s British comedy television series, 1990s satirical television series, 2000s British comedy television series, 2000s satirical television series, 2010s British comedy television series, 2010s satirical television series, 2020s British comedy television series, 2020s satirical television series, BBC television comedy, British satirical television series, British television game shows, English-language television programs, Panel games
One More Night	Maroon 5 songs, 2012 songs
Terrell, Texas	Cities in Texas, 1874 establishments in the United States, 1870s establishments in Texas
Minsk Region	Regions of Belarus
Belarusian ruble	Currency of Europe, Belarus
Further-eastern European Time	Time zones
Telephone numbers in Belarus	Telephone numbers, Belarus
Francysk Skaryna	15th century births, 16th century deaths, Publishers, Belarusian people
2011–12 Chicago Blackhawks season	2011 in ice hockey, 2012 in ice hockey, National Hockey League team seasons
Yanka Kupala	1882 births, 1942 deaths, Belarusian writers, Recipients of the Order of Lenin
Ryan Sypek	1971 births, Living people, American stage actors, American movie actors, American television actors, Actors from Boston, Massachusetts
Las Vegas (TV series)	2000s American television series, American comedy television series, American drama television series, American crime television series, NBC network shows, Las Vegas, Nevada in fiction, English-language television programs
Nikki Cox	1978 births, Living people, American movie actors, American television actors, Actors from Los Angeles, California
James Lesure	1970 births, Living people, American movie actors, American television actors, Actors from Los Angeles, California, African American actors
Molly Sims	1973 births, Living people, Models from Kentucky, American movie actors, American television actors, Actors from Kentucky
Vanessa Marcil	1968 births, Living people, American movie actors, American television actors, Actors from Riverside County, California
Marsha Thomason	1976 births, Living people, English movie actors, English television actors, People from Manchester
Madame Tussauds	Museums in London, Art museums in the United Kingdom
Caste (biology)	Zoology
Corps of Bridges and Roads (France)	Politics of France, Aviation in France, Transport engineering
Motherwell railway station	Railway stations in Scotland, North Lanarkshire
Hammersmith	Areas of London, London Borough of Hammersmith and Fulham
Danny Boyle	Academy Award winning directors, BAFTA Award winning directors, British television directors, English movie directors, English movie producers, Golden Globe Award winning directors, People from Lancashire, 1956 births, Living people
Vasil Bykaŭ	1924 births, 2003 deaths, Belarusian writers, World War II people
Uladzimir Karatkievich	1930 births, 1984 deaths, Belarusian writers
Supervolcano	Volcanology
Stanisław Moniuszko	Conductors, Deaths from myocardial infarction, Polish composers, Romantic composers, 1819 births, 1872 deaths
Prix Benois de la Danse	Ballet, Competitions, Moscow
Bread and salt	Traditions, Foods, Slavic peoples
Kvass	Fermented drinks, Beer
Okroshka	Soups
Transit of Venus	Venus (planet)
Mir Castle Complex	Belarus, World Heritage Sites in Europe, Gothic architecture
Nesvizh Castle	Belarus, World Heritage Sites in Europe
NWA Wildside	Professional wrestling promotions, American entertainment companies, 2005 disestablishments in the United States, 1997 establishments in the United States
Lambeth Bridge	Bridges and tunnels in London
Boca Juniors	Argentine football clubs, Buenos Aires, 1905 establishments in Argentina
Prime (movie)	2005 romance movies, 2005 comedy-drama movies, 2000s romantic comedy movies, 2000s romantic drama movies, American comedy-drama movies, American romantic comedy movies, American romantic drama movies, English-language movies, Movies set in New York City
Isaac Levitan	1860 births, 1900 deaths, Lithuanian Jews, Russian Jews, Russian painters
Białowieża Forest	National parks in Europe, Biosphere reserves, Forests of Europe, World Heritage Sites in Poland, Geography of Belarus, Geography of Poland
Southwark Bridge	Bridges and tunnels in London
Struve Geodetic Arc	Geodesy, World Heritage Sites in Sweden, World Heritage Sites in Russia
Lists of World Heritage Sites in Europe	World Heritage Sites in Europe, Lists of World Heritage sites, Europe-related lists
