ImJayStation	1990 births, Living people
The Warrens of Virginia (1924 movie)	1924 movies, 1920s drama movies, American silent movies, American war movies, American drama movies, 20th Century Fox movies, Movies based on plays, Movies directed by Elmer Clifton
Carmen Morales	1939 births, 2021 deaths, Deaths from Alzheimer's disease, Argentine movie actors, Argentine television actors, Argentine stage actors, Argentine comedians, Actors from Buenos Aires
Hipólito Reyes Larios	1946 births, 2021 deaths, Roman Catholic bishops, Roman Catholic priests, Roman Catholic archbishops, People from Veracruz, Deaths from gastrointestinal hemorrhage
Mutale Nalumango	1955 births, Living people, Vice-Presidents of Zambia
Movement for Multi-Party Democracy	Zambia
2021 Zambian general election	August 2021 events
National Assembly of Zambia	Zambia
Forum for Democracy and Development	Zambia
Speaker of the National Assembly of Zambia	Speakers of the National Assembly (Zambia)
Patrick Matibini	1959 births, Living people, Speakers of the National Assembly (Zambia), Judges
Amusaa Mwanamwambwa	1940 births, Living people, Speakers of the National Assembly (Zambia)
Fine-lined tree frog	Frogs, Animals of South America
Chomikuj.pl	Companies of Europe
Abdelhamid Brahimi	1936 births, 2021 deaths, Prime Ministers of Algeria
Aymen Benabderrahmane	1966 births, Living people, Prime Ministers of Algeria
List of heads of state of Algeria	Presidents of Algeria
Houari Boumédiène	1932 births, 1978 deaths, Presidents of Algeria
Ali Kafi	1928 births, 2013 deaths, Presidents of Algeria
Mohamed Boudiaf	1919 births, 1992 deaths, Presidents of Algeria, Assassinated people
Rabah Bitat	1925 births, 2000 deaths, Presidents of Algeria
Chadli Bendjedid	1929 births, 2012 deaths, Presidents of Algeria, Cancer deaths in France
Ferhat Abbas	1899 births, 1985 deaths, Prime Ministers of Algeria, Presidents of Algeria
Abderrahmane Farès	1911 births, 1991 deaths, Presidents of Algeria
Benyoucef Benkhedda	1920 births, 2003 deaths, Presidents of Algeria
List of heads of government of Algeria	Prime Ministers of Algeria
Mohamed Ben Ahmed Abdelghani	1927 births, 1996 deaths, Prime Ministers of Algeria
Kasdi Merbah	1938 births, 1993 deaths, Assassinated people, Prime Ministers of Algeria
Mouloud Hamrouche	1943 births, Living people, Prime Ministers of Algeria
Sid Ahmed Ghozali	1937 births, Living people, Ambassadors, Prime Ministers of Algeria
Sabri Boukadoum	1958 births, Living people, Prime Ministers of Algeria
Abdelaziz Belkhadem	1945 births, Living people, Prime Ministers of Algeria
Mokdad Sifi	1940 births, Living people, Prime Ministers of Algeria
Ahmed Benbitour	1946 births, Living people, Prime Ministers of Algeria
Ali Benflis	1944 births, Living people, Prime Ministers of Algeria
Annamie Paul	1972 births, Living people, Politicians from Toronto, Canadian lawyers
Abdulla Shahid	1962 births, Living people, Maldivian people, Asian politicians, Presidents of the United Nations General Assembly
UK Holocaust Memorial	Buildings and structures in London, Monuments and memorials in England
Cabinet of Afghanistan	Politics of Afghanistan
Katie Findlay	1990 births, Living people, Canadian movie actors, Canadian television actors, Canadian voice actors, Actors from Ontario
Vác	Cities in Hungary
Volodymyr Holubnychy	1936 births, 2021 deaths, Ukrainian sportspeople, Soviet sportspeople, Soviet Olympic gold medalists, Soviet Olympic silver medalists, Olympic bronze medalists
Paul Mitchell (politician)	1956 births, 2021 deaths, Deaths from kidney cancer, United States representatives from Michigan, Businesspeople from Boston, Massachusetts, Businesspeople from Michigan, Politicians from Boston, Massachusetts, Independent politicians in the United States, US Republican Party politicians, Cancer deaths in Michigan
Dryden Township, Michigan	Townships in Michigan
Dryden, Michigan	Villages in Michigan
Thomas Township, Michigan	Townships in Michigan
Dimple Kapadia	1957 births, Living people, Indian movie actors, Indian television actors, Indian stage actors, People from Bombay
Twinkle Khanna	1973 births, Living people, Indian movie actors, Indian television actors, Indian movie producers, Indian journalists, Indian novelists, People from Bombay, Columnists
Zarifa Ghafari	Living people, 1992 births, Business people, Afghan activists, Mayors, Feminists, Women who received the International Women of Courage Award
Engjell Berisha	1998 births, Living people
Free Guy	2021 movies, 2020s action movies, 2020s comedy movies, 2020s science fiction movies, American action comedy movies, American science fiction movies, Movies directed by Shawn Levy
Christophe Beck	1972 births, Living people, Canadian composers, Canadian pianists, Canadian drummers, Saxophonists, Conductors, Musicians from Montreal, Emmy Award winners
Emma Corrin	1995 births, Living people, English movie actors, English television actors, English stage actors, English LGBT people, LGBT actors, Actors from Kent, Queer people
Trainwreck (movie)	2015 romance movies, 2015 comedy movies, 2010s romantic comedy movies, Universal Pictures movies, American romantic comedy movies, Movies directed by Judd Apatow
Fantastic Beasts and Where to Find Them (movie)	British fantasy movies, American fantasy movies, Warner Bros. movies, Movies directed by David Yates, Harry Potter movies, Movies composed by James Newton Howard
Untitled third Fantastic Beasts movie	Warner Bros. movies, British fantasy movies, American fantasy movies, Movies directed by David Yates, Movies composed by James Newton Howard, Harry Potter movies
Carmen Ejogo	1973 births, Living people, English movie actors, English television actors, English voice actors, English stage actors, Actors from London, Singers from London, People from Kensington and Chelsea (London borough)
Steven Weber	1961 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York City, Comedians from New York City
Alison Sudol	1984 births, Living people, American pianists, American guitarists, Singer-songwriters from California, Musicians from Seattle, Washington, Musicians from Los Angeles, California, Singers from Los Angeles, California, Writers from Los Angeles, California, Writers from Seattle, Washington, Singers from Seattle, Washington, Actors from Los Angeles, California, Actors from Seattle, Washington, American movie actors, American television actors, American voice actors
McCandless, Pennsylvania	Townships in Pennsylvania
Bokundara	Settlements in Sri Lanka
Frosolone	Settlements in Molise
Keep America Beautiful	1953 establishments in the United States, Recycling, Environment, Organizations based in the United States
Charles Boyer	1899 births, 1978 deaths, Naturalized citizens of the United States, American actors
Southwest Louisiana	Regions of Louisiana
New Orleans metropolitan area	New Orleans, Louisiana, Metropolitan areas of the United States
Charles Garrett (diplomat)	Ambassadors of the United Kingdom, 1963 births, Living people
Hemp oil	Cooking oils
Men I Trust	Pop rock bands, Musicians from Montreal, Musical groups established in the 2010s, Indie bands, Electronic music bands, Canadian rock bands, 2010s establishments in Canada, 2010s Canadian music groups, 2014 establishments
Adam Cole	American wrestlers, Living people
The Patrick Star Show	Nickelodeon television series, American children's television series, 2020s American comedy television series, Animated television series, English-language television programs, Mockumentaries, SpongeBob SquarePants
Kannada script	Languages of India
Orange Julius	Companies based in Los Angeles, American fast food restaurants, 1926 establishments in the United States, 1920s establishments in California
Rabin, the Last Day	2015 movies, 2010s thriller movies, Israeli movies, French thriller movies, Movies directed by Amos Gitai
Ceddo	1977 drama movies, Senegalese movies, French drama movies, Movies directed by Ousmane Sembène
La notte	1961 drama movies, Italian drama movies, French drama movies, Movies directed by Michelangelo Antonioni
My Younger Brother	1962 drama movies, Russian movies, Latvian movies, Movies directed by Aleksandr Zarkhi
Sony Imagine	Television channels
Anderson Mazoka	1943 births, 2006 deaths, Deaths from renal failure, Zambian politicians
Heléne Björklund	Living people, 1972 births, Swedish politicians
Werner Enterprises	American transport companies
Striped tree frog	Frogs, Animals of South America
Ari Fleischer	White House Press Secretaries, 1960 births, People from New York City
Gasket	Hardware (mechanical)
Treatment of women by the Taliban	Taliban
BBC v HarperCollins Publishers Ltd	2010 in television, 2010 in the United Kingdom, BBC
Allosexuality	Human sexuality
Virgin cleansing myth	Child sexual abuse, Rape
Jaguar XJ	1960s automobiles, Full-size vehicles, Sedans, 1970s automobiles, 1980s automobiles, 1990s automobiles, 2000s automobiles, 2010s automobiles
Hamid Karzai International Airport	Airports in Asia, Kabul
National Assembly (Afghanistan)	Politics of Afghanistan
Amrullah Saleh	Living people, 1972 births, Presidents of Afghanistan, Vice Presidents of Afghanistan, Current national leaders
Microsoft Teams	Microsoft Windows software, Messaging
C.D. Huachipato	Chilean football clubs
Fereshteh Taerpour	1953 births, 2021 deaths, Iranian movie producers, Iranian writers, People from Tehran, Deaths from the COVID-19 pandemic in Iran
Paulão (footballer, born 1969)	1969 births, 2021 deaths, Angolan people, African footballers
Basil Mramba	1940 births, 2021 deaths, Deaths from the COVID-19 pandemic, Tanzanian people, African politicians
Nikolai Kuimov	1957 births, 2021 deaths, Russian military people, Aviators, Aviation deaths
William R. Haine	1944 births, 2021 deaths, State legislators of the United States, Politicians from Illinois, US Democratic Party politicians, People from Alton, Illinois
Hormoz Farhat	1928 births, 2021 deaths, Iranian musicians, American academics, American composers, Naturalized citizens of the United States, People from Tehran
Rafael Romero	1938 births, 2021 deaths, Competitors in athletics, Olympians, Venezuelan sportspeople
Dick Schafrath	1937 births, 2021 deaths, American football offensive tackles, Cleveland Browns players, State legislators of the United States, Politicians from Ohio, US Republican Party politicians
Wooster, Ohio	Cities in Ohio, County seats in Ohio
Vladimir Mendelssohn	1949 births, 2021 deaths, Romanian composers, Violinists, Academics, People from Bucharest
Charlie Johnson (defensive tackle)	1952 births, 2021 deaths, American football defensive tackles, Philadelphia Eagles players, Minnesota Vikings players, Sportspeople from Texas
West Columbia, Texas	Cities in Texas
Rich Milot	1957 births, 2021 deaths, Washington Redskins players, American football linebackers, Sportspeople from Pennsylvania
Karl-Friedrich Haas	1931 births, 2021 deaths, German Olympic bronze medalists, German Olympic silver medalists, Sportspeople from Berlin, Competitors in athletics
Alfonso Sepúlveda	1939 births, 2021 deaths, Chilean footballers, People from Santiago, Deaths from heart failure
Pyotr Pimashkov	1948 births, 2021 deaths, Russian politicians, Mayors, Deaths from cardiac arrest
Claudio Ventura	1953 births, 2021 deaths, Italian artists, Editors
Maki Kaji	1951 births, 2021 deaths, Deaths from cholangiocarcinoma, Japanese businesspeople
Victoria Paris	1960 births, 2021 deaths, Deaths from breast cancer, American pornographic actors, American models, Actors from Montana, People from Great Falls, Montana
The Longest Day (movie)	1962 movies, 1960s war movies, 20th Century Fox movies, American epic movies, American war movies, Movies based on books, Movies directed by Ken Annakin, Movies directed by Andrew Marton, Movies directed by Bernhard Wicki
Kenneth More	1914 births, 1982 deaths, Deaths from multiple system atrophy, English movie actors, English television actors, English stage actors, Actors from Buckinghamshire, BAFTA Award winning actors
Gert Fröbe	1913 births, 1988 deaths, Deaths from myocardial infarction, German movie actors, German television actors, German stage actors, People from Saxony
Irina Demick	1936 births, 2004 deaths, French movie actors, French television actors, French stage actors
Pommeuse	Communes in Seine-et-Marne
Richard Todd	1919 births, 2009 deaths, Irish movie actors, Irish television actors, Irish stage actors, British movie actors, British stage actors, British television actors, Actors from Dublin, Golden Globe Award winning actors
Curd Jürgens	1915 births, 1982 deaths, Deaths from myocardial infarction, German movie actors, German television actors, German stage actors, Austrian movie actors, Austrian television actors, Austrian stage actors, Actors from Vienna
Cornelius Ryan	1920 births, 1974 deaths, Deaths from prostate cancer, Irish novelists, American novelists, Journalists from New York City, Writers from Dublin, American historians
Maurice Jarre	1924 births, 2009 deaths, Cancer deaths in Los Angeles, French composers, French conductors, People from Lyon, Academy Award winning composers, Golden Globe Award winning composers, BAFTA Award winners, Grammy Award winners
Ken Annakin	1914 births, 2009 deaths, Movie directors from London, People from Yorkshire
Andrew Marton	1904 births, 1992 deaths, American movie directors, Hungarian movie directors, People from Budapest, Naturalized citizens of the United States
Bernhard Wicki	1919 births, 2000 deaths, Austrian movie directors, Austrian movie actors, Austrian television actors, Austrian stage actors
Jeffrey Hunter	1926 births, 1969 deaths, Deaths from intracranial hemorrhage, American movie actors, American television actors, American stage actors, Actors from New Orleans, Louisiana
Tom Tryon	1926 births, 1991 deaths, Deaths from stomach cancer, American novelists, American movie actors, American television actors, American stage actors, American voice actors, Actors from Hartford, Connecticut, Writers from Hartford, Connecticut
Leo Genn	1905 births, 1978 deaths, British lawyers, British movie actors, British television actors, British stage actors, Actors from London, Deaths from myocardial infarction, Deaths from pneumonia
Salò, or the 120 Days of Sodom	World War II movies, Rape in movies, Political movies, Obscenity controversies, Nudity, Movies based on books, Movies about prostitution, Movies about pedophilia, LGBT drama movies, Italian-language movies, Italian drama movies, Incest in movies, French-language movies, French drama movies, Cross-dressing in movies, 1975 horror movies, 1975 drama movies, 1970s war movies, Movies about child sexual abuse
2004 Chūetsu earthquake	2004, Earthquakes in Japan, Earthquakes in the 2000s
Ágnes Hankiss	1950 births, 2021 deaths, Former MEPs, Politicians from Budapest
Typhoon Durian	Natural disasters in Asia, 2006 in weather
Anwar Hossain (industrialist)	1938 births, 2021 deaths, Bangladeshi politicians, Bangladeshi Muslims, Bangladeshi businesspeople, People from Dhaka
Kazenambo Kazenambo	1963 births, 2021 deaths, Deaths from the COVID-19 pandemic, Botswana politicians, Namibian politicians
Maun	Cities in Botswana
Rodrigo Paz	1933 births, 2021 deaths, Deaths from gastrointestinal hemorrhage, Mayors of Quito, Ecuadorian businesspeople
Embassy (movie)	1972 thriller movies, 1970s spy movies, British thriller movies, British action movies, Movies based on books, Movies directed by Gordon Hessler
Jorge Yunda	1965 births, Living people, Mayors of Quito, Physicians, Radio personalities
Tulcán	Cities in Ecuador
Loja, Ecuador	Cities in Ecuador
Sean Lock	1963 births, 2021 deaths, Actors from Surrey, British stand-up comedians, Cancer deaths in England, Deaths from lung cancer, English comedians, English television actors, English television personalities
Go West, Young Lady	1941 movies, 1940s western movies, 1940s comedy movies, American western movies, American comedy movies, Movies directed by Frank R. Strayer
Austin Mitchell	1934 births, 2021 deaths, UK MPs 1974–1979, UK MPs 1979–1983, UK MPs 1983–1987, UK MPs 1987–1992, UK MPs 1992–1997, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, Former Labour MPs (UK), Politicians from Yorkshire, British journalists, Writers from Yorkshire
Evgeny Sveshnikov	1950 births, 2021 deaths, Russian chess players, Russian writers, Deaths from the COVID-19 pandemic in Russia
So Ends Our Night	1941 movies, 1940s war movies, 1940s drama movies, American war movies, American drama movies, Movies based on books, Movies directed by John Cromwell
Jan David Simon, 3rd Viscount Simon	1940 births, 2021 deaths, Labour Party (UK) people, Members of the House of Lords
Rock Demers	1933 births, 2021 deaths, Deaths from heart failure, Canadian movie producers, People from Montreal
Betsy Russell	1963 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, American video game actors, Actors from San Diego, California, Movie producers from California, Actors from Santa Monica, California
Van Morrison	1945 births, Living people, British singer-songwriters, British rock singers, British R&B musicians, British folk musicians, British soul musicians, British jazz musicians, British rock guitarists, British saxophonists, British rock drummers, People from Belfast, British activists, Grammy Award winners
Grief	Emotions
Siege of Sarajevo	1992 in Europe
Republic of Bosnia and Herzegovina	Bosnia and Herzegovina
Human bonding	Emotions
Affection	Emotions
Acceptance	Emotions
Amusement	Emotions
Annoyance	Emotions
Irritability	Emotions
Distraction	Human behavior
Attention	Human behavior
Anticipation	Emotions
Awe	Emotions
Wonder (emotion)	Emotions
Confidence	Emotions
Contentment	Emotions
Cruelty	Emotions
Desire	Emotions
Distrust	Emotions
Enthusiasm	Emotions
Sorrow (emotion)	Emotions
Social connection	Emotions
Shyness	Emotions
Acute stress disorder	Emotions
Saudade	Emotions
Resentment	Emotions
Remorse	Emotions
Apology (act)	Human behavior
Wrongdoing	Human behavior
Boana gladiator	Frogs, Animals of South America
Social rejection	Emotions
Social relation	Human behavior
Regret	Emotions
Gratification	Emotions
Gratitude	Emotions
Please	Human behavior
Politeness	Human behavior
Rudeness	Human behavior
Respect	Human behavior
Outrage (emotion)	Emotions
Injustice	Human behavior
Status quo	Latin phrases
Kindness	Emotions
Interest (emotion)	Emotions
Humiliation	Emotions
Hostility	Emotions
International Islamic University Malaysia	Colleges and universities in Asia, Malaysia
Cranberry juice	Fruit juices
Aker Solutions	Companies of Norway, 2008 establishments in Europe
1943 Ashford by-election	1943 in Europe, Kent, Elections in the United Kingdom
Salmon burger	Seafood dishes, Sandwiches
Guilded	Software, Websites
Pacific swift	Birds, Animals of Asia, Animals of Oceania
The Cassandra Crossing	1976 drama movies, Disaster movies, Italian drama movies, British drama movies, German drama movies, Italian thriller movies, British thriller movies, German thriller movies, English-language movies, Movies set in Europe, Movies composed by Jerry Goldsmith, Movies about terrorism, Movies about diseases
Mechanical seal	Hardware (mechanical)
Bob Boyle	American animators, American television directors, American television producers, 1971 births, The Powerpuff Girls, Cartoon Network, American television writers, Living people
Verbosity	Grammar, Writing, Rhetoric
Abhay Kumar	1980 births, Living people, Indian poets
Pablo P. Garcia	1925 births, 2021 deaths, Filipino politicians
Olav Akselsen	1965 births, 2021 deaths, Norwegian politicians
Stord	Municipalities of Norway
Simão Sessim	1935 births, 2021 deaths, Brazilian politicians, Brazilian lawyers, People from Rio de Janeiro, Deaths from the COVID-19 pandemic in Brazil
Nilópolis	Cities in Rio de Janeiro (state)
Nilo Peçanha	1867 births, 1924 deaths, Vice Presidents of Brazil, Presidents of Brazil
Afonso Pena	1847 births, 1909 deaths, Deaths from pneumonia, Vice Presidents of Brazil, Presidents of Brazil
Brian P. Burns	1936 births, 2021 deaths, American lawyers, American philanthropists, Businesspeople from Boston, Massachusetts, Businesspeople from San Francisco, Politicians from San Francisco, Politicians from Boston, Massachusetts, US Republican Party politicians
Ham Enterprises	2000s establishments in Africa, Real estate
Texas (1941 movie)	1941 movies, 1940s western movies, American western movies, Movies directed by George Marshall
Töregene Khatun	Mongol Empire, Kings and queens
MacOS Monterey	MacOS
Flight dynamics	Physics
Lema tree frog	Frogs, Animals of South America
Welsh exonyms	Languages of Europe
Marco the Magnificent	1965 movies, 1960s adventure movies, French movies, Italian movies, Egyptian movies, Afghan movies, Serbian movies, Movies directed by Denys de la Patellière
Ann Zhang	Women, 1957 births, Chinese people, Australian people
List of countries in 1940	1940
List of countries in 1941	1941
List of countries in 1942	1942
List of countries in 1943	1943
2014 Newark by-election	2014 elections, 2014 in England, Nottinghamshire, Elections in the United Kingdom
List of countries in 1944	1944
Junaid Babunagari	1953 births, 2021 deaths, Bangladeshi educators, Bangladeshi writers, Researchers, Islamic religious leaders, Deaths from stroke, Deaths from diabetes
Ludwig Ahgren	1995 births, Living people, American YouTubers, American sports commentators, People from New Hampshire, Twitch (service) streamers
List of countries in 1945	1945
List of countries in 1946	1946
List of countries in 1947	1947
List of countries in 1948	1948
List of countries in 1949	1949
Kimitsu	Cities in Chiba Prefecture
Shinjirō Ehara	Living people, 1936 births, Japanese movie actors, Japanese television actors, Japanese stage actors, People from Kyoto Prefecture
List of countries in 1930	1930
List of countries in 1931	1931
List of countries in 1932	1932
List of countries in 1933	1933
List of countries in 1934	1934
List of countries in 1935	1935
List of countries in 1936	1936
List of countries in 1937	1937
List of countries in 1939	1939
List of countries in 1938	1938
Pam Dawber	1951 births, American movie actors, American television actors, American stage actors, American voice actors, Singers from Detroit, Michigan, Actors from Detroit, Michigan
Lubyanka Building	Buildings and structures in Moscow
Walloon Lake, Michigan	Unincorporated communities in Michigan, Census-designated places in Michigan
