Executive order (United States)	United States law
H. Boyd Woodruff	1917 births, 2017 deaths, Scientists from New Jersey
John McCormack (ice hockey)	1925 births, 2017 deaths, Montreal Canadiens players, Toronto Maple Leafs players, Chicago Blackhawks players, Sportspeople from Edmonton, American Hockey League players, Ontario Hockey League players, Memorial Cup winners, Ice hockey centres
Rhys Wakefield	1988 births, Living people, Actors from Queensland, Actors from Sydney, Australian child actors, Australian movie actors, Australian television actors, People from Cairns, Queensland
Sabine Oberhauser	1963 births, 2017 deaths, Austrian physicians, Cancer deaths in Austria, Deaths from stomach cancer, Government ministers of Austria, Politicians from Vienna
Mea Shearim	1874 establishments, Neighbourhoods of Jerusalem, 1870s establishments in Asia
Rishon LeZion	Rishon LeZion
Districts of Israel	Districts of Israel
Likud	1973 establishments, 1970s establishments in Israel, Political parties in Israel, Zionist parties, Liberal parties
Creos Luxembourg S.A.	Energy companies of Luxembourg
Limpopo River	Rivers of Africa, Geography of South Africa, Geography of Botswana, Geography of Zimbabwe, Geography of Mozambique
Cherry picking	Logical fallacies
List of communes of the Province of Viterbo	Settlements in Lazio, Lists of settlements in Europe
Svalbard Global Seed Vault	Conservation, Buildings and structures in Norway
John Hack	United States Army Medal of Honor recipients, German people, People from Missouri, 1842 births, 1933 deaths
Sidney Haight	United States Army Medal of Honor recipients, 1857 births, 1918 deaths
Viterbo	Capital cities in Italy, Cities in Lazio
Alaa Brinji	Political prisoners, Saudi Arabian people, Journalists, Living people
Gustaw Lutkiewicz	1924 births, 2017 deaths, People from Kaunas, Polish movie actors, Polish television actors
Central tendency	Statistics
James Stevenson	1929 births, 2017 deaths, Deaths from pneumonia, Disease-related deaths in Connecticut, American illustrators, American children's writers, Writers from New York City
Marilyn B. Young	1937 births, 2017 deaths, American historians, American educators, Writers from New York City
Rohit	Given names
HaAvoda	1968 establishments in Israel, Political parties in Israel, Social democratic parties, Zionist parties
Football in Ireland	Football in Ireland
Wertach	Oberallgäu
Edwin Kessler	1928 births, 2017 deaths, Scientists from New York City
David Waddington	1929 births, 2017 deaths, Politicians from Lancashire, Members of the British House of Commons for English constituencies, Members of the House of Lords
Jack Pope	1913 births, 2017 deaths, American judges, American lawyers, American educators, Politicians from Texas, People from Abilene, Texas, US Democratic Party politicians
ActiveX	Microsoft software
Hassan Al-Jundi	1939 births, 2017 deaths, Moroccan writers, Movie actors, Movie directors, People from Marrakesh, Moroccan actors
Daryl (magician)	1955 births, 2017 deaths, American magicians, Accidental deaths in California, Entertainers from Nevada, People from Las Vegas, Nevada
Leon Ware	1940 births, 2017 deaths, Deaths from prostate cancer, American songwriters, American composers, Writers from Detroit, Michigan
Wildpoldsried	Oberallgäu
WWE Universal Championship	World Wrestling Entertainment championships, WWE Raw
WWE SmackDown Tag Team Championship	World Wrestling Entertainment championships
WWE SmackDown Women's Championship	World Wrestling Entertainment championships
WWE Cruiserweight Championship	World Wrestling Entertainment championships
Neil Fingleton	1980 births, 2017 deaths, Deaths from myocardial infarction, Basketball players, English movie actors
Jean Baptiste de Montesson, Marquis of Montesson	1687 births, 1769 deaths, People from Paris, Noblemen from France
Brunella Bovo	1932 births, 2017 deaths, Deaths from pneumonia, Italian movie actors, Italian television actors
Ludvig Faddeev	1934 births, 2017 deaths, Academics, People from Saint Petersburg, Russian physicists, Russian mathematicians, Theoretical physicists
Ivar Aronsson	1928 births, 2017 deaths, Swedish sportspeople, Swedish Olympians, Rowers
WWE United Kingdom Championship	World Wrestling Entertainment championships
Larry P. Arnn	Living people, American conservatives, American educators, American philanthropists, Writers from Arkansas, Writers from Michigan
Ed Garvey	1490 births, 2017 deaths, American lawyers, American labor leaders, American activists, American progressives, Politicians from Wisconsin, US Democratic Party politicians
Polyp (medicine)	Tissues
Mudrike	Settlements in Bosnia and Herzegovina, Villages in Europe
Carpal tunnel syndrome	Health problems
Jean de Noailles	1739 births, 1824 deaths, People from Paris, Dukes of Noailles
SKA Saint Petersburg	Ice hockey teams in Russia, 1946 establishments in the Soviet Union
Golrokh Ebrahimi Iraee	Iranian people, Political prisoners, Living people
Katherine Johnson	1918 births, 2020 deaths, American centenarians, American mathematicians, American physicists, Scientists from West Virginia, BBC 100 Women
Gerald Kaufman	1930 births, 2017 deaths, Former Labour MPs (UK), Jewish British politicians, Politicians from Yorkshire
J. P. R. Williams	1949 births, Living people, Members of the Order of the British Empire, Welsh rugby union players
Walt Koken	Pages created with the Article Wizard from 2017, Living people, 1946 births
Alerheim	Donau-Ries
Frits Soetekouw	1938 births, 2019 deaths, Dutch footballers, Sportspeople from Amsterdam
Isabel Lucas	1985 births, Australian movie actors
Israeli Labor Party	1968 establishments in Israel, Political parties in Israel, Social democratic parties, Zionist parties
Acicular ferrite	Iron
Iron Act	Iron
Nhung Nu Hon Ruc Ro	2010 movies
Irish Americans	Ethnic groups in the United States
Allotropes of iron	Iron
Anthracite iron	Iron
WrestleMania 33	WrestleMania, 2017 in sports, Sports in Orlando, Florida, 2010s in Orlando, Florida
Maryland Toleration Act	Christianity in the United States, History of Maryland, 1649, 17th century in the Thirteen Colonies
Xiluodu Dam	Hydropower, Dams, Yunnan
Bertram Kostant	1928 births, 2017 deaths, Deaths from stroke, Cardiovascular disease deaths in Massachusetts, American mathematicians, American educators, Scientists from New York City, Scientists from Massachusetts
Jiří Lanský	1933 births, 2017 deaths, High jumpers, Sportspeople from Prague
Suthan Suthersan	1956 births, 2017 deaths, Naturalized citizens of the United States, Sri Lankan people, Engineers from New Jersey, American environmentalists, Scientists from New Jersey
Peter A. Diamond	1940 births, Living people, American economists, Scientists from New York City
Oliver E. Williamson	1932 births, 2020 deaths, Deaths from pneumonia, American economists, Scientists from Wisconsin
Tania Dalton	1971 births, 2017 deaths, Deaths from aneurysm, New Zealand sportspeople, People from Auckland
Preben Hertoft	1928 births, 2017 deaths, Danish academics, Danish scientists, Psychiatrists, Sexologists
Eugene Garfield	1925 births, 2017 deaths, Deaths from myocardial infarction, American educators, American inventors, Businesspeople from New York City, Writers from New York City, Scientists from New York City
Deaths in March 2017	2017 deaths, March 2017 events
Data matrix	Data input, Barcodes
Beta ferrite	Iron
Robin Stenuit	1990 births, Living people, Belgian cyclists, People from Walloon Brabant
Bloomery	Iron
Bog iron	Iron
Moshe Katsav	1945 births, Living people, Deputy government ministers of Israel, Former Members of Knesset, Government ministers of Israel, Iranian Jews, Israeli mayors, Israeli prisoners, Jewish Israeli criminals, Jewish Israeli politicians, Likud politicians, Naturalized citizens of Israel, Presidents of Israel, Rapists
Hérault (river)	Rivers of France, Occitanie
Carbonyl iron	Iron
Capital Punishment (album)	1998 albums
Ned Garver	1925 births, 2017 deaths, American baseball players, Detroit Tigers players, Sportspeople from Ohio
Vladimir Petrov (ice hockey)	1947 births, 2017 deaths, Russian ice hockey players, Soviet Olympic gold medalists, Soviet Olympic silver medalists, Sportspeople from Moscow, Ice hockey centres
Peter Mathews (politician)	1951 births, 2017 deaths, Deaths from esophageal cancer, Disease-related deaths in the Republic of Ireland, Irish politicians, People from Dublin
Leone di Lernia	1938 births, 2017 deaths, Deaths from liver cancer, Italian composers, Italian singers, Italian movie actors, Italian radio personalities
Toshio Nakanishi	1956 births, 2017 deaths, Deaths from esophageal cancer, Musicians from Tokyo
Elisabeth Waldheim	1922 births, 2017 deaths, Austrian businesspeople, People from Vienna
Taarak Mehta	1929 births, 2016 deaths, Disease-related deaths in India, Columnists, Indian playwrights
Mahershala Ali	1974 births, Living people, Actors from Oakland, California, American movie actors, American Muslims, American television actors, Best Supporting Actor Academy Award winners
Ugrić	Rivers of Bosnia and Herzegovina
John Harlan (announcer)	1925 births, 2017 deaths, American radio personalities, American television personalities, Entertainers from California
Betty Okino	1975 births, Living people, American gymnasts, American movie actors, American Olympic bronze medalists, American television actors, Naturalized citizens of the United States, Ugandan people
SummerSlam (2016)	2016 in the United States, Professional wrestling, SummerSlam, 2010s in New York (state)
Lodève	Subprefectures in France, Communes in Hérault
Radu Gabrea	1937 births, 2017 deaths, Romanian movie directors, Romanian screenwriters, People from Bucharest
Spanair Flight 5022	Aviation disasters in the 2000s, Aviation disasters in Europe‎, 2000s in Spain, 2008 in Europe
Gustav Metzger	1926 births, 2017 deaths, British activists, British Jews, German Jews, German political activists, Jewish activists, Naturalised citizens of the United Kingdom, People from Nuremberg, Refugees from Nazism
Dadikai languages	Indo-European languages
Amnon Krauz	1952 births, Jewish Israeli sportspeople, Living people, Olympians, People from Petah Tikva, Swimmers
Chalybeate	Iron
Joe Jackson (musician)	1954 births, Living people, English singer-songwriters, Grammy Award winners, Musicians from Hampshire, Musicians from Staffordshire, LGBT artists, Bisexual people, LGBT songwriters, Members of the Order of the British Empire
Sabra	Israeli Jews
Tommy Gemmell	1943 births, 2017 deaths, Scottish footballers, Scottish football managers
John Hampshire	1941 births, 2017 deaths, English cricketers, Sportspeople from Yorkshire
Jins Shamsuddin	1935 births, 2017 deaths, Malaysian politicians, Malaysian actors, People with Alzheimer's disease
David Rubinger	1924 births, 2017 deaths, Austrian Jews, Israeli artists, Israeli Jews, Jewish artists, Naturalized citizens of Israel, People from Vienna, Photographers, Refugees from Nazism
Joseph Vũ Duy Thống	1952 births, 2017 deaths, Roman Catholic bishops, Vietnamese people
Simon Hobday	1940 births, 2017 deaths, South African golfers
Pau Donés	1966 births, 2020 deaths, Deaths from colorectal cancer, Cancer deaths in Spain, Spanish singers, Spanish musicians, Songwriters, Spanish writers, Guitarists
Alternanthera philoxeroides	Aquatic plants, Amaranthaceae
Canadian Pacific Railway	Rail transport in Canada
Evin Prison	Iran, Human rights, Human rights abuses, 1971 establishments in Asia, 1970s establishments in Iran
FIFA Beach Soccer World Cup	Football
EgyptAir	1933 establishments, Airlines of Africa, Transport in Egypt, Star Alliance, 20th-century establishments in Egypt, IATA members
Arash Sadeghi	Political prisoners, Iranian people
Paul Kangas	1937 births, 2017 deaths, Deaths from Parkinson's disease, Deaths from prostate cancer, American television presenters, Businesspeople from Michigan, Businesspeople from Miami, Florida
Michael Bennet	1964 births, Living people, 2020 United States presidential candidates, United States senators from Colorado, Cancer survivors, American educators, People with cancer, Businesspeople from Denver, Colorado, Politicians from Denver, Colorado, US Democratic Party politicians
Bob Iger	1951 births, Living people, Chief executives, Disney people, Businesspeople from New York City
Huntingdonshire	Districts
Anna J. Cooper	1858 births, 1964 deaths, American centenarians
Hallopus	Archosaurs
Coronium	Spectroscopy, Iron
Continental margin	Structure of the Earth
Nyctibatrachus	Frogs
Igor Sychev	Bloggers, Political prisoners, Living people
Anne Kristin Sydnes	1956 births, 2017 deaths, Norwegian politicians
Jhulelal (Hinduism)	Hindu gods and goddesses
HaBayit HaYehudi	2008 establishments in Israel, Political parties in Israel, Zionist parties
The Jewish Home	2008 establishments in Israel, Political parties in Israel, Zionist parties
Religious Zionism	Jewish denominations, Judaism in Israel, Zionism
Yesh Atid	2012 establishments in Asia, 2010s establishments in Israel, Political parties in Israel, Zionist parties, Liberal parties
Qantas Flight 32	2010 aviation disasters, History of Singapore, 21st century in Indonesia, 21st century in Australia, November 2010 events, Aviation disasters in Asia
Toll-free telephone number	Telephone numbers
Rhys Wesser	1979 births, Living people, Australian rugby league players, Indigenous Australian sportspeople, Sportspeople from Queensland
Ayer, Switzerland	Villages in Valais, Former municipalities of Valais
Stephen Kearney	1972 births, Living people, New Zealand Māori people, New Zealand rugby league players, People from Wellington, Sportspeople from North Island, Officers of the New Zealand Order of Merit
Phil Neal	1951 births, Living people, English football managers, English footballers, Liverpool F.C. players, People from Northamptonshire
Arthur Beetson	1945 births, 2011 deaths, Australian rugby league players, Coaches, Deaths from myocardial infarction, Indigenous Australian sportspeople, Order of Australia, Sportspeople from Queensland
Elisabeth Lichtenberger	1925 births, 2017 deaths, Austrian educators, Geographers, Scientists from Vienna
Boaz Vaadia	1951 births, 2017 deaths, American artists, American Jews, American sculptors, Cancer deaths in New York City, Deaths from pancreatic cancer, Israeli artists, Israeli Jews, Jewish artists, Naturalized citizens of the United States, People from New York City
Howard Schmidt	1949 births, 2017 deaths, Deaths from brain cancer, Businesspeople from Philadelphia, Pennsylvania, Politicians from Philadelphia, Pennsylvania, US Democratic Party politicians
Paula Fox	1923 births, 2017 deaths, Deaths from congestive heart failure, Cardiovascular disease deaths in New York City, American novelists, Writers from New York City
Míriam Colón	1936 births, 2017 deaths, Deaths from respiratory tract infection, Infectious disease deaths in New York City, Puerto Rican actors, Puerto Rican movie actors, Puerto Rican television actors, Stage actors
Misha Mengelberg	1935 births, 2017 deaths, 20th century composers, 21st century composers, Dutch composers, Jazz pianists, People from Kiev
Chalais, Switzerland	Municipalities of Valais
Chandolin	Villages in Valais, Former municipalities of Valais
Pierre Guénin	1927 births, 2017 deaths, Deaths from pneumonia, French journalists, French LGBT people, LGBT rights activists, Gay men, Writers from Paris
Edi Fitzroy	1955 births, 2017 deaths, Jamaican singers, Singer-songwriters, Reggae musicians
John Negroponte	1939 births, Living people, Naturalized citizens of the United States, United States Ambassadors to the United Nations, United States Directors of National Intelligence, Ambassadors of the United States to Mexico, Politicians from London, US Republican Party politicians
John Michael McConnell	1943 births, Living people, Admirals, American military people, People from Greenville, South Carolina, Politicians from South Carolina, United States Directors of National Intelligence
Dennis C. Blair	1947 births, Living people, United States Directors of National Intelligence, American military people, Politicians from Maine, Recipients of the Order of the Rising Sun
Kenneth W. Dam	1932 births, Living people, United States Deputy Secretaries of State, Politicians from Kansas
James R. Clapper	1941 births, Living people, United States Directors of National Intelligence, Politicians from Indiana, People from Fort Wayne, Indiana
Michael Forest	1929 births, Living people, American aviators, American movie actors, American television actors, American voice actors, Actors from North Dakota, Actors from Seattle, Washington
River Parrett	Rivers of England, Somerset, Dorset
National High School of Chemical and Technological Engineers	Technical colleges and universities in Toulouse, 1906 establishments in France
Collect call	Telephone
Mohamed Cheikh Ould Mkhaitir	1985 births, Living people, Bloggers, Engineers, Mauritanian people, Political prisoners
Time in Sudan	Time by country, Sudan
Jay Lynch	1945 births, 2017 deaths, Deaths from lung cancer, Cancer deaths in New York, American cartoonists, American comics artists, People from Orange, New Jersey
Louis Wade Sullivan	1933 births, Living people, United States Secretaries of Health and Human Services, American activists, American physicians, American educators, African American writers, African American politicians, Writers from Atlanta, Georgia, Politicians from Georgia (U.S. state), US Republican Party politicians
Herb Kohl	1935 births, Living people, Businesspeople from Wisconsin, American philanthropists, Jewish American politicians, Jewish philanthropists, Politicians from Milwaukee, Wisconsin, United States senators from Wisconsin, US Democratic Party politicians, 21st-century American politicians
Tommy Thompson	1941 births, Living people, United States Secretaries of Health and Human Services, Governors of Wisconsin, 2008 United States presidential candidates, US Republican Party politicians
Mike Leavitt	1951 births, Living people, Governors of Utah, United States Secretaries of Health and Human Services, Administrators of the United States Environmental Protection Agency, US Republican Party politicians, American bloggers
Tom Ridge	1945 births, Living people, American military personnel of the Vietnam War, Governors of Pennsylvania, Harvard University alumni, United States representatives from Pennsylvania, United States Secretaries of Homeland Security, US Republican Party politicians
Michael Chertoff	1953 births, Living people, American judges, American lawyers, Harvard University alumni, Jewish American politicians, Jewish judges, Jewish lawyers, Politicians from New Jersey, United States Secretaries of Homeland Security
Paco Moncayo	1940 births, Mayors of Quito, Living people, Military people
Jack Riley (actor)	1935 births, 2016 deaths, Deaths from pneumonia, American movie actors, American television actors, American voice actors, Actors from Cleveland, Ohio
Tonawanda, New York	Cities in New York
Jhulelal (Sufism)	1149 births, 1300 deaths
Tommy Page	1970 births, 2017 deaths, Suicides in the United States, American singer-songwriters, American pianists, People from Glen Ridge, New Jersey, Musicians from New Jersey, Singers from New Jersey, Writers from New Jersey
Carl Adam Lewenhaupt	1947 births, 2017 deaths, Swedish businesspeople, People from Stockholm
Taygetus	Geography of Greece
Michael M. Ryan	1929 births, 2017 deaths, American movie actors, American television actors, Actors from Wichita, Kansas
Bill Hougland	1930 births, 2017 deaths, American basketball players, Businesspeople from Kansas, Sportspeople from Kansas
Florence S. Jacobsen	1913 births, 2017 deaths, American centenarians, American Latter Day Saints, People from Salt Lake City, Utah
M. S. Swaminathan	1925 births, Living people, Indian politicians, Indian scientists
Arthur B. McDonald	1943 births, Living people, Astrophysicists, Canadian academics, Canadian Nobel Prize winners, Canadian physicists, People from Nova Scotia
Moshe Safdie	Wolf Prize winners, 1938 births, Living people, Canadian architects, Canadian Jews, Canadian writers, Israeli academics, Jewish academics, Jewish Israeli writers, Naturalized citizens of Canada, People from Haifa, People from Montreal
Goicoechea (canton)	Geography of Costa Rica
British Association for Applied Linguistics	1960s establishments in the United Kingdom
Kulanu	2014 establishments in Israel, 2019 disestablishments, Former political parties in Israel, Zionist parties
Thirty-fourth government of Israel	Israeli governments, 2015 establishments in Israel, Benjamin Netanyahu
Stan Collymore	1971 births, Living people, English footballers, Liverpool F.C. players, Sportspeople from Staffordshire, Premier League players
Henri Pirenne	1862 births, 1935 births, Belgian academics, Belgian historians, People from Verviers
Ian Callaghan	1942 births, 1966 FIFA World Cup players, Living people, English footballers, Liverpool F.C. players, Members of the Order of the British Empire, Sportspeople from Liverpool
Alberto Zedda	1928 births, 2017 deaths, Italian conductors, Musicologists, People from Milan
Clara Hughes	1972 births, Living people, Canadian sportspeople, Cyclists, Speed skaters, Sportspeople from Winnipeg
Anthony C. Beilenson	1932 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Los Angeles, United States representatives from California, Jewish American politicians, Politicians from New York, People from New Rochelle, New York, US Democratic Party politicians
Lois Capps	1938 births, Living people, United States representatives from California, Politicians from Wisconsin, US Democratic Party politicians
Jim Broyhill	1927 births, Living people, Businesspeople from North Carolina, United States representatives from North Carolina, United States senators from North Carolina, US Republican Party politicians
Maryon Pittman Allen	1925 births, 2018 deaths, American journalists, United States senators from Alabama, Writers from Alabama, Politicians from Mississippi, Writers from Mississippi, US Democratic Party politicians
Lauch Faircloth	1928 births, Living people, United States senators from North Carolina, Businesspeople from North Carolina, US Republican Party politicians
Joseph Tydings	1928 births, 2018 deaths, Cancer deaths in Washington, D.C., American adoptees, United States senators from Maryland, Politicians from North Carolina, US Democratic Party politicians, People from Asheville, North Carolina
Richard C. Clark	1928 births, Living people, United States senators from Iowa, US Democratic Party politicians
Mehdi Mousavi	Iranian poets, Poets, Living people, 1976 births
Paul Wellstone	1944 births, 2002 deaths, Aviation deaths, American educators, American progressives, United States senators from Minnesota, US Democratic Party politicians, Politicians from Washington, D.C.
Rudy Boschwitz	1930 births, Living people, German Jews, Jewish American politicians, Naturalized citizens of the United States, People from New Rochelle, New York, Politicians from Berlin, Refugees from Nazism, United States senators from Minnesota, US Republican Party politicians
Mack Mattingly	1931 births, Living people, United States senators from Georgia, US Republican Party politicians, Politicians from Indiana
Tom Carper	1947 births, Living people, American military personnel of the Vietnam War, Governors of Delaware, Politicians from Virginia, United States representatives from Delaware, United States senators from Delaware, US Democratic Party politicians
Chris Coons	1963 births, Living people, United States senators from Delaware, Businesspeople from Connecticut, Businesspeople from Delaware, Politicians from Connecticut, US Democratic Party politicians
Alojz Benac	1992 deaths, 1914 births, Bosnia and Herzegovina writers, Bosnia and Herzegovina scientists
Brian Schatz	1972 births, Living people, United States senators from Hawaii, Politicians from Michigan, US Democratic Party politicians, People from Ann Arbor, Michigan, Lieutenant Governors of Hawaii
Joe Donnelly	1955 births, Living people, Politicians from New York, United States representatives from Indiana, United States senators from Indiana, US Democratic Party politicians
Rasha Sharbaji (director)	1975 births, Television directors, Living people, Syrian people
Ben Cardin	1943 births, Living people, Politicians from Baltimore, Maryland, United States representatives from Maryland, United States senators from Maryland, US Democratic Party politicians
Chris Van Hollen	1959 births, Living people, Harvard University alumni, United States representatives from Maryland, United States senators from Maryland, US Democratic Party politicians
Police state	Law, Government, Politics
Gary Peters	1958 births, Living people, American military people, United States representatives from Michigan, United States senators from Michigan, US Democratic Party politicians, People from Pontiac, Michigan, 20th-century American politicians, 21st-century American politicians
Jon Tester	1956 births, Living people, United States senators from Montana, American educators, People from Havre, Montana, US Democratic Party politicians
Heidi Heitkamp	1955 births, Living people, United States senators from North Dakota, Politicians from Minnesota, US Democratic Party politicians
Ron Wyden	1949 births, Living people, Politicians from Wichita, Kansas, Stanford University alumni, United States representatives from Oregon, United States senators from Oregon, US Democratic Party politicians
Mike Lee	1971 births, Living people, United States senators from Utah, People from Mesa, Arizona, Politicians from Arizona, US Republican Party politicians
Maria Cantwell	1958 births, Living people, Politicians from Indianapolis, Indiana, United States representatives from Washington, United States senators from Washington, US Democratic Party politicians
Florence Pendleton	1926 births, 2020 deaths, United States Shadow senators from District of Columbia, US Democratic Party politicians
Michael Donald Brown	1953 births, Living people, United States Shadow senators from District of Columbia, Politicians from Newark, New Jersey, Independent politicians in the United States
Paul Strauss	1964 births, Living people, United States Shadow senators from District of Columbia, Politicians from New York City, US Democratic Party politicians
Eddy Pauwels	1935 births, 2017 deaths, Belgian cyclists, People from Antwerp (province)
Ron Bass (wrestler)	1948 births, 2017 deaths, Deaths from appendicitis, Deaths from surgical complications, American wrestlers, Sportspeople from Arkansas, Sportspeople from Texas
Syed Sajjad Ali Shah	1933 births, 2017 deaths, Deaths from pneumonia, Pakistani politicians, Pakistani lawyers, People from Karachi
Helen Sommers	1932 births, 2017 deaths, Deaths from natural causes, Politicians from New Jersey, Politicians from Washington, US Democratic Party politicians
Douglas Henry	1926 births, 2017 deaths, Deaths from natural causes, American lawyers, US Democratic Party politicians, Politicians from Nashville, Tennessee
Lynne Stewart	1939 births, 2017 deaths, Deaths from stroke, Deaths from breast cancer, American criminals, American lawyers, American activists, Democrats (United States), People from Brooklyn
List of educational institutions in Karaikal, India	Karaikal District
Thanjavur Taluk	Taluks of Thanjavur district
Kumbakonam Taluk	Taluks of Thanjavur district
Orathanadu Taluk	Taluks of Thanjavur district
Arasalar River	Rivers of Puducherry
Shah Aqeeq Baba	1432 births, 1451 deaths, Saints, Asian Sufis, Muslims
Pir Baba	1431 births, 1502 deaths, Saints, Asian Sufis, Muslims
Thiruvalangadu	Tiruvallur District
Anna Nagar	Neighbourhoods of Chennai
Amir Ohana	1976 births, Living people, Gay Jews, Government ministers of Israel, Israeli lawyers, Israeli LGBT people, Jewish Israeli politicians, Jewish lawyers, LGBT lawyers, LGBT politicians, Likud politicians, Members of Knesset, People from Beer Sheba
Paper towel	Paper, Cleaning tools
Perryville, Missouri	Cities in Missouri, County seats in Missouri
Ronald Drever	1931 births, 2017 deaths, Deaths from dementia, Scottish scientists, British physicists
Juan Carlos Touriño	1944 births, 2017 deaths, Deaths from pancreatic disease, Argentine footballers, People from Buenos Aires
Horst Seehofer	1949 births, Living people, Former members of the German Bundestag, Government ministers of Germany, Ministers-President of Bavaria, Politicians from Bavaria, Politicians of the Christian Social Union of Bavaria
Fairfield, Vermont	Towns in Vermont
Samma dynasty	Former monarchies of Asia, 1350s establishments, 1520s disestablishments in Asia, Former countries in Asia, Former countries in South Asia, Sindh
Per-Bast	Ancient Egypt, Cities in Egypt
Robert D. Orr	1917 births, 2004 deaths, Deaths from surgical complications, Governors of Indiana, Ambassadors of the United States, Politicians from Michigan, People from Ann Arbor, Michigan, US Republican Party politicians
Ambergris	Toothed whales
Koyambedu	Neighbourhoods of Chennai
Keren Neubach	1970 births, Living people, Bisexual Jews, Israeli journalists, Israeli LGBT people, Jewish Israeli writers, LGBT journalists, Radio personalities, Tel Aviv University alumni, Television presenters
Samayapuram	Tiruchirapalli District
Thiruvallur district	Tiruvallur District
Kanyakumari district	Kanyakumari district
Havel	Geography of Berlin, Geography of Brandenburg, Geography of Mecklenburg-Vorpommern, Geography of Saxony-Anhalt, Rivers of Germany
Virtual DOS machine	Microsoft Windows software
Imambara Zadibal	Mosques in India, 1510s establishments, 16th century establishments in India
Windows on Windows	Microsoft software
Duenos inscription	Latin language
Syria Direct	Establishments in Jordan, Establishments in Syria, Journalism, Media in Asia, 2013 establishments in Asia
Dunn index	Algorithms, Statistics
Alejandra Soler	1913 births, 2017 deaths, Deaths from myocardial infarction, Communists, Spanish politicians, Centenarians
Dave Valentin	Grammy Award winners, 1952 births, 2017 deaths, Deaths from stroke, Deaths from Parkinson's disease, American jazz musicians, Musicians from New York City
Anthony Delhalle	1982 births, 2017 deaths, Deaths in sport, French sportspeople, People from Centre-Val de Loire
Nagapattinam district	Nagapattinam district
Bill Leak	1956 births, 2017 deaths, Deaths from myocardial infarction, Australian artists, Cartoonists, People from Adelaide
Thoothukudi district	Thoothukudi District
Thoothukudi	Thoothukudi District
Tiruvallur	Tiruvallur District
Namakkal district	Namakkal district
Olfactory bulb	Anatomy of the brain, Sensory system
Sephardi Jews	Jewish ethnic groups, European Jews
Shas	1984 establishments, 20th century establishments in Israel, Judaism in Israel, Political parties in Israel, Zionist parties
