Remo Sernagiotto	1955 births, 2020 deaths, Former MEPs, MEPs for Italy, Deaths from myocardial infarction
David Gergen	1942 births, Living people, American political commentators, American educators, CNN people, White House Communications Directors, Politicians from North Carolina, Writers from North Carolina, Politicians from Massachusetts, Writers from Massachusetts, Businesspeople from Massachusetts, Businesspeople from North Carolina, Independent politicians in the United States, People from Durham, North Carolina
Ann Lewis	1937 births, Living people, American political commentators, American political writers, American television writers, Politicians from New Jersey, White House Communications Directors, Politicians from Massachusetts, Writers from Massachusetts, Writers from New Jersey, US Democratic Party politicians, People from Jersey City, New Jersey, Jewish American politicians, Jewish American writers
Bill Shine	1963 births, American television producers, Fox News people, Living people, White House Communications Directors, Businesspeople from New York City, Politicians from New York City, US Republican Party politicians
Farmingville, New York	Hamlets in New York, Census-designated places in New York (state)
East Farmingdale, New York	Hamlets in New York, Census-designated places in New York (state)
Elissa Slotkin	1976 births, Living people, United States representatives from Michigan, Politicians from New York City, People from Lansing, Michigan, US Democratic Party politicians
Emily W. Murphy	1973 births, Living people, American lawyers, Politicians from St. Louis, Missouri, Businesspeople from St. Louis, Missouri, US Republican Party politicians
Pearson product-moment correlation coefficient	Mathematics
Purna Swaraj	History of India, British India, Government of India
Michael Dubke	1970 births, Living people, Politicians from New York, Businesspeople from New York, White House Communications Directors, US Republican Party politicians
Hamburg (village), New York	Villages in New York
Hamburg, New York	Towns in New York
David Yong	Singaporean businesspeople
Gerald P. Carmen	1930 births, Living people, Businesspeople from Massachusetts, Businesspeople from New Hampshire, Politicians from Massachusetts, Politicians from New Hampshire, US Republican Party politicians, Ambassadors of the United States
General Services Administration	United States government agencies
Whitewater controversy	1992 in the United States, Political scandals in the United States, Bill Clinton, Hillary Rodham Clinton, Arkansas
Guyanese Americans	Ethnic groups in the United States
Jamaican Americans	Ethnic groups in the United States
West Indian Americans	Ethnic groups in the United States
Hypogamy	Sociology
Moldovan Americans	Ethnic groups in the United States
Mediterranean tree frog	Animals of Africa, Animals of Europe, Frogs
Azerbaijani Americans	Ethnic groups in the United States
Lebanese Americans	Ethnic groups in the United States
Argentine Americans	Ethnic groups in the United States
Types of crushing machines	Machines
Bisection method	Calculus
Deaths in 2021	2021 deaths, September 2021 events
Deaths in January 2021	2021 deaths, January 2021 events
Deaths in February 2021	2021 deaths, February 2021 events
Deaths in March 2021	2021 deaths, March 2021 events
Deaths in April 2021	2021 deaths, April 2021 events
Deaths in May 2021	2021 deaths, May 2021 events
Deaths in June 2021	2021 deaths, June 2021 events
Deaths in July 2021	2021 deaths, July 2021 events
Deaths in August 2021	2021 deaths, August 2021 events
Nernst equation	Equations, Electricity, Physical chemistry, Electromagnetism
Angle grinder	Cutting tools
Demis Hassabis	1976 births, British computer scientists, Fellows of the Royal Society, Living people
George Carter (basketball)	1944 births, 2020 deaths, Detroit Pistons players, Sportspeople from Buffalo, New York, Sportspeople from New York City
Eduardo Lourenço	1923 births, 2020 deaths, Portuguese writers, Philosophers, Critics, Portuguese educators, Essayists
November 2020 lunar eclipse	November 2020 events, Eclipses, 2020 in Asia, 2020 in Europe
DeepMind	2010 establishments in the United Kingdom, Companies of the United Kingdom, Artificial intelligence
Miguel Algarín	1941 births, 2020 deaths, Puerto Rican people, American historians, American poets, American educators, American playwrights, American editors, American critics, Writers from New York City, Deaths from sepsis
Jim McFarland	1947 births, 2020 deaths, American football tight ends, Buffalo Bills players, Miami Dolphins players, Arizona Cardinals players, State legislators of the United States, Politicians from Omaha, Nebraska, People from North Platte, Nebraska, US Democratic Party politicians, Deaths from pancreatic cancer
Dieter Popp	1938 births, 2020 deaths, German businesspeople, Spies, People from Bonn, German politicians
Clifton Bertrand	1936 births, 2020 deaths, Trinidad and Tobago sportspeople, Olympians, Sprinters
Shams Badran	1929 births, 2020 deaths, Egyptian politicians, Egyptian military people
KaTeX	Free software, JavaScript
Miša Aleksić	1953 births, 2020 deaths, Serbian singers, Serbian musicians, Songwriters, Guitarists, Rock singers, Rock musicians, Deaths from the COVID-19 pandemic in Serbia
José Rafael Barquero Arce	1931 births, 2020 deaths, Roman Catholic bishops, Costa Rican people
Marco Dino Brogi	1932 births, 2020 deaths, Italian Roman Catholics, Roman Catholic bishops, People from Cairo
Delian League	Ancient Greece, 5th-century establishments, 5th-century disestablishments
Irina Antonova	1922 births, 2020 deaths, Deaths from the COVID-19 pandemic in Russia, Russian historians
Dee Benson	1948 births, 2020 deaths, American judges, Politicians from Salt Lake City, Utah, US Republican Party politicians, Deaths from brain cancer
Sandy, Utah	Cities in Utah
Tan Eng Bock	1936 births, 2020 deaths, Singaporean people, Olympians, Water polo players
Ben Bova	1932 births, 2020 deaths, Deaths from pneumonia, Deaths from stroke, Deaths from the COVID-19 pandemic in the United States, American novelists, American science fiction writers, American editors, American critics, American essayists, American journalists, Writers from Philadelphia, Pennsylvania, Infectious disease deaths in Florida
Abhay Bharadwaj	1954 births, 2020 deaths, Deaths from the COVID-19 pandemic in India, Ugandan politicians, Indian politicians, Indian activists, Indian lawyers, People from Chennai
Tableau vivant	Performing arts
Gillette Stadium	2000s establishments in Massachusetts, 2002 establishments in the United States, National Football League venues, Football stadiums in the United States, Buildings and structures in Massachusetts, New England Patriots
LockWiper	Software
Thomas and the Magic Railroad	2000 animated movies, 2000s adventure movies, 2000s fantasy movies, American adventure movies, American animated movies, American fantasy movies, British adventure movies, British animated movies, British fantasy movies, Crossover movies, English-language movies
Turtles Forever	2009 animated movies, 2000s television movies, Animated Teenage Mutant Ninja Turtles movies, Superhero crossover movies, American animated movies, American television movies
The Nightmare Begins	2001 television episodes
Scary Movie 2	2001 comedy movies, 2000s parody movies, American comedy movies, American parody movies, Buena Vista International movies, English-language movies
Marcus Terentius Varro	2nd century BC births, 1st century BC deaths, Ancient Roman writers
Cassie Cage	Fictional American people, Fictional characters introduced in 2015, Mortal Kombat characters
Vipassana	Buddhist terminology
Ananke (mythology)	Greek mythology
1992 United Kingdom general election	1992 elections, United Kingdom general elections
1987 United Kingdom general election	1987 in Europe, 1980s in the United Kingdom, United Kingdom general elections
1983 United Kingdom general election	1983, 1980s in the United Kingdom, United Kingdom general elections
1400	years
Omnisexuality	Sexuality
Moller's tree frog	Animals of Europe, Frogs
Multiracial American	Ethnic groups in the United States
My Grandfather's Clock	Music, Children's songs
Maltese Americans	Ethnic groups in the United States
Lithuanian Americans	Ethnic groups in the United States
Antica Dolceria Bonajuto	Sicily
Super Bowl XXXVIII halftime show controversy	Super Bowl, Controversies in the United States, 2004 in television, Janet Jackson, Justin Timberlake
Abdur Rahman Khan	History of Afghanistan
Blue Whale Challenge	Suicide
The Way It Is (Keyshia Cole album)	2005 albums
Arecibo Telescope	Telescopes, Puerto Rico
Pfizer–BioNTech COVID-19 vaccine	COVID-19 pandemic
Mony Elkaïm	1941 births, 2020 deaths, Moroccan scientists, Belgian scientists, People from Marrakesh
Bonifácio Piccinini	1929 births, 2020 deaths, Brazilian people, Roman Catholic archbishops
Peg Murray	Tony Award winning actors, 1924 births, 2020 deaths, American television actors, American stage actors, Actors from Denver, Colorado, Actors from New York City
Southold, New York	Towns in New York
Southold (CDP), New York	Census-designated places in New York (state)
Ali-Asghar Shahbazi	1922 births, 2020 deaths, Deaths from cardiopulmonary arrest, Iranian actors, People from Tehran
Liliane Juchli	1933 births, 2020 deaths, Deaths from the COVID-19 pandemic in Switzerland, Swiss writers, Nurses
Roger Chappot	1940 births, 2020 deaths, Olympians, Swiss ice hockey players, Deaths from the COVID-19 pandemic in Switzerland
Aleksandr Shatskikh	1974 births, 2020 deaths, Kazakhstani sportspeople
Anne Sylvestre	1934 births, 2020 deaths, Deaths from stroke, French singers, French songwriters, French musicians, Guitarists, People from Lyon
Dennis W. Sciama	1926 births, 1999 deaths, British physicists, People from Manchester, People from Oxford
Jane Hawking	1944 births, Living people, Educators, Writers from Hertfordshire, Autobiographers
Isaak Markovich Khalatnikov	1919 births, 2021 deaths, Soviet writers, Ukrainian scientists, Russian physicists, Ukrainian writers, Russian writers, Centenarians
Supreme Court of the United Kingdom	2009 establishments in the United Kingdom, Politics of the United Kingdom, National supreme courts
Luciano Guerzoni (born 1938)	1938 births, 2020 deaths, People from Naples, Italian politicians
Brian Kerr, Baron Kerr of Tonaghmore	1948 births, 2020 deaths, British lawyers, Northern Ireland politicians, British judges
Mohammad Maleki	1933 births, 2020 deaths, Deaths from cancer, Deaths from diabetes, Iranian people, Academics, Political activists
Erlend Rian	1941 births, 2020 deaths, Norwegian journalists, Norwegian politicians, Mayors, Editors
Henri Teissier	1929 births, 2020 deaths, People from Lyon, People from Algiers, French Roman Catholics, Roman Catholic bishops, Roman Catholic archbishops, Deaths from stroke
Moreirense F.C.	20th century establishments in Portugal, 1938 establishments in Europe, Portuguese football clubs
Mohamed Abarhoun	1989 births, 2020 deaths, Deaths from stomach cancer, Moroccan footballers
Hasna Begum	1935 births, 2020 deaths, Deaths from the COVID-19 pandemic in Bangladesh, Bangladeshi writers, Philosophers, Editors, Feminist writers, People from Dhaka
Boris Plotnikov	1949 births, 2020 deaths, Deaths from the COVID-19 pandemic in Russia, Soviet movie actors, Soviet television actors, Russian movie actors, Russian television actors, Russian stage actors
Defection	Politics by issue, Words
Paraguayan American	Ethnic groups in the United States
Dolichostyrax longipes	Polyphaga
Bullseye (mascot)	Target Corporation, Mascots, Dogs
Sabrina Ferilli	1964 births, Living people, Actors from Rome, Italian movie actors, Italian television actors, Italian stage actors, Italian voice actors
Hyla orientalis	Animals of Asia, Animals of Europe, Frogs
Flash (camera)	Photography
Ambiamory	Relationships
Romance (1930 movie)	1930 movies, 1930s drama movies, American drama movies, Movies based on plays, Movies directed by Clarence Brown
The Divorcee	1930 movies, 1930s drama movies, American drama movies, Movies based on books, Movies directed by Robert Z. Leonard, Movies about divorce
Disraeli (movie)	1929 movies, 1920s drama movies, American drama movies, Movies based on plays, Movies directed by Alfred E. Green
Malaya (movie)	1949 movies, 1940s war movies, 1940s adventure movies, American war movies, American adventure movies, World War II movies, Movies directed by Richard Thorpe
George Ross Anderson Jr.	1929 births, 2020 deaths, State legislators of the United States, American judges, Politicians from South Carolina, US Democratic Party politicians
United States District Court for the District of South Carolina	South Carolina
The Utah Kid	1930 movies, 1930s western movies, American western movies, Movies directed by Richard Thorpe
Hugh Keays-Byrne	1947 births, 2020 deaths, English movie actors, English television actors, English stage actors, English voice actors, English movie directors, Australian movie actors, Australian television actors, Australian stage actors, Australian voice actors, Australian movie directors, Naturalised citizens of Australia
Arnie Robinson	1948 births, 2020 deaths, American track and field athletes, American Olympic bronze medalists, American Olympic gold medalists, Sportspeople from San Diego, California
Walter E. Williams	1936 births, 2020 deaths, American academics, American economists, American political commentators, Writers from Philadelphia, Pennsylvania, Libertarians
Devon, Pennsylvania	Census-designated places in Pennsylvania
Chamalières	Communes in Puy-de-Dôme
MDH (spice company)	1910s establishments in India, 1919 establishments in Asia, Companies of India, Food companies, New Delhi
Dead End	1937 movies, 1930s crime movies, 1930s drama movies, American crime drama movies, Movies based on plays, Movies directed by William Wyler
Ankylosing spondylitis	Autoimmune diseases, Inflammation
Koba Davitashvili	1971 births, 2020 deaths, Politicians from Tbilisi, Political activists
Franco Giraldi	1931 births, 2020 deaths, Italian movie directors, Italian screenwriters
The First Degree	1923 movies, 1920s drama movies, American drama movies, American silent movies, Movies based on short stories, Movies directed by Edward Sedgwick
Maker of Men	1931 movies, 1930s drama movies, American drama movies, Movies directed by Edward Sedgwick
Warren Berlinger	1937 births, 2020 deaths, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York City
Brighton Rock (1947 movie)	1947 movies, 1940s crime movies, 1940s thriller movies, British crime movies, British thriller movies, Movies based on books, Movies directed by John Boulting
River of No Return	1954 movies, 1950s western movies, American western movies, 20th Century Fox movies, Movies directed by Otto Preminger, Movies directed by Jean Negulesco
Aldo Moser	1934 births, 2020 deaths, Italian cyclists, Deaths from the COVID-19 pandemic in Italy
Giovo	Settlements in Trentino-Alto Adige/Südtirol
Rafer Johnson	1934 births, 2020 deaths, African-American track and field athletes, African-American movie actors, American Olympic gold medalists, American Olympic silver medalists, Actors who played in James Bond movies, Actors from Texas, Sportspeople from Texas, Deaths from stroke, Cardiovascular disease deaths in Los Angeles, People from Hillsboro, Texas
George Plimpton	1927 births, 2003 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in the United States, American editors, American sports commentators, Journalists from New York City
Supraventricular tachycardia	Diseases
Yuvensius Alfonsius Biakai	1956 births, 2020 deaths, Indonesian politicians, Deaths from the COVID-19 pandemic in Indonesia
Frank Kramer (Dutch footballer)	1947 births, 2020 deaths, Deaths from stroke, Dutch footballers, Dutch television presenters, Sports commentators, Sportspeople from Amsterdam
Tommy Sandt	1950 births, 2020 deaths, Oakland Athletics players, Sportspeople from New York City
Giant planet	planets
June Rose Bellamy	1932 births, 2020 deaths, First Ladies, Burmese people, Socialites
Bronisław Dankowski	1944 births, 2020 deaths, Polish politicians
Maria Fyfe	1938 births, 2020 deaths, UK MPs 1987–1992, UK MPs 1992–1997, UK MPs 1997–2001, Democratic socialists, Political activists, Politicians from Glasgow
QAnon	Conspiracy theories, Donald Trump
Pizzagate conspiracy theory	Conspiracy theories, Hillary Rodham Clinton
Murder of Seth Rich	2016 in the United States, Conspiracy theories
Hot Jupiter	Planets
2016 Democratic National Committee email leak	2016 in the United States, 2016 United States presidential election, Bernie Sanders
Arabian tree frog	Animals of Europe, Frogs
Krusty the Clown (The Simpsons episode)	The Simpsons (season 30) episodes, 2018 television episodes
Separate Vocations	1992 television episodes, The Simpsons (season 3) episodes
Belgian Americans	Ethnic groups in the United States
Human Rights Party (United States)	Political parties in the United States
Unmarried	1939 movies, 1930s drama movies, American drama movies, Movies directed by Kurt Neumann
Three Girls Lost	1931 movies, 1930s drama movies, American drama movies, Movies directed by Sidney Lanfield
Half Angel (1936 movie)	1936 movies, 1930s comedy movies, American comedy movies, 20th Century Fox movies, Movies directed by Sidney Lanfield
SpaceX Starship	Spacecraft
You Only Live Once	1937 movies, 1930s crime movies, 1930s drama movies, American crime drama movies, Movies directed by Fritz Lang
The Good Earth (movie)	1937 movies, 1930s romance movies, 1930s drama movies, American romantic drama movies, Movies based on books, Movies directed by Victor Fleming, Movies directed by Gustav Machatý, Movies directed by Sidney Franklin
Conquest (1937 movie)	1937 movies, 1930s romance movies, 1930s drama movies, American romantic drama movies, Movies based on books, Movies directed by Clarence Brown, Movies directed by Gustav Machatý
Madame X (1937 movie)	1937 movies, 1930s drama movies, American drama movies, Movies based on plays, Movies directed by Sam Wood, Movies directed by Gustav Machatý
Loren Legarda	Filipino politicians
Skoliosexuality	Sexuality
The Black Watch	1929 movies, American adventure movies, 20th Century Fox movies, Movies based on books, Movies directed by John Ford
Josie Natori	Filipino businesspeople
Cat People	1942 movies, 1940s horror movies, American horror movies, Movies directed by Jacques Tourneur
Polygender	Gender
Robina Gokongwei-Pe	Filipino businesspeople
Saint Thomas Christians	Christian denominations, Ethnic groups in India
List of Family Guy episodes	Family Guy episodes, Lists of animated television series episodes, Lists of comedy television series episodes
Dolphin shorts	Trousers and shorts
Margaret Cavendish, Duchess of Newcastle-upon-Tyne	British nobility
Cape Feare	1993 television episodes, The Simpsons (season 5) episodes
House of Representatives of Fiji	Fiji
Senate of Fiji	Fiji
Suhaila Seddiqi	1949 births, 2020 deaths, Afghan writers, Afghan politicians, Deaths from Alzheimer's disease
Anand Singh	1948 births, 2020 deaths, Indian politicians, Lawyers, Fijian politicians
Giuseppe Dalla Torre	1943 births, 2020 deaths, Deaths from the COVID-19 pandemic in Italy, Italian educators, Italian lawyers, People from Rome
National Academy of Sciences of Ukraine	Establishments in Ukraine, 1918 establishments in Europe, National academies of sciences
Anatoly Samoilenko	1938 births, 2020 deaths, Ukrainian scientists, Mathematicians
André Gagnon	1936 births, 2020 deaths, Canadian composers, Conductors, Writers from Quebec, Deaths from dementia with Lewy bodies
Jutta Lampe	1937 births, 2020 deaths, German movie actors, German television actors, German stage actors
Alison Lurie	1926 births, 2020 deaths, American novelists, American educators, Writers from Chicago, Pulitzer Prize winners
Albert Salvadó	1951 births, 2020 deaths, Andorran people, European writers, Children's writers, Essayists, Engineering, Deaths from leukemia
Chris Krebs	1977 births, Living people, Politicians from Atlanta, Georgia, US Republican Party politicians, Businesspeople from Atlanta, Georgia, American lawyers
Monolith	Geological formations
Brian Deese	1978 births, Living people, Politicians from Massachusetts, US Democratic Party politicians, Directors of the National Economic Council
Gitanjali Rao (scientist)	American inventors, Scientists from Colorado, 2005 births, Living people
Lone Tree, Colorado	Cities in Colorado
White hole	Cosmology
Sardinian tree frog	Animals of Europe, Frogs
Phumulani	Non-profit organizations of the United States, Domestic violence
(524522) 2002 VE68	Asteroids, Astronomical objects
Ciudad Nezahualcóyotl	Cities in Mexico, Settlements in Mexico (state)
Quasi-satellite	Astronomical objects
Manoj Sinha	1959 births, Living people, Lieutenant Governors of Jammu and Kashmir
Kirby Star Allies	2018 video games, Nintendo Switch games, Kirby
Albanian Americans	Ethnic groups in the United States
Dharampal Gulati	1923 births, 2020 deaths, Deaths from cardiac arrest, Indian businesspeople, Indian philanthropists
Kwansei Gakuin University	Colleges and universities in Japan
Ethnic clashes of Târgu Mureș	1990 in Europe, Romania
Târgu Mureș	Cities in Romania
Bulgarian Americans	Ethnic groups in the United States
Betsy Wade	1929 births, 2020 deaths, American columnists, Journalists from New York City, Deaths from colorectal cancer, Cancer deaths in New York City
Narinder Singh Kapany	1926 births, 2020 deaths, Indian philanthropists, Indian businesspeople, American philanthropists, Businesspeople from California, Naturalized citizens of the United States
Victorino Mapa	1927 deaths, Filipino people, 1855 births
Alejandro Melchor	1947 deaths, 1900 births, Filipino people
Harold Arboleda	Filipino sportspeople
Alexander Nikolayevich Mikhailov	1951 births, 2020 deaths, Russian politicians
Francisco de Zurbarán	1598 births, 1664 deaths, Spanish painters
Authon, Loir-et-Cher	Communes in Loir-et-Cher
120347 Salacia	Astronomical objects
Phillip Martin Brown	1956 births, Actors from Manchester, English television actors, English movie actors, Living people, People with epilepsy
Christine Tremarco	1977 births, Living people, English child actors, English television actors, English movie actors, Actors from Liverpool, People from Merseyside
Digital distribution	Technology, File sharing
225088 Gonggong	Dwarf planets
Sue Devaney	1967 births, Living people, English child actors, English television actors, English voice actors, English stage actors, Actors from Greater Manchester, Actors from Lancashire
Rachel Leskovac	1976 births, Living people, English television actors, Actors from Bradford
Angela Griffin	1976 births, Living people, English child actors, English television actors, Actors from Leeds
Jason Done	1973 births, Living people, English child actors, English television actors, Actors from Greater Manchester, People from Lancashire
Blockade (1938 movie)	1938 movies, 1930s war movies, 1930s drama movies, American war movies, American drama movies, Movies directed by William Dieterle
Kung Fu Panda 3	2016 animated movies, American animated movies, Chinese animated movies, Martial arts movies
Saigon railway station	Railway stations in Asia, Rail transport in Asia, Buildings and structures in Vietnam
Rico Torres	Colombian entertainers, 1995 births, American actors, Living people
Andrea Torres	Filipino actors, 1990 births
North Korean defectors	History of North Korea
Alexander's Ragtime Band	1938 movies, 1930s musical movies, American musical movies, 20th Century Fox movies, Movies directed by Henry King
Where No Vultures Fly	1951 movies, 1950s adventure movies, British adventure movies
They Gave Him a Gun	1937 movies, 1930s crime movies, 1930s drama movies, American crime drama movies, Movies based on books, Movies directed by W. S. Van Dyke
Pamela Tiffin	1942 births, 2020 deaths, American models, American movie actors, American television actors, American stage actors, Actors from Oklahoma City
Pyramid of Neferirkare	Pharaohs
Bill Fitsell	1923 births, 2020 deaths, Canadian journalists, Canadian historians, Writers from Ontario
(307261) 2002 MS4	Kuiper belt objects, Possible dwarf planets
Larry Dixon (politician)	1942 births, 2020 deaths, State legislators of the United States, Politicians from Oklahoma, Politicians from Alabama, US Republican Party politicians
Terry Everett	1937 births, Living people, United States representatives from Alabama, US Republican Party politicians, Businesspeople from Alabama, Real estate developers
Antonín J. Liehm	1924 births, 2020 deaths, Publishers, Translators, Czech educators, Writers from Prague
Ron Mathewson	1944 births, 2020 deaths, Scottish musicians, Jazz musicians, Guitarists, Deaths from the COVID-19 pandemic in the United Kingdom
Noelle (2019 movie)	2019 movies, Disney+ movies, Christmas movies, American comedy movies
Jay Brazeau	1953 births, Living people, Canadian movie actors, Canadian television actors, Canadian voice actors, Canadian stage actors, Actors from Winnipeg
Julie Hagerty	1955 births, Living people, American movie actors, American stage actors, American television actors, American voice actors, Actors from Cincinnati, Ohio
Marriage Story	2019 drama movies, Movies composed by Randy Newman, American drama movies, Netflix movies, Movies about divorce, Movies set in Los Angeles, California, Movies set in New York City, American independent movies
Merritt Wever	1980 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York City
Robert Morris University Illinois	1960s establishments in Illinois, 1965 establishments in the United States, Colleges and universities in Chicago
Amazon Prime	2005 establishments in the United States, Amazon (company)
OnlyFans	Companies of the United Kingdom
Eduardo Cesti	1941 births, 2020 deaths, Deaths from diabetes, Peruvian entertainers, Movie actors, Television actors, People from Lima
Love Me Deadly	1972 horror movies, 1970s LGBT movies, American horror movies
Sherbaz Khan Mazari	1930 births, 2020 deaths, Pakistani politicians
Abusir Papyri	Ancient Egypt, Writing systems
Royal Panteon of San Isidoro	Roman Catholic Cathedrals, Middle Ages, Kingdom of León
Broadway Melody of 1936	1935 movies, 1930s musical movies, American musical movies, Movies directed by Roy Del Ruth
Birtamod	Municipalities of Nepal, Cities in Nepal
Damak	Municipalities of Nepal, Cities in Nepal
(55565) 2002 AW197	Kuiper belt objects, Possible dwarf planets
La Galatea	Novels, Spanish-language literature
Haitian American	Ethnic groups in the United States
Chelsee Healey	1988 births, Living people, English child actors, English television actors, Actors from Greater Manchester
Jamie Glover	1969 births, Living people, English child actors, English television actors, English stage actors, English movie actors, English voice actors, English radio actors, Actors from London
Jill Halfpenny	1975 births, Living people, English child actors, English television actors, English stage actors, People from Tyne and Wear
Send in Stewie, Please	Family Guy episodes, 2018 television episodes
Lost Horizon (1937 movie)	1937 movies, 1930s fantasy movies, 1930s adventure movies, 1930s drama movies, American fantasy movies, American adventure movies, American drama movies, Movies based on books, Movies directed by Frank Capra
Casual Game	Video games
Group 5 element	Chemical elements, Periodic table
One Hundred Men and a Girl	1937 movies, 1930s musical movies, 1930s comedy movies, American musical comedy movies, Movies directed by Henry Koster
Portuguese alphabet	Writing systems, Latin alphabet, Language
Stage Door	1937 movies, 1930s drama movies, American drama movies, Movies based on plays
A Star Is Born (1937 movie)	1937 movies, 1930s romance movies, 1930s drama movies, American romantic drama movies, Warner Bros. movies, Movies directed by Jack Conway, Movies directed by William A. Wellman
Genie (Disney)	Aladdin (Disney) characters, Fictional characters introduced in 1992, Kingdom Hearts characters
Whipsaw	1935 movies, 1930s romance movies, 1930s crime movies, 1930s drama movies, American romantic drama movies, American crime drama movies, Movies directed by Sam Wood
Tumen River	North Korea, Rivers of China, Rivers of Russia
Gwen Stacy	Characters created by Stan Lee, Fictional characters introduced in the 1960s, Marvel Comics characters, Marvel Comics movie characters
Yalu River	Rivers of China, North Korea
Korea Bay	Bays, Geography of China, North Korea
Air Force (movie)	1943 movies, 1940s war movies, 1940s action movies, American war movies, American action movies, World War II movies, Movies directed by Howard Hawks
Middle East tree frog	Animals of Asia, Frogs
Second Sea Lord and Deputy Chief of Naval Staff	Royal Navy, Military ranks
Norman Abramson	American engineers, American computer scientists, 1932 births, 2020 deaths, Scientists from Boston, Massachusetts
Sol Tolchinsky	1929 births, 2020 deaths, Deaths from the COVID-19 pandemic in Canada, Canadian basketball players, Canadian Olympians, Sportspeople from Montreal
T. B. Ekanayake	1954 births, 2020 deaths, Sri Lankan politicians
David Lander	1947 births, 2020 deaths, Deaths from multiple sclerosis, American movie actors, American television actors, American stage actors, American activists, Musicians from New York City, Comedians from New York City, Actors from New York City
François Leterrier	1929 births, 2020 deaths, French movie actors, French stage actors, French movie directors
Robert Bresson	1901 births, 1999 deaths, French movie directors
Bromont-Lamothe	Communes in Puy-de-Dôme
Ferenc Tóth (politician)	1950 births, 2020 deaths, Hungarian politicians, Hungarian engineers, Hungarian businesspeople, Deaths from the COVID-19 pandemic in Hungary
James Odongo	1931 births, 2020 deaths, Ugandan people, Roman Catholic bishops
Belinda Bozzoli	2020 deaths, 1945 births, South African politicians, South African writers, Deaths from cancer
Robert Castel	1933 births, 2020 deaths, French movie actors, French television actors, French stage actors, French comedians, People from Algiers
Ron Irwin	1936 births, 2020 deaths, Ambassadors of Canada, Politicians from Ontario
Henryk Kukier	1930 births, 2020 deaths, Polish Olympians, Boxers
Trader Horn	1931 movies, 1930s romance movies, 1930s adventure movies, American romance movies, American adventure movies, MGM movies, Movies based on books, Movies directed by W. S. Van Dyke
Ildikó Pécsi	1940 births, 2020 deaths, Hungarian movie actors, Hungarian politicians
Viktor Ponedelnik	1937 births, 2020 deaths, Soviet sportspeople, Russian footballers
Martin Sandoval	1964 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, State legislators of the United States, Politicians from Chicago, Criminals from Chicago, US Democratic Party politicians
