Mametz, Somme	Former communes in Somme
AI Song Contest	2020 establishments in Europe, AI Song Contest, Artificial intelligence
Charles Darrow	Businesspeople from Philadelphia, Pennsylvania, 1889 births, 1967 deaths
Baby Blue (group)	2020 establishments, Girl groups
Aachen dialect	Languages of Germany, German dialects, Aachen
The Knife (movie)	1961 drama movies, Dutch drama movies, Movies based on books, Movies directed by Fons Rademakers
Zus & Zo	2001 romance movies, 2001 comedy movies, 2000s romantic comedy movies, 2000s fantasy movies, 2000s LGBT movies, Dutch romance movies, Dutch comedy movies, Movies directed by Paula van der Oest
1st.One	Filipino boy bands, 2020 establishments, Musical groups established in 2020, Musical groups from Manila, Filipino pop music groups
Alamat (band)	P-pop, Boy bands, 2021 establishments, Alamat (band)
Homura (video game)	2005 video games, PlayStation 2 games, PlayStation 2-only games, Taito games, Video games developed in Japan
Nathaniel Walter Barnardiston	1858 births, 1919 deaths, British military personnel of World War I
The Man Who Sold His Skin	2020 drama movies, Tunisian movies, French drama movies, German drama movies, Belgian movies, Swedish movies, Turkish movies, Cypriot movies
Fivizzano	Settlements in Tuscany
Fosdinovo	Settlements in Tuscany
Manila in the Claws of Light	1975 drama movies, Filipino movies, Movies based on short stories, Movies directed by Lino Brocka
Dicomano	Settlements in Tuscany
Quo Vadis, Aida?	2020 drama movies, 2020s war movies, Bosnia and Herzegovina movies, Austrian movies, Romanian movies, Dutch drama movies, German drama movies, Polish movies, French drama movies, Norwegian movies, Turkish movies, Movies directed by Jasmila Žbanić
No Man's Land (2001 movie)	2001 comedy-drama movies, 2000s war movies, Bosnia and Herzegovina movies, French comedy movies, French drama movies, Belgian movies, Italian comedy movies, Italian drama movies, Slovenian movies, British war movies, British comedy movies, British drama movies, Movies directed by Danis Tanović
Licciana Nardi	Settlements in Tuscany
Mulazzo	Settlements in Tuscany
King of Thieves (2004 movie)	2004 drama movies, Slovakian movies, Czech movies, Slovenian movies, Dutch drama movies, Austrian movies, Belgian movies, German drama movies, French drama movies, Movies directed by Ivan Fíla
Hive (movie)	2021 movies, 2020s drama movies, Kosovan movies, Swiss movies, Albanian movies, Macedonian movies
God Exists, Her Name Is Petrunija	2019 drama movies, Macedonian movies, Belgian movies, Slovenian movies, Croatian movies, French drama movies
The Parade (movie)	2011 comedy-drama movies, 2010s LGBT movies, Serbian movies, Slovenian movies, Croatian movies, French comedy movies, French drama movies, Macedonian movies, British comedy-drama movies, British LGBT movies
Westland, Michigan	Cities in Michigan
Journey of Hope (movie)	1990 drama movies, Swiss movies, Turkish movies, British drama movies, French drama movies, Movies directed by Xavier Koller
Dangerous Moves	1980s sports movies, 1984 drama movies, Swiss movies, French drama movies, Liechtenstein movies
Crémery	Communes in Somme
Cressy-Omencourt	Communes in Somme
2021 Meron stampede	2021 disasters in Asia, 21st century in Israel, April 2021 events
Bob Baffert	1953 births, Living people, Sportspeople from Arizona
Medina Spirit	2018 births, Thoroughbred racehorses
Murder of Christopher Barrios Jr.	People murdered in the United States, Murdered children, 2001 births, 2007 deaths, 2007 crimes
Benalup-Casas Viejas	Municipalities in Andalusia
Windows Virtual PC	Microsoft Windows software
Eurovision Asia Song Contest	Music competitions
Croix-Moligneaux	Communes in Somme
Podenzana	Settlements in Tuscany
Tresana	Settlements in Tuscany
Villafranca in Lunigiana	Settlements in Tuscany
Zeri	Settlements in Tuscany
Arcidosso	Settlements in Tuscany
Campagnatico	Settlements in Tuscany
Liceo Tommaso Gulli	18th century establishments in Italy, 1935s establishments in Europe, 1835 establishments, Buildings and structures in Reggio Calabria
Croixrault	Communes in Somme
Curchy	Communes in Somme
Damery, Somme	Communes in Somme
Dancourt-Popincourt	Communes in Somme
Kilis	Cities in Turkey
Ajka	Cities in Hungary
Tallaght Stadium	Football stadiums in Europe
Shochiku	1895 establishments, 1890s establishments in Asia, 19th century establishments in Japan
Dialectical materialism	Philosophy of science
Sophie Reynolds	Living people, American actors, Actors from Washington, American dancers, American television actors, American voice actors, 1999 births
Gamer's Guide to Pretty Much Everything	2010s American children's comedy television series, 2015 American television series debuts, 2017 American television series endings, Disney XD original programming, English-language television programs, Television series by It's a Laugh Productions, Television shows about video games
Daours	Communes in Somme
Davenescourt	Communes in Somme
San Francisco de Borja Municipality	Municipalities of Chihuahua
Démuin	Communes in Somme
Devise, Somme	Communes in Somme
Saint-Sauveur, Somme	Communes in Somme
Roundup (herbicide)	Chemical compounds, Agriculture
Metropolitan Waterworks Museum	Museums in Massachusetts, Buildings and structures in Boston, Massachusetts
KFConsole	KFC, Video game consoles
Lagoa Santa tree frog	Frogs, Animals of South America
Charny-Orée-de-Puisaye	2016 establishments in France, Communes in Yonne
Domart-en-Ponthieu	Communes in Somme
Guyencourt-sur-Noye	Communes in Somme
Domesmont	Communes in Somme
Ramburelles	Communes in Somme
Moonstruck	1987 romance movies, 1987 comedy movies, 1980s romantic comedy movies, American romantic comedy movies, MGM movies, Movies directed by Norman Jewison
Grouches-Luchuel	Communes in Somme
Belgentier	Communes in Var
Gassin	Communes in Var
Dominois	Communes in Somme
Phalène	Spaniels
Merzig	Merzig-Wadern, Towns in Saarland
Wadern	Towns in Saarland, Merzig-Wadern
Sarafina! (movie)	1992 movies, 1990s musical movies, South African movies, British musical movies, American musical movies, French movies, Movies about Apartheid, Movies directed by Darrell Roodt
DZMZ	Radio stations in the Philippines
Space Debris (video game)	PlayStation games, PlayStation-only games, 2000 video games, Action video games
Beckingen	Merzig-Wadern
Kakinoki Shogi	PlayStation games, Sega Saturn games, Super Nintendo Entertainment System games, 1994 video games, 1995 video games, Puzzle video games, Board games
Kakinoki Shogi II	PlayStation-only games, PlayStation games, 1998 video games, Japan exclusive video games
Totally Spies! Totally Party	PlayStation 2 games, Wii games, 2007 video games, 2008 video games
Nekketsu Oyako	PlayStation games, Sega Saturn games, Japan exclusive video games, 1994 video games, 1995 video games
Plunder Road	1957 movies, 1950s crime movies, American crime movies, 20th Century Fox movies
The Man with Two Brains	1983 comedy movies, 1983 science fiction movies, 1980s black comedy movies, American black comedy movies, American science fiction movies, Warner Bros. movies, Movies directed by Carl Reiner
Securities fraud	Organized crime
Diet in diabetes	Diets, Diabetes mellitus
TwinBee Taisen Puzzle-Dama	PlayStation games, PlayStation-only games, 1994 video games, Puzzle video games, Japan exclusive video games
Twin Goddesses	PlayStation games, PlayStation-only games, 1994 video games, Japan exclusive video games
Europe Racing	PlayStation games, 2001 video games, Racing video games
Conquest of the Planet of the Apes	1972 science fiction movies, Planet of the Apes movies, 20th Century Fox movies, Movies directed by J. Lee Thompson
Moorhuhn X	2003 video games, 2005 video games, PlayStation games, PlayStation 2 games, Mobile phones, Action video games
N. V. Ramana	1957 births, Living people
Virbhadra Singh	1934 births, 2021 deaths, Deaths from the COVID-19 pandemic in India, Indian politicians
Rampur, Himachal Pradesh	Himachal Pradesh
Daniel Sanfourche said de Lamothe	1683 births, 1763 deaths
Fortune Street (video game)	Wii games, Wii-only games, 2011 video games, Nintendo, Party video games, Board games
Itadaki Street DS	Nintendo DS games, Nintendo DS-only games, 2007 video games, Board games, Party video games, Japan exclusive video games
Anton Du Beke	1966 births, Living people, British dancers, British television presenters
Four Heavenly Kings	Buddhism
Aberaeron	Towns in Ceredigion
Flint, Flintshire	Towns in Flintshire
The Aquarium	2008 drama movies, Egyptian movies, French drama movies, German drama movies, Movies directed by Yousry Nasrallah
2021 Colombian protests	2021 crimes, 2021 in South America, 2020s riots, April 2021 events, Arson, Crime in South America, History of Colombia, June 2021 events, May 2021 events, Protests in 2021
2021 Kyrgyzstan–Tajikistan conflict	2021 in Asia, 2020s in Kyrgyzstan, History of Tajikistan, April 2021 events, May 2021 events
Sun God	Mythology
Iain Rankin (politician)	Living people, 1983 births, Premiers of Nova Scotia
Caroline Cochrane	1960 births, Living people, Premiers of the Northwest Territories
Andrew Furey	1970s births, Living people, Premiers of Newfoundland and Labrador
Anura Bandaranaike	Sri Lankan politicians
Murder of Zachary Turner	2002 births, 2003 deaths, Murder in Canada
Salem Spartans	Tamil Nadu Premier League
Habesha Community	Ethnic groups in Africa
Lesser tree frog	Frogs, Animals of South America
Arc length	Mathematics, Measurement
Brunton Park	Football stadiums in the United Kingdom
2021–22 Fußball-Bundesliga	Bundesliga seasons
Missions of California	History of California
TextSecure	Messaging, Instant messaging software
Kabiru Bala	1964 births, Living people
Attahiru Bafarawa	1954 births, Living people
Conus adversarius	Gastropods
Save Your Tears	2020 songs, 2021 songs, The Weeknd, Ariana Grande songs, Synth-pop
Reggae rock	Reggae music, Rock music
Power pop	Pop rock
Hiroyuki Ôta	Japanese actors, 1947 births, Living people
Corn smut	Diseases and disorders of plants, Fungi
I Am Peter, Hear Me Roar	Family Guy episodes, 2000 television episodes
Kevin Carrigan	American actors, People from Memphis, Tennessee
Sacred language	Languages, History of religion
Meitei Vaishnavism	Meitei culture, History of Manipur
Ahmed Musa	1992 births, Living people, Nigerian footballers
Femi Hamzat	1964 births, Living people, Nigerian politicians
Balogun Market	Nigeria
Dressmaker	Fashion designers
Isomerization	Chemistry
Meitei wedding	Meitei culture, Meitei religion
Super Mario Bros. 35	2020 video games, Mario video games, Nintendo Switch-only games, Nintendo video games
The Man Who Saved The World	1982 action movies, 1982 science fiction movies, 1980s adventure movies, Turkish movies, Star Wars, Apocalyptic movies
Adlai Stevenson IV	American businesspeople, 1956 births, Living people
Rakesh Roshan	Indian movie actors, Indian screenwriters, Indian movie directors, Indian movie producers, 1949 births, Living people
Chinese Singaporeans	Overseas Chinese, Chinese people
Dendropsophus rozenmani	Frogs, Animals of South America
GfK Entertainment	Baden-Baden, Companies of Germany
Michael Bisping	1979 births, Living people, Mixed martial artists, Sportspeople from Lancashire
Shaun Murphy	1982 births, Living people, Snooker players, Sportspeople from Essex
Mexico City Metro	Mexico City
Mexico City Metro overpass collapse	2021 in North America, 21st century in Mexico, Disasters in Mexico, 2020s disasters in North America, May 2021 events, Mexico City, Railway accidents in North America
City of London swords	City of London, Swords
Nikki Fried	1977 births, Living people, American lawyers, Politicians from Miami, Florida, People from Fort Lauderdale, Florida, US Democratic Party politicians, State legislators of the United States
Reggae fusion	Reggae music
The Scorpio (movie)	1984 movies, 1980s thriller movies, Dutch movies, Movies directed by Ben Verbong
Cholecystitis	Diseases and disorders of the digestive system, Inflammation
The Girl with the Red Hair	1981 drama movies, 1980s war movies, 1980s biographical movies, Dutch drama movies, World War II movies, Movies based on books, Movies directed by Ben Verbong
Taça da Liga	Establishments in Portugal, 2007 establishments in Europe, 2007 in association football, Football competitions, Football in Portugal
Barreiro, Portugal	Cities in Portugal, Municipalities of Portugal
Potloi (costume)	Meitei culture
Kingdom in the Clouds	1969 movies, 1960s fantasy movies, Romanian movies, Russian movies, Movies directed by Elisabeta Bostan
Cairo Station	1958 drama movies, 1950s crime movies, Egyptian movies, Movies directed by Youssef Chahine
The Blazing Sun (1954 movie)	1954 drama movies, 1950s romantic drama movies, Egyptian movies, Movies directed by Youssef Chahine
Doris Leuthard	1963 births, Presidents of the Swiss Confederation, Swiss lawyers, Living people
The Angel of Mercy	1946 movies, 1940s drama movies, Egyptian movies, Movies directed by Youssef Wahbi
In Your Hands	1960 comedy movies, 1960s romantic comedy movies, Egyptian movies, Movies directed by Youssef Chahine
Aggtelek	Villages in Hungary
Jean Muir	1928 births, 1995 deaths, British fashion designers
A. & L. Tirocchi Gowns	Dresses, Manufacturing, Rhode Island
Carb loading	Carbohydrates
Alice Palmer	American politicians
Robert Lustig	1957 births, American physicians, Diets, People from Brooklyn, Living people
Ryan Potter	1995 births, American child actors, American movie actors, American martial artists, American television actors, American voice actors, Actors from Los Angeles, California, Actors from Portland, Oregon, Jewish American actors, Living people
The Bus (video game)	2021 video games, Simulator video games
Steve McKean	1940s births, 2021 deaths, American basketball players, Coaches, Deaths from cancer, New Zealand sportspeople
Gyros (food)	Greek food, Meat dishes
Merten's yellow tree frog	Frogs, Animals of South America
Magua (clothing)	Clothing
2021 Peru bus crash	2021 disasters, 2021 in South America, 21st century in Peru, April 2021 events, Disasters in South America, Transport disasters
Hiʻiaka (moon)	Moons, Space, Astronomy
Pitch (resin)	Polymers
Destiny (1997 movie)	1997 drama movies, Egyptian movies, French drama movies, Movies directed by Youssef Chahine
Louis I, Duke of Bourbon	13th century births, 14th century deaths, Princes and princesses, French royalty
E♭(musical note)	Musical notes
Yalkaparidontia	Marsupials, Marsupials of Australia
Pomona (goddess)	Gods and goddesses, Roman mythology
Bedkot Municipality	Municipalities of Nepal
McStroke	Family Guy episodes, 2008 television episodes
U.S. economic performance under Democratic and Republican presidents	Economic history, History of the United States
James I, Count of La Marche	1319 births, 1362 deaths, Princes and princesses, French royalty
Pitch Lake	Lakes, Lakes_of_Trinidad_and_Tobago
Operational transformation	Computer science
J. Martin Hunter	Living people, 1937 births, British academics, British lawyers
Stephen M. Schwebel	American judges, People from New York City, 1929 births, Living people
Power Play	2003 action movies, 2003 movies, American action movies, Movies directed by Joseph Zito
Archezoa	Taxonomy, History of science
Jacques d'Amboise (dancer)	1934 births, 2021 deaths, Deaths from stroke, American dancers, American educators, American choreographers, American movie actors, American television actors, American stage actors, Actors from Massachusetts, Actors from New York City
Rulers of Ancient Manipur before Nongta Lailen Pakhangpa	Kings of Ancient Manipur, History of Manipur
Shavkat Mirziyoyev	1957 births, Living people, Presidents of Uzbekistan, Prime Ministers of Uzbekistan, Current national leaders
President of Uzbekistan	Presidents of Uzbekistan
Persian pop	Music genres, Pop music
Prime Minister of Uzbekistan	Prime Ministers of Uzbekistan
Abdulhashim Mutalov	1947 births, Prime Ministers of Uzbekistan, Living people
Abdulla Aripov	1961 births, Living people, Prime Ministers of Uzbekistan
Nigmatilla Yuldashev	1962 births, Living people, Presidents of Uzbekistan
Gulnara Karimova	1972 births, Living people, Uzbekistani people, Ambassadors, Criminals
Lola Karimova-Tillyaeva	Living people, 1978 births, Uzbekistani people, Philanthropists, Ambassadors
Vadim Schneider	1986 births, 2003 deaths, Accidental deaths in Canada, Actors from Quebec, Canadian television actors, Canadian voice actors, Child actors, Road accident deaths
President of Tajikistan	Presidents of Tajikistan
Rahmon Nabiyev	1930 births, 1993 deaths, Presidents of Tajikistan
Prime Minister of Tajikistan	Prime Ministers of Tajikistan
Akbar Mirzoyev	1939 births, Living people, Prime Ministers of Tajikistan
Jamshed Karimov	1940 births, Living people, Prime Ministers of Tajikistan
Oqil Oqilov	1944 births, Living people, Prime Ministers of Tajikistan
Romani people in Canada	Ethnic groups in Canada
Kokhir Rasulzoda	1959 births, Living people, Prime Ministers of Tajikistan
Steve McMichael	1957 births, Living people, New England Patriots players, Chicago Bears players, Green Bay Packers players, American professional wrestlers, American sports commentators, Sportspeople from Chicago, Politicians from Chicago, Sportspeople from Houston, Texas, Politicians from Houston, Texas, American football defensive tackles
Romeoville, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois
Lynn Conway	1938 births, Living people, American computer scientists, Engineers from New York, American LGBT rights activists, Transgender and transsexual people, LGBT scientists, American inventors, Scientists from New York, People from Mount Vernon, New York, LGBT people from New York, Writers from New York, American academics, LGBT writers
Carver Mead	1934 births, Living people, Engineers from California, American computer scientists, American academics, Scientists from California, Writers from California, People from Bakersfield, California
Ann Bannon	1932 births, Living people, American academics, American feminist writers, American LGBT rights activists, Lesbian feminists, LGBT academics, LGBT people from Illinois, LGBT writers, People from Joliet, Illinois, Women linguists, Writers from Illinois
Natalia Poklonskaya	1980 births, Living people, Russian politicians, Russian military people, Russian lawyers, Ukrainian military people
Nikita Mikhalkov	1945 births, Living people, Russian movie actors, Russian movie directors, Russian movie producers, Russian screenwriters, Cinematographers, Actors from Moscow, Writers from Moscow, Academy Award winning directors
2019 in Angola	History of Angola, 2019 in Africa
Black Adam (movie)	American superhero movies, DC Extended Universe movies, Warner Bros. movies, Movies directed by Jaume Collet-Serra
The Flash (movie)	2022 movies, American superhero movies, DC Extended Universe movies, Warner Bros. movies
Don (2006 Hindi movie)	2006 movies, Hindi-language movies, Indian movies
Supergirl	DC Comics superheroes
Sasha Calle	Living people, 1995 births, Actors from Boston, Massachusetts, American television actors, American movie actors
Maribel Verdú	1970 births, Living people, Spanish movie actors, Spanish television actors, Spanish voice actors, Spanish stage actors, Actors from Madrid
Iris West	Fictional characters introduced in the 1950s, DC Comics characters
Daniel Maldini	Italian footballers, 2001 births
Godot	Video game technology
Floride Calhoun	Second Ladies of the United States, 1792 births, 1866 deaths
Executioner tree frog	Frogs, Animals of South America
Euskirchen	Euskirchen (district), Towns in North Rhine-Westphalia
Amrish Puri	Indian actors
Bad Münstereifel	Spa towns in Germany, Euskirchen (district)
Mechernich	Towns in North Rhine-Westphalia, Euskirchen (district)
Killing of Andrew Brown Jr.	1979 births, 2021 deaths, Police misconduct, People shot dead by law enforcement officers in the United States, April 2021 events, 2021 in the United States, 21st century in North Carolina
Zero-coupon bond	Finance
2021 Rio de Janeiro shootout	2020s in Brazil, 2021 in South America, 2021 mass shootings, Crime in South America, May 2021 events, Rio de Janeiro
Francis, Duke of Châtellerault	1492 births, 1515 deaths, House of Bourbon, House of Bourbon-Montpensier, House of Capet, Capetian dynasty, French royalty, French nobility, 16th-century peers of France, Dukes of Châtellerault, Military leaders of the Italian Wars, Military personnel killed in action
Cadet branch	Nobility, Genealogy
The Man Who Would Be King	1975 movies, 1970s adventure movies, British adventure movies, American adventure movies, Movies based on books, Movies set in Afghanistan, Movies directed by John Huston
Five Nights at Candy's	Games
European Institute for International Law and International Relations	International relations, 2008 establishments in Europe
Killing of Ma'Khia Bryant	2021 in the United States, 2021 deaths, April 2021 events, 2004 births, 2021 crimes
Central, Louisiana	Cities in Louisiana
Twait shad	Edible fish, Clupeiformes, Threatened species
Pac-Man (character)	Video game characters
Power pellets	Video game gameplay
Follonica	Towns in Tuscany
Capalbio	Settlements in Tuscany
The Corn Harvesters (Filippini)	Paintings by Francesco Filippini
Castel del Piano	Settlements in Tuscany
Scutching of the canapa (Filippini, Pinacoteca di Brera)	Paintings by Francesco Filippini
The Trip hammer (Filippini, Pinacoteca di Brera)	paintings by Francesco Filippini
Nino Camardo	1949 births, Living people
Life and Extraordinary Adventures of Private Ivan Chonkin	1994 comedy-drama movies, 1990s war movies, Russian movies, Czech movies, British war movies, British comedy-drama movies, French comedy movies, French drama movies, Italian comedy movies, Italian drama movies, Movies based on books, Movies directed by Jiří Menzel
Johnny Destiny, Space Ranger	1979 movies, 1983 movies, American action movies, American science fiction movies, South Korean movies
Rivers of Babylon (movie)	1998 comedy movies, Slovakian movies, Czech movies, Movies based on books, Movies directed by Vlado Balco
Vrahovice	Villages in the Czech Republic
Veronica se întoarce	1973 movies, 1970s fantasy movies, 1970s musical movies, Romanian movies, Movies directed by Elisabeta Bostan
San Carlos tree frog	Frogs, Animals of South America
Gnocchi	Italian food
Castell'Azzara	Settlements in Tuscany
Castiglione della Pescaia	Settlements in Tuscany
Cinigiano	Settlements in Tuscany
Civitella Paganico	Settlements in Tuscany
Gavorrano	Settlements in Tuscany
Magliano in Toscana	Settlements in Tuscany
Manciano	Towns in Tuscany
Massa Marittima	Towns in Tuscany
Monte Argentario	Settlements in Tuscany
Schleiden	Euskirchen (district), CS1 German-language sources (de), Coordinates on Wikidata
Monterotondo Marittimo	Settlements in Tuscany
Montieri	Settlements in Tuscany
Pitigliano	Towns in Tuscany
Roccalbegna	Settlements in Tuscany
Zülpich	Euskirchen (district), Towns in North Rhine-Westphalia, CS1 German-language sources (de), Coordinates on Wikidata
Roccastrada	Settlements in Tuscany
Santa Fiora	Settlements in Tuscany
Scansano	Settlements in Tuscany
Seggiano	Settlements in Tuscany
Semproniano	Settlements in Tuscany
Sorano	Settlements in Tuscany
Laterina Pergine Valdarno	2010s establishments in Italy, 2018 establishments in Europe, Settlements in Tuscany
Blankenheim, North Rhine-Westphalia	Euskirchen (district), CS1 German-language sources (de), Coordinates on Wikidata, Municipalities in North Rhine-Westphalia
Laterina	Former municipalities of Tuscany
Pergine Valdarno	Former municipalities of Tuscany
Dahlem, North Rhine-Westphalia	Euskirchen (district), Municipalities in North Rhine-Westphalia, CS1 German-language sources (de), Coordinates on Wikidata
Castelfranco di Sopra	Former municipalities of Tuscany
San Giovanni Valdarno	Towns in Tuscany
Domléger-Longvillers	Communes in Somme
Dommartin, Somme	Communes in Somme
Ranveer Singh	Indian movie actors, 1985 births, Living people
Dommartin, Doubs	Communes in Doubs
RSGC1-F01	Supergiants
Dommartin-le-Franc	Communes in Haute-Marne
Domqueur	Communes in Somme
Dompierre-aux-Bois	Communes in Meuse
Dompierre-les-Tilleuls	Communes in Doubs
Dompierre-les-Églises	Communes in Haute-Vienne
Dompierre-les-Ormes	Communes in Saône-et-Loire
Dompierre-sous-Sanvignes	Communes in Saône-et-Loire
Dompierre-sur-Charente	Communes in Charente-Maritime
Lunel	Communes in Hérault
Les Adrets-de-l'Estérel	Communes in Var
Hellenthal	Euskirchen (district), Municipalities in North Rhine-Westphalia, CS1 German-language sources (de), Coordinates on Wikidata
Kall, North Rhine-Westphalia	Euskirchen (district), Municipalities in North Rhine-Westphalia, CS1 German-language sources (de), Coordinates on Wikidata
Jim Cawley	Lieutenant Governors of Pennsylvania, 1969 births, Living people, US Republican Party politicians
Douilly	Communes in Somme
Dreuil-lès-Amiens	Communes in Somme
Dury, Somme	Communes in Somme
Société Générale	19th century establishments in France, 1864 establishments in Europe, Companies of France, Banks
Compression artifact	Data structures
Eaucourt-sur-Somme	Communes in Somme
L'Échelle-Saint-Aurin	Communes in Somme
Éclusier-Vaux	Communes in Somme
Lloyd Price	1933 births, 2021 deaths, Deaths from diabetes, American R&B singers, American rock singers, American singer-songwriters, Businesspeople from Louisiana, Singers from Louisiana, Writers from Louisiana
Bobby Unser	1934 births, 2021 deaths, American racecar drivers, Formula One drivers, Sportspeople from Colorado, People from Colorado Springs, Colorado
Bermuda, Louisiana	Unincorporated communities in Natchitoches Parish, Louisiana
George Jung	1942 births, Living people, American people convicted of drug offenses, People from Boston, Massachusetts, Deaths from liver failure, Deaths from renal failure
Helen Murray Free	1923 births, 2021 deaths, American chemists, American academics, Scientists from Pittsburgh, Pennsylvania, Female scientists, American inventors, Deaths from stroke
Georgy Prokopenko	1937 births, 2021 deaths, Soviet Olympic silver medalists, Swimmers
Yitzhak Arad	1926 births, 2021 deaths, Israeli military people, Israeli historians, Israeli writers, Generals
Hohenwald, Tennessee	Cities in Tennessee, County seats in Tennessee
Jacksboro, Tennessee	Towns in Tennessee, County seats in Tennessee
Leonard Jeffries	1937 births, Living people, American academics, African American writers, American civil rights activists, Writers from Newark, New Jersey
Forever Yours (1959 movie)	1959 drama movies, 1950s romantic drama movies, Egyptian movies, Movies directed by Youssef Chahine
Benigno Aquino III 2010 presidential campaign	2010 in Asia, 2010s in the Philippines, Politics of the Philippines
The Emigrant (1994 movie)	1994 drama movies, Egyptian movies, French drama movies, Movies directed by Youssef Chahine
Shaggs' Own Thing	1982 albums, Compilation albums, Pop rock albums
The Indecent Woman	1991 thriller movies, 1991 drama movies, 1990s erotic movies, Dutch drama movies, Movies directed by Ben Verbong
Uncle Marin, the Billionaire	1979 comedy movies, Romanian movies, Movies directed by Sergiu Nicolaescu
Seixal	Cities in Portugal, Municipalities of Portugal
Badia Tedalda	Settlements in Tuscany
Bibbiena	Settlements in Tuscany
Bucine	Settlements in Tuscany
Castiglion Fiorentino	Towns in Tuscany
