Kristen Dalton (Miss USA)	1986 births, Beauty pageant winners, Actors from North Carolina, Living people
Jack McMullen	1991 births, Living people, English child actors, English television actors, English movie actors, English stage actors, English writers, Actors from Liverpool, People from Merseyside
Angus Deayton	1956 births, Living people, English television actors, English television presenters, English writers, English musicians, English comedians, Game show hosts, Actors from Surrey
2020 United States Senate election in Arkansas	2020 United States Senate elections, Arkansas
2020 United States Senate election in Colorado	2020 United States Senate elections, Colorado
Mona the Vampire	Television programs, Crossover animated television series
2020 United States Senate election in New Mexico	2020 United States Senate elections, New Mexico
Tractor S.C.	1970s establishments in Iran, 1970 establishments in Asia, Iranian football clubs, East Azarbaijan Province
Scarface (1932 movie)	1932 movies, 1930s crime movies, 1930s drama movies, American crime drama movies, Movies based on books, Movies directed by Howard Hawks, Movies directed by Richard Rosson, English-language movies, Black-and-white movies
Tom Chambers (actor)	1977 births, Living people, English television actors, Actors from Derbyshire
2020 United States Senate election in Delaware	2020 United States Senate elections, Delaware
Roman Catholic Archdiocese of Washington	Washington, D.C., Maryland, Roman Catholicism, Religion in the United States
Stonewall, Louisiana	Towns in Louisiana, Ark-La-Tex, Settlements in DeSoto Parish, Louisiana
Windows Whistler	Microsoft operating systems
Hot Shots Golf	Hot Shots Golf, Video game series
2020 United States Senate election in South Carolina	2020 United States Senate elections, South Carolina
Deezer D	1965 births, 2021 deaths, American movie actors, American television actors, American rap musicians from California, Musicians from Los Angeles, California, Singers from Los Angeles, California, Actors from Los Angeles, California
2020 United States Senate election in South Dakota	2020 United States Senate elections, South Dakota
Alina Sanko	1998 births, Living people, Russian models
Brian Wallows and Peter's Swallows	Family Guy episodes, 2002 television episodes
Sriwijaya Air Flight 182	2021 disasters in Asia, 2020s in Indonesia, Aviation disasters in Asia, Aviation disasters in the 2020s, Disasters in Indonesia, History of Java, Jakarta, January 2021 events
List of heat waves	Weather lists, Weather events, Severe weather
Haley Stevens	1983 births, US Democratic Party politicians, United States representatives from Michigan, People from Rochester Hills, Michigan, Living people
La Bourdonnais	Chess players
Swanson	American food companies
Margaret Hodge	1944 births, UK MPs 1992–1997, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–, Jewish British politicians, People from Cairo, Knights and Dames Commander of the Order of the British Empire, Living people
2020 United States Senate election in Tennessee	2020 United States Senate elections, 21st century in Tennessee
Sangria	Alcoholic drink
Cava	Wine, Spanish food, Catalonia
Lisa Whelchel	1963 births, Singers from Texas, American television actors, American movie actors, Actors from Fort Worth, Texas, Living people, American child actors, American Christians, Mouseketeers, Musicians from Fort Worth, Texas, Writers from Fort Worth, Texas, American bloggers
2020 United States Senate election in Texas	2020 United States Senate elections, 21st century in Texas
NCAA Award of Valor	Sports trophies and awards
2020 United States Senate election in Wyoming	2020 United States Senate elections, Wyoming
Shirley Horn	1934 births, 2005 deaths, Singers from Washington, D.C., American pianists, American jazz musicians, Deaths from breast cancer, Deaths from diabetes, Grammy Award winners
Debi Thomas	1967 births, African-American sportspeople, 1988 Winter Olympics, American Olympic bronze medalists, American figure skaters, People from Poughkeepsie, New York, Sportspeople from New York, People from San Jose, California, Sportspeople from California, Living people
Kimberly Elise	1967 births, African American actors, American television actors, American movie actors, Actors from Minneapolis, Minnesota, Living people
2020 United States Senate election in West Virginia	2020 United States Senate elections, West Virginia
2020 United States Senate election in Virginia	2020 United States Senate elections, Virginia
Tim Healy	1952 births, Living people, English television actors, English movie actors, English voice actors, People from Newcastle upon Tyne
Benidorm (TV series)	2007 British television series debuts, 2018 television series endings, 2000s British sitcoms, 2010s British sitcoms, English-language television programs
Liberia civil wars	Liberia, Civil wars
Sexology	Human sexuality
Kaitlyn Dever	1996 births, Award winning actors, American television actors, American movie actors, Actors from Phoenix, Arizona, Living people
2020 United States Senate election in North Carolina	2020 United States Senate elections, North Carolina
Utu (movie)	1983 drama movies, New Zealand movies, Movies directed by Geoff Murphy
The Red Lanterns	1963 drama movies, Greek movies, Movies based on plays, Movies directed by Vasilis Georgiadis
Girls in the Sun	1968 drama movies, Greek movies, Movies directed by Vasilis Georgiadis
2020 United States Senate election in Oregon	2020 United States Senate elections, Oregon
Brother's Little Helper	The Simpsons episodes, 1999 television episodes
Armenian mythology	Mythology
Standing (law)	Law
Gardena, California	Cities in California, Settlements in Los Angeles County, California
Bell Gardens, California	Cities in California, Settlements in Los Angeles County, California
Manhattan Beach, California	Cities in California, Settlements in Los Angeles County, California
Colin McDonald (Australian cricketer)	1928 births, 2021 deaths, Australian cricketers, Sportspeople from Victoria (Australia)
Azusa, California	Cities in California, Settlements in Los Angeles County, California
AOC International	20th century establishments in Taiwan, 1967 establishments in Asia, Companies of Taiwan, Electronics companies, Taipei
Hungarian Slovak Gypsies in the United States	Ethnic groups in the United States
Egyptian American	Ethnic groups in the United States
Arab American	Ethnic groups in the United States
Anitta (singer)	1993 births, Brazilian singers, Living people, Brazilian movie actors, Brazilian television actors, LGBT singers, People from Rio de Janeiro
Brazilian Americans	Ethnic groups in the United States
Brazilian food	Brazilian food
Flora and fauna of Brazil	Biology, Brazil
Tom Acker	1930 births, 2021 deaths, Cincinnati Reds players, Sportspeople from New Jersey, People from Paterson, New Jersey
Caernarvon Township, Lancaster County, Pennsylvania	Townships in Pennsylvania
C. George Boeree	1952 births, 2021 deaths, American academics, American psychologists, Cancer deaths in Pennsylvania, Deaths from pancreatic cancer, Naturalized citizens of the United States, People from North Holland, Scientists from Pennsylvania, Lingua Franca Nova
John Georgiadis	1939 births, 2021 deaths, British violinists, British conductors
Three Little Birds	1984 songs, Reggae songs
Saweetie	1993 births, American rap musicians from California, Living people, African-American rappers, American hip hop musicians
Vladimír Oplt	1937 births, 2021 deaths, Czech politicians
John Richardson (actor)	1934 births, 2021 deaths, English movie actors, English television actors, English stage actors, Deaths from the COVID-19 pandemic in the United Kingdom, Actors from Sussex
William Windham (rower)	1926 births, 2021 deaths, British Olympians, Sportspeople from Bedfordshire
Bobby Few	1935 births, 2021 deaths, American jazz singers, American jazz musicians, American pianists, Musicians from Cleveland, Ohio, Singers from Cleveland, Ohio
Edward Gnat	1940 births, 2021 deaths, Polish politicians, Deaths from the COVID-19 pandemic in Poland
Francis Hammel	1950 births, 2021 deaths, French politicians
Gord Renwick	1935 births, 2021 deaths, Canadian businesspeople, Ice hockey people from Ontario
Antonio Sabàto Sr.	1943 births, 2021 deaths, Deaths from the COVID-19 pandemic in the United States, Italian movie actors, Italian television actors, Italian stage actors, American movie actors, American television actors, American stage actors, Naturalized citizens of the United States
Antonio Sabàto Jr.	1972 births, Living people, Italian movie actors, Italian television actors, Italian models, Italian stage actors, Italian politicians, American movie actors, American television actors, American stage actors, Actors from California, Models from California, Actors from Rome, Politicians from California, US Republican Party politicians
Jim Townsend (Irish politician)	1937 births, 2021 deaths, Irish politicians
Albanian food	Albanian culture, Foods by nationality
Filip Trifonov	1947 births, 2021 deaths, Deaths from myocardial infarction, Movie actors, People from Sofia
Greek food	Greek food
Jan Blommaert	1961 births, 2021 deaths, Belgian scientists, European anthropologists
Biserka Cvejić	1923 births, 2021 deaths, Serbian singers, Serbian actors, European opera singers
Playboi Carti	1995 births, African-American rappers, Living people, African-American singers, American rap musicians from Georgia, Musicians from Atlanta, Georgia, Singers from Atlanta, Georgia
Vladimir Kiselyov	1957 births, 2021 deaths, Soviet sportspeople, Ukrainian sportspeople, Soviet Olympic gold medalists
Rich the Kid	1992 births, African-American rappers, American rap musicians from New York, Living people, Musicians from Queens
Kodak Black	1997 births, Living people, African-American rappers, American rap musicians from Florida, American people convicted of drug offenses, Musicians from Florida
Tom LaBonge	1953 births, 2021 deaths, Deaths from cardiac arrest, Politicians from Los Angeles, California, US Democratic Party politicians
Genival Lacerda	1931 births, 2021 deaths, Deaths from the COVID-19 pandemic in Brazil, Brazilian singers, Brazilian writers, Songwriters
John Land	1938 births, 2021 deaths, British ice hockey players, British Olympians
Marion Ramsey	1947 births, 2021 deaths, American movie actors, American television actors, American stage actors, American singer-songwriters, Singers from Philadelphia, Pennsylvania, Actors from Philadelphia, Pennsylvania, Writers from Philadelphia, Pennsylvania
Norberto James Rawlings	1945 births, 2021 deaths, Dominican Republic writers, Poets
Henri Schwery	1932 births, 2021 deaths, Cardinals of the Roman Catholic Church, Swiss people
Reynaldo Umali	1957 births, 2021 deaths, Deaths from the COVID-19 pandemic in the Philippines, Filipino politicians, Filipino lawyers
Back-to-Africa movement	African-American history, History of Africa
Mel Weitsman	1929 births, 2021 deaths, People from Long Beach, California, American Buddhists
Hubert Auriol	1952 births, 2021 deaths, Deaths from cardiac arrest, Deaths from the COVID-19 pandemic in France, French sportspeople, Racecar drivers
Tosh Chamberlain	1934 births, 2021 deaths, Sportspeople from London, English footballers
Adam Dyczkowski	1932 births, 2021 deaths, Polish Roman Catholics, Roman Catholic bishops
Nancy Walker Bush Ellis	1926 births, 2021 deaths, Deaths from the COVID-19 pandemic in the United States, American environmentalists, Bush family, People from Milton, Massachusetts
Pedro González (baseball)	1937 births, 2021 deaths, New York Yankees players, Cleveland Indians players, Dominican Republic sportspeople
Ángel Sergio Guerrero Mier	1935 births, 2021 deaths, Mexican politicians, Mexican lawyers
Dee Rowe	1929 births, 2021 deaths, College basketball coaches, Sportspeople from Massachusetts, Sportspeople from Connecticut, People from Worcester, Massachusetts
Afrophobia	Discrimination, Africa
Storrs, Connecticut	Villages in the United States, Census-designated places in Connecticut
Mohammad Khaledur Rahman Tito	1946 births, Bangladeshi politicians, Bangladeshi Muslims, 2021 deaths
Mehdi Attar-Ashrafi	1948 births, 2021 deaths, Iranian sportspeople, Olympians, People from Tehran
František Filip	1930 births, 2021 deaths, Czech movie directors, Television directors, Deaths from the COVID-19 pandemic in the Czech Republic
José Méndez (rower)	1937 births, 2021 deaths, Spanish Olympians, Rowers
Ken Middleditch	1925 births, 2021 deaths, British racecar drivers, Sportspeople from Surrey
Ezra Nawi	1952 births, 2021 deaths, Cancer deaths in Israel, Israeli activists, Gay men, Israeli LGBT people
John Reilly (actor)	1936 births, 2021 deaths, American movie actors, American television actors, American stage actors, Actors from Chicago
Madhav Singh Solanki	1927 births, 2021 deaths, Indian politicians
Cástor Oswaldo Azuaje Pérez	1951 births, 2021 deaths, Roman Catholic bishops, Venezuelan people, Deaths from the COVID-19 pandemic in Venezuela
Steve Carver	1945 births, 2021 deaths, Deaths from myocardial infarction, American photographers, Movie directors from Los Angeles, California, Movie producers from Los Angeles, California
David Darling (musician)	1941 births, 2021 deaths, American cellists, American composers, Musicians from Indiana, Grammy Award winners, People from Elkhart, Indiana
Květa Eretová	1926 births, 2021 deaths, Chess players, Sportspeople from Prague
Michael Fonfara	1946 births, 2021 deaths, Cancer deaths in Canada, Musicians from Ontario, Keyboardists
European Games	Sports competitions, Sport in Europe, Multi-sport events
Emile Hemmen	1923 births, 2021 deaths, Luxembourgian people, Poets, Educators
Steve Hendrickson	1966 births, 2021 deaths, American football linebackers, San Francisco 49ers players, Dallas Cowboys players, San Diego Chargers players, Tennessee Titans players, Philadelphia Eagles players, Sportspeople from California, Sportspeople from Idaho
Steve Lightle	1959 births, 2021 deaths, Deaths from cardiac arrest, Deaths from the COVID-19 pandemic in the United States, American comics artists, People from Kansas
Diana Millay	1935 births, 2021 deaths, American movie actors, American television actors, American stage actors, People from Rye, New York, Actors from New York
Bill Nankeville	1925 births, 2021 deaths, British athletes, British Olympians, Sportspeople from Surrey
Ivo Niederle	1929 births, 2021 deaths, Czech movie actors, Czech stage actors, Czech television actors, People from Prague
Pippo Santonastaso	1936 births, Living people, Italian movie actors, Italian television actors, Italian stage actors, Comedians
Katharine Whitehorn	1928 births, 2021 deaths, People with Alzheimer's disease, British columnists, British radio personalities, Journalists from London
Shirley Wilson	1925 births, 2021 deaths, American football coaches, American football players, Sportspeople from North Carolina
Madison, North Carolina	Towns in North Carolina
Burlington, North Carolina	Cities in North Carolina
Graham, North Carolina	Cities in North Carolina, County seats in North Carolina
Thomas G. Carpenter	1926 births, 2021 deaths, American educators, People from Florida, People from Memphis, Tennessee
Pedro Casado	1937 births, 2021 deaths, Spanish footballers, Sportspeople from Madrid
Georges Pernoud	1947 births, 2021 deaths, French journalists, French television presenters, Television producers
Eve Branson	1924 births, 2021 deaths, Businesspeople from London, English philanthropists, English activists, Deaths from the COVID-19 pandemic in the United Kingdom
Lloyd Cowan	1962 births, 2021 deaths, British athletes, British Olympians, Sportspeople from London, Sportspeople from Essex
Turlapaty Kutumba Rao	1933 births, 2021 deaths, Indian journalists
András Haán	1946 births, 2021 deaths, Sportspeople from Budapest, Sailors, Basketball players, Olympians
Eddie Bernice Johnson	1935 births, Living people, United States representatives from Texas, People from Waco, Texas, US Democratic Party politicians
William Joseph Burns	1956 births, Living people, Ambassadors of the United States, Politicians from North Carolina, US Democratic Party politicians, Directors of the Central Intelligence Agency
Natascha McElhone	1969 births, Living people, British movie actors, British stage actors, British television actors, British voice actors, Actors from Surrey
Life (Culture Club album)	2018 albums
David Khakhaleishvili	1971 births, 2021 deaths, Deaths from cardiovascular disease, Sportspeople from Georgia (country), Judoka, Mixed martial artists, Olympic gold medalists
History of Liberia	Liberia, History by country
Wayne Radford	1956 births, 2021 deaths, Indiana Pacers players, Sportspeople from Indianapolis, Indiana
Jessie Cave	1987 births, Living people, English movie actors, English stage actors, English television actors, English voice actors, Cartoonists, Feminists, Actors from London, Comedians from London
Shefali Chowdhury	1988 births, Living people, Welsh movie actors, Welsh television actors
Second impeachment of Donald Trump	January 2021 events, Donald Trump, February 2021 events, 2021 United States Capitol attack
Dave Eggers	1970 births, Living people, American philanthropists, American editors, American novelists, Writers from Boston, Massachusetts, Businesspeople from Boston, Massachusetts
Amnon Rubinstein	1931 births, Living people, Alumni of the London School of Economics, Columnists, Former Members of Knesset, Government ministers of Israel, Hebrew University of Jerusalem alumni, Israeli academics, Israeli journalists, Israeli lawyers, Israeli scientists, Jewish academics, Jewish Israeli politicians, Jewish Israeli writers, Jewish scientists, Jurists, Meretz politicians, People from Tel Aviv
Nina Wiener	1933 births, Living people, Israeli activists
The Jerusalem Post	Jerusalem, 1930s establishments in Israel, 1932 establishments in Asia, Newspapers
Slash-and-burn	Agriculture
This	Basic English 850 words
Spongiforma squarepantsii	Fungi, SpongeBob SquarePants
Sloan Digital Sky Survey	Astronomical objects
2001 QR322	Trojan asteroids, Neptune
May 2021 lunar eclipse	Eclipses, May 2021 events
Solar eclipse of June 10, 2021	Eclipses, June events, June 2021 events
2020 United States Senate election in Oklahoma	2020 United States Senate elections, Oklahoma
Savannah Guthrie	1971 births, American television personalities, American journalists, American lawyers, Writers from Arizona, People from Tucson, Arizona, Writers from Melbourne, Living people
The Ape (1940 movie)	1940 movies, 1940s horror movies, American horror movies, Movies based on plays, Movies directed by William Nigh, Black-and-white movies
Today (1930 movie)	1930 movies, 1930s drama movies, American drama movies, Movies based on plays, Movies directed by William Nigh, Black-and-white movies
Faxian	330s BC births, 422 BC deaths, Chinese people, Translators, Buddhists
28th century	3rd millennium, Centuries
Marianne Moore	1887 births, 1972 deaths, American poets, Writers from New York City, Deaths from stroke
TPV Technology	Companies of China, Electronics companies, Hong Kong
Jack Miller	1916 births, 1994 deaths, US Republican Party politicians, Politicians from Chicago, United States senators from Iowa
Elton John (album)	1970 albums, Rock albums
Hey Duggee	English-language television programs
Great Purge	History of the Soviet Union, Mass murder by country, Political movements, 1930s in the Soviet Union
Numerology	Astrology
Bambang Suryadi	1968 births, 2021 deaths, Deaths from the COVID-19 pandemic in Indonesia, Indonesian politicians
Christina Crosby	1953 births, 2021 deaths, Deaths from pancreatic cancer, American academics, American feminist writers, LGBT writers, Lesbian feminists, Writers from Pennsylvania, LGBT people from Pennsylvania, People with disabilities
Dyke (slang)	LGBT in the United States, LGBT in the United Kingdom, Gay slang, Pejoratives, English profanity, Homophobia, Slurs
Gerald Hiken	1927 births, 2021 deaths, American movie actors, American television actors, American stage actors, Actors from Milwaukee, Wisconsin
Jerry Douglas (director)	1935 births, 2021 deaths, American movie directors, American theatre directors, American screenwriters, LGBT directors, LGBT screenwriters, Gay men, Writers from Des Moines, Iowa
Joël Batteux	1943 births, 2021 deaths, French mayors, Deaths from surgical complications
Walter Taibo	1931 births, 2021 deaths, Uruguayan footballers
Frank Arok	1932 births, 2021 deaths, Serbian footballers, Serbian football managers, Naturalised citizens of Australia, Australian footballers, Australian football managers
Massoud Achkar	2021 deaths, Lebanese politicians, 1956 births, Deaths from the COVID-19 pandemic in Lebanon
Elias Rahbani	1938 births, 2021 deaths, Lebanese entertainers, Composers, Musicians, Songwriters, Conductors, Television personalities, Deaths from the COVID-19 pandemic in Lebanon
Vassilis Alexakis	1947 births, 2021 deaths, Greek writers, French writers, European translators, People from Athens
Howard Johnson (jazz musician)	1941 births, 2021 deaths, American jazz musicians, American saxophonists, American conductors, Musicians from Alabama, Musicians from New York City, People from Montgomery, Alabama
Kurt Oddekalv	1957 births, 2021 deaths, Accidental deaths by drowning, Norwegian businesspeople, Environmentalists
Prentice E. Sanders	1937 births, 2021 deaths, American police officers, People from Texas, People from San Francisco
Fajita	Mexican food
Salsa (sauce)	Mexican sauces, Condiments
Tortilla chip	Mexican food, Snack foods
Dipping sauce	Condiments
Tex-Mex	Texas, American food, Mexican food
Tejanos	People from Texas
Stacy Title	1964 births, 2021 deaths, Movie directors from New York, Movie producers from New York, Screenwriters from New York, Deaths from motor neurone disease
Scott Kelly (astronaut)	1964 births, Living people, American astronauts, Twin people from the United States, Engineers from New Jersey, American aviators, Scientists from New Jersey, Scientists from Texas, People from Orange, New Jersey
Marina Bay Sands	2010s establishments in Singapore, 2010 establishments in Asia, Buildings and structures in Singapore, Entertainment venues, Hotels, Malls
National Assembly (Malawi)	Malawi
Sidik Mia	1965 births, 2021 deaths, Malawian people, African businesspeople, African politicians, Deaths from the COVID-19 pandemic
COVID-19 pandemic in Malawi	Malawi, COVID-19 pandemic by country
Khalid bin Abdullah Al Saud	1937 births, 2021 deaths, Saudi Arabian businesspeople, Princes and princesses
The Man with Two Brians	Family Guy (season 7) episodes, 2008 television episodes
Mamie Till	1921 births, 2003 deaths
Elizabeth Holmes	1984 births, Living people, American fraudsters, Businesspeople from Washington, D.C.
1988–89 North American drought	Severe weather, Droughts, 1988 in the United States, 1989 in the United States, 1990 in the United States
Menoetius (moon)	Moons
Robert Woodson	1937 births, Living people, American civil rights activists, Writers from Philadelphia, Pennsylvania
The 1619 Project	August 2019 events, History of the United States, 1619
Nikole Hannah-Jones	1976 births, Living people, Pulitzer Prize winners, American political commentators, American journalists, People from Waterloo, Iowa, Writers from Iowa
Ebenezer Baptist Church	Martin Luther King Jr., Baptist churches, Churches in the United States, Buildings and structures in Atlanta, Georgia
Diamond, Missouri	Cities in Missouri
Warrenton, North Carolina	Towns in North Carolina, County seats in North Carolina
Plumpy'nut	Foods, Medicine
Barrackpore	Cities in India, West Bengal
Young Republicans	Political parties in the United States, Republicans (United States)
Dafydd ap Llywelyn	1212 births, 1246 deaths, Welsh people
CNN Airport	CNN, Airports, American television networks
Hh blood group	Blood
Deborah Rhode	1952 births, 2021 deaths, American lawyers, American academics, Writers from Chicago, People from Evanston, Illinois
David and Frederick Barclay	1934 births, 2021 deaths, Businesspeople from London, British billionaires, People from Hammersmith
Bruno Ghedina	1943 births, 2021 deaths, Italian Olympians, Ice hockey players
Luis Adriano Piedrahíta Sandoval	1946 births, 2021 deaths, Colombian people, Roman Catholic bishops, Deaths from the COVID-19 pandemic in Colombia
Florentin Crihălmeanu	1959 births, 2021 deaths, Deaths from the COVID-19 pandemic in Romania, Romanian people, Roman Catholic bishops
Tim Lester (running back)	1968 births, 2021 deaths, Deaths from the COVID-19 pandemic in the United States, Los Angeles Rams players, Pittsburgh Steelers players, Dallas Cowboys players, American football running backs, Sportspeople from Miami, Florida
Milton, Georgia	Cities in Georgia (U.S. state)
Philaret (Vakhromeyev)	1935 births, 2021 deaths, Eastern Orthodox Christians, People from Moscow
John Capodice	1941 births, Actors from Chicago, American movie actors, American television actors, Living people
Sandy Martin	1950 births, American movie actors, American television actors, American stage actors, American theatre directors, American playwrights, Theatre producers, Actors from New York City, Actors from Philadelphia, Pennsylvania, Living people, Writers from Philadelphia, Pennsylvania, Writers from New York City
Clostridioides difficile infection	Infectious diseases
Kanha Tiger Reserve	National parks in India, Madhya Pradesh
Lisa Montgomery	1968 births, 2021 deaths, American people executed for murder, People executed by lethal injection, People from Kansas
2020 Georgian parliamentary election	October 2020 events, 2020 elections, History of Georgia (country)
Musical improvisation	Musical performance techniques
Nodar Dumbadze	1928 births, 1984 deaths, Writers from Georgia (country)
Papurana garritor	Animals of Oceania, Frogs
Bootle	Towns in Merseyside
Terrence Scammell	1955 births, Living people, English people, English voice actors, People from Manchester
Keith Wickham	Living people, 1965 births, English comedians, Actors from Hertfordshire, English television actors, English voice actors
1966 Ballon d'Or	1966 in sports, 1960s in Europe, Association football, Sports trophies and awards
Narnia (world)	Fictional locations
John Stocker	1944 births, Living people, Actors from London, English voice actors, People from London, British casting directors, Voice directors
Level (video game)	Video games
Dafydd ap Gruffydd	Welsh people, Executed people, 1238 births, 1283 deaths
Shippensburg, Pennsylvania	Boroughs in Pennsylvania
Dan Newhouse	1955 births, Living people, United States representatives from Washington, Scientists from Washington, US Republican Party politicians
Caroly Wilcox	1931 births, 2021 deaths, Puppeteers, People from Pennsylvania
Edward Beard	1940 births, 2021 deaths, Deaths from Parkinson's disease, United States representatives from Rhode Island, Businesspeople from Rhode Island, Politicians from Rhode Island, People from Providence, Rhode Island, US Democratic Party politicians
Claudia and David	1946 movies, 1940s comedy movies, American comedy movies, Movies based on short stories, 20th Century Fox movies, Movies directed by Walter Lang
Tord Peterson	1926 births, 2021 deaths, Swedish movie actors, Swedish television actors, Actors from Stockholm
Football League Third Division South	1920s establishments in England, 1921 establishments in Europe, 20th century disestablishments in England, 1950s disestablishments in the United Kingdom, 1958 disestablishments, Football in England, English Football League
Fred Levin	1937 births, 2021 deaths, People with cancer, American lawyers, American philanthropists, Businesspeople from Florida, Deaths from the COVID-19 pandemic in the United States, People from Pensacola, Florida
Álvaro Mejía (athlete)	1940 births, 2021 deaths, Competitors in athletics, Olympians
Ndubuisi Kanu	1943 births, 2021 deaths, Nigerian politicians
Seyoum Mesfin	1949 births, 2021 deaths, Ethiopian politicians, Ambassadors to China, Deaths by firearm
Joël Robert	1943 births, 2021 deaths, Deaths from myocardial infarction, Belgian sportspeople, Deaths from the COVID-19 pandemic in Belgium
Eusébio Scheid	1932 births, 2021 deaths, Deaths from pneumonia, Deaths from the COVID-19 pandemic in Brazil, Cardinals of the Roman Catholic Church, Roman Catholic bishops, Brazilian people
