Wall plug	Hardware (mechanical)
Betsy Ross	1752 births, 1836 deaths, Deaths from natural causes, People from Philadelphia, Pennsylvania
Douglas A-1 Skyraider	United States Navy aircraft, Douglas aircraft, United States Air Force aircraft, Vietnam War aircraft
North American Rockwell OV-10 Bronco	United States Navy aircraft, United States Air Force aircraft, Vietnam War aircraft
Spherical geometry	Geometry
SPAD S.XIII	World War I aircraft, French military aircraft
Photobleaching	Light, Cell biology
Cotentin Peninsula	Normandy, Geography of France, Peninsulas
Aérospatiale SA-315 Lama	Aérospatiale, Indian military aircraft, Helicopters
George H. Hitchings	1905 births, 1998 deaths, American physicians, Nobel Prize in Physiology or Medicine winners
Amazon Standard Identification Number	Books, Amazon (company)
Fuji Television	Television stations, Companies of Japan
Division of Northern Melbourne	Former electoral divisions of Australia, 1901 establishments in Australia, 1900s disestablishments in Australia
List of soups	Food-related lists, Soups
Jo-Jo the Dog-Faced Boy	1868 births, 1904 deaths, Deaths from pneumonia, People from Saint Petersburg, Russian entertainers, Sideshow performers
Epiphany (holiday)	Christian holidays, January events
Bangor, New York	Towns in New York, 1806 establishments, 1800s establishments in New York (state)
Korpilahti	Former municipalities of Finland
Ranua	Municipalities of Lapland (Finland), 1917 establishments in Europe, 1910s establishments in Finland
Posio	Municipalities of Lapland (Finland)
Magi	New Testament people
Tornio	Towns in Finland, Municipalities of Lapland (Finland)
Kozienice	Cities in Poland
Kemi	Towns in Finland, Municipalities of Lapland (Finland)
Inari, Finland	Municipalities of Lapland (Finland)
Pello	Municipalities of Lapland (Finland)
Sample	Statistics
Enontekiö	Municipalities of Lapland (Finland)
Pukkila	Municipalities of Uusimaa, 1898 establishments in Europe, 19th century establishments in Finland
Kerava	Towns in Finland, Municipalities of Uusimaa
Sound level meter	Sound, Measuring tools
2012 Pacific hurricane season	Pacific hurricane seasons, 2012 in weather
Porvoo	Towns in Finland, Municipalities of Uusimaa
Trinity Church, Halmstad	Churches in Sweden, Roman Catholic churches, 1981 establishments in Europe, 1980s establishments in Sweden
Helsingborg Municipality	Municipalities of Sweden
Landskrona Municipality	Municipalities of Sweden
Åre Municipality	Municipalities of Sweden
Åre	Settlements in Jamtland County, Ski areas and resorts in Sweden
Church of Sweden Abroad	Church of Sweden
Swedish Evangelical Mission	1856 establishments in Europe, Church of Sweden, 19th century establishments in Sweden
Evangelical Free Church in Sweden	1997 establishments in Sweden, Baptist churches, Protestantism in Sweden
Dansbandskampen	Music media, Swedish music, Television, 2008 establishments in Europe, 2000s establishments in Sweden
Svensktoppen	1962 establishments in Sweden, Record charts, Radio, Swedish music
Vuorenkylä	Municipalities of Finland
Sveriges Radio	1925 establishments in Sweden, Entertainment in Sweden, Radio
Sveriges Television	1956 establishments in Sweden, Swedish television
Aftonbladet	1830 establishments in Europe, Newspapers published in Sweden, Stockholm
Swedish Americans	Ethnic groups in the United States
Expressen	1944 establishments in Sweden, Newspapers published in Sweden, Stockholm
Allsång på Skansen	1935 establishments in Sweden, Music events, Radio programs, Stockholm, Television programs
Skansen	1891 establishments in Sweden, Buildings and structures in Stockholm, Zoos, Open air museums, Djurgården
Djurgården	Djurgården
Gröna Lund	1883 establishments in Europe, Djurgården, 1880s establishments in Sweden
Essingeleden	1966 establishments in Sweden, Roads, Stockholm, Transport in Sweden
Bollebygd Municipality	1995 establishments in Europe, Municipalities of Sweden, 1990s establishments in Sweden
Borås Municipality	Municipalities of Sweden
Atlantic Division (NBA)	National Basketball Association divisions
Nykvarn Municipality	1999 establishments in Sweden, Municipalities of Sweden
Uppvidinge Municipality	Municipalities of Sweden
Ystad Municipality	Municipalities of Sweden
Central Division (NBA)	National Basketball Association divisions
Sandviken Municipality	Municipalities of Sweden
Ystad	Settlements in Skane County
Ljungarum Church	Church of Sweden churches, Buildings and structures in Jönköping
Sofia Church, Jönköping	Church of Sweden churches, Buildings and structures in Jönköping, Buildings and structures completed in the 19th century
Christina Church	Church of Sweden churches, Buildings and structures in Jönköping
Friends Arena	Stadiums in Sweden, Football stadiums in Sweden
Stockholm Olympic Stadium	Stadiums in Sweden, Buildings and structures in Stockholm, Sport in Stockholm
Scandinavium	Indoor arenas, Stadiums in Sweden, Ice hockey in Sweden, Sport in Gothenburg, Buildings and structures in Gothenburg
Stockholm Globe Arena	Ice hockey in Sweden, Buildings and structures in Stockholm, Stadiums in Sweden
Råsunda Stadium	1937 establishments in Europe, 2012 disestablishments in Sweden, Football stadiums in Sweden, 1930s establishments in Sweden
Söderstadion	Bandy in Sweden, Stadiums in Sweden, Football stadiums in Sweden, Sport in Stockholm, Buildings and structures in Stockholm
Johanneshovs isstadion	Buildings and structures in Stockholm, Stadiums in Sweden, Ice hockey in Sweden
Shiloh	1991 books, Children's books, English-language novels, 20th century American novels, Newbery Medal winning books
Hugh the Great	890s births, 950s deaths, Dukes and duchesses of France
Mini-DIN connector	Electrical connectors
Reed switch	Electronic switches, Magnetism
Mando Diao	1999 establishments in Sweden, Swedish rock music groups, Musical groups established in 1999
Borlänge Municipality	Municipalities of Sweden
Doomwyte	Redwall, 2008 books, Fantasy books
Richard II, Duke of Normandy	10th century births, 1026 deaths, House of Normandy, Dukes and duchesses
The Sable Quean	Redwall, 2010 books, Fantasy books
Saint Joachim	Early Christian saints, 1st century BC births
Ranked list of Spanish autonomous communities by area	Autonomous communities of Spain, Geography-related lists
Golden Gate (Jerusalem)	Temple Mount, Gates in Jerusalem's Old City Walls
Luhanka	Municipalities of Central Finland
Laukaa	Municipalities of Central Finland
Sahara Hotnights	Swedish rock music groups
Uurainen	Municipalities of Central Finland
Melody Club	Swedish pop music groups, 2000 establishments in Sweden
Takida	1999 establishments in Sweden, Swedish rock music groups
Nastola	Former municipalities of Finland, Lahti
Orimattila	Towns in Finland, Municipalities of Päijänne Tavastia
Hollola	Municipalities of Päijänne Tavastia
Kärkölä	Municipalities of Päijänne Tavastia
Hämeenlinna	Towns in Finland, Municipalities of Kanta-Häme
Padasjoki	Municipalities of Päijänne Tavastia
Kuhmoinen	Municipalities of Central Finland
Pori	Cities in Finland
Särkänniemi	Theme parks in Europe, Finnish culture, Tampere, 1969 establishments in Europe, 20th century establishments in Finland
Matti Nykänen	1963 births, 2019 deaths, Deaths from diabetes, 1984 Winter Olympics, 1988 Winter Olympics, Finnish Olympic silver medalists, Finnish singers, Olympic gold medalists
Heinola	Towns in Finland, Municipalities of Päijänne Tavastia
Olavi Lanu	1925 births, 2015 deaths, Finnish people, Sculptors
The Well-Tempered Clavier	Compositions by Johann Sebastian Bach
Pottiputki	Gardening tools
Ranked list of Spanish autonomous communities by population	Autonomous communities of Spain, Geography-related lists
Imperiet	Musical groups disestablished in 1988, 1980s Swedish music groups, Musical groups established in 1983, Stockholm, Swedish rock music groups, 1983 establishments in Sweden, 1980s disestablishments in Sweden, 1988 disestablishments in Europe
BWO	2003 establishments in Europe, 2010 disestablishments in Europe, Swedish pop music groups, Synth-pop, 2000s establishments in Sweden, 21st century disestablishments in Sweden
Stiftelsen	2010 establishments in Sweden, Swedish rock music groups
Soviet submarine S-363	1981 in Europe, 1980s in Sweden, Cold War, 1980s in the Soviet Union
Folkhemmet	20th century in Sweden, Politics of Sweden
Bell 214	Bell aircraft, Iran, Civil aircraft, Military aircraft
Lockheed MC-130	United States Air Force aircraft, Lockheed & Lockheed-Martin aircraft
Catalina affair	1952 in Europe, 1950s in the Soviet Union, 1950s in Sweden, Cold War
The Redwall Cookbook	Redwall, Non-fiction books
Massa's in de Cold Ground	19th century American songs, Compositions by Stephen Foster
Järvenpää	Towns in Finland
Kokkola	Towns in Finland, Municipalities of Central Ostrobothnia, 1620s establishments in Europe, 17th century establishments in Finland, 1620 establishments
Kouvola	Towns in Finland, Municipalities of Kymenlaakso, 2009 establishments in Europe, 2000s establishments in Finland
Hamina	Towns in Finland, Municipalities of Kymenlaakso
Taka Michinoku	1973 births, Former WWE wrestlers, Japanese professional wrestlers, Living people, People from Chiba Prefecture
Repovesi National Park	National parks in Finland, 2003 establishments in Europe
Shaheed-e-Mohabbat Boota Singh	Indian movies, Movies based on real life events
Boota Singh	1957 deaths, Year of birth missing, Punjabi people, British military people, Indian people, World War II people
Geometric topology	Mathematics
Lake Gałęziste	Lakes of Europe, Geography of Poland
Riksdag	National legislatures, Government of Sweden
Hawker Hunter	Royal Air Force aircraft, British military aircraft, Hawker aircraft
Noice	1977 establishments in Sweden, Swedish rock music groups
Freestyle	1980s Swedish music groups, Musical groups disestablished in 1983, Musical groups established in 1980, Swedish pop music groups, 1980 establishments in Sweden, 1983 disestablishments in Europe, 1980s disestablishments in Sweden
Style (band)	Musical groups disestablished in 1989, 1980s Swedish music groups, Musical groups established in 1983, Swedish pop music groups, 1983 establishments in Sweden, 1980s disestablishments in Sweden
Dag Vag	1978 establishments in Sweden, Swedish pop music groups
Eldkvarn	Buildings and structures in Stockholm, 1805 establishments, 1800s establishments in Europe, 19th century establishments in Sweden, 1878 disestablishments, Disestablishments in Sweden, 1870s disestablishments in Europe
Eldkvarn (band)	1971 establishments in Sweden, Swedish rock music groups, Norrköping
Kikki, Bettan & Lotta	2000s Swedish music groups, Musical groups established in 2001, 2004 disestablishments in Sweden, 2001 establishments in Sweden
Matz Bladhs	Dansbands, Swedish musical groups
Hawker Sea Hawk	British military aircraft, Indian military aircraft, Hawker aircraft
Family Four	Swedish musical groups
Frequency response	Sound
Sukhoi Su-25	Soviet military aircraft
Audio crossover	Sound, Electronic circuits
Hawker Hurricane	Hawker aircraft, Royal Air Force aircraft, World War II British aircraft
Hawker Siddeley HS-748	Hawker aircraft, Civil aircraft
Airbus A318	Airbus aircraft
CASA C-212 Aviocar	Civil aircraft, Military aircraft, United States Air Force aircraft
Eu, Seine-Maritime	Communes in Seine-Maritime
Akaa	Cities in Finland
Mämmi	Finnish food, Desserts
Hanko	Cities in Finland, Municipalities of Uusimaa
Rosvopaisti	Finnish food
Gunnora	950s births, 1030s deaths, House of Normandy, Dukes and duchesses
Stockholm City Hall	Buildings and structures in Stockholm, Government buildings
Stockholm Palace	Buildings and structures in Stockholm, Castles
Riddarholmen Church	Church of Sweden churches, Churches in Stockholm
Royal Chapel, Stockholm	Church of Sweden churches, Churches in Stockholm
Adolf Fredrik Church	Church of Sweden churches, Churches in Stockholm
Hedvig Eleonora Church	Church of Sweden churches, Churches in Stockholm
Sweden women's national ice hockey team	1987 establishments in Sweden, Ice hockey teams in Sweden, National ice hockey teams
Svenska Dagbladet	1884 establishments in Europe, Newspapers published in Sweden, Stockholm
Kitee	Cities in Finland, 1631 establishments, 17th century establishments in Finland, 1630s establishments in Europe
FC Groningen	1971 establishments in Europe, 1970s establishments in the Netherlands, Dutch football clubs, Groningen (city)
Jönköpings-Posten	1865 establishments in Europe, Newspapers published in Sweden, Jönköping, 19th century establishments in Sweden
Stadsparksvallen	1902 establishments in Europe, Stadiums in Sweden, Sport in Jönköping, Buildings and structures in Jönköping, 1900s establishments in Sweden
Joutseno	Towns in Finland, Former municipalities of Finland
Norrahammar	Settlements in Jonkoping County
Tenhult	Settlements in Jonkoping County
Smålandsstenar	Settlements in Kalmar County
Gislaved Municipality	Municipalities of Sweden
Vaggeryd Municipality	Municipalities of Sweden
Värnamo Municipality	Municipalities of Sweden
The Rogue Crew	Redwall, Fantasy books, 2011 books
Skillingaryd	Settlements in Jonkoping County
Gnosjö Municipality	Municipalities of Sweden
Eksjö Municipality	Municipalities of Sweden
Aneby Municipality	Municipalities of Sweden
Tranås Municipality	Municipalities of Sweden
Karlsborg Municipality	Municipalities of Sweden
Håbo Municipality	Municipalities of Sweden
Bålsta	Settlements in Uppsala County
Kalix Municipality	Municipalities of Sweden
Ånge Municipality	Municipalities of Sweden
Lockheed F-117 Nighthawk	United States Air Force aircraft, Lockheed & Lockheed-Martin aircraft
Vindeln Municipality	Municipalities of Sweden
Degerfors Municipality	Municipalities of Sweden
Söderköping Municipality	Municipalities of Sweden
Oxelösund Municipality	Municipalities of Sweden
Kristinehamn Municipality	Municipalities of Sweden
Katrineholm Municipality	Municipalities of Sweden
Knivsta Municipality	Municipalities of Sweden, 2003 establishments in Europe
Percival Pembroke	Royal Air Force aircraft
Lotta på Liseberg	2004 establishments in Sweden, Music events, Television programs
Lohja	Cities in Finland, Municipalities of Uusimaa
Royal Aircraft Factory SE-5	British military aircraft, World War I aircraft
Calculating Infinity	1999 albums, Heavy metal albums
Sävsjö Municipality	Municipalities of Sweden
Västervik Municipality	Municipalities of Sweden
Vetlanda Municipality	Municipalities of Sweden
Oskarshamn Municipality	Municipalities of Sweden
Vimmerby Municipality	Municipalities of Sweden
Olofström Municipality	Municipalities of Sweden
Karlshamn Municipality	Municipalities of Sweden
Ronneby Municipality	Municipalities of Sweden
Arvika Municipality	Municipalities of Sweden
Arboga Municipality	Municipalities of Sweden
Boulton Paul Defiant	World War II British aircraft, Royal Air Force aircraft
Emmaboda Municipality	Municipalities of Sweden
Sunne Municipality	Municipalities of Sweden
Surahammar Municipality	Municipalities of Sweden
Hallstahammar Municipality	Municipalities of Sweden
Lindesberg Municipality	Municipalities of Sweden
Nora Municipality	Municipalities of Sweden
Stenungsund Municipality	Municipalities of Sweden
English Electric Lightning	Royal Air Force aircraft, British military aircraft, Saudi Arabia, Kuwait
Enköping Municipality	Municipalities of Sweden
Sigtuna Municipality	Municipalities of Sweden
Ockelbo Municipality	Municipalities of Sweden
Hudiksvall Municipality	Municipalities of Sweden
Ljusdal Municipality	Municipalities of Sweden
Hofors Municipality	Municipalities of Sweden
Bollnäs Municipality	Municipalities of Sweden
Nordanstig Municipality	Municipalities of Sweden
Öckerö Municipality	Municipalities of Sweden
Kramfors Municipality	Municipalities of Sweden
Berg Municipality	Municipalities of Sweden
Storuman Municipality	Municipalities of Sweden
Shemini Atzeret	Jewish festivals and holidays
Strömsund Municipality	Municipalities of Sweden
Bräcke Municipality	Municipalities of Sweden
Krokom Municipality	Municipalities of Sweden
Ragunda Municipality	Municipalities of Sweden
Arvidsjaur Municipality	Municipalities of Sweden
Arjeplog Municipality	Municipalities of Sweden
Jokkmokk Municipality	Municipalities of Sweden
Pajala Municipality	Municipalities of Sweden
Gällivare Municipality	Municipalities of Sweden
Älvsbyn Municipality	Municipalities of Sweden
Överkalix Municipality	Municipalities of Sweden
Övertorneå Municipality	Municipalities of Sweden
Bjurholm Municipality	Municipalities of Sweden
Åsele Municipality	Municipalities of Sweden
Dorotea Municipality	Municipalities of Sweden
Vilhelmina Municipality	Municipalities of Sweden
Sorsele Municipality	Municipalities of Sweden
Robertsfors Municipality	Municipalities of Sweden
Nordmaling Municipality	Municipalities of Sweden
Vännäs Municipality	Municipalities of Sweden
Norsjö Municipality	Municipalities of Sweden
Malå Municipality	Municipalities of Sweden
Katarina Church	Church of Sweden churches, Churches in Stockholm
Sofia Church	Church of Sweden churches, Churches in Stockholm
Maria Magdalena Church	Church of Sweden churches, Churches in Stockholm
William Scranton	1917 births, 2013 deaths, Deaths from cerebral hemorrhage, 1964 United States presidential candidates, Governors of Pennsylvania, United States representatives from Pennsylvania, United States Ambassadors to the United Nations, US Republican Party politicians, Politicians from Connecticut
Klara Church	Church of Sweden churches, Churches in Stockholm
Bradley Whitford	1959 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American journalists, Actors from Wisconsin, Writers from Wisconsin, People from Madison, Wisconsin, HuffPost writers and columnists
The Cabin in the Woods	2012 horror movies, 2010s monster movies, 2010s satirical movies, American ghost movies, American horror movies, American monster movies, American parody movies, American satirical movies, English-language movies, Zombie movies, Apocalyptic movies, Lionsgate movies
ParaNorman	2012 animated movies, 2012 comedy movies, 2012 horror movies, 2010s LGBT movies, 2010s monster movies, American animated movies, American comedy movies, American horror movies, American LGBT movies, American monster movies, Comedy horror movies, English-language movies, Ghost movies, LGBT comedy movies, Movies set in Massachusetts, Zombie movies
Richard III, Duke of Normandy	990s births, 1027 deaths, House of Normandy, Dukes and duchesses
Tabernacle	Old Testament
Non-conformism	Protestant Reformation, Church organization
Mora Church	Church of Sweden churches
Leksand Municipality	Municipalities of Sweden
Rättvik Municipality	Municipalities of Sweden
Munkfors Municipality	Municipalities of Sweden
Hedemora Municipality	Municipalities of Sweden
Smedjebacken Municipality	Municipalities of Sweden
Malung-Sälen Municipality	Municipalities of Sweden
Fagersta Municipality	Municipalities of Sweden
Filipstad Municipality	Municipalities of Sweden
Åmål Municipality	Municipalities of Sweden
Mellerud Municipality	Municipalities of Sweden
Putney	Putney
Kil Municipality	Municipalities of Sweden
Grums Municipality	Municipalities of Sweden
Forshaga Municipality	Municipalities of Sweden
Hagfors Municipality	Municipalities of Sweden
Torsby Municipality	Municipalities of Sweden
Storfors Municipality	Municipalities of Sweden
Eda Municipality	Municipalities of Sweden
Säffle Municipality	Municipalities of Sweden
Årjäng Municipality	Municipalities of Sweden
Hammarö Municipality	Municipalities of Sweden
Avesta Municipality	Municipalities of Sweden
Ludvika Municipality	Municipalities of Sweden
Gagnef Municipality	Municipalities of Sweden
Orsa Municipality	Municipalities of Sweden
English Electric Canberra	Royal Air Force aircraft, Australian military aircraft, British military aircraft
Vansbro Municipality	Municipalities of Sweden
Säter Municipality	Municipalities of Sweden
Älvdalen Municipality	Municipalities of Sweden
Kungsör Municipality	Municipalities of Sweden
Köping Municipality	Municipalities of Sweden
Sala Municipality	Municipalities of Sweden
Skinnskatteberg Municipality	Municipalities of Sweden
Norberg Municipality	Municipalities of Sweden
Sundbyberg Municipality	Municipalities of Sweden
Martin B-57 Canberra	Vietnam War aircraft, United States Air Force aircraft, Pakistan
Strängnäs Municipality	Municipalities of Sweden
Norrtälje Municipality	Municipalities of Sweden
Botkyrka Municipality	Municipalities of Sweden
Haninge Municipality	Municipalities of Sweden
Huddinge Municipality	Municipalities of Sweden
Salem Municipality	Municipalities of Sweden
Mjölby Municipality	Municipalities of Sweden
British Aircraft Corporation TSR-2	British military aircraft
Fieseler Fi 156 Storch	World War II German aircraft, German military aircraft
Dewoitine D.520	French military aircraft, World War II aircraft
Heby Municipality	Municipalities of Sweden
Tierp Municipality	Municipalities of Sweden
Östhammar Municipality	Municipalities of Sweden
Laxå Municipality	Municipalities of Sweden
Hällefors Municipality	Municipalities of Sweden
Ljusnarsberg Municipality	Municipalities of Sweden
Karkkila	Cities in Finland
Lekeberg Municipality	Municipalities of Sweden
Kumla Municipality	Municipalities of Sweden
Hallsberg Municipality	Municipalities of Sweden
Finspång Municipality	Municipalities of Sweden
Gullspång Municipality	Municipalities of Sweden
Flen Municipality	Municipalities of Sweden
Nokia, Finland	Towns in Finland
Todd Orlando	American ice hockey players, 1986 births, Living people
Rave	Music, Parties
I'm So Excited	2013 comedy movies, 2010s LGBT movies, Spanish movies, Spanish-language movies, Movies directed by Pedro Almodóvar
Sälen	Settlements in Dalarna County, Ski areas and resorts in Sweden
Boxholm Municipality	Municipalities of Sweden
The Other Woman (2014 movie)	2014 buddy movies, 2014 comedy movies, 2014 romance movies, 2010s romantic comedy movies, Adultery in movies, American buddy movies, American romantic comedy movies, Buddy comedy movies, English-language movies, Female buddy movies, 2010s feminist movies, Movies about revenge, Movies set in Connecticut, Movies set in Manhattan, The Bahamas
Vaxholm Municipality	Municipalities of Sweden
Nynäshamn Municipality	Municipalities of Sweden
Edge of Tomorrow	2014 action movies, 2014 science fiction movies, American action movies, American science fiction movies, English-language movies, Warner Bros. movies, Apocalyptic movies, Dystopian movies
Danderyd Municipality	Municipalities of Sweden
Gurdas Maan	1957 births, Living people, Punjabi people, Indian singers, Indian actors
Nacka Municipality	Municipalities of Sweden
Sollentuna Municipality	Municipalities of Sweden
Vallentuna Municipality	Municipalities of Sweden
Tyresö Municipality	Municipalities of Sweden
Ekerö Municipality	Municipalities of Sweden
Sölvesborg Municipality	Municipalities of Sweden
Järfälla Municipality	Municipalities of Sweden
Österåker Municipality	Municipalities of Sweden
Täby Municipality	Municipalities of Sweden
Värmdö Municipality	Municipalities of Sweden
Upplands Väsby Municipality	Municipalities of Sweden
Upplands-Bro Municipality	Municipalities of Sweden
Vingåker Municipality	Municipalities of Sweden
Sekai no Owari	Japanese rock bands
Trosa Municipality	Municipalities of Sweden
Gnesta Municipality	Municipalities of Sweden
Tokyo Broadcasting System	Japanese television networks
Celestial coordinate system	Coordinate systems, Astronomy
Essunga Municipality	Municipalities of Sweden
Vara Municipality	Municipalities of Sweden
Vadstena Municipality	Municipalities of Sweden
Ödeshög Municipality	Municipalities of Sweden
Åtvidaberg Municipality	Municipalities of Sweden
Kinda Municipality	Municipalities of Sweden
Ydre Municipality	Municipalities of Sweden
Varberg Municipality	Municipalities of Sweden
Falkenberg Municipality	Municipalities of Sweden
Hylte Municipality	Municipalities of Sweden
Kungsbacka Municipality	Municipalities of Sweden
Laholm Municipality	Municipalities of Sweden
Kungälv Municipality	Municipalities of Sweden
Mölndal Municipality	Municipalities of Sweden
Orust Municipality	Municipalities of Sweden
Tjörn Municipality	Municipalities of Sweden
Tjörn	Islands of Sweden
Värmdö	Islands of Sweden
Valdemarsvik Municipality	Municipalities of Sweden
Nybro Municipality	Municipalities of Sweden
Torsås Municipality	Municipalities of Sweden
Mönsterås Municipality	Municipalities of Sweden
